"Scrambling1020ydsRTPScore_RANKTHISWEEK_2015","Scrambling1020ydsRTPScore_RANKLASTWEEK_2015","Scrambling1020ydsRTPScore_PLAYERNAME_2015","Scrambling1020ydsRTPScore_ROUNDS_2015","Scrambling1020ydsRTPScore_AVGRTP_2015","Scrambling1020ydsRTPScore_TOTALHOLES_2015","Scrambling1020ydsRTPScore_TOTALRTP_2015","stat_name","year"
1,1,"Hideki Matsuyama",95,0.243,169,41,"Scrambling1020ydsRTPScore",2015
2,2,"Bill Haas",89,0.245,143,35,"Scrambling1020ydsRTPScore",2015
3,3,"Matt Kuchar",97,0.247,198,49,"Scrambling1020ydsRTPScore",2015
4,4,"Ben Crane",62,0.255,145,37,"Scrambling1020ydsRTPScore",2015
5,5,"Chad Collins",79,0.259,158,41,"Scrambling1020ydsRTPScore",2015
6,6,"Louis Oosthuizen",68,0.262,122,32,"Scrambling1020ydsRTPScore",2015
7,7,"Steven Bowditch",103,0.263,236,62,"Scrambling1020ydsRTPScore",2015
7,7,"Jamie Donaldson",50,0.263,95,25,"Scrambling1020ydsRTPScore",2015
9,9,"Luke Donald",71,0.265,132,35,"Scrambling1020ydsRTPScore",2015
10,10,"Ernie Els",57,0.266,94,25,"Scrambling1020ydsRTPScore",2015
11,11,"Patrick Reed",103,0.269,212,57,"Scrambling1020ydsRTPScore",2015
12,12,"Billy Hurley III",83,0.273,183,50,"Scrambling1020ydsRTPScore",2015
13,13,"Jordan Spieth",91,0.279,172,48,"Scrambling1020ydsRTPScore",2015
14,14,"Andres Romero",69,0.28,132,37,"Scrambling1020ydsRTPScore",2015
14,14,"Bubba Watson",71,0.28,125,35,"Scrambling1020ydsRTPScore",2015
16,16,"Jonathan Byrd",69,0.281,128,36,"Scrambling1020ydsRTPScore",2015
16,16,"Henrik Stenson",63,0.281,96,27,"Scrambling1020ydsRTPScore",2015
18,18,"Kevin Na",98,0.282,213,60,"Scrambling1020ydsRTPScore",2015
19,19,"Justin Thomas",106,0.284,211,60,"Scrambling1020ydsRTPScore",2015
20,20,"Rickie Fowler",76,0.289,152,44,"Scrambling1020ydsRTPScore",2015
21,21,"Chris Kirk",76,0.29,138,40,"Scrambling1020ydsRTPScore",2015
22,22,"Zac Blair",108,0.291,203,59,"Scrambling1020ydsRTPScore",2015
23,23,"Mark Wilson",89,0.292,192,56,"Scrambling1020ydsRTPScore",2015
24,24,"Cameron Tringale",96,0.293,208,61,"Scrambling1020ydsRTPScore",2015
25,25,"Derek Fathauer",81,0.294,194,57,"Scrambling1020ydsRTPScore",2015
25,25,"Webb Simpson",81,0.294,153,45,"Scrambling1020ydsRTPScore",2015
27,27,"Brandt Snedeker",98,0.295,200,59,"Scrambling1020ydsRTPScore",2015
28,28,"Jim Furyk",71,0.296,125,37,"Scrambling1020ydsRTPScore",2015
29,29,"Jeff Overton",94,0.297,182,54,"Scrambling1020ydsRTPScore",2015
30,30,"Russell Knox",96,0.298,181,54,"Scrambling1020ydsRTPScore",2015
30,30,"William McGirt",103,0.298,258,77,"Scrambling1020ydsRTPScore",2015
32,32,"Ricky Barnes",82,0.3,190,57,"Scrambling1020ydsRTPScore",2015
32,32,"Sergio Garcia",59,0.3,90,27,"Scrambling1020ydsRTPScore",2015
34,34,"Keegan Bradley",87,0.303,152,46,"Scrambling1020ydsRTPScore",2015
35,35,"Jason Day",75,0.305,128,39,"Scrambling1020ydsRTPScore",2015
36,36,"Carl Pettersson",106,0.309,278,86,"Scrambling1020ydsRTPScore",2015
37,37,"Hunter Mahan",88,0.31,155,48,"Scrambling1020ydsRTPScore",2015
37,37,"Ryan Moore",81,0.31,171,53,"Scrambling1020ydsRTPScore",2015
39,39,"Sangmoon Bae",98,0.313,246,77,"Scrambling1020ydsRTPScore",2015
39,39,"Stewart Cink",77,0.313,128,40,"Scrambling1020ydsRTPScore",2015
39,39,"Matt Jones",89,0.313,195,61,"Scrambling1020ydsRTPScore",2015
39,39,"DA Points",72,0.313,160,50,"Scrambling1020ydsRTPScore",2015
43,43,"JB Holmes",89,0.314,169,53,"Scrambling1020ydsRTPScore",2015
44,44,"Zach Johnson",90,0.315,162,51,"Scrambling1020ydsRTPScore",2015
45,45,"KJ Choi",66,0.316,158,50,"Scrambling1020ydsRTPScore",2015
46,46,"Scott Piercy",90,0.32,197,63,"Scrambling1020ydsRTPScore",2015
47,47,"Ryan Palmer",80,0.321,131,42,"Scrambling1020ydsRTPScore",2015
48,48,"Jonas Blixt",78,0.323,155,50,"Scrambling1020ydsRTPScore",2015
48,48,"Tony Finau",106,0.323,217,70,"Scrambling1020ydsRTPScore",2015
50,50,"Jhonattan Vegas",90,0.324,182,59,"Scrambling1020ydsRTPScore",2015
51,51,"Mark Hubbard",79,0.325,154,50,"Scrambling1020ydsRTPScore",2015
51,51,"Whee Kim",71,0.325,117,38,"Scrambling1020ydsRTPScore",2015
51,51,"Scott Stallings",60,0.325,114,37,"Scrambling1020ydsRTPScore",2015
54,54,"Chad Campbell",97,0.326,221,72,"Scrambling1020ydsRTPScore",2015
54,54,"Andres Gonzales",90,0.326,184,60,"Scrambling1020ydsRTPScore",2015
54,54,"Andrew Putnam",68,0.326,129,42,"Scrambling1020ydsRTPScore",2015
57,57,"Bryce Molder",91,0.327,199,65,"Scrambling1020ydsRTPScore",2015
58,58,"Billy Horschel",99,0.328,192,63,"Scrambling1020ydsRTPScore",2015
58,58,"Brendon Todd",96,0.328,189,62,"Scrambling1020ydsRTPScore",2015
60,60,"Blayne Barber",76,0.329,146,48,"Scrambling1020ydsRTPScore",2015
61,61,"Eric Axley",57,0.33,115,38,"Scrambling1020ydsRTPScore",2015
61,61,"Harris English",105,0.33,218,72,"Scrambling1020ydsRTPScore",2015
61,61,"Brendan Steele",88,0.33,176,58,"Scrambling1020ydsRTPScore",2015
64,64,"Justin Leonard",61,0.331,145,48,"Scrambling1020ydsRTPScore",2015
65,65,"Kyle Reifers",96,0.332,211,70,"Scrambling1020ydsRTPScore",2015
66,66,"Jerry Kelly",79,0.333,159,53,"Scrambling1020ydsRTPScore",2015
66,66,"Robert Streb",110,0.333,225,75,"Scrambling1020ydsRTPScore",2015
66,66,"Brian Stuard",97,0.333,231,77,"Scrambling1020ydsRTPScore",2015
66,66,"Lee Westwood",56,0.333,81,27,"Scrambling1020ydsRTPScore",2015
70,70,"Retief Goosen",81,0.335,179,60,"Scrambling1020ydsRTPScore",2015
70,70,"Rory Sabbatini",81,0.335,158,53,"Scrambling1020ydsRTPScore",2015
72,72,"Brian Harman",90,0.337,208,70,"Scrambling1020ydsRTPScore",2015
72,72,"Phil Mickelson",70,0.337,166,56,"Scrambling1020ydsRTPScore",2015
74,74,"Steven Alker",62,0.338,136,46,"Scrambling1020ydsRTPScore",2015
74,74,"David Toms",62,0.338,160,54,"Scrambling1020ydsRTPScore",2015
76,76,"Erik Compton",86,0.34,203,69,"Scrambling1020ydsRTPScore",2015
76,76,"Troy Merritt",91,0.34,209,71,"Scrambling1020ydsRTPScore",2015
