"ApproachesRightRoughRTPScore_RANKTHISWEEK_2007","ApproachesRightRoughRTPScore_RANKLASTWEEK_2007","ApproachesRightRoughRTPScore_PLAYERNAME_2007","ApproachesRightRoughRTPScore_ROUNDS_2007","ApproachesRightRoughRTPScore_AVGRTP_2007","stat_name","year"
1,1,"Tiger Woods",63,-0.049,"ApproachesRightRoughRTPScore",2007
2,2,"Jeff Overton",60,-0.037,"ApproachesRightRoughRTPScore",2007
3,3,"Brett Wetterich",88,-0.024,"ApproachesRightRoughRTPScore",2007
4,4,"Ernie Els",59,-0.019,"ApproachesRightRoughRTPScore",2007
5,5,"Padraig Harrington",64,-0.014,"ApproachesRightRoughRTPScore",2007
6,6,"Tommy Armour III",81,0,"ApproachesRightRoughRTPScore",2007
6,6,"Phil Mickelson",73,0,"ApproachesRightRoughRTPScore",2007
6,6,"Geoff Ogilvy",84,0,"ApproachesRightRoughRTPScore",2007
9,9,"Paul Stankowski",52,0.02,"ApproachesRightRoughRTPScore",2007
10,10,"Ken Duke",112,0.021,"ApproachesRightRoughRTPScore",2007
11,11,"John Daly",59,0.023,"ApproachesRightRoughRTPScore",2007
12,12,"Billy Mayfair",98,0.033,"ApproachesRightRoughRTPScore",2007
13,13,"John Senden",97,0.034,"ApproachesRightRoughRTPScore",2007
14,14,"Davis Love III",66,0.036,"ApproachesRightRoughRTPScore",2007
15,15,"Bubba Watson",80,0.042,"ApproachesRightRoughRTPScore",2007
16,16,"JJ Henry",86,0.043,"ApproachesRightRoughRTPScore",2007
17,17,"Brian Davis",101,0.047,"ApproachesRightRoughRTPScore",2007
17,17,"Carl Pettersson",111,0.047,"ApproachesRightRoughRTPScore",2007
19,19,"Aaron Baddeley",83,0.052,"ApproachesRightRoughRTPScore",2007
20,20,"Joe Ogilvie",102,0.053,"ApproachesRightRoughRTPScore",2007
21,21,"Anthony Kim",93,0.054,"ApproachesRightRoughRTPScore",2007
21,21,"Rory Sabbatini",81,0.054,"ApproachesRightRoughRTPScore",2007
23,23,"Robert Garrigus",95,0.056,"ApproachesRightRoughRTPScore",2007
23,23,"David Toms",80,0.056,"ApproachesRightRoughRTPScore",2007
25,25,"Chris Riley",59,0.058,"ApproachesRightRoughRTPScore",2007
25,25,"Vijay Singh",102,0.058,"ApproachesRightRoughRTPScore",2007
27,27,"Stewart Cink",91,0.06,"ApproachesRightRoughRTPScore",2007
28,28,"Mark Calcavecchia",93,0.061,"ApproachesRightRoughRTPScore",2007
28,28,"Stephen Leaney",82,0.061,"ApproachesRightRoughRTPScore",2007
30,30,"Nick OHern",72,0.063,"ApproachesRightRoughRTPScore",2007
30,30,"Bob Tway",103,0.063,"ApproachesRightRoughRTPScore",2007
32,32,"JB Holmes",71,0.064,"ApproachesRightRoughRTPScore",2007
33,33,"Brian Bateman",55,0.065,"ApproachesRightRoughRTPScore",2007
33,33,"Ted Purdy",102,0.065,"ApproachesRightRoughRTPScore",2007
35,35,"Daniel Chopra",106,0.067,"ApproachesRightRoughRTPScore",2007
36,36,"Ian Poulter",63,0.068,"ApproachesRightRoughRTPScore",2007
37,37,"Steve Allan",63,0.07,"ApproachesRightRoughRTPScore",2007
38,38,"Bubba Dickerson",51,0.074,"ApproachesRightRoughRTPScore",2007
38,38,"Arron Oberholser",69,0.074,"ApproachesRightRoughRTPScore",2007
38,38,"Kenny Perry",83,0.074,"ApproachesRightRoughRTPScore",2007
41,41,"Jesper Parnevik",88,0.075,"ApproachesRightRoughRTPScore",2007
42,42,"Jim Furyk",84,0.078,"ApproachesRightRoughRTPScore",2007
42,42,"Jeff Maggert",79,0.078,"ApproachesRightRoughRTPScore",2007
44,44,"Gavin Coles",87,0.08,"ApproachesRightRoughRTPScore",2007
44,44,"Sean OHair",98,0.08,"ApproachesRightRoughRTPScore",2007
46,46,"Jerry Kelly",101,0.082,"ApproachesRightRoughRTPScore",2007
47,47,"DJ Brigman",67,0.083,"ApproachesRightRoughRTPScore",2007
47,47,"Joe Durant",88,0.083,"ApproachesRightRoughRTPScore",2007
49,49,"Glen Day",85,0.084,"ApproachesRightRoughRTPScore",2007
50,50,"Steve Marino",106,0.085,"ApproachesRightRoughRTPScore",2007
51,51,"Tim Herron",98,0.086,"ApproachesRightRoughRTPScore",2007
52,52,"Justin Leonard",95,0.087,"ApproachesRightRoughRTPScore",2007
53,53,"Steve Stricker",81,0.089,"ApproachesRightRoughRTPScore",2007
54,54,"Jeff Brehaut",59,0.09,"ApproachesRightRoughRTPScore",2007
55,55,"Bo Van Pelt",104,0.091,"ApproachesRightRoughRTPScore",2007
56,56,"Brandt Snedeker",105,0.093,"ApproachesRightRoughRTPScore",2007
57,57,"Michael Putnam",96,0.094,"ApproachesRightRoughRTPScore",2007
58,58,"Justin Rose",63,0.096,"ApproachesRightRoughRTPScore",2007
59,59,"Sergio Garcia",68,0.097,"ApproachesRightRoughRTPScore",2007
60,60,"Mathew Goggin",97,0.098,"ApproachesRightRoughRTPScore",2007
60,60,"Pat Perez",84,0.098,"ApproachesRightRoughRTPScore",2007
62,62,"Charles Howell III",89,0.101,"ApproachesRightRoughRTPScore",2007
63,63,"Troy Matteson",87,0.102,"ApproachesRightRoughRTPScore",2007
64,64,"Stephen Ames",81,0.103,"ApproachesRightRoughRTPScore",2007
65,65,"Duffy Waldorf",69,0.104,"ApproachesRightRoughRTPScore",2007
66,66,"David Branshaw",83,0.105,"ApproachesRightRoughRTPScore",2007
66,66,"Matt Kuchar",85,0.105,"ApproachesRightRoughRTPScore",2007
66,66,"John Rollins",102,0.105,"ApproachesRightRoughRTPScore",2007
66,66,"Adam Scott",69,0.105,"ApproachesRightRoughRTPScore",2007
70,70,"Jarrod Lyle",77,0.106,"ApproachesRightRoughRTPScore",2007
71,71,"Scott Gutschewski",67,0.109,"ApproachesRightRoughRTPScore",2007
71,71,"John Merrick",92,0.109,"ApproachesRightRoughRTPScore",2007
71,71,"Heath Slocum",101,0.109,"ApproachesRightRoughRTPScore",2007
74,74,"George McNeill",95,0.11,"ApproachesRightRoughRTPScore",2007
75,75,"Kevin Na",84,0.111,"ApproachesRightRoughRTPScore",2007
76,76,"Jose Maria Olazabal",52,0.112,"ApproachesRightRoughRTPScore",2007
77,77,"Craig Bowden",78,0.113,"ApproachesRightRoughRTPScore",2007
77,77,"Cliff Kresge",107,0.113,"ApproachesRightRoughRTPScore",2007
77,77,"Ryan Palmer",91,0.113,"ApproachesRightRoughRTPScore",2007
80,80,"Chris Couch",76,0.114,"ApproachesRightRoughRTPScore",2007
80,80,"Vaughn Taylor",91,0.114,"ApproachesRightRoughRTPScore",2007
