"VictoryLeaders_RANKTHISWEEK_2005","VictoryLeaders_RANKLASTWEEK_2005","VictoryLeaders_PLAYERNAME_2005","VictoryLeaders_EVENTS_2005","VictoryLeaders_VICTORIES_2005","stat_name","year"
1,1,"Tiger Woods",21,6,"VictoryLeaders",2005
2,2,"Phil Mickelson",21,4,"VictoryLeaders",2005
2,2,"Vijay Singh",30,4,"VictoryLeaders",2005
4,4,"Bart Bryant",26,2,"VictoryLeaders",2005
4,4,"Padraig Harrington",15,2,"VictoryLeaders",2005
4,4,"Justin Leonard",24,2,"VictoryLeaders",2005
4,4,"Kenny Perry",23,2,"VictoryLeaders",2005
8,8,"Stuart Appleby",25,1,"VictoryLeaders",2005
8,8,"Jason Bohn",28,1,"VictoryLeaders",2005
8,8,"Olin Browne",29,1,"VictoryLeaders",2005
8,8,"Mark Calcavecchia",27,1,"VictoryLeaders",2005
8,8,"Michael Campbell",5,1,"VictoryLeaders",2005
8,8,"KJ Choi",24,1,"VictoryLeaders",2005
8,8,"Ben Crane",21,1,"VictoryLeaders",2005
8,8,"Brad Faxon",23,1,"VictoryLeaders",2005
8,8,"Fred Funk",30,1,"VictoryLeaders",2005
8,8,"Jim Furyk",26,1,"VictoryLeaders",2005
8,8,"Robert Gamez",28,1,"VictoryLeaders",2005
8,8,"Sergio Garcia",20,1,"VictoryLeaders",2005
8,8,"Lucas Glover",28,1,"VictoryLeaders",2005
8,8,"Retief Goosen",18,1,"VictoryLeaders",2005
8,8,"Jason Gore",8,1,"VictoryLeaders",2005
8,8,"Peter Lonard",27,1,"VictoryLeaders",2005
8,8,"Sean OHair",29,1,"VictoryLeaders",2005
8,8,"Geoff Ogilvy",26,1,"VictoryLeaders",2005
8,8,"Tim Petrovic",32,1,"VictoryLeaders",2005
8,8,"Carl Pettersson",34,1,"VictoryLeaders",2005
8,8,"Ted Purdy",34,1,"VictoryLeaders",2005
8,8,"Wes Short Jr",16,1,"VictoryLeaders",2005
8,8,"Heath Slocum",29,1,"VictoryLeaders",2005
8,8,"Vaughn Taylor",32,1,"VictoryLeaders",2005
8,8,"David Toms",25,1,"VictoryLeaders",2005
33,33,"Tommy Aaron",1,NA,"VictoryLeaders",2005
33,33,"Warren Abery",1,NA,"VictoryLeaders",2005
33,33,"Bob Ackerman",1,NA,"VictoryLeaders",2005
33,33,"Brad Adamonis",2,NA,"VictoryLeaders",2005
33,33,"Joe Affrunti",2,NA,"VictoryLeaders",2005
33,33,"Tony Aguilar",1,NA,"VictoryLeaders",2005
33,33,"Joseph Alfieri",0,NA,"VictoryLeaders",2005
