"RyderCupPoints_RANKTHISWEEK_2007","RyderCupPoints_RANKLASTWEEK_2007","RyderCupPoints_PLAYERNAME_2007","RyderCupPoints_EVENTS_2007","RyderCupPoints_POINTS_2007","stat_name","year"
1,1,"Tiger Woods",7,3430.627,"RyderCupPoints",2007
2,2,"Jim Furyk",9,1473.981,"RyderCupPoints",2007
3,3,"Zach Johnson",9,1416.393,"RyderCupPoints",2007
4,4,"Woody Austin",9,756,"RyderCupPoints",2007
5,5,"Stewart Cink",9,630.235,"RyderCupPoints",2007
6,6,"Joe Durant",12,585.713,"RyderCupPoints",2007
7,7,"Hunter Mahan",11,534.291,"RyderCupPoints",2007
8,8,"Jerry Kelly",12,525.231,"RyderCupPoints",2007
9,9,"David Toms",8,518.173,"RyderCupPoints",2007
10,10,"Steve Stricker",8,473.081,"RyderCupPoints",2007
11,11,"Scott Verplank",10,429.875,"RyderCupPoints",2007
12,12,"Ben Curtis",10,426.879,"RyderCupPoints",2007
13,13,"Troy Matteson",12,388.913,"RyderCupPoints",2007
14,14,"Arron Oberholser",9,384.061,"RyderCupPoints",2007
15,15,"Davis Love III",8,380.606,"RyderCupPoints",2007
16,16,"Lucas Glover",11,310.775,"RyderCupPoints",2007
17,17,"Boo Weekley",3,268.712,"RyderCupPoints",2007
18,18,"Eric Axley",12,252.5,"RyderCupPoints",2007
19,19,"Bubba Watson",9,248.948,"RyderCupPoints",2007
20,20,"Tom Pernice Jr",12,244.659,"RyderCupPoints",2007
21,21,"Frank Lickliter II",9,242.448,"RyderCupPoints",2007
22,22,"Brett Wetterich",10,237.417,"RyderCupPoints",2007
23,23,"Charles Howell III",12,237.167,"RyderCupPoints",2007
24,24,"JJ Henry",10,226.378,"RyderCupPoints",2007
25,25,"Lee Janzen",9,213.706,"RyderCupPoints",2007
26,26,"Brett Quigley",12,207.185,"RyderCupPoints",2007
27,27,"Kevin Sutherland",11,187.704,"RyderCupPoints",2007
28,28,"Mark Calcavecchia",10,186.324,"RyderCupPoints",2007
29,29,"Vaughn Taylor",9,181.25,"RyderCupPoints",2007
30,30,"Jonathan Byrd",9,173.787,"RyderCupPoints",2007
31,31,"Bart Bryant",9,169.75,"RyderCupPoints",2007
32,32,"Pat Perez",6,167.977,"RyderCupPoints",2007
33,33,"Nick Watney",11,165.402,"RyderCupPoints",2007
34,34,"Ken Duke",2,153.505,"RyderCupPoints",2007
34,34,"Brandt Snedeker",2,153.505,"RyderCupPoints",2007
36,36,"Will Ma Kenzie",9,149.4,"RyderCupPoints",2007
37,37,"Paul Goydos",11,146.6,"RyderCupPoints",2007
38,38,"Dean Wilson",11,138.034,"RyderCupPoints",2007
39,39,"Jason Bohn",7,135,"RyderCupPoints",2007
39,39,"DJ Trahan",9,135,"RyderCupPoints",2007
41,41,"Jeff Brehaut",11,128.88,"RyderCupPoints",2007
42,42,"Sean OHair",9,126.108,"RyderCupPoints",2007
43,43,"Steve Flesch",8,123.5,"RyderCupPoints",2007
44,44,"Shaun Micheel",10,116.115,"RyderCupPoints",2007
45,45,"John Rollins",11,115.546,"RyderCupPoints",2007
46,46,"Ryan Moore",9,110.014,"RyderCupPoints",2007
47,47,"Charley Hoffman",10,109.352,"RyderCupPoints",2007
48,48,"Brian Bateman",10,108.736,"RyderCupPoints",2007
49,49,"Rich Beem",11,103.197,"RyderCupPoints",2007
50,50,"Anthony Kim",4,101.436,"RyderCupPoints",2007
51,51,"Phil Mickelson",5,98.55,"RyderCupPoints",2007
52,52,"Bob Estes",8,98.371,"RyderCupPoints",2007
53,53,"Chris DiMarco",9,98.128,"RyderCupPoints",2007
54,54,"Ben Crane",7,88,"RyderCupPoints",2007
55,55,"Heath Slocum",7,79.75,"RyderCupPoints",2007
56,56,"Ted Purdy",10,77.975,"RyderCupPoints",2007
57,57,"Fred Funk",9,64.813,"RyderCupPoints",2007
58,58,"Joe Ogilvie",6,51,"RyderCupPoints",2007
58,58,"Kenny Perry",5,51,"RyderCupPoints",2007
60,60,"Robert Garrigus",8,50.6,"RyderCupPoints",2007
61,61,"Ryan Palmer",8,50,"RyderCupPoints",2007
62,62,"DJ Brigman",1,45.313,"RyderCupPoints",2007
63,63,"Tim Herron",8,45.2,"RyderCupPoints",2007
64,64,"Olin Browne",10,44.516,"RyderCupPoints",2007
65,65,"Harrison Frazar",8,43.371,"RyderCupPoints",2007
66,66,"Fred Couples",3,43.085,"RyderCupPoints",2007
67,67,"Steve Lowery",7,42.375,"RyderCupPoints",2007
68,68,"Marco Dawson",10,40.394,"RyderCupPoints",2007
69,69,"Kent Jones",8,38.525,"RyderCupPoints",2007
69,69,"Charles Warren",5,38.525,"RyderCupPoints",2007
71,71,"Chris Riley",8,38,"RyderCupPoints",2007
72,72,"Tom Lehman",5,37.986,"RyderCupPoints",2007
73,73,"Brian Gay",9,37.1,"RyderCupPoints",2007
74,74,"JP Hayes",7,36,"RyderCupPoints",2007
75,75,"John Daly",6,34.75,"RyderCupPoints",2007
76,76,"Chad Campbell",10,32.584,"RyderCupPoints",2007
77,77,"Bubba Dickerson",9,32.25,"RyderCupPoints",2007
78,78,"Billy Mayfair",9,30.12,"RyderCupPoints",2007
79,79,"Briny Baird",6,28.75,"RyderCupPoints",2007
79,79,"Jeff Overton",9,28.75,"RyderCupPoints",2007
81,81,"Joey Sindelar",8,28,"RyderCupPoints",2007
81,81,"Ron Whittaker",9,28,"RyderCupPoints",2007
83,83,"Glen Day",2,27.375,"RyderCupPoints",2007
83,83,"Bo Van Pelt",8,27.375,"RyderCupPoints",2007
85,85,"John Cook",6,26.344,"RyderCupPoints",2007
86,86,"Kevin Stadler",2,24.936,"RyderCupPoints",2007
87,87,"Mark OMeara",6,21.594,"RyderCupPoints",2007
88,88,"Robert Damron",9,19.5,"RyderCupPoints",2007
88,88,"Jason Gore",6,19.5,"RyderCupPoints",2007
90,90,"Michael Putnam",2,18.829,"RyderCupPoints",2007
91,91,"Jeff Sluman",10,18.56,"RyderCupPoints",2007
91,91,"Craig Stadler",1,18.56,"RyderCupPoints",2007
93,93,"Jason Dufner",1,16.647,"RyderCupPoints",2007
94,94,"Ben Crenshaw",1,16.53,"RyderCupPoints",2007
95,95,"George McNeill",1,16.363,"RyderCupPoints",2007
96,96,"Fuzzy Zoeller",1,15.95,"RyderCupPoints",2007
97,97,"Bob Tway",7,15.236,"RyderCupPoints",2007
98,98,"Corey Pavin",4,13.65,"RyderCupPoints",2007
99,99,"Todd Hamilton",10,13.3,"RyderCupPoints",2007
100,100,"Mike Small",5,13.05,"RyderCupPoints",2007
101,101,"Ryan Benzel",1,12.9,"RyderCupPoints",2007
