"GoodDrivePercentage_RANKTHISWEEK_2015","GoodDrivePercentage_RANKLASTWEEK_2015","GoodDrivePercentage_PLAYERNAME_2015","GoodDrivePercentage_ROUNDS_2015","GoodDrivePercentage_Pct_2015","GoodDrivePercentage_HIT_2015","GoodDrivePercentage_TOTALATTEMPTS_2015","stat_name","year"
1,1,"Francesco Molinari",56,89.65,667,744,"GoodDrivePercentage",2015
2,2,"Will Wilcox",58,88.77,664,748,"GoodDrivePercentage",2015
3,3,"David Toms",62,88.24,713,808,"GoodDrivePercentage",2015
4,4,"Nicholas Thompson",90,88.12,1053,1195,"GoodDrivePercentage",2015
5,5,"Henrik Stenson",63,88.03,743,844,"GoodDrivePercentage",2015
6,6,"John Peterson",84,87.86,1028,1170,"GoodDrivePercentage",2015
7,7,"Chez Reavie",56,87.55,682,779,"GoodDrivePercentage",2015
8,8,"Jason Bohn",95,87,1151,1323,"GoodDrivePercentage",2015
9,9,"Kevin Streelman",95,86.9,1108,1275,"GoodDrivePercentage",2015
10,10,"William McGirt",103,86.58,1245,1438,"GoodDrivePercentage",2015
11,11,"Derek Ernst",75,86.51,853,986,"GoodDrivePercentage",2015
12,12,"Jerry Kelly",79,86.36,950,1100,"GoodDrivePercentage",2015
13,13,"Bill Haas",89,86.15,1039,1206,"GoodDrivePercentage",2015
14,14,"Spencer Levin",99,86.14,1162,1349,"GoodDrivePercentage",2015
15,15,"Zach Johnson",90,86.13,1056,1226,"GoodDrivePercentage",2015
16,16,"Jim Herman",88,86.07,1057,1228,"GoodDrivePercentage",2015
17,17,"Colt Knost",90,85.95,1028,1196,"GoodDrivePercentage",2015
18,18,"Brendon de Jonge",106,85.9,1267,1475,"GoodDrivePercentage",2015
19,19,"Steven Alker",62,85.77,717,836,"GoodDrivePercentage",2015
20,20,"Zac Blair",108,85.71,1242,1449,"GoodDrivePercentage",2015
20,20,"Bryce Molder",91,85.71,1038,1211,"GoodDrivePercentage",2015
22,22,"Blayne Barber",76,85.65,883,1031,"GoodDrivePercentage",2015
22,22,"Jim Furyk",71,85.65,770,899,"GoodDrivePercentage",2015
24,24,"John Senden",80,85.62,905,1057,"GoodDrivePercentage",2015
25,25,"Webb Simpson",81,85.52,939,1098,"GoodDrivePercentage",2015
26,26,"Jason Gore",76,85.47,859,1005,"GoodDrivePercentage",2015
26,26,"John Huh",102,85.47,1200,1404,"GoodDrivePercentage",2015
28,28,"Stewart Cink",77,85.38,923,1081,"GoodDrivePercentage",2015
29,29,"Cameron Tringale",96,85.22,1147,1346,"GoodDrivePercentage",2015
30,30,"Brian Stuard",97,85.2,1105,1297,"GoodDrivePercentage",2015
31,31,"Brendon Todd",96,85.16,1113,1307,"GoodDrivePercentage",2015
32,32,"Pat Perez",96,85.09,1141,1341,"GoodDrivePercentage",2015
33,33,"Jonathan Byrd",69,85.07,769,904,"GoodDrivePercentage",2015
34,34,"George McNeill",93,84.98,1103,1298,"GoodDrivePercentage",2015
35,35,"Justin Leonard",61,84.91,726,855,"GoodDrivePercentage",2015
35,35,"Boo Weekley",79,84.91,934,1100,"GoodDrivePercentage",2015
37,37,"Jason Day",75,84.89,865,1019,"GoodDrivePercentage",2015
38,38,"Russell Knox",96,84.81,1139,1343,"GoodDrivePercentage",2015
38,38,"Hudson Swafford",97,84.81,1122,1323,"GoodDrivePercentage",2015
40,40,"John Merrick",78,84.74,872,1029,"GoodDrivePercentage",2015
40,40,"Brendan Steele",88,84.74,994,1173,"GoodDrivePercentage",2015
42,42,"Chad Campbell",97,84.69,1145,1352,"GoodDrivePercentage",2015
43,43,"Kevin Kisner",104,84.66,1231,1454,"GoodDrivePercentage",2015
44,44,"Geoff Ogilvy",50,84.63,578,683,"GoodDrivePercentage",2015
45,45,"Billy Hurley III",83,84.59,928,1097,"GoodDrivePercentage",2015
46,46,"Jason Dufner",76,84.54,864,1022,"GoodDrivePercentage",2015
47,47,"Paul Casey",87,84.42,975,1155,"GoodDrivePercentage",2015
47,47,"Johnson Wagner",68,84.42,802,950,"GoodDrivePercentage",2015
49,49,"Jon Curran",83,84.41,926,1097,"GoodDrivePercentage",2015
50,50,"Hideki Matsuyama",95,84.37,1085,1286,"GoodDrivePercentage",2015
51,51,"David Lingmerth",90,84.34,1066,1264,"GoodDrivePercentage",2015
52,52,"Ken Duke",93,84.32,1043,1237,"GoodDrivePercentage",2015
53,53,"Martin Flores",95,84.21,1067,1267,"GoodDrivePercentage",2015
54,54,"Ryan Moore",81,84.2,922,1095,"GoodDrivePercentage",2015
54,54,"Shawn Stefani",94,84.2,1103,1310,"GoodDrivePercentage",2015
56,56,"Kevin Chappell",86,84.18,1011,1201,"GoodDrivePercentage",2015
56,56,"Lucas Glover",79,84.18,926,1100,"GoodDrivePercentage",2015
58,58,"Davis Love III",51,84.01,599,713,"GoodDrivePercentage",2015
59,59,"David Hearn",97,84,1139,1356,"GoodDrivePercentage",2015
60,60,"Adam Hadwin",95,83.99,1086,1293,"GoodDrivePercentage",2015
61,61,"Justin Rose",69,83.98,781,930,"GoodDrivePercentage",2015
62,62,"Heath Slocum",57,83.88,619,738,"GoodDrivePercentage",2015
63,63,"Nick Watney",91,83.86,1060,1264,"GoodDrivePercentage",2015
64,64,"Matt Kuchar",97,83.85,1106,1319,"GoodDrivePercentage",2015
65,65,"Sam Saunders",83,83.82,943,1125,"GoodDrivePercentage",2015
66,66,"Russell Henley",87,83.8,993,1185,"GoodDrivePercentage",2015
67,67,"Mark Hubbard",79,83.77,898,1072,"GoodDrivePercentage",2015
68,68,"Ben Crane",62,83.74,680,812,"GoodDrivePercentage",2015
68,68,"Michael Putnam",87,83.74,989,1181,"GoodDrivePercentage",2015
70,70,"Ben Martin",93,83.65,1064,1272,"GoodDrivePercentage",2015
71,71,"Oscar Fraustro",58,83.62,628,751,"GoodDrivePercentage",2015
72,72,"Graham DeLaet",65,83.55,762,912,"GoodDrivePercentage",2015
73,73,"Brian Harman",90,83.45,1054,1263,"GoodDrivePercentage",2015
73,73,"Danny Lee",120,83.45,1397,1674,"GoodDrivePercentage",2015
75,75,"Bill Lunde",50,83.44,534,640,"GoodDrivePercentage",2015
76,76,"SJ Park",79,83.43,891,1068,"GoodDrivePercentage",2015
77,77,"Scott Brown",97,83.42,1127,1351,"GoodDrivePercentage",2015
78,78,"Chris Stroud",84,83.39,979,1174,"GoodDrivePercentage",2015
79,79,"Greg Owen",58,83.31,679,815,"GoodDrivePercentage",2015
