"FirstTeeLateRound1ScoringAverage_RANKTHISWEEK_2015","FirstTeeLateRound1ScoringAverage_RANKLASTWEEK_2015","FirstTeeLateRound1ScoringAverage_PLAYERNAME_2015","FirstTeeLateRound1ScoringAverage__2015","FirstTeeLateRound1ScoringAverage_AVG_2015","FirstTeeLateRound1ScoringAverage_TOTALSTROKES_2015","FirstTeeLateRound1ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Bubba Watson",NA,67,469,7,"FirstTeeLateRound1ScoringAverage",2015
2,2,"Harris English",NA,67.89,611,9,"FirstTeeLateRound1ScoringAverage",2015
3,3,"Sergio Garcia",NA,68,204,3,"FirstTeeLateRound1ScoringAverage",2015
4,4,"Aaron Baddeley",NA,68.33,410,6,"FirstTeeLateRound1ScoringAverage",2015
4,4,"Mark Wilson",NA,68.33,205,3,"FirstTeeLateRound1ScoringAverage",2015
6,6,"Michael Thompson",NA,68.43,479,7,"FirstTeeLateRound1ScoringAverage",2015
7,7,"Ricky Barnes",NA,68.5,274,4,"FirstTeeLateRound1ScoringAverage",2015
7,7,"Paul Casey",NA,68.5,274,4,"FirstTeeLateRound1ScoringAverage",2015
7,7,"Jonathan Randolph",NA,68.5,411,6,"FirstTeeLateRound1ScoringAverage",2015
10,10,"Alex Prugh",NA,68.67,412,6,"FirstTeeLateRound1ScoringAverage",2015
11,11,"Bryce Molder",NA,68.75,275,4,"FirstTeeLateRound1ScoringAverage",2015
12,12,"Mark Hubbard",NA,68.8,344,5,"FirstTeeLateRound1ScoringAverage",2015
12,12,"John Peterson",NA,68.8,344,5,"FirstTeeLateRound1ScoringAverage",2015
14,14,"Stewart Cink",NA,69,414,6,"FirstTeeLateRound1ScoringAverage",2015
14,14,"Hideki Matsuyama",NA,69,414,6,"FirstTeeLateRound1ScoringAverage",2015
16,16,"Jordan Spieth",NA,69.09,760,11,"FirstTeeLateRound1ScoringAverage",2015
17,17,"Chris Stroud",NA,69.2,346,5,"FirstTeeLateRound1ScoringAverage",2015
18,18,"Kevin Na",NA,69.25,277,4,"FirstTeeLateRound1ScoringAverage",2015
19,19,"Patrick Rodgers",NA,69.33,416,6,"FirstTeeLateRound1ScoringAverage",2015
