"GIRPctFairwayBunker_RANKTHISWEEK_2009","GIRPctFairwayBunker_RANKLASTWEEK_2009","GIRPctFairwayBunker_PLAYERNAME_2009","GIRPctFairwayBunker_ROUNDS_2009","GIRPctFairwayBunker_Pct_2009","GIRPctFairwayBunker_GREENSHIT_2009","GIRPctFairwayBunker_HOLES_2009","GIRPctFairwayBunker_RELATIVEPAR_2009","stat_name","year"
115,115,"Chris DiMarco",97,41.1,30,73,-8,"GIRPctFairwayBunker",2009
115,115,"Kevin Streelman",97,41.1,30,73,-2,"GIRPctFairwayBunker",2009
117,117,"Marc Turnesa",77,41,16,39,0,"GIRPctFairwayBunker",2009
118,118,"Cliff Kresge",78,40.8,20,49,-5,"GIRPctFairwayBunker",2009
119,119,"Heath Slocum",95,40.7,24,59,-3,"GIRPctFairwayBunker",2009
120,120,"John Senden",100,40.6,28,69,-3,"GIRPctFairwayBunker",2009
121,121,"Phil Mickelson",66,40.5,17,42,-4,"GIRPctFairwayBunker",2009
121,121,"Matt Weibring",65,40.5,17,42,0,"GIRPctFairwayBunker",2009
123,123,"Geoff Ogilvy",78,40.4,23,57,-6,"GIRPctFairwayBunker",2009
124,124,"Bob Heintz",59,40,16,40,0,"GIRPctFairwayBunker",2009
125,125,"Zach Johnson",94,39.7,23,58,-3,"GIRPctFairwayBunker",2009
126,126,"Cameron Beckman",87,39.3,22,56,-3,"GIRPctFairwayBunker",2009
126,126,"Tag Ridings",50,39.3,11,28,-1,"GIRPctFairwayBunker",2009
128,128,"Tim Herron",87,39.1,27,69,-8,"GIRPctFairwayBunker",2009
128,128,"Jeff Klauk",97,39.1,27,69,-6,"GIRPctFairwayBunker",2009
130,130,"Kevin Sutherland",96,39,30,77,-7,"GIRPctFairwayBunker",2009
131,131,"Glen Day",79,38.9,14,36,-1,"GIRPctFairwayBunker",2009
131,131,"Hunter Mahan",94,38.9,28,72,-5,"GIRPctFairwayBunker",2009
133,133,"Justin Leonard",95,38.8,19,49,0,"GIRPctFairwayBunker",2009
134,134,"Robert Garrigus",83,38.7,24,62,-2,"GIRPctFairwayBunker",2009
134,134,"JJ Henry",97,38.7,29,75,-5,"GIRPctFairwayBunker",2009
134,134,"Kenny Perry",92,38.7,24,62,-9,"GIRPctFairwayBunker",2009
137,137,"Kent Jones",73,38.6,17,44,-1,"GIRPctFairwayBunker",2009
138,138,"John Rollins",92,38.3,23,60,-6,"GIRPctFairwayBunker",2009
139,139,"Brett Quigley",92,38.2,21,55,-3,"GIRPctFairwayBunker",2009
140,140,"Padraig Harrington",66,37.8,17,45,-2,"GIRPctFairwayBunker",2009
141,141,"Eric Axley",71,37.7,20,53,0,"GIRPctFairwayBunker",2009
141,141,"Bill Lunde",83,37.7,20,53,-2,"GIRPctFairwayBunker",2009
141,141,"Joe Ogilvie",85,37.7,26,69,-4,"GIRPctFairwayBunker",2009
144,144,"Luke Donald",79,37.5,24,64,-7,"GIRPctFairwayBunker",2009
144,144,"Lucas Glover",93,37.5,21,56,-6,"GIRPctFairwayBunker",2009
144,144,"Anthony Kim",76,37.5,21,56,-4,"GIRPctFairwayBunker",2009
147,147,"Mathew Goggin",76,37.2,16,43,2,"GIRPctFairwayBunker",2009
148,148,"Robert Allenby",71,37,17,46,-1,"GIRPctFairwayBunker",2009
149,149,"Kevin Stadler",65,36.6,15,41,-2,"GIRPctFairwayBunker",2009
150,150,"Kris Blanks",60,36.4,16,44,-5,"GIRPctFairwayBunker",2009
150,150,"Angel Cabrera",55,36.4,12,33,1,"GIRPctFairwayBunker",2009
150,150,"Martin Laird",72,36.4,16,44,2,"GIRPctFairwayBunker",2009
153,153,"Nick OHern",90,36.1,22,61,-2,"GIRPctFairwayBunker",2009
154,154,"Lee Janzen",74,36,18,50,1,"GIRPctFairwayBunker",2009
155,155,"Chez Reavie",81,35.8,19,53,-1,"GIRPctFairwayBunker",2009
156,156,"Pat Perez",74,35.7,20,56,-1,"GIRPctFairwayBunker",2009
157,157,"Bubba Watson",73,35.6,16,45,-4,"GIRPctFairwayBunker",2009
158,158,"Peter Tomasulo",61,35.5,11,31,4,"GIRPctFairwayBunker",2009
159,159,"Brian Davis",103,35.3,24,68,-5,"GIRPctFairwayBunker",2009
159,159,"Bob Estes",78,35.3,18,51,-2,"GIRPctFairwayBunker",2009
159,159,"Bryce Molder",69,35.3,12,34,-3,"GIRPctFairwayBunker",2009
162,162,"Brad Faxon",59,35.1,13,37,-4,"GIRPctFairwayBunker",2009
162,162,"Aron Price",89,35.1,20,57,-5,"GIRPctFairwayBunker",2009
164,164,"Boo Weekley",79,35,14,40,-6,"GIRPctFairwayBunker",2009
165,165,"Derek Fathauer",63,34.8,16,46,-6,"GIRPctFairwayBunker",2009
166,166,"Retief Goosen",74,34.5,19,55,-5,"GIRPctFairwayBunker",2009
167,167,"Rocco Mediate",79,34.1,15,44,-2,"GIRPctFairwayBunker",2009
168,168,"DA Points",99,33.8,22,65,-3,"GIRPctFairwayBunker",2009
169,169,"Ken Duke",87,33.3,22,66,-4,"GIRPctFairwayBunker",2009
170,170,"Sean OHair",80,32.7,17,52,0,"GIRPctFairwayBunker",2009
171,171,"Bart Bryant",58,32.3,10,31,-2,"GIRPctFairwayBunker",2009
172,172,"Steve Lowery",83,32,16,50,-1,"GIRPctFairwayBunker",2009
173,173,"Brian Gay",96,31.3,15,48,-6,"GIRPctFairwayBunker",2009
174,174,"Todd Hamilton",83,31.1,14,45,-3,"GIRPctFairwayBunker",2009
175,175,"Darron Stiles",52,30.8,8,26,1,"GIRPctFairwayBunker",2009
176,176,"Vaughn Taylor",88,30.6,15,49,-1,"GIRPctFairwayBunker",2009
177,177,"Jeff Quinney",78,29.5,13,44,-2,"GIRPctFairwayBunker",2009
178,178,"Patrick Sheehan",51,28.6,6,21,-1,"GIRPctFairwayBunker",2009
179,179,"Tiger Woods",64,25.7,9,35,-2,"GIRPctFairwayBunker",2009
180,180,"Mark Brooks",55,23.5,4,17,-1,"GIRPctFairwayBunker",2009
181,181,"James Nitties",86,22,13,59,-4,"GIRPctFairwayBunker",2009
182,182,"Richard Johnson",85,20,8,40,-3,"GIRPctFairwayBunker",2009
182,182,"Brian Vranesh",51,20,4,20,1,"GIRPctFairwayBunker",2009
184,184,"Corey Pavin",73,15.4,4,26,-1,"GIRPctFairwayBunker",2009
