"PuttingAverage_RANKTHISWEEK_2008","PuttingAverage_RANKLASTWEEK_2008","PuttingAverage_PLAYERNAME_2008","PuttingAverage_ROUNDS_2008","PuttingAverage_AVG_2008","PuttingAverage_GIRPUTTS_2008","PuttingAverage_GREENSHIT_2008","PuttingAverage_BIRDIECONVERSION_2008","PuttingAverage_GIRRANK_2008","stat_name","year"
1,1,"Bob Tway",70,1.718,1333,776,32.56,33,"PuttingAverage",2008
2,2,"Ryan Palmer",69,1.72,1302,757,34.39,51,"PuttingAverage",2008
3,3,"Daniel Chopra",84,1.729,1544,893,31.19,189,"PuttingAverage",2008
4,4,"Nathan Green",95,1.741,1781,1023,32.13,188,"PuttingAverage",2008
5,5,"Aaron Baddeley",76,1.742,1420,815,30.59,166,"PuttingAverage",2008
5,5,"Padraig Harrington",52,1.742,951,546,32.48,186,"PuttingAverage",2008
7,7,"Brian Gay",102,1.743,1879,1078,29.71,129,"PuttingAverage",2008
8,8,"Justin Leonard",101,1.747,1990,1139,29.17,54,"PuttingAverage",2008
9,9,"John Mallinger",95,1.748,1818,1040,29.26,185,"PuttingAverage",2008
10,10,"Corey Pavin",69,1.749,1186,678,29.25,196,"PuttingAverage",2008
11,11,"Chad Collins",72,1.75,1265,723,29.09,183,"PuttingAverage",2008
11,11,"Jeff Quinney",87,1.75,1694,968,29.4,172,"PuttingAverage",2008
13,13,"Shane Bertsch",96,1.752,1939,1107,29.11,122,"PuttingAverage",2008
13,13,"Ken Duke",116,1.752,2371,1353,30.47,104,"PuttingAverage",2008
15,15,"Joe Ogilvie",100,1.756,1946,1108,30.38,119,"PuttingAverage",2008
15,15,"Camilo Villegas",79,1.756,1593,907,31.86,111,"PuttingAverage",2008
17,17,"Kevin Na",97,1.757,1950,1110,29.8,133,"PuttingAverage",2008
18,18,"Ben Crane",86,1.758,1790,1018,29.92,73,"PuttingAverage",2008
18,18,"Ryuji Imada",80,1.758,1554,884,29.37,176,"PuttingAverage",2008
18,18,"Parker McLachlin",88,1.758,1661,945,29.15,159,"PuttingAverage",2008
18,18,"Marc Turnesa",87,1.758,1667,948,29.92,137,"PuttingAverage",2008
22,22,"Stuart Appleby",87,1.761,1648,936,29.55,168,"PuttingAverage",2008
22,22,"Tim Clark",90,1.761,1794,1019,29.79,131,"PuttingAverage",2008
22,22,"Craig Kanada",65,1.761,1169,664,27.86,158,"PuttingAverage",2008
22,22,"Phil Mickelson",80,1.761,1627,924,31.42,70,"PuttingAverage",2008
26,26,"Marco Dawson",64,1.762,1082,614,28.76,182,"PuttingAverage",2008
26,26,"Anthony Kim",81,1.762,1690,959,30.09,71,"PuttingAverage",2008
26,26,"Mike Weir",88,1.762,1783,1012,28.44,109,"PuttingAverage",2008
29,29,"Eric Axley",113,1.763,2116,1200,29.63,180,"PuttingAverage",2008
29,29,"Nick OHern",82,1.763,1634,927,27.83,116,"PuttingAverage",2008
29,29,"Carl Pettersson",110,1.763,2218,1258,29,134,"PuttingAverage",2008
32,32,"Stewart Cink",87,1.765,1723,976,30.15,41,"PuttingAverage",2008
32,32,"Mark Wilson",107,1.765,2275,1289,29.09,42,"PuttingAverage",2008
34,34,"Jason Day",81,1.766,1687,955,28.66,80,"PuttingAverage",2008
34,34,"Brenden Pappas",66,1.766,1245,705,29.34,88,"PuttingAverage",2008
36,36,"Steve Elkington",84,1.767,1790,1013,28.92,40,"PuttingAverage",2008
36,36,"Dudley Hart",74,1.767,1472,833,28.45,64,"PuttingAverage",2008
36,36,"Freddie Jacobson",78,1.767,1534,868,28.64,171,"PuttingAverage",2008
36,36,"Frank Lickliter II",107,1.767,2177,1232,29.43,124,"PuttingAverage",2008
36,36,"Vaughn Taylor",103,1.767,2145,1214,29.54,81,"PuttingAverage",2008
36,36,"David Toms",70,1.767,1410,798,28.3,90,"PuttingAverage",2008
42,42,"Chad Campbell",94,1.769,2048,1158,29.58,13,"PuttingAverage",2008
42,42,"Alejandro Canizares",52,1.769,874,494,28.8,161,"PuttingAverage",2008
44,44,"Michael Letzig",88,1.77,1694,957,31.34,143,"PuttingAverage",2008
45,45,"Bill Haas",99,1.771,2062,1164,29.11,20,"PuttingAverage",2008
45,45,"Martin Laird",98,1.771,1966,1110,31.26,38,"PuttingAverage",2008
47,47,"Ryan Moore",72,1.773,1418,800,30.04,173,"PuttingAverage",2008
47,47,"Tom Pernice Jr",104,1.773,2128,1200,28.99,120,"PuttingAverage",2008
47,47,"Scott Verplank",82,1.773,1683,949,28.69,94,"PuttingAverage",2008
50,50,"Stephen Ames",83,1.774,1703,960,27.8,96,"PuttingAverage",2008
51,51,"Cameron Beckman",87,1.775,1661,936,29.01,69,"PuttingAverage",2008
51,51,"Brian Davis",108,1.775,2251,1268,29.17,89,"PuttingAverage",2008
53,53,"Jonathan Byrd",88,1.776,1712,964,29.31,149,"PuttingAverage",2008
53,53,"James Driscoll",85,1.776,1643,925,28.77,95,"PuttingAverage",2008
53,53,"Jason Gore",94,1.776,2014,1134,30.14,39,"PuttingAverage",2008
53,53,"Greg Kraft",63,1.776,1046,589,28.86,191,"PuttingAverage",2008
53,53,"Jesper Parnevik",88,1.776,1634,920,31.2,184,"PuttingAverage",2008
58,58,"Tim Herron",97,1.777,1852,1042,28.56,163,"PuttingAverage",2008
58,58,"Chris Riley",51,1.777,851,479,26.62,169,"PuttingAverage",2008
58,58,"Andres Romero",69,1.777,1260,709,29.36,194,"PuttingAverage",2008
58,58,"Patrick Sheehan",124,1.777,2404,1353,27.24,104,"PuttingAverage",2008
58,58,"Dean Wilson",109,1.777,2204,1240,28.21,77,"PuttingAverage",2008
63,63,"Kenny Perry",97,1.778,2095,1178,29.81,30,"PuttingAverage",2008
63,63,"Brett Rumford",72,1.778,1339,753,28.95,175,"PuttingAverage",2008
65,65,"Ben Curtis",80,1.779,1544,868,26.21,137,"PuttingAverage",2008
66,66,"Mark Hensby",71,1.78,1458,819,30.07,121,"PuttingAverage",2008
66,66,"Pat Perez",93,1.78,1972,1108,29.83,43,"PuttingAverage",2008
66,66,"Brandt Snedeker",85,1.78,1705,958,27.72,140,"PuttingAverage",2008
66,66,"Jimmy Walker",73,1.78,1314,738,28.03,147,"PuttingAverage",2008
70,70,"KJ Choi",74,1.781,1469,825,27.76,81,"PuttingAverage",2008
70,70,"Jeff Overton",103,1.781,2036,1143,29.56,118,"PuttingAverage",2008
70,70,"Tim Petrovic",97,1.781,1802,1012,29.18,144,"PuttingAverage",2008
70,70,"Kevin Sutherland",98,1.781,2143,1203,28,17,"PuttingAverage",2008
74,74,"Richard Johnson",77,1.782,1406,789,28.37,195,"PuttingAverage",2008
74,74,"Steve Marino",119,1.782,2521,1415,29.09,15,"PuttingAverage",2008
74,74,"Tim Wilkinson",95,1.782,1825,1024,26.76,85,"PuttingAverage",2008
77,77,"Ryan Armour",87,1.783,1747,980,28.12,78,"PuttingAverage",2008
77,77,"John Huston",56,1.783,1173,658,29.98,4,"PuttingAverage",2008
77,77,"Dustin Johnson",92,1.783,1881,1055,29.59,129,"PuttingAverage",2008
77,77,"George McNeill",97,1.783,2131,1195,28.97,13,"PuttingAverage",2008
77,77,"Kevin Streelman",114,1.783,2338,1311,28.81,31,"PuttingAverage",2008
82,82,"Glen Day",64,1.784,1199,672,26.19,117,"PuttingAverage",2008
82,82,"Rod Pampling",83,1.784,1634,916,28.15,131,"PuttingAverage",2008
84,84,"Steve Stricker",75,1.785,1476,827,26.89,127,"PuttingAverage",2008
85,85,"Brad Adamonis",87,1.786,1757,984,27.83,68,"PuttingAverage",2008
85,85,"Michael Allen",91,1.786,1950,1092,28.35,53,"PuttingAverage",2008
85,85,"Johnson Wagner",83,1.786,1584,887,29.2,174,"PuttingAverage",2008
88,88,"Mathew Goggin",91,1.787,1978,1107,27.55,29,"PuttingAverage",2008
88,88,"Todd Hamilton",92,1.787,1864,1043,26.39,150,"PuttingAverage",2008
88,88,"Kent Jones",68,1.787,1390,778,27.74,6,"PuttingAverage",2008
88,88,"Kevin Stadler",90,1.787,1717,961,29.42,93,"PuttingAverage",2008
88,88,"Charlie Wi",97,1.787,2073,1160,27.81,59,"PuttingAverage",2008
93,93,"Carlos Franco",73,1.788,1441,806,28.73,47,"PuttingAverage",2008
93,93,"Jim Furyk",95,1.788,2020,1130,26.93,48,"PuttingAverage",2008
93,93,"Brett Quigley",80,1.788,1620,906,26.3,112,"PuttingAverage",2008
96,96,"Tommy Armour III",77,1.789,1564,874,28.1,56,"PuttingAverage",2008
96,96,"Steve Flesch",95,1.789,1977,1105,28.44,109,"PuttingAverage",2008
96,96,"Matt Kuchar",88,1.789,1687,943,25.45,126,"PuttingAverage",2008
96,96,"Ian Poulter",51,1.789,943,527,26.1,190,"PuttingAverage",2008
100,100,"Zach Johnson",85,1.79,1829,1022,26.37,28,"PuttingAverage",2008
100,100,"Scott McCarron",63,1.79,1316,735,28.34,103,"PuttingAverage",2008
100,100,"Tag Ridings",88,1.79,1813,1013,30.5,125,"PuttingAverage",2008
100,100,"DJ Trahan",94,1.79,2007,1121,28.44,62,"PuttingAverage",2008
104,104,"Rich Beem",90,1.791,1929,1077,27.79,57,"PuttingAverage",2008
104,104,"Gavin Coles",54,1.791,996,556,25.59,35,"PuttingAverage",2008
104,104,"Geoff Ogilvy",65,1.791,1277,713,25.98,169,"PuttingAverage",2008
107,107,"Sergio Garcia",72,1.792,1514,845,28.11,37,"PuttingAverage",2008
