"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2015","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2015","FirstTeeEarlyScoringAverage_PLAYERNAME_2015","FirstTeeEarlyScoringAverage_ROUNDS_2015","FirstTeeEarlyScoringAverage_AVG_2015","FirstTeeEarlyScoringAverage_TOTALSTROKES_2015","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2015","stat_name","year"
1,1,"Dustin Johnson",75,67.87,1018,15,"FirstTeeEarlyScoringAverage",2015
2,2,"Will Wilcox",58,68.72,1237,18,"FirstTeeEarlyScoringAverage",2015
3,3,"Jason Day",75,68.83,826,12,"FirstTeeEarlyScoringAverage",2015
4,4,"Johnson Wagner",68,69,966,14,"FirstTeeEarlyScoringAverage",2015
5,5,"Jerry Kelly",79,69.04,1864,27,"FirstTeeEarlyScoringAverage",2015
6,6,"Chez Reavie",56,69.05,1312,19,"FirstTeeEarlyScoringAverage",2015
7,7,"Jonathan Byrd",69,69.07,1036,15,"FirstTeeEarlyScoringAverage",2015
8,8,"Jim Herman",88,69.09,1589,23,"FirstTeeEarlyScoringAverage",2015
9,9,"Jordan Spieth",91,69.22,623,9,"FirstTeeEarlyScoringAverage",2015
10,10,"Hideki Matsuyama",95,69.29,1663,24,"FirstTeeEarlyScoringAverage",2015
11,11,"Patrick Rodgers",57,69.3,693,10,"FirstTeeEarlyScoringAverage",2015
11,11,"Justin Thomas",106,69.3,1871,27,"FirstTeeEarlyScoringAverage",2015
13,13,"Jonas Blixt",78,69.37,1318,19,"FirstTeeEarlyScoringAverage",2015
14,14,"Keegan Bradley",87,69.56,1739,25,"FirstTeeEarlyScoringAverage",2015
14,14,"Whee Kim",71,69.56,1252,18,"FirstTeeEarlyScoringAverage",2015
16,16,"Matt Jones",89,69.58,1809,26,"FirstTeeEarlyScoringAverage",2015
16,16,"Henrik Stenson",63,69.58,835,12,"FirstTeeEarlyScoringAverage",2015
18,18,"Kevin Na",98,69.62,1810,26,"FirstTeeEarlyScoringAverage",2015
19,19,"Jason Bohn",95,69.64,1741,25,"FirstTeeEarlyScoringAverage",2015
19,19,"Matt Kuchar",97,69.64,1532,22,"FirstTeeEarlyScoringAverage",2015
21,21,"Paul Casey",87,69.68,1951,28,"FirstTeeEarlyScoringAverage",2015
22,22,"Danny Lee",120,69.74,2441,35,"FirstTeeEarlyScoringAverage",2015
23,23,"Blayne Barber",76,69.76,1465,21,"FirstTeeEarlyScoringAverage",2015
24,24,"Graham DeLaet",65,69.79,1675,24,"FirstTeeEarlyScoringAverage",2015
25,25,"Kevin Chappell",86,69.81,2164,31,"FirstTeeEarlyScoringAverage",2015
26,26,"Bubba Watson",71,69.82,768,11,"FirstTeeEarlyScoringAverage",2015
27,27,"Steven Bowditch",103,69.83,2933,42,"FirstTeeEarlyScoringAverage",2015
28,28,"Charles Howell III",105,69.84,2584,37,"FirstTeeEarlyScoringAverage",2015
29,29,"Roberto Castro",54,69.88,1188,17,"FirstTeeEarlyScoringAverage",2015
29,29,"Tom Hoge",83,69.88,1747,25,"FirstTeeEarlyScoringAverage",2015
29,29,"Francesco Molinari",56,69.88,1118,16,"FirstTeeEarlyScoringAverage",2015
32,32,"Colt Knost",90,69.91,1608,23,"FirstTeeEarlyScoringAverage",2015
33,33,"Zach Johnson",90,69.93,979,14,"FirstTeeEarlyScoringAverage",2015
34,34,"Patrick Reed",103,69.95,1469,21,"FirstTeeEarlyScoringAverage",2015
35,35,"Daniel Berger",97,69.96,1749,25,"FirstTeeEarlyScoringAverage",2015
35,35,"Chad Campbell",97,69.96,1959,28,"FirstTeeEarlyScoringAverage",2015
35,35,"Russell Henley",87,69.96,1959,28,"FirstTeeEarlyScoringAverage",2015
35,35,"Brandt Snedeker",98,69.96,1889,27,"FirstTeeEarlyScoringAverage",2015
39,39,"Pat Perez",96,69.97,2519,36,"FirstTeeEarlyScoringAverage",2015
40,40,"Jim Furyk",71,70,840,12,"FirstTeeEarlyScoringAverage",2015
41,41,"Charley Hoffman",97,70.03,2451,35,"FirstTeeEarlyScoringAverage",2015
42,42,"Brendan Steele",88,70.04,1891,27,"FirstTeeEarlyScoringAverage",2015
43,43,"Cameron Percy",72,70.05,1331,19,"FirstTeeEarlyScoringAverage",2015
44,44,"Jonathan Randolph",72,70.07,1051,15,"FirstTeeEarlyScoringAverage",2015
45,45,"Steven Alker",62,70.1,1472,21,"FirstTeeEarlyScoringAverage",2015
46,46,"John Merrick",78,70.13,1683,24,"FirstTeeEarlyScoringAverage",2015
47,47,"Andres Gonzales",90,70.14,1964,28,"FirstTeeEarlyScoringAverage",2015
47,47,"Jeff Overton",94,70.14,1473,21,"FirstTeeEarlyScoringAverage",2015
49,49,"Kyle Reifers",96,70.15,2806,40,"FirstTeeEarlyScoringAverage",2015
50,50,"John Peterson",84,70.16,2245,32,"FirstTeeEarlyScoringAverage",2015
51,51,"Michael Putnam",87,70.17,2035,29,"FirstTeeEarlyScoringAverage",2015
52,52,"George McNeill",93,70.18,2316,33,"FirstTeeEarlyScoringAverage",2015
53,53,"Spencer Levin",99,70.19,1895,27,"FirstTeeEarlyScoringAverage",2015
54,54,"Tyrone Van Aswegen",58,70.21,1334,19,"FirstTeeEarlyScoringAverage",2015
54,54,"Nick Watney",91,70.21,2036,29,"FirstTeeEarlyScoringAverage",2015
56,56,"William McGirt",103,70.23,2458,35,"FirstTeeEarlyScoringAverage",2015
57,57,"Martin Laird",77,70.24,1756,25,"FirstTeeEarlyScoringAverage",2015
58,58,"Brooks Koepka",84,70.26,1335,19,"FirstTeeEarlyScoringAverage",2015
58,58,"Rory Sabbatini",81,70.26,1897,27,"FirstTeeEarlyScoringAverage",2015
60,60,"Erik Compton",86,70.27,1827,26,"FirstTeeEarlyScoringAverage",2015
61,61,"Harris English",105,70.29,2460,35,"FirstTeeEarlyScoringAverage",2015
61,61,"Derek Fathauer",81,70.29,1195,17,"FirstTeeEarlyScoringAverage",2015
61,61,"Bryce Molder",91,70.29,2179,31,"FirstTeeEarlyScoringAverage",2015
61,61,"Louis Oosthuizen",68,70.29,1195,17,"FirstTeeEarlyScoringAverage",2015
61,61,"Shawn Stefani",94,70.29,2460,35,"FirstTeeEarlyScoringAverage",2015
66,66,"Tony Finau",106,70.3,2320,33,"FirstTeeEarlyScoringAverage",2015
67,67,"Daniel Summerhays",101,70.31,2461,35,"FirstTeeEarlyScoringAverage",2015
68,68,"KJ Choi",66,70.32,1547,22,"FirstTeeEarlyScoringAverage",2015
69,69,"Marc Leishman",74,70.33,1477,21,"FirstTeeEarlyScoringAverage",2015
69,69,"Webb Simpson",81,70.33,1899,27,"FirstTeeEarlyScoringAverage",2015
71,71,"Zac Blair",108,70.34,2673,38,"FirstTeeEarlyScoringAverage",2015
72,72,"Brian Davis",86,70.36,1759,25,"FirstTeeEarlyScoringAverage",2015
73,73,"Mark Hubbard",79,70.38,1478,21,"FirstTeeEarlyScoringAverage",2015
73,73,"Brendon Todd",96,70.38,2393,34,"FirstTeeEarlyScoringAverage",2015
75,75,"Chad Collins",79,70.43,1479,21,"FirstTeeEarlyScoringAverage",2015
75,75,"Luke Donald",71,70.43,1479,21,"FirstTeeEarlyScoringAverage",2015
75,75,"Troy Merritt",91,70.43,1620,23,"FirstTeeEarlyScoringAverage",2015
75,75,"Roger Sloan",56,70.43,493,7,"FirstTeeEarlyScoringAverage",2015
79,79,"Adam Scott",51,70.44,634,9,"FirstTeeEarlyScoringAverage",2015
80,80,"Stewart Cink",77,70.45,1550,22,"FirstTeeEarlyScoringAverage",2015
81,81,"Derek Ernst",75,70.46,1832,26,"FirstTeeEarlyScoringAverage",2015
81,81,"Jason Kokrak",88,70.46,1832,26,"FirstTeeEarlyScoringAverage",2015
83,83,"Kevin Kisner",104,70.47,2396,34,"FirstTeeEarlyScoringAverage",2015
83,83,"Sean OHair",86,70.47,1339,19,"FirstTeeEarlyScoringAverage",2015
85,85,"Hudson Swafford",97,70.48,1621,23,"FirstTeeEarlyScoringAverage",2015
85,85,"Tim Wilkinson",73,70.48,1621,23,"FirstTeeEarlyScoringAverage",2015
87,87,"Aaron Baddeley",76,70.5,2115,30,"FirstTeeEarlyScoringAverage",2015
87,87,"Justin Rose",69,70.5,705,10,"FirstTeeEarlyScoringAverage",2015
89,89,"Carlos Ortiz",100,70.53,2116,30,"FirstTeeEarlyScoringAverage",2015
90,90,"Ian Poulter",68,70.57,988,14,"FirstTeeEarlyScoringAverage",2015
90,90,"Robert Streb",110,70.57,2470,35,"FirstTeeEarlyScoringAverage",2015
92,92,"Scott Brown",97,70.58,2188,31,"FirstTeeEarlyScoringAverage",2015
92,92,"Billy Horschel",99,70.58,1694,24,"FirstTeeEarlyScoringAverage",2015
94,94,"Billy Hurley III",83,70.6,1765,25,"FirstTeeEarlyScoringAverage",2015
95,95,"James Hahn",94,70.61,2330,33,"FirstTeeEarlyScoringAverage",2015
95,95,"Scott Piercy",90,70.61,2330,33,"FirstTeeEarlyScoringAverage",2015
97,97,"Sergio Garcia",59,70.63,565,8,"FirstTeeEarlyScoringAverage",2015
97,97,"Russell Knox",96,70.63,1907,27,"FirstTeeEarlyScoringAverage",2015
99,99,"Bill Lunde",50,70.64,989,14,"FirstTeeEarlyScoringAverage",2015
100,100,"Ryan Palmer",80,70.66,2049,29,"FirstTeeEarlyScoringAverage",2015
101,101,"Brendon de Jonge",106,70.67,2544,36,"FirstTeeEarlyScoringAverage",2015
101,101,"Ben Martin",93,70.67,2332,33,"FirstTeeEarlyScoringAverage",2015
103,103,"Jhonattan Vegas",90,70.68,1555,22,"FirstTeeEarlyScoringAverage",2015
104,104,"Ken Duke",93,70.69,2757,39,"FirstTeeEarlyScoringAverage",2015
104,104,"Martin Flores",95,70.69,1838,26,"FirstTeeEarlyScoringAverage",2015
104,104,"David Lingmerth",90,70.69,1838,26,"FirstTeeEarlyScoringAverage",2015
107,107,"Adam Hadwin",95,70.7,2121,30,"FirstTeeEarlyScoringAverage",2015
107,107,"Carl Pettersson",106,70.7,2616,37,"FirstTeeEarlyScoringAverage",2015
109,109,"Lee Westwood",56,70.71,1485,21,"FirstTeeEarlyScoringAverage",2015
110,110,"Scott Langley",94,70.72,2263,32,"FirstTeeEarlyScoringAverage",2015
111,111,"Kevin Streelman",95,70.73,2617,37,"FirstTeeEarlyScoringAverage",2015
112,112,"Alex Cejka",94,70.74,2193,31,"FirstTeeEarlyScoringAverage",2015
113,113,"John Senden",80,70.75,2264,32,"FirstTeeEarlyScoringAverage",2015
114,114,"Hunter Mahan",88,70.76,2335,33,"FirstTeeEarlyScoringAverage",2015
115,115,"Ricky Barnes",82,70.78,1274,18,"FirstTeeEarlyScoringAverage",2015
115,115,"Jason Gore",76,70.78,1628,23,"FirstTeeEarlyScoringAverage",2015
117,117,"Jason Dufner",76,70.81,1841,26,"FirstTeeEarlyScoringAverage",2015
118,118,"Alex Prugh",84,70.83,2125,30,"FirstTeeEarlyScoringAverage",2015
118,118,"Steve Wheatcroft",87,70.83,1700,24,"FirstTeeEarlyScoringAverage",2015
120,120,"Luke Guthrie",84,70.85,1842,26,"FirstTeeEarlyScoringAverage",2015
