"AverageDistanceofPuttsmade_RANKTHISWEEK_2010","AverageDistanceofPuttsmade_RANKLASTWEEK_2010","AverageDistanceofPuttsmade_PLAYERNAME_2010","AverageDistanceofPuttsmade_ROUNDS_2010","AverageDistanceofPuttsmade_AVG_2010","AverageDistanceofPuttsmade_TOTALDISTINCHES_2010","AverageDistanceofPuttsmade_TOTALROUNDS_2010","AverageDistanceofPuttsmade_AVGDIST_2010","AverageDistanceofPuttsmade_BESTROUND_2010","stat_name","year"
1,1,"Troy Merritt",86,NA,76685,77,NA,NA,"AverageDistanceofPuttsmade",2010
2,2,"Geoff Ogilvy",62,NA,49269,50,NA,NA,"AverageDistanceofPuttsmade",2010
3,3,"Stephen Ames",75,NA,67556,69,NA,NA,"AverageDistanceofPuttsmade",2010
4,4,"Charlie Wi",95,NA,86822,89,NA,NA,"AverageDistanceofPuttsmade",2010
5,5,"Ben Crane",85,NA,64004,66,NA,NA,"AverageDistanceofPuttsmade",2010
6,6,"Paul Casey",64,NA,42328,44,NA,NA,"AverageDistanceofPuttsmade",2010
7,7,"Jeff Overton",89,NA,68241,71,NA,NA,"AverageDistanceofPuttsmade",2010
8,8,"Andres Romero",73,NA,69036,72,NA,NA,"AverageDistanceofPuttsmade",2010
9,9,"Kevin Na",94,NA,72806,76,NA,NA,"AverageDistanceofPuttsmade",2010
10,10,"Brad Faxon",58,NA,45824,48,NA,NA,"AverageDistanceofPuttsmade",2010
11,11,"Tom Gillis",97,NA,85122,90,NA,NA,"AverageDistanceofPuttsmade",2010
12,12,"Aaron Baddeley",94,NA,82980,88,NA,NA,"AverageDistanceofPuttsmade",2010
12,12,"Dean Wilson",54,NA,44303,47,NA,NA,"AverageDistanceofPuttsmade",2010
14,14,"Greg Chalmers",93,NA,81879,87,NA,NA,"AverageDistanceofPuttsmade",2010
14,14,"Ryan Palmer",84,NA,66841,71,NA,NA,"AverageDistanceofPuttsmade",2010
16,16,"Michael Connell",89,NA,72317,77,NA,NA,"AverageDistanceofPuttsmade",2010
17,17,"KJ Choi",82,NA,57175,61,NA,NA,"AverageDistanceofPuttsmade",2010
17,17,"Richard Johnson",90,NA,68370,73,NA,NA,"AverageDistanceofPuttsmade",2010
17,17,"Bryce Molder",84,NA,68402,73,NA,NA,"AverageDistanceofPuttsmade",2010
20,20,"Chad Collins",87,NA,70222,75,NA,NA,"AverageDistanceofPuttsmade",2010
20,20,"Jason Day",82,NA,66452,71,NA,NA,"AverageDistanceofPuttsmade",2010
20,20,"Shaun Micheel",70,NA,49627,53,NA,NA,"AverageDistanceofPuttsmade",2010
20,20,"Chris Tidland",77,NA,63671,68,NA,NA,"AverageDistanceofPuttsmade",2010
24,24,"Matt Every",60,NA,47708,51,NA,NA,"AverageDistanceofPuttsmade",2010
24,24,"Zach Johnson",93,NA,70162,75,NA,NA,"AverageDistanceofPuttsmade",2010
24,24,"James Nitties",92,NA,75745,81,NA,NA,"AverageDistanceofPuttsmade",2010
24,24,"Carl Pettersson",99,NA,77639,83,NA,NA,"AverageDistanceofPuttsmade",2010
24,24,"Steve Stricker",73,NA,52373,56,NA,NA,"AverageDistanceofPuttsmade",2010
29,29,"Chris Couch",66,NA,55076,59,NA,NA,"AverageDistanceofPuttsmade",2010
29,29,"Nathan Green",86,NA,75592,81,NA,NA,"AverageDistanceofPuttsmade",2010
29,29,"Scott Piercy",88,NA,75554,81,NA,NA,"AverageDistanceofPuttsmade",2010
29,29,"Jeff Quinney",91,NA,74603,80,NA,NA,"AverageDistanceofPuttsmade",2010
33,33,"Steve Wheatcroft",74,NA,53990,58,NA,NA,"AverageDistanceofPuttsmade",2010
34,34,"Blake Adams",84,NA,69751,75,NA,NA,"AverageDistanceofPuttsmade",2010
35,35,"Matt Bettencourt",91,NA,65036,70,NA,NA,"AverageDistanceofPuttsmade",2010
35,35,"Luke Donald",71,NA,49234,53,NA,NA,"AverageDistanceofPuttsmade",2010
37,37,"Dustin Johnson",83,NA,58412,63,NA,NA,"AverageDistanceofPuttsmade",2010
37,37,"Brian Stuard",81,NA,65790,71,NA,NA,"AverageDistanceofPuttsmade",2010
39,39,"David Duval",71,NA,51781,56,NA,NA,"AverageDistanceofPuttsmade",2010
40,40,"Robert Allenby",76,NA,56392,61,NA,NA,"AverageDistanceofPuttsmade",2010
40,40,"Freddie Jacobson",83,NA,71156,77,NA,NA,"AverageDistanceofPuttsmade",2010
42,42,"Robert Garrigus",71,NA,56259,61,NA,NA,"AverageDistanceofPuttsmade",2010
42,42,"Paul Stankowski",62,NA,48849,53,NA,NA,"AverageDistanceofPuttsmade",2010
44,44,"George McNeill",79,NA,64442,70,NA,NA,"AverageDistanceofPuttsmade",2010
45,45,"Matt Kuchar",97,NA,68973,75,NA,NA,"AverageDistanceofPuttsmade",2010
45,45,"Derek Lamely",81,NA,58851,64,NA,NA,"AverageDistanceofPuttsmade",2010
47,47,"DA Points",90,NA,72511,79,NA,NA,"AverageDistanceofPuttsmade",2010
48,48,"Tim Clark",88,NA,62142,68,NA,NA,"AverageDistanceofPuttsmade",2010
48,48,"Brian Gay",101,NA,74959,82,NA,NA,"AverageDistanceofPuttsmade",2010
48,48,"Ian Poulter",55,NA,31079,34,NA,NA,"AverageDistanceofPuttsmade",2010
51,51,"Justin Rose",78,NA,63755,70,NA,NA,"AverageDistanceofPuttsmade",2010
52,52,"Pat Perez",90,NA,75542,83,NA,NA,"AverageDistanceofPuttsmade",2010
52,52,"Rory Sabbatini",79,NA,60959,67,NA,NA,"AverageDistanceofPuttsmade",2010
