"DistancefromEdgeofFairway_RANKTHISWEEK_2015","DistancefromEdgeofFairway_RANKLASTWEEK_2015","DistancefromEdgeofFairway_PLAYERNAME_2015","DistancefromEdgeofFairway_EVENTS_2015","DistancefromEdgeofFairway_AVG_2015","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2015","DistancefromEdgeofFairway_TOTALSTROKES_2015","stat_name","year"
1,1,"Colt Knost",29,NA,5302.083,294,"DistancefromEdgeofFairway",2015
2,2,"Jim Furyk",19,NA,4392.333,229,"DistancefromEdgeofFairway",2015
3,3,"Jason Dufner",21,NA,4515.917,234,"DistancefromEdgeofFairway",2015
3,3,"Justin Leonard",22,NA,4083.417,211,"DistancefromEdgeofFairway",2015
5,5,"Francesco Molinari",16,NA,2888.417,142,"DistancefromEdgeofFairway",2015
6,6,"David Toms",21,NA,3967.833,194,"DistancefromEdgeofFairway",2015
7,7,"Jason Bohn",27,NA,6763.083,327,"DistancefromEdgeofFairway",2015
8,8,"Henrik Stenson",16,NA,4017.25,192,"DistancefromEdgeofFairway",2015
9,9,"Ken Duke",30,NA,7089.833,338,"DistancefromEdgeofFairway",2015
10,10,"John Huh",31,NA,7842,371,"DistancefromEdgeofFairway",2015
10,10,"Zach Johnson",25,NA,5969.75,282,"DistancefromEdgeofFairway",2015
10,10,"Heath Slocum",22,NA,3742.083,177,"DistancefromEdgeofFairway",2015
13,13,"Spencer Levin",31,NA,7114.833,333,"DistancefromEdgeofFairway",2015
13,13,"William McGirt",30,NA,8945.583,419,"DistancefromEdgeofFairway",2015
15,15,"Russell Knox",28,NA,8023.417,375,"DistancefromEdgeofFairway",2015
16,16,"Hideki Matsuyama",25,NA,7079.417,329,"DistancefromEdgeofFairway",2015
17,17,"Fabian Gomez",26,NA,7730.333,358,"DistancefromEdgeofFairway",2015
17,17,"Nicholas Thompson",31,NA,6490,301,"DistancefromEdgeofFairway",2015
19,19,"Brian Stuard",31,NA,7175.25,331,"DistancefromEdgeofFairway",2015
20,20,"Jerry Kelly",24,NA,5662.167,260,"DistancefromEdgeofFairway",2015
21,21,"Jim Herman",27,NA,7435.667,340,"DistancefromEdgeofFairway",2015
21,21,"Brendon Todd",27,NA,6903.417,316,"DistancefromEdgeofFairway",2015
23,23,"Kevin Streelman",27,NA,6472.75,290,"DistancefromEdgeofFairway",2015
24,24,"Scott Langley",28,NA,9040.833,401,"DistancefromEdgeofFairway",2015
25,25,"John Peterson",25,NA,7597.667,332,"DistancefromEdgeofFairway",2015
26,26,"Sangmoon Bae",30,NA,11173.917,485,"DistancefromEdgeofFairway",2015
26,26,"John Merrick",27,NA,5708.5,248,"DistancefromEdgeofFairway",2015
26,26,"Bryce Molder",26,NA,7853.917,341,"DistancefromEdgeofFairway",2015
29,29,"Steven Alker",22,NA,4611.667,200,"DistancefromEdgeofFairway",2015
29,29,"Brendon de Jonge",31,NA,9917.333,430,"DistancefromEdgeofFairway",2015
31,31,"Chad Campbell",30,NA,9715,419,"DistancefromEdgeofFairway",2015
32,32,"Mark Hubbard",25,NA,6580.25,282,"DistancefromEdgeofFairway",2015
33,33,"Jason Gore",26,NA,5846.417,250,"DistancefromEdgeofFairway",2015
33,33,"Brandt Snedeker",27,NA,9176.167,392,"DistancefromEdgeofFairway",2015
35,35,"Kevin Kisner",30,NA,10010.75,426,"DistancefromEdgeofFairway",2015
35,35,"SJ Park",27,NA,6633.667,282,"DistancefromEdgeofFairway",2015
37,37,"Brian Davis",31,NA,7396,313,"DistancefromEdgeofFairway",2015
38,38,"Brian Harman",29,NA,8649.333,364,"DistancefromEdgeofFairway",2015
39,39,"Boo Weekley",24,NA,7732.75,325,"DistancefromEdgeofFairway",2015
40,40,"Zac Blair",34,NA,9216.333,385,"DistancefromEdgeofFairway",2015
40,40,"Cameron Tringale",28,NA,8238.167,345,"DistancefromEdgeofFairway",2015
42,42,"Bill Haas",25,NA,8618.25,358,"DistancefromEdgeofFairway",2015
43,43,"Jon Curran",28,NA,7010,289,"DistancefromEdgeofFairway",2015
44,44,"David Hearn",30,NA,9988.917,409,"DistancefromEdgeofFairway",2015
45,45,"John Senden",24,NA,5713.417,233,"DistancefromEdgeofFairway",2015
46,46,"Roberto Castro",16,NA,3938.417,160,"DistancefromEdgeofFairway",2015
46,46,"Ryan Moore",24,NA,6007.667,244,"DistancefromEdgeofFairway",2015
46,46,"Charl Schwartzel",19,NA,5234.833,213,"DistancefromEdgeofFairway",2015
46,46,"Vijay Singh",23,NA,9187,374,"DistancefromEdgeofFairway",2015
50,50,"Lucas Glover",26,NA,8468.167,343,"DistancefromEdgeofFairway",2015
50,50,"Billy Hurley III",28,NA,7544.833,306,"DistancefromEdgeofFairway",2015
50,50,"Chez Reavie",19,NA,4519.417,183,"DistancefromEdgeofFairway",2015
53,53,"Kevin Na",27,NA,9316.833,375,"DistancefromEdgeofFairway",2015
53,53,"Pat Perez",26,NA,9526.75,384,"DistancefromEdgeofFairway",2015
53,53,"Ian Poulter",19,NA,5994,241,"DistancefromEdgeofFairway",2015
56,56,"Ben Crane",22,NA,5839.833,234,"DistancefromEdgeofFairway",2015
56,56,"Scott Pinckney",27,NA,9457.25,380,"DistancefromEdgeofFairway",2015
58,58,"Will Wilcox",17,NA,4401.667,176,"DistancefromEdgeofFairway",2015
59,59,"Alex Cejka",30,NA,9930.917,394,"DistancefromEdgeofFairway",2015
59,59,"George McNeill",27,NA,10602.417,421,"DistancefromEdgeofFairway",2015
61,61,"Bill Lunde",18,NA,4547.75,180,"DistancefromEdgeofFairway",2015
61,61,"Webb Simpson",22,NA,7162,284,"DistancefromEdgeofFairway",2015
61,61,"Daniel Summerhays",29,NA,11830.917,469,"DistancefromEdgeofFairway",2015
64,64,"Matt Kuchar",25,NA,9818.583,387,"DistancefromEdgeofFairway",2015
65,65,"Scott Brown",30,NA,10444.417,409,"DistancefromEdgeofFairway",2015
65,65,"Chad Collins",24,NA,7683.583,301,"DistancefromEdgeofFairway",2015
65,65,"Oscar Fraustro",21,NA,5249.583,206,"DistancefromEdgeofFairway",2015
65,65,"Brice Garnett",29,NA,8575.417,336,"DistancefromEdgeofFairway",2015
65,65,"Adam Hadwin",30,NA,9230.75,362,"DistancefromEdgeofFairway",2015
70,70,"Derek Ernst",26,NA,7608,297,"DistancefromEdgeofFairway",2015
70,70,"David Lingmerth",28,NA,8780.583,343,"DistancefromEdgeofFairway",2015
70,70,"Jeff Overton",30,NA,10826.75,423,"DistancefromEdgeofFairway",2015
70,70,"Jonathan Randolph",25,NA,8746.667,342,"DistancefromEdgeofFairway",2015
70,70,"Robert Streb",30,NA,13641.417,534,"DistancefromEdgeofFairway",2015
75,75,"Louis Oosthuizen",20,NA,6359,248,"DistancefromEdgeofFairway",2015
75,75,"Kyle Reifers",31,NA,10558.167,412,"DistancefromEdgeofFairway",2015
77,77,"Paul Casey",24,NA,8326.333,323,"DistancefromEdgeofFairway",2015
77,77,"Ben Martin",27,NA,9351.583,363,"DistancefromEdgeofFairway",2015
77,77,"Carl Pettersson",32,NA,13083.083,508,"DistancefromEdgeofFairway",2015
77,77,"Mark Wilson",28,NA,9993.833,388,"DistancefromEdgeofFairway",2015
81,81,"KJ Choi",19,NA,7497.5,290,"DistancefromEdgeofFairway",2015
82,82,"Greg Owen",19,NA,5566.833,215,"DistancefromEdgeofFairway",2015
83,83,"Hudson Swafford",30,NA,10222.917,393,"DistancefromEdgeofFairway",2015
84,84,"Chris Stroud",28,NA,8433.5,321,"DistancefromEdgeofFairway",2015
85,85,"JJ Henry",30,NA,10832.583,410,"DistancefromEdgeofFairway",2015
86,86,"Adam Scott",15,NA,4996.083,188,"DistancefromEdgeofFairway",2015
86,86,"Jordan Spieth",25,NA,8565.75,322,"DistancefromEdgeofFairway",2015
86,86,"Andrew Svoboda",30,NA,10410.333,391,"DistancefromEdgeofFairway",2015
89,89,"Davis Love III",18,NA,5356.75,201,"DistancefromEdgeofFairway",2015
89,89,"Tim Wilkinson",28,NA,7571.083,284,"DistancefromEdgeofFairway",2015
91,91,"Jonathan Byrd",22,NA,6400.083,239,"DistancefromEdgeofFairway",2015
91,91,"Chesson Hadley",30,NA,13625.75,510,"DistancefromEdgeofFairway",2015
93,93,"Billy Horschel",28,NA,9728.833,362,"DistancefromEdgeofFairway",2015
93,93,"Troy Merritt",29,NA,11060.333,411,"DistancefromEdgeofFairway",2015
93,93,"Nick Watney",28,NA,11202.833,416,"DistancefromEdgeofFairway",2015
96,96,"Lee Westwood",15,NA,4906.75,181,"DistancefromEdgeofFairway",2015
97,97,"Blayne Barber",26,NA,8434.833,310,"DistancefromEdgeofFairway",2015
97,97,"Russell Henley",24,NA,8711.75,320,"DistancefromEdgeofFairway",2015
97,97,"Danny Lee",36,NA,12935.417,475,"DistancefromEdgeofFairway",2015
97,97,"Michael Putnam",28,NA,9595.5,352,"DistancefromEdgeofFairway",2015
97,97,"Steve Wheatcroft",28,NA,9624.917,353,"DistancefromEdgeofFairway",2015
102,102,"Robert Allenby",25,NA,6616.25,242,"DistancefromEdgeofFairway",2015
102,102,"Chris Kirk",21,NA,7713.667,282,"DistancefromEdgeofFairway",2015
104,104,"Sam Saunders",28,NA,8057.167,292,"DistancefromEdgeofFairway",2015
104,104,"Byron Smith",21,NA,6590.25,239,"DistancefromEdgeofFairway",2015
104,104,"Bubba Watson",19,NA,8719,316,"DistancefromEdgeofFairway",2015
107,107,"Greg Chalmers",17,NA,5534.167,199,"DistancefromEdgeofFairway",2015
108,108,"Matt Jones",25,NA,10196.5,365,"DistancefromEdgeofFairway",2015
108,108,"Bo Van Pelt",28,NA,9552.583,342,"DistancefromEdgeofFairway",2015
108,108,"Gary Woodland",24,NA,8616.083,309,"DistancefromEdgeofFairway",2015
111,111,"Kevin Chappell",26,NA,10251.833,366,"DistancefromEdgeofFairway",2015
111,111,"Rory Sabbatini",25,NA,10011.833,358,"DistancefromEdgeofFairway",2015
113,113,"Eric Axley",21,NA,6787.833,241,"DistancefromEdgeofFairway",2015
113,113,"Shawn Stefani",26,NA,12150.167,431,"DistancefromEdgeofFairway",2015
113,113,"Johnson Wagner",23,NA,8129.25,289,"DistancefromEdgeofFairway",2015
116,116,"Cameron Percy",23,NA,8439.833,299,"DistancefromEdgeofFairway",2015
117,117,"Tom Hoge",26,NA,10164.667,359,"DistancefromEdgeofFairway",2015
118,118,"Patrick Reed",27,NA,13209.917,465,"DistancefromEdgeofFairway",2015
118,118,"Nick Taylor",28,NA,13631.167,479,"DistancefromEdgeofFairway",2015
120,120,"Whee Kim",23,NA,8863.333,311,"DistancefromEdgeofFairway",2015
121,121,"Martin Flores",30,NA,13493.167,471,"DistancefromEdgeofFairway",2015
121,121,"Justin Rose",20,NA,6817.833,238,"DistancefromEdgeofFairway",2015
123,123,"Robert Garrigus",25,NA,9033.917,314,"DistancefromEdgeofFairway",2015
123,123,"Charley Hoffman",28,NA,12230.167,426,"DistancefromEdgeofFairway",2015
123,123,"Carlos Ortiz",30,NA,12709.667,442,"DistancefromEdgeofFairway",2015
126,126,"Graham DeLaet",22,NA,7327.917,253,"DistancefromEdgeofFairway",2015
126,126,"James Hahn",28,NA,12441.333,429,"DistancefromEdgeofFairway",2015
128,128,"Harris English",29,NA,14296.833,490,"DistancefromEdgeofFairway",2015
129,129,"Marc Leishman",23,NA,9867.083,337,"DistancefromEdgeofFairway",2015
130,130,"Hunter Mahan",24,NA,10975.583,373,"DistancefromEdgeofFairway",2015
130,130,"Patrick Rodgers",17,NA,7504.75,255,"DistancefromEdgeofFairway",2015
132,132,"Luke Guthrie",27,NA,11105.667,376,"DistancefromEdgeofFairway",2015
132,132,"Sean OHair",26,NA,12061.417,409,"DistancefromEdgeofFairway",2015
134,134,"Keegan Bradley",24,NA,8485,287,"DistancefromEdgeofFairway",2015
134,134,"Luke Donald",20,NA,8820,298,"DistancefromEdgeofFairway",2015
134,134,"Brendan Steele",24,NA,11326.667,383,"DistancefromEdgeofFairway",2015
137,137,"Jonas Blixt",26,NA,8546.75,288,"DistancefromEdgeofFairway",2015
137,137,"Ryan Palmer",22,NA,9887.667,333,"DistancefromEdgeofFairway",2015
137,137,"Alex Prugh",27,NA,10845.917,366,"DistancefromEdgeofFairway",2015
140,140,"Michael Thompson",27,NA,12030.417,404,"DistancefromEdgeofFairway",2015
141,141,"Max Homa",27,NA,10672.5,356,"DistancefromEdgeofFairway",2015
141,141,"Martin Laird",24,NA,11742.5,391,"DistancefromEdgeofFairway",2015
143,143,"Camilo Villegas",27,NA,13637.25,453,"DistancefromEdgeofFairway",2015
144,144,"Geoff Ogilvy",15,NA,5995.333,199,"DistancefromEdgeofFairway",2015
145,145,"Steven Bowditch",32,NA,16347.083,540,"DistancefromEdgeofFairway",2015
145,145,"Angel Cabrera",19,NA,7311.417,242,"DistancefromEdgeofFairway",2015
147,147,"Charlie Beljan",27,NA,9019,297,"DistancefromEdgeofFairway",2015
147,147,"Ryo Ishikawa",28,NA,12801.083,422,"DistancefromEdgeofFairway",2015
147,147,"Jason Kokrak",28,NA,14277.333,471,"DistancefromEdgeofFairway",2015
150,150,"Matt Every",26,NA,10788.333,355,"DistancefromEdgeofFairway",2015
151,151,"Morgan Hoffmann",26,NA,12540.667,411,"DistancefromEdgeofFairway",2015
152,152,"Jason Day",20,NA,10259.917,335,"DistancefromEdgeofFairway",2015
153,153,"Erik Compton",28,NA,11848.333,385,"DistancefromEdgeofFairway",2015
153,153,"Derek Fathauer",27,NA,13227.25,430,"DistancefromEdgeofFairway",2015
155,155,"Phil Mickelson",19,NA,10360.083,335,"DistancefromEdgeofFairway",2015
156,156,"Daniel Berger",31,NA,13093.167,422,"DistancefromEdgeofFairway",2015
157,157,"Gonzalo Fdez Castano",28,NA,9478.5,305,"DistancefromEdgeofFairway",2015
158,158,"Charles Howell III",30,NA,19332.167,621,"DistancefromEdgeofFairway",2015
159,159,"Stewart Cink",23,NA,11670.667,372,"DistancefromEdgeofFairway",2015
160,160,"Rickie Fowler",21,NA,9216.75,293,"DistancefromEdgeofFairway",2015
160,160,"Justin Thomas",30,NA,15442,492,"DistancefromEdgeofFairway",2015
162,162,"Padraig Harrington",21,NA,9832,312,"DistancefromEdgeofFairway",2015
163,163,"Andres Gonzales",28,NA,13294.667,421,"DistancefromEdgeofFairway",2015
164,164,"Ricky Barnes",27,NA,11968.333,378,"DistancefromEdgeofFairway",2015
165,165,"Retief Goosen",25,NA,11660.083,364,"DistancefromEdgeofFairway",2015
166,166,"Tony Finau",31,NA,17404.583,543,"DistancefromEdgeofFairway",2015
166,166,"Andrew Putnam",23,NA,10040.5,313,"DistancefromEdgeofFairway",2015
166,166,"Jim Renner",27,NA,10118.833,315,"DistancefromEdgeofFairway",2015
169,169,"Scott Stallings",19,NA,8186.5,254,"DistancefromEdgeofFairway",2015
169,169,"Jhonattan Vegas",27,NA,13333.417,413,"DistancefromEdgeofFairway",2015
171,171,"Scott Piercy",28,NA,14899.167,455,"DistancefromEdgeofFairway",2015
172,172,"Tyrone Van Aswegen",20,NA,8177.667,249,"DistancefromEdgeofFairway",2015
173,173,"Ernie Els",18,NA,8088.583,244,"DistancefromEdgeofFairway",2015
174,174,"DA Points",26,NA,11982.833,358,"DistancefromEdgeofFairway",2015
175,175,"Jimmy Walker",24,NA,13687.333,408,"DistancefromEdgeofFairway",2015
176,176,"Sergio Garcia",15,NA,7093.5,209,"DistancefromEdgeofFairway",2015
176,176,"Dustin Johnson",21,NA,11186.333,330,"DistancefromEdgeofFairway",2015
178,178,"Jamie Donaldson",16,NA,6398.833,188,"DistancefromEdgeofFairway",2015
179,179,"Seung Yul Noh",21,NA,10875.25,316,"DistancefromEdgeofFairway",2015
180,180,"Andres Romero",24,NA,11612.833,337,"DistancefromEdgeofFairway",2015
181,181,"Brooks Koepka",23,NA,13334.083,374,"DistancefromEdgeofFairway",2015
182,182,"Aaron Baddeley",25,NA,15223,424,"DistancefromEdgeofFairway",2015
183,183,"Roger Sloan",20,NA,7795.583,214,"DistancefromEdgeofFairway",2015
