"AveragePuttingDistanceGIR2Putts_RANKTHISWEEK_2010","AveragePuttingDistanceGIR2Putts_RANKLASTWEEK_2010","AveragePuttingDistanceGIR2Putts_PLAYERNAME_2010","AveragePuttingDistanceGIR2Putts_ROUNDS_2010","AveragePuttingDistanceGIR2Putts_AVG_2010","AveragePuttingDistanceGIR2Putts_DISTANCEFEET_2010","AveragePuttingDistanceGIR2Putts_TOTALPUTTS_2010","stat_name","year"
1,1,"Michael Sim",64,NA,11461.583,429,"AveragePuttingDistanceGIR2Putts",2010
2,2,"Daniel Chopra",74,NA,14036.333,526,"AveragePuttingDistanceGIR2Putts",2010
2,2,"Matt Jones",89,NA,17139.167,643,"AveragePuttingDistanceGIR2Putts",2010
2,2,"Scott McCarron",90,NA,18467.917,692,"AveragePuttingDistanceGIR2Putts",2010
5,5,"George McNeill",79,NA,14559.75,547,"AveragePuttingDistanceGIR2Putts",2010
5,5,"Ian Poulter",55,NA,7309.25,275,"AveragePuttingDistanceGIR2Putts",2010
7,7,"Blake Adams",84,NA,16477.833,622,"AveragePuttingDistanceGIR2Putts",2010
8,8,"James Driscoll",78,NA,16762.583,635,"AveragePuttingDistanceGIR2Putts",2010
8,8,"Steve Elkington",74,NA,13796,523,"AveragePuttingDistanceGIR2Putts",2010
10,10,"Brad Faxon",58,NA,8988.583,343,"AveragePuttingDistanceGIR2Putts",2010
11,11,"Alex Prugh",88,NA,17936.917,687,"AveragePuttingDistanceGIR2Putts",2010
12,12,"Ernie Els",72,NA,11845.25,456,"AveragePuttingDistanceGIR2Putts",2010
12,12,"Charles Howell III",103,NA,20931.833,804,"AveragePuttingDistanceGIR2Putts",2010
14,14,"Paul Casey",64,NA,9634.75,373,"AveragePuttingDistanceGIR2Putts",2010
14,14,"Greg Chalmers",93,NA,18319.583,709,"AveragePuttingDistanceGIR2Putts",2010
14,14,"Chris Couch",66,NA,12132.583,470,"AveragePuttingDistanceGIR2Putts",2010
14,14,"Ben Curtis",78,NA,15418.833,596,"AveragePuttingDistanceGIR2Putts",2010
14,14,"Luke Donald",71,NA,11173.667,432,"AveragePuttingDistanceGIR2Putts",2010
14,14,"Nathan Green",86,NA,16638.833,644,"AveragePuttingDistanceGIR2Putts",2010
14,14,"John Merrick",109,NA,21535.167,833,"AveragePuttingDistanceGIR2Putts",2010
21,21,"Chad Collins",87,NA,15539.667,604,"AveragePuttingDistanceGIR2Putts",2010
21,21,"JJ Henry",92,NA,18822.917,731,"AveragePuttingDistanceGIR2Putts",2010
21,21,"Mark Wilson",87,NA,18444.25,716,"AveragePuttingDistanceGIR2Putts",2010
24,24,"Tim Herron",79,NA,14800,577,"AveragePuttingDistanceGIR2Putts",2010
24,24,"Matt Kuchar",97,NA,16261.917,633,"AveragePuttingDistanceGIR2Putts",2010
24,24,"Bill Lunde",79,NA,14681.417,572,"AveragePuttingDistanceGIR2Putts",2010
27,27,"Mathias Gronberg",61,NA,10604,415,"AveragePuttingDistanceGIR2Putts",2010
27,27,"JB Holmes",100,NA,17825.833,697,"AveragePuttingDistanceGIR2Putts",2010
27,27,"David Lutterus",69,NA,12007.667,469,"AveragePuttingDistanceGIR2Putts",2010
27,27,"Troy Merritt",86,NA,15328.25,599,"AveragePuttingDistanceGIR2Putts",2010
27,27,"Chris Tidland",77,NA,14309.167,559,"AveragePuttingDistanceGIR2Putts",2010
32,32,"Kris Blanks",91,NA,17171.417,674,"AveragePuttingDistanceGIR2Putts",2010
32,32,"Ben Crane",85,NA,13524.667,530,"AveragePuttingDistanceGIR2Putts",2010
32,32,"Richard Johnson",90,NA,16497,646,"AveragePuttingDistanceGIR2Putts",2010
