"Par4Performance_RANKTHISWEEK_2009","Par4Performance_RANKLASTWEEK_2009","Par4Performance_PLAYERNAME_2009","Par4Performance_ROUNDS_2009","Par4Performance_STATUS_2009","Par4Performance_PAR4AVG_2009","Par4Performance_TOTALPAR_2009","stat_name","year"
1,1,"Justin Leonard",95,-22,3.98,4008,"Par4Performance",2009
2,2,"Tiger Woods",64,-21,3.97,2704,"Par4Performance",2009
3,3,"Jim Furyk",86,-19,3.98,3592,"Par4Performance",2009
3,3,"David Toms",98,-19,3.98,4304,"Par4Performance",2009
5,5,"Tim Clark",81,-18,3.98,3416,"Par4Performance",2009
6,6,"Zach Johnson",94,-8,3.99,4064,"Par4Performance",2009
6,6,"Steve Stricker",81,-8,3.99,3408,"Par4Performance",2009
8,8,"Greg Chalmers",85,-6,3.99,3704,"Par4Performance",2009
9,9,"Charlie Wi",92,0,4,3968,"Par4Performance",2009
10,10,"Greg Owen",97,1,4,4240,"Par4Performance",2009
11,11,"Jason Bohn",88,2,4,3784,"Par4Performance",2009
11,11,"Ben Crane",93,2,4,4020,"Par4Performance",2009
13,13,"Scott Verplank",88,3,4,3920,"Par4Performance",2009
14,14,"Chris Riley",77,4,4,3376,"Par4Performance",2009
14,14,"Brandt Snedeker",81,4,4,3520,"Par4Performance",2009
16,16,"Jonathan Byrd",89,5,4.01,3752,"Par4Performance",2009
16,16,"Mark Wilson",99,5,4,4296,"Par4Performance",2009
18,18,"Joe Durant",62,6,4.01,2608,"Par4Performance",2009
18,18,"Troy Matteson",95,6,4.01,4096,"Par4Performance",2009
18,18,"Bo Van Pelt",100,6,4.01,4304,"Par4Performance",2009
21,21,"Bob Estes",78,7,4.01,3372,"Par4Performance",2009
21,21,"Matt Kuchar",82,7,4.01,3504,"Par4Performance",2009
21,21,"Ian Poulter",59,7,4.01,2424,"Par4Performance",2009
24,24,"Jason Dufner",90,8,4.01,3872,"Par4Performance",2009
24,24,"Bob Heintz",59,8,4.01,2560,"Par4Performance",2009
24,24,"Hunter Mahan",94,8,4.01,4040,"Par4Performance",2009
27,27,"Stephen Ames",77,10,4.01,3216,"Par4Performance",2009
27,27,"Heath Slocum",95,10,4.01,4168,"Par4Performance",2009
29,29,"Kenny Perry",92,11,4.01,3984,"Par4Performance",2009
30,30,"Jerry Kelly",90,12,4.01,3948,"Par4Performance",2009
31,31,"Charley Hoffman",97,13,4.01,4152,"Par4Performance",2009
32,32,"Chad Campbell",90,14,4.01,3928,"Par4Performance",2009
32,32,"Glen Day",79,14,4.02,3400,"Par4Performance",2009
34,34,"Michael Allen",73,15,4.02,3128,"Par4Performance",2009
34,34,"Jason Day",61,15,4.02,2616,"Par4Performance",2009
34,34,"Scott Sterling",51,15,4.03,2192,"Par4Performance",2009
37,37,"Bill Haas",91,16,4.02,3928,"Par4Performance",2009
37,37,"Marc Leishman",91,16,4.02,4000,"Par4Performance",2009
37,37,"Sean OHair",80,16,4.02,3352,"Par4Performance",2009
37,37,"Kevin Stadler",65,16,4.02,2808,"Par4Performance",2009
41,41,"Woody Austin",84,17,4.02,3608,"Par4Performance",2009
42,42,"Tommy Armour III",58,18,4.03,2480,"Par4Performance",2009
42,42,"Jeff Klauk",97,18,4.02,4144,"Par4Performance",2009
44,44,"Lucas Glover",93,19,4.02,4088,"Par4Performance",2009
44,44,"Dustin Johnson",85,19,4.02,3616,"Par4Performance",2009
44,44,"Bryce Molder",69,19,4.02,3096,"Par4Performance",2009
44,44,"Kevin Na",91,19,4.02,3896,"Par4Performance",2009
44,44,"Webb Simpson",94,19,4.02,4056,"Par4Performance",2009
49,49,"Nick OHern",90,20,4.02,3960,"Par4Performance",2009
50,50,"Fred Couples",54,21,4.04,2328,"Par4Performance",2009
50,50,"Steve Marino",98,21,4.02,4328,"Par4Performance",2009
50,50,"Matt Weibring",65,21,4.03,2840,"Par4Performance",2009
53,53,"Luke Donald",79,22,4.03,3312,"Par4Performance",2009
53,53,"Scott McCarron",91,22,4.02,3920,"Par4Performance",2009
53,53,"Corey Pavin",73,22,4.03,3136,"Par4Performance",2009
53,53,"Andres Romero",58,22,4.04,2488,"Par4Performance",2009
53,53,"Rory Sabbatini",81,22,4.03,3464,"Par4Performance",2009
53,53,"Kevin Streelman",97,22,4.02,4264,"Par4Performance",2009
59,59,"Spencer Levin",75,24,4.03,3232,"Par4Performance",2009
59,59,"John Merrick",91,24,4.02,3952,"Par4Performance",2009
61,61,"Rich Beem",77,25,4.03,3304,"Par4Performance",2009
61,61,"Steve Elkington",70,25,4.03,2936,"Par4Performance",2009
61,61,"Sergio Garcia",59,25,4.04,2576,"Par4Performance",2009
61,61,"Anthony Kim",76,25,4.03,3264,"Par4Performance",2009
61,61,"George McNeill",82,25,4.03,3600,"Par4Performance",2009
61,61,"Justin Rose",71,25,4.03,3072,"Par4Performance",2009
61,61,"John Senden",100,25,4.02,4344,"Par4Performance",2009
68,68,"Harrison Frazar",93,26,4.03,4088,"Par4Performance",2009
68,68,"Michael Letzig",96,26,4.03,4124,"Par4Performance",2009
68,68,"Tag Ridings",50,26,4.05,2192,"Par4Performance",2009
71,71,"Brian Gay",96,28,4.03,4264,"Par4Performance",2009
71,71,"Kent Jones",73,28,4.04,3152,"Par4Performance",2009
71,71,"Bill Lunde",83,28,4.03,3632,"Par4Performance",2009
71,71,"Ryan Moore",89,28,4.03,3840,"Par4Performance",2009
75,75,"Ted Purdy",101,29,4.03,4408,"Par4Performance",2009
75,75,"Kevin Sutherland",96,29,4.03,4040,"Par4Performance",2009
77,77,"Joe Ogilvie",85,30,4.03,3640,"Par4Performance",2009
78,78,"Briny Baird",89,31,4.03,3880,"Par4Performance",2009
78,78,"Camilo Villegas",76,31,4.04,3140,"Par4Performance",2009
80,80,"Robert Garrigus",83,32,4.04,3584,"Par4Performance",2009
80,80,"Rod Pampling",72,32,4.04,3064,"Par4Performance",2009
82,82,"Chris DiMarco",97,33,4.03,4264,"Par4Performance",2009
82,82,"Charles Howell III",99,33,4.03,4296,"Par4Performance",2009
82,82,"Tim Petrovic",97,33,4.03,4160,"Par4Performance",2009
82,82,"Patrick Sheehan",51,33,4.06,2200,"Par4Performance",2009
86,86,"John Mallinger",90,34,4.04,3840,"Par4Performance",2009
86,86,"Boo Weekley",79,34,4.04,3416,"Par4Performance",2009
88,88,"DJ Trahan",96,35,4.03,4152,"Par4Performance",2009
89,89,"Phil Mickelson",66,36,4.05,2712,"Par4Performance",2009
89,89,"John Rollins",92,36,4.04,3920,"Par4Performance",2009
89,89,"Charles Warren",63,36,4.05,2672,"Par4Performance",2009
92,92,"Kris Blanks",60,37,4.06,2576,"Par4Performance",2009
92,92,"Ernie Els",70,37,4.05,2904,"Par4Performance",2009
92,92,"Lee Janzen",74,37,4.05,3176,"Par4Performance",2009
