"LateRound4ScoringAverage_RANKTHISWEEK_2010","LateRound4ScoringAverage_RANKLASTWEEK_2010","LateRound4ScoringAverage_PLAYERNAME_2010","LateRound4ScoringAverage__2010","LateRound4ScoringAverage_AVG_2010","LateRound4ScoringAverage_TOTALSTROKES_2010","LateRound4ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Matt Bettencourt",NA,67.2,336,5,"LateRound4ScoringAverage",2010
2,2,"Ryan Palmer",NA,67.33,404,6,"LateRound4ScoringAverage",2010
3,3,"Chris Riley",NA,67.83,407,6,"LateRound4ScoringAverage",2010
4,4,"Mark Wilson",NA,68.14,477,7,"LateRound4ScoringAverage",2010
5,5,"Stuart Appleby",NA,68.17,409,6,"LateRound4ScoringAverage",2010
6,6,"Jeff Quinney",NA,68.2,341,5,"LateRound4ScoringAverage",2010
7,7,"Cameron Beckman",NA,68.33,410,6,"LateRound4ScoringAverage",2010
7,7,"Charles Howell III",NA,68.33,615,9,"LateRound4ScoringAverage",2010
7,7,"Michael Sim",NA,68.33,615,9,"LateRound4ScoringAverage",2010
7,7,"Jeev Milkha Singh",NA,68.33,205,3,"LateRound4ScoringAverage",2010
11,11,"Retief Goosen",NA,68.5,822,12,"LateRound4ScoringAverage",2010
12,12,"Rory McIlroy",NA,68.83,413,6,"LateRound4ScoringAverage",2010
12,12,"Scott Verplank",NA,68.83,413,6,"LateRound4ScoringAverage",2010
12,12,"Johnson Wagner",NA,68.83,413,6,"LateRound4ScoringAverage",2010
15,15,"Ben Crane",NA,69,276,4,"LateRound4ScoringAverage",2010
15,15,"Mathew Goggin",NA,69,345,5,"LateRound4ScoringAverage",2010
15,15,"Jarrod Lyle",NA,69,207,3,"LateRound4ScoringAverage",2010
15,15,"Vaughn Taylor",NA,69,483,7,"LateRound4ScoringAverage",2010
19,19,"Jeff Overton",NA,69.11,622,9,"LateRound4ScoringAverage",2010
20,20,"Omar Uresti",NA,69.25,277,4,"LateRound4ScoringAverage",2010
21,21,"Michael Connell",NA,69.29,485,7,"LateRound4ScoringAverage",2010
22,22,"Matt Kuchar",NA,69.38,902,13,"LateRound4ScoringAverage",2010
23,23,"Marc Leishman",NA,69.5,417,6,"LateRound4ScoringAverage",2010
23,23,"Troy Matteson",NA,69.5,278,4,"LateRound4ScoringAverage",2010
23,23,"Troy Merritt",NA,69.5,417,6,"LateRound4ScoringAverage",2010
23,23,"Garrett Willis",NA,69.5,417,6,"LateRound4ScoringAverage",2010
27,27,"Bo Van Pelt",NA,69.54,904,13,"LateRound4ScoringAverage",2010
28,28,"Jonathan Byrd",NA,69.63,557,8,"LateRound4ScoringAverage",2010
28,28,"Kevin Stadler",NA,69.63,557,8,"LateRound4ScoringAverage",2010
30,30,"Bob Estes",NA,69.71,488,7,"LateRound4ScoringAverage",2010
31,31,"Kris Blanks",NA,69.75,837,12,"LateRound4ScoringAverage",2010
32,32,"James Driscoll",NA,69.8,349,5,"LateRound4ScoringAverage",2010
33,33,"Briny Baird",NA,69.83,419,6,"LateRound4ScoringAverage",2010
34,34,"DJ Trahan",NA,69.89,629,9,"LateRound4ScoringAverage",2010
35,35,"Steve Stricker",NA,69.92,909,13,"LateRound4ScoringAverage",2010
36,36,"Paul Casey",NA,70,770,11,"LateRound4ScoringAverage",2010
36,36,"Graham DeLaet",NA,70,560,8,"LateRound4ScoringAverage",2010
36,36,"David Duval",NA,70,280,4,"LateRound4ScoringAverage",2010
36,36,"Mathias Gronberg",NA,70,140,2,"LateRound4ScoringAverage",2010
36,36,"Tim Herron",NA,70,420,6,"LateRound4ScoringAverage",2010
36,36,"Rocco Mediate",NA,70,280,4,"LateRound4ScoringAverage",2010
36,36,"Shaun Micheel",NA,70,560,8,"LateRound4ScoringAverage",2010
36,36,"Ryan Moore",NA,70,560,8,"LateRound4ScoringAverage",2010
36,36,"Scott Piercy",NA,70,490,7,"LateRound4ScoringAverage",2010
36,36,"Paul Stankowski",NA,70,280,4,"LateRound4ScoringAverage",2010
36,36,"Kevin Streelman",NA,70,560,8,"LateRound4ScoringAverage",2010
36,36,"Cameron Tringale",NA,70,210,3,"LateRound4ScoringAverage",2010
48,48,"David Toms",NA,70.11,631,9,"LateRound4ScoringAverage",2010
49,49,"Webb Simpson",NA,70.14,491,7,"LateRound4ScoringAverage",2010
50,50,"Nick Watney",NA,70.23,913,13,"LateRound4ScoringAverage",2010
51,51,"Chad Campbell",NA,70.25,562,8,"LateRound4ScoringAverage",2010
51,51,"Pat Perez",NA,70.25,562,8,"LateRound4ScoringAverage",2010
51,51,"John Rollins",NA,70.25,562,8,"LateRound4ScoringAverage",2010
51,51,"Justin Rose",NA,70.25,562,8,"LateRound4ScoringAverage",2010
55,55,"Kevin Na",NA,70.31,914,13,"LateRound4ScoringAverage",2010
56,56,"Sergio Garcia",NA,70.33,211,3,"LateRound4ScoringAverage",2010
56,56,"George McNeill",NA,70.33,211,3,"LateRound4ScoringAverage",2010
58,58,"John Senden",NA,70.36,774,11,"LateRound4ScoringAverage",2010
59,59,"Bill Lunde",NA,70.4,352,5,"LateRound4ScoringAverage",2010
59,59,"Hunter Mahan",NA,70.4,704,10,"LateRound4ScoringAverage",2010
61,61,"Richard Johnson",NA,70.44,634,9,"LateRound4ScoringAverage",2010
61,61,"Aron Price",NA,70.44,634,9,"LateRound4ScoringAverage",2010
63,63,"Ernie Els",NA,70.45,775,11,"LateRound4ScoringAverage",2010
63,63,"Brandt Snedeker",NA,70.45,775,11,"LateRound4ScoringAverage",2010
65,65,"Rickie Fowler",NA,70.46,916,13,"LateRound4ScoringAverage",2010
66,66,"David Lutterus",NA,70.5,141,2,"LateRound4ScoringAverage",2010
66,66,"DA Points",NA,70.5,423,6,"LateRound4ScoringAverage",2010
68,68,"Jim Furyk",NA,70.54,917,13,"LateRound4ScoringAverage",2010
68,68,"Heath Slocum",NA,70.54,917,13,"LateRound4ScoringAverage",2010
70,70,"JB Holmes",NA,70.55,776,11,"LateRound4ScoringAverage",2010
71,71,"Jason Bohn",NA,70.6,353,5,"LateRound4ScoringAverage",2010
71,71,"Martin Laird",NA,70.6,706,10,"LateRound4ScoringAverage",2010
71,71,"Jay Williamson",NA,70.6,353,5,"LateRound4ScoringAverage",2010
74,74,"Brendon de Jonge",NA,70.61,1271,18,"LateRound4ScoringAverage",2010
75,75,"JJ Henry",NA,70.63,565,8,"LateRound4ScoringAverage",2010
75,75,"Charlie Wi",NA,70.63,565,8,"LateRound4ScoringAverage",2010
77,77,"Rich Barcelo",NA,70.67,212,3,"LateRound4ScoringAverage",2010
77,77,"Greg Kraft",NA,70.67,212,3,"LateRound4ScoringAverage",2010
77,77,"Derek Lamely",NA,70.67,212,3,"LateRound4ScoringAverage",2010
80,80,"Freddie Jacobson",NA,70.71,495,7,"LateRound4ScoringAverage",2010
80,80,"Andres Romero",NA,70.71,495,7,"LateRound4ScoringAverage",2010
82,82,"Luke Donald",NA,70.75,849,12,"LateRound4ScoringAverage",2010
82,82,"Davis Love III",NA,70.75,566,8,"LateRound4ScoringAverage",2010
84,84,"Matt Jones",NA,70.78,637,9,"LateRound4ScoringAverage",2010
84,84,"Tim Petrovic",NA,70.78,637,9,"LateRound4ScoringAverage",2010
86,86,"Robert Allenby",NA,70.8,708,10,"LateRound4ScoringAverage",2010
86,86,"Zach Johnson",NA,70.8,708,10,"LateRound4ScoringAverage",2010
88,88,"Jimmy Walker",NA,70.83,425,6,"LateRound4ScoringAverage",2010
89,89,"Ricky Barnes",NA,70.85,921,13,"LateRound4ScoringAverage",2010
90,90,"Chris Couch",NA,70.88,567,8,"LateRound4ScoringAverage",2010
90,90,"Padraig Harrington",NA,70.88,567,8,"LateRound4ScoringAverage",2010
90,90,"Bubba Watson",NA,70.88,567,8,"LateRound4ScoringAverage",2010
93,93,"Aaron Baddeley",NA,70.89,638,9,"LateRound4ScoringAverage",2010
93,93,"Adam Scott",NA,70.89,638,9,"LateRound4ScoringAverage",2010
95,95,"Josh Teater",NA,70.9,709,10,"LateRound4ScoringAverage",2010
96,96,"KJ Choi",NA,71,639,9,"LateRound4ScoringAverage",2010
96,96,"Stewart Cink",NA,71,781,11,"LateRound4ScoringAverage",2010
96,96,"Jeff Gove",NA,71,71,1,"LateRound4ScoringAverage",2010
96,96,"Charley Hoffman",NA,71,639,9,"LateRound4ScoringAverage",2010
96,96,"Steve Lowery",NA,71,71,1,"LateRound4ScoringAverage",2010
96,96,"Andrew McLardy",NA,71,71,1,"LateRound4ScoringAverage",2010
96,96,"Alex Prugh",NA,71,568,8,"LateRound4ScoringAverage",2010
96,96,"Chris Stroud",NA,71,568,8,"LateRound4ScoringAverage",2010
96,96,"Steve Wheatcroft",NA,71,213,3,"LateRound4ScoringAverage",2010
105,105,"Angel Cabrera",NA,71.1,711,10,"LateRound4ScoringAverage",2010
106,106,"John Merrick",NA,71.13,569,8,"LateRound4ScoringAverage",2010
107,107,"Joe Durant",NA,71.17,427,6,"LateRound4ScoringAverage",2010
108,108,"Carl Pettersson",NA,71.18,783,11,"LateRound4ScoringAverage",2010
109,109,"Billy Mayfair",NA,71.22,641,9,"LateRound4ScoringAverage",2010
109,109,"Bryce Molder",NA,71.22,641,9,"LateRound4ScoringAverage",2010
111,111,"Chris DiMarco",NA,71.25,570,8,"LateRound4ScoringAverage",2010
111,111,"Robert Garrigus",NA,71.25,570,8,"LateRound4ScoringAverage",2010
111,111,"Rory Sabbatini",NA,71.25,285,4,"LateRound4ScoringAverage",2010
114,114,"Camilo Villegas",NA,71.27,784,11,"LateRound4ScoringAverage",2010
115,115,"Ryuji Imada",NA,71.29,499,7,"LateRound4ScoringAverage",2010
116,116,"Spencer Levin",NA,71.3,713,10,"LateRound4ScoringAverage",2010
116,116,"Kenny Perry",NA,71.3,713,10,"LateRound4ScoringAverage",2010
118,118,"Steve Elkington",NA,71.33,428,6,"LateRound4ScoringAverage",2010
118,118,"Matt Every",NA,71.33,642,9,"LateRound4ScoringAverage",2010
120,120,"Woody Austin",NA,71.4,357,5,"LateRound4ScoringAverage",2010
121,121,"Joe Ogilvie",NA,71.43,500,7,"LateRound4ScoringAverage",2010
122,122,"Brian Davis",NA,71.5,715,10,"LateRound4ScoringAverage",2010
122,122,"Tom Gillis",NA,71.5,715,10,"LateRound4ScoringAverage",2010
122,122,"Lee Janzen",NA,71.5,572,8,"LateRound4ScoringAverage",2010
125,125,"Sean OHair",NA,71.55,787,11,"LateRound4ScoringAverage",2010
126,126,"Blake Adams",NA,71.57,501,7,"LateRound4ScoringAverage",2010
126,126,"James Nitties",NA,71.57,501,7,"LateRound4ScoringAverage",2010
128,128,"Stephen Ames",NA,71.6,358,5,"LateRound4ScoringAverage",2010
129,129,"Chad Collins",NA,71.63,573,8,"LateRound4ScoringAverage",2010
129,129,"Brett Wetterich",NA,71.63,573,8,"LateRound4ScoringAverage",2010
131,131,"Kevin Sutherland",NA,71.64,788,11,"LateRound4ScoringAverage",2010
132,132,"John Mallinger",NA,71.67,645,9,"LateRound4ScoringAverage",2010
132,132,"Brenden Pappas",NA,71.67,215,3,"LateRound4ScoringAverage",2010
134,134,"Justin Leonard",NA,71.7,717,10,"LateRound4ScoringAverage",2010
135,135,"Scott McCarron",NA,71.71,502,7,"LateRound4ScoringAverage",2010
136,136,"Phil Mickelson",NA,71.77,933,13,"LateRound4ScoringAverage",2010
137,137,"Nicholas Thompson",NA,71.78,646,9,"LateRound4ScoringAverage",2010
