"StrokeDifferentialFieldAverage_RANKTHISWEEK_2013","StrokeDifferentialFieldAverage_RANKLASTWEEK_2013","StrokeDifferentialFieldAverage_PLAYERNAME_2013","StrokeDifferentialFieldAverage_ROUNDS_2013","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2013","StrokeDifferentialFieldAverage_PLAYERSSCORE_2013","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2013","stat_name","year"
1,1,"Steve Stricker",51,2.18,69.19,71.37,"StrokeDifferentialFieldAverage",2013
2,2,"Tiger Woods",61,2.08,69.88,71.96,"StrokeDifferentialFieldAverage",2013
3,3,"Henrik Stenson",65,1.77,69.94,71.71,"StrokeDifferentialFieldAverage",2013
4,4,"Justin Rose",62,1.7,69.97,71.67,"StrokeDifferentialFieldAverage",2013
5,5,"Adam Scott",61,1.66,70.25,71.91,"StrokeDifferentialFieldAverage",2013
6,6,"Matt Kuchar",93,1.48,70.01,71.49,"StrokeDifferentialFieldAverage",2013
7,7,"Sergio Garcia",65,1.4,70.4,71.8,"StrokeDifferentialFieldAverage",2013
8,8,"Brandt Snedeker",79,1.35,70.19,71.54,"StrokeDifferentialFieldAverage",2013
9,9,"Phil Mickelson",78,1.33,70.09,71.42,"StrokeDifferentialFieldAverage",2013
10,10,"Jason Day",86,1.31,70.43,71.74,"StrokeDifferentialFieldAverage",2013
10,10,"Charl Schwartzel",69,1.31,70.46,71.77,"StrokeDifferentialFieldAverage",2013
12,12,"Jordan Spieth",82,1.3,69.98,71.28,"StrokeDifferentialFieldAverage",2013
13,13,"Keegan Bradley",88,1.27,70.01,71.28,"StrokeDifferentialFieldAverage",2013
13,13,"Jim Furyk",80,1.27,70.47,71.74,"StrokeDifferentialFieldAverage",2013
15,15,"Luke Donald",60,1.23,70.64,71.87,"StrokeDifferentialFieldAverage",2013
16,16,"Webb Simpson",92,1.16,70.26,71.42,"StrokeDifferentialFieldAverage",2013
17,17,"Bill Haas",85,1.13,70.38,71.51,"StrokeDifferentialFieldAverage",2013
18,18,"Hunter Mahan",91,1.07,70.62,71.69,"StrokeDifferentialFieldAverage",2013
19,19,"Rory McIlroy",56,0.98,71.11,72.09,"StrokeDifferentialFieldAverage",2013
20,20,"Jason Dufner",78,0.97,70.55,71.52,"StrokeDifferentialFieldAverage",2013
20,20,"Zach Johnson",84,0.97,70.42,71.39,"StrokeDifferentialFieldAverage",2013
20,20,"Bubba Watson",76,0.97,70.7,71.67,"StrokeDifferentialFieldAverage",2013
23,23,"Graham DeLaet",94,0.95,70.2,71.15,"StrokeDifferentialFieldAverage",2013
24,24,"Lee Westwood",70,0.94,71,71.94,"StrokeDifferentialFieldAverage",2013
25,25,"Rickie Fowler",75,0.93,70.88,71.81,"StrokeDifferentialFieldAverage",2013
25,25,"Charles Howell III",87,0.93,70.07,71,"StrokeDifferentialFieldAverage",2013
27,27,"Dustin Johnson",71,0.92,70.76,71.68,"StrokeDifferentialFieldAverage",2013
27,27,"Chris Kirk",89,0.92,70.01,70.93,"StrokeDifferentialFieldAverage",2013
29,29,"Jimmy Walker",84,0.91,70.4,71.31,"StrokeDifferentialFieldAverage",2013
30,30,"Brendon de Jonge",110,0.86,70.01,70.87,"StrokeDifferentialFieldAverage",2013
30,30,"Matt Jones",83,0.86,70.17,71.03,"StrokeDifferentialFieldAverage",2013
32,32,"Freddie Jacobson",63,0.82,70.87,71.69,"StrokeDifferentialFieldAverage",2013
33,33,"Billy Horschel",96,0.79,70.49,71.28,"StrokeDifferentialFieldAverage",2013
34,34,"KJ Choi",85,0.75,70.79,71.54,"StrokeDifferentialFieldAverage",2013
35,35,"Ryan Palmer",79,0.74,70.32,71.06,"StrokeDifferentialFieldAverage",2013
36,36,"Bob Estes",66,0.73,70.42,71.15,"StrokeDifferentialFieldAverage",2013
37,37,"Kevin Streelman",86,0.69,70.6,71.29,"StrokeDifferentialFieldAverage",2013
38,38,"Ian Poulter",59,0.66,71.17,71.83,"StrokeDifferentialFieldAverage",2013
39,39,"Chris Stroud",88,0.65,70.52,71.17,"StrokeDifferentialFieldAverage",2013
40,40,"Charley Hoffman",84,0.64,70.8,71.44,"StrokeDifferentialFieldAverage",2013
41,41,"Ernie Els",63,0.6,71.23,71.83,"StrokeDifferentialFieldAverage",2013
42,42,"Roberto Castro",97,0.59,70.35,70.94,"StrokeDifferentialFieldAverage",2013
43,43,"Harris English",95,0.58,70.46,71.04,"StrokeDifferentialFieldAverage",2013
44,44,"Bryce Molder",82,0.53,70.26,70.79,"StrokeDifferentialFieldAverage",2013
45,45,"Jerry Kelly",75,0.51,70.55,71.06,"StrokeDifferentialFieldAverage",2013
45,45,"Graeme McDowell",53,0.51,71.35,71.86,"StrokeDifferentialFieldAverage",2013
47,47,"Camilo Villegas",79,0.48,70.55,71.03,"StrokeDifferentialFieldAverage",2013
48,48,"Stewart Cink",71,0.47,71.15,71.62,"StrokeDifferentialFieldAverage",2013
48,48,"Peter Hanson",45,0.47,71.3,71.77,"StrokeDifferentialFieldAverage",2013
50,50,"Russell Henley",80,0.46,70.91,71.37,"StrokeDifferentialFieldAverage",2013
50,50,"Kevin Stadler",83,0.46,70.35,70.81,"StrokeDifferentialFieldAverage",2013
52,52,"Cameron Tringale",80,0.45,70.64,71.09,"StrokeDifferentialFieldAverage",2013
53,53,"Marc Leishman",77,0.44,71.13,71.57,"StrokeDifferentialFieldAverage",2013
53,53,"Rory Sabbatini",86,0.44,70.26,70.7,"StrokeDifferentialFieldAverage",2013
55,55,"Brian Davis",91,0.43,70.77,71.2,"StrokeDifferentialFieldAverage",2013
55,55,"Nick Watney",88,0.43,70.97,71.4,"StrokeDifferentialFieldAverage",2013
57,57,"David Hearn",88,0.41,70.75,71.16,"StrokeDifferentialFieldAverage",2013
57,57,"John Merrick",79,0.41,70.72,71.13,"StrokeDifferentialFieldAverage",2013
59,59,"Pat Perez",69,0.4,70.84,71.24,"StrokeDifferentialFieldAverage",2013
59,59,"Chez Reavie",72,0.4,70.57,70.97,"StrokeDifferentialFieldAverage",2013
61,61,"Daniel Summerhays",83,0.39,70.64,71.03,"StrokeDifferentialFieldAverage",2013
62,62,"James Driscoll",76,0.38,70.97,71.35,"StrokeDifferentialFieldAverage",2013
62,62,"Martin Flores",83,0.38,70.45,70.83,"StrokeDifferentialFieldAverage",2013
62,62,"Ted Potter Jr",65,0.38,71.02,71.4,"StrokeDifferentialFieldAverage",2013
65,65,"John Huh",88,0.37,71.18,71.55,"StrokeDifferentialFieldAverage",2013
66,66,"Gary Woodland",94,0.34,70.8,71.14,"StrokeDifferentialFieldAverage",2013
67,67,"Richard Lee",81,0.33,70.81,71.14,"StrokeDifferentialFieldAverage",2013
68,68,"Boo Weekley",100,0.32,70.71,71.03,"StrokeDifferentialFieldAverage",2013
69,69,"John Rollins",77,0.31,70.62,70.93,"StrokeDifferentialFieldAverage",2013
70,70,"Morgan Hoffmann",64,0.29,70.41,70.7,"StrokeDifferentialFieldAverage",2013
70,70,"Ryan Moore",72,0.29,71.24,71.53,"StrokeDifferentialFieldAverage",2013
72,72,"Kevin Chappell",80,0.28,71.06,71.34,"StrokeDifferentialFieldAverage",2013
72,72,"David Lynn",70,0.28,71.41,71.69,"StrokeDifferentialFieldAverage",2013
72,72,"Josh Teater",86,0.28,71.22,71.5,"StrokeDifferentialFieldAverage",2013
75,75,"Martin Kaymer",61,0.27,71.52,71.79,"StrokeDifferentialFieldAverage",2013
76,76,"Stuart Appleby",88,0.26,70.69,70.95,"StrokeDifferentialFieldAverage",2013
76,76,"Justin Leonard",86,0.26,70.8,71.06,"StrokeDifferentialFieldAverage",2013
78,78,"Jeff Overton",78,0.25,70.69,70.94,"StrokeDifferentialFieldAverage",2013
79,79,"Patrick Reed",83,0.22,70.72,70.94,"StrokeDifferentialFieldAverage",2013
79,79,"Brian Stuard",78,0.22,70.86,71.08,"StrokeDifferentialFieldAverage",2013
81,81,"Jason Kokrak",78,0.21,70.79,71,"StrokeDifferentialFieldAverage",2013
