"FedExCupStandings_RANKTHISWEEK_2008","FedExCupStandings_RANKLASTWEEK_2008","FedExCupStandings_PLAYERNAME_2008","FedExCupStandings_EVENTS_2008","FedExCupStandings_POINTS_2008","FedExCupStandings_OFWINS_2008","FedExCupStandings_OFTOP10S_2008","FedExCupStandings_POINTSBEHINDLEAD_2008","FedExCupStandings_RESETPOINTS_2008","stat_name","year"
1,1,"Vijay Singh",23,41635,2,2,NA,98500,"FedExCupStandings",2008
2,2,"Camilo Villegas",22,34541,2,3,7094,96150,"FedExCupStandings",2008
3,3,"Sergio Garcia",19,31726,NA,3,9909,97975,"FedExCupStandings",2008
4,4,"Phil Mickelson",21,31192,NA,1,10443,99250,"FedExCupStandings",2008
5,5,"Anthony Kim",22,30847,NA,2,10788,98750,"FedExCupStandings",2008
6,6,"Kenny Perry",26,29468,3,7,12167,99500,"FedExCupStandings",2008
7,7,"Justin Leonard",24,25997,NA,3,15638,98375,"FedExCupStandings",2008
8,8,"Jim Furyk",26,24868,NA,3,16767,97750,"FedExCupStandings",2008
9,9,"Stewart Cink",22,23908,1,7,17727,98625,"FedExCupStandings",2008
10,10,"Mike Weir",24,23033,NA,3,18602,96110,"FedExCupStandings",2008
11,11,"Tiger Woods",6,22695,4,6,18940,1e+05,"FedExCupStandings",2008
12,12,"KJ Choi",21,21889,NA,2,19746,97600,"FedExCupStandings",2008
13,13,"Ben Curtis",22,20956,NA,2,20679,96850,"FedExCupStandings",2008
14,14,"Robert Allenby",25,20205,NA,7,21430,98050,"FedExCupStandings",2008
15,15,"Carl Pettersson",26,19315,1,5,22320,97900,"FedExCupStandings",2008
16,16,"Kevin Sutherland",24,19242,NA,1,22393,95550,"FedExCupStandings",2008
17,17,"Steve Stricker",22,19163,NA,1,22472,97300,"FedExCupStandings",2008
18,18,"Stuart Appleby",23,18977,NA,1,22658,97450,"FedExCupStandings",2008
19,19,"Trevor Immelman",22,18861,NA,1,22774,97375,"FedExCupStandings",2008
20,20,"Ryuji Imada",23,18856,1,4,22779,98250,"FedExCupStandings",2008
21,21,"Ernie Els",16,18723,NA,2,22912,96775,"FedExCupStandings",2008
22,22,"Dudley Hart",21,18620,NA,2,23015,95110,"FedExCupStandings",2008
23,23,"Hunter Mahan",26,18312,NA,1,23323,96590,"FedExCupStandings",2008
24,24,"Padraig Harrington",15,17668,2,6,23967,99000,"FedExCupStandings",2008
25,25,"DJ Trahan",27,17274,NA,1,24361,97525,"FedExCupStandings",2008
26,26,"Ken Duke",29,16886,NA,1,24749,95790,"FedExCupStandings",2008
27,27,"Billy Mayfair",27,16805,NA,1,24830,96350,"FedExCupStandings",2008
28,28,"Briny Baird",27,15865,NA,3,25770,96700,"FedExCupStandings",2008
29,29,"Chad Campbell",26,15686,NA,1,25949,97150,"FedExCupStandings",2008
30,30,"Tim Clark",24,15649,NA,1,25986,95430,"FedExCupStandings",2008
31,31,"Andres Romero",20,15609,1,3,26026,96925,"FedExCupStandings",2008
32,32,"Geoff Ogilvy",20,15304,1,6,26331,98125,"FedExCupStandings",2008
33,33,"Bubba Watson",27,14850,NA,3,26785,95590,"FedExCupStandings",2008
34,34,"Boo Weekley",23,14342,1,5,27293,97825,"FedExCupStandings",2008
35,35,"Stephen Ames",21,12853,NA,1,28782,96630,"FedExCupStandings",2008
36,36,"JB Holmes",24,12500,1,3,29135,97225,"FedExCupStandings",2008
37,37,"Brandt Snedeker",26,12211,NA,5,29424,95870,"FedExCupStandings",2008
38,38,"Steve Marino",27,12160,NA,1,29475,96310,"FedExCupStandings",2008
39,39,"Kevin Streelman",27,12048,NA,1,29587,93750,"FedExCupStandings",2008
40,40,"Adam Scott",15,11777,1,3,29858,97075,"FedExCupStandings",2008
41,41,"John Senden",25,11731,NA,3,29904,95270,"FedExCupStandings",2008
42,42,"Brian Gay",25,11465,1,4,30170,96270,"FedExCupStandings",2008
43,43,"Dean Wilson",29,11372,NA,3,30263,95030,"FedExCupStandings",2008
44,44,"Bart Bryant",22,11356,NA,2,30279,96550,"FedExCupStandings",2008
45,45,"Charlie Wi",24,11345,NA,3,30290,95190,"FedExCupStandings",2008
46,46,"John Merrick",24,11344,NA,4,30291,95070,"FedExCupStandings",2008
47,47,"Nicholas Thompson",30,11302,NA,1,30333,95950,"FedExCupStandings",2008
48,48,"Aaron Baddeley",21,11250,NA,1,30385,96030,"FedExCupStandings",2008
