"RightRoughTendencyRTPScore_RANKTHISWEEK_2015","RightRoughTendencyRTPScore_RANKLASTWEEK_2015","RightRoughTendencyRTPScore_PLAYERNAME_2015","RightRoughTendencyRTPScore_ROUNDS_2015","RightRoughTendencyRTPScore_RTPSCORE_2015","stat_name","year"
1,1,"Bubba Watson",71,-0.129,"RightRoughTendencyRTPScore",2015
2,2,"Matt Kuchar",97,-0.089,"RightRoughTendencyRTPScore",2015
3,3,"Jordan Spieth",91,-0.081,"RightRoughTendencyRTPScore",2015
4,4,"Boo Weekley",79,-0.068,"RightRoughTendencyRTPScore",2015
5,5,"Dustin Johnson",75,-0.063,"RightRoughTendencyRTPScore",2015
6,6,"Jason Kokrak",88,-0.06,"RightRoughTendencyRTPScore",2015
7,7,"Stewart Cink",77,-0.049,"RightRoughTendencyRTPScore",2015
8,8,"Andres Romero",69,-0.04,"RightRoughTendencyRTPScore",2015
9,9,"Jason Day",75,-0.039,"RightRoughTendencyRTPScore",2015
10,10,"Blayne Barber",76,-0.029,"RightRoughTendencyRTPScore",2015
10,10,"Patrick Reed",103,-0.029,"RightRoughTendencyRTPScore",2015
12,12,"Morgan Hoffmann",85,-0.018,"RightRoughTendencyRTPScore",2015
13,13,"Tony Finau",106,-0.016,"RightRoughTendencyRTPScore",2015
14,14,"Francesco Molinari",56,0,"RightRoughTendencyRTPScore",2015
14,14,"DA Points",72,0,"RightRoughTendencyRTPScore",2015
14,14,"Scott Stallings",60,0,"RightRoughTendencyRTPScore",2015
14,14,"Henrik Stenson",63,0,"RightRoughTendencyRTPScore",2015
18,18,"Charley Hoffman",97,0.005,"RightRoughTendencyRTPScore",2015
19,19,"Pat Perez",96,0.006,"RightRoughTendencyRTPScore",2015
20,20,"Russell Henley",87,0.01,"RightRoughTendencyRTPScore",2015
21,21,"Brendan Steele",88,0.012,"RightRoughTendencyRTPScore",2015
22,22,"Brian Harman",90,0.014,"RightRoughTendencyRTPScore",2015
23,23,"Ryan Palmer",80,0.015,"RightRoughTendencyRTPScore",2015
23,23,"Rory Sabbatini",81,0.015,"RightRoughTendencyRTPScore",2015
25,25,"George McNeill",93,0.016,"RightRoughTendencyRTPScore",2015
26,26,"Keegan Bradley",87,0.017,"RightRoughTendencyRTPScore",2015
27,27,"Paul Casey",87,0.018,"RightRoughTendencyRTPScore",2015
28,28,"Chris Kirk",76,0.019,"RightRoughTendencyRTPScore",2015
28,28,"Johnson Wagner",68,0.019,"RightRoughTendencyRTPScore",2015
30,30,"Zach Johnson",90,0.021,"RightRoughTendencyRTPScore",2015
31,31,"James Hahn",94,0.023,"RightRoughTendencyRTPScore",2015
32,32,"Webb Simpson",81,0.029,"RightRoughTendencyRTPScore",2015
33,33,"Kevin Kisner",104,0.031,"RightRoughTendencyRTPScore",2015
34,34,"Carl Pettersson",106,0.034,"RightRoughTendencyRTPScore",2015
35,35,"Phil Mickelson",70,0.035,"RightRoughTendencyRTPScore",2015
36,36,"Bill Haas",89,0.037,"RightRoughTendencyRTPScore",2015
37,37,"JB Holmes",89,0.04,"RightRoughTendencyRTPScore",2015
38,38,"Shawn Stefani",94,0.043,"RightRoughTendencyRTPScore",2015
39,39,"Jim Furyk",71,0.044,"RightRoughTendencyRTPScore",2015
39,39,"Will Wilcox",58,0.044,"RightRoughTendencyRTPScore",2015
41,41,"Scott Brown",97,0.045,"RightRoughTendencyRTPScore",2015
42,42,"Sergio Garcia",59,0.047,"RightRoughTendencyRTPScore",2015
43,43,"Martin Flores",95,0.048,"RightRoughTendencyRTPScore",2015
43,43,"Ryo Ishikawa",90,0.048,"RightRoughTendencyRTPScore",2015
43,43,"Justin Rose",69,0.048,"RightRoughTendencyRTPScore",2015
43,43,"Justin Thomas",106,0.048,"RightRoughTendencyRTPScore",2015
47,47,"Charl Schwartzel",67,0.049,"RightRoughTendencyRTPScore",2015
48,48,"Cameron Percy",72,0.05,"RightRoughTendencyRTPScore",2015
49,49,"Robert Garrigus",70,0.051,"RightRoughTendencyRTPScore",2015
50,50,"Robert Streb",110,0.053,"RightRoughTendencyRTPScore",2015
51,51,"Derek Ernst",75,0.056,"RightRoughTendencyRTPScore",2015
52,52,"Chad Collins",79,0.058,"RightRoughTendencyRTPScore",2015
52,52,"Brooks Koepka",84,0.058,"RightRoughTendencyRTPScore",2015
54,54,"Matt Jones",89,0.059,"RightRoughTendencyRTPScore",2015
55,55,"Hideki Matsuyama",95,0.061,"RightRoughTendencyRTPScore",2015
56,56,"Derek Fathauer",81,0.063,"RightRoughTendencyRTPScore",2015
56,56,"Tyrone Van Aswegen",58,0.063,"RightRoughTendencyRTPScore",2015
58,58,"Tom Hoge",83,0.065,"RightRoughTendencyRTPScore",2015
59,59,"Billy Horschel",99,0.066,"RightRoughTendencyRTPScore",2015
60,60,"Jason Dufner",76,0.067,"RightRoughTendencyRTPScore",2015
60,60,"Jim Herman",88,0.067,"RightRoughTendencyRTPScore",2015
60,60,"Greg Owen",58,0.067,"RightRoughTendencyRTPScore",2015
63,63,"Jerry Kelly",79,0.068,"RightRoughTendencyRTPScore",2015
63,63,"Davis Love III",51,0.068,"RightRoughTendencyRTPScore",2015
65,65,"Jamie Donaldson",50,0.069,"RightRoughTendencyRTPScore",2015
66,66,"Mark Wilson",89,0.07,"RightRoughTendencyRTPScore",2015
67,67,"Whee Kim",71,0.071,"RightRoughTendencyRTPScore",2015
67,67,"Danny Lee",120,0.071,"RightRoughTendencyRTPScore",2015
69,69,"Charles Howell III",105,0.072,"RightRoughTendencyRTPScore",2015
70,70,"Kevin Chappell",86,0.073,"RightRoughTendencyRTPScore",2015
71,71,"Jon Curran",83,0.076,"RightRoughTendencyRTPScore",2015
72,72,"Seung Yul Noh",65,0.077,"RightRoughTendencyRTPScore",2015
73,73,"Steven Bowditch",103,0.078,"RightRoughTendencyRTPScore",2015
73,73,"Jonathan Byrd",69,0.078,"RightRoughTendencyRTPScore",2015
75,75,"Gary Woodland",81,0.079,"RightRoughTendencyRTPScore",2015
76,76,"Bo Van Pelt",81,0.08,"RightRoughTendencyRTPScore",2015
77,77,"Luke Guthrie",84,0.081,"RightRoughTendencyRTPScore",2015
77,77,"Hudson Swafford",97,0.081,"RightRoughTendencyRTPScore",2015
79,79,"Andrew Putnam",68,0.082,"RightRoughTendencyRTPScore",2015
80,80,"Carlos Ortiz",100,0.083,"RightRoughTendencyRTPScore",2015
81,81,"Oscar Fraustro",58,0.085,"RightRoughTendencyRTPScore",2015
81,81,"Hunter Mahan",88,0.085,"RightRoughTendencyRTPScore",2015
83,83,"Bryce Molder",91,0.086,"RightRoughTendencyRTPScore",2015
84,84,"Ian Poulter",68,0.087,"RightRoughTendencyRTPScore",2015
85,85,"Jimmy Walker",89,0.088,"RightRoughTendencyRTPScore",2015
86,86,"Alex Prugh",84,0.089,"RightRoughTendencyRTPScore",2015
87,87,"Angel Cabrera",53,0.091,"RightRoughTendencyRTPScore",2015
87,87,"Brendon de Jonge",106,0.091,"RightRoughTendencyRTPScore",2015
89,89,"Robert Allenby",63,0.092,"RightRoughTendencyRTPScore",2015
90,90,"Greg Chalmers",58,0.093,"RightRoughTendencyRTPScore",2015
90,90,"Max Homa",78,0.093,"RightRoughTendencyRTPScore",2015
92,92,"Erik Compton",86,0.094,"RightRoughTendencyRTPScore",2015
92,92,"David Lingmerth",90,0.094,"RightRoughTendencyRTPScore",2015
92,92,"Daniel Summerhays",101,0.094,"RightRoughTendencyRTPScore",2015
92,92,"Brendon Todd",96,0.094,"RightRoughTendencyRTPScore",2015
96,96,"Lee Westwood",56,0.095,"RightRoughTendencyRTPScore",2015
97,97,"Brian Davis",86,0.096,"RightRoughTendencyRTPScore",2015
97,97,"Sean OHair",86,0.096,"RightRoughTendencyRTPScore",2015
99,99,"Luke Donald",71,0.097,"RightRoughTendencyRTPScore",2015
99,99,"Andres Gonzales",90,0.097,"RightRoughTendencyRTPScore",2015
99,99,"Louis Oosthuizen",68,0.097,"RightRoughTendencyRTPScore",2015
99,99,"Scott Pinckney",88,0.097,"RightRoughTendencyRTPScore",2015
99,99,"Michael Thompson",83,0.097,"RightRoughTendencyRTPScore",2015
104,104,"Harris English",105,0.102,"RightRoughTendencyRTPScore",2015
104,104,"Brandt Snedeker",98,0.102,"RightRoughTendencyRTPScore",2015
106,106,"Roberto Castro",54,0.103,"RightRoughTendencyRTPScore",2015
106,106,"Marc Leishman",74,0.103,"RightRoughTendencyRTPScore",2015
106,106,"Patrick Rodgers",57,0.103,"RightRoughTendencyRTPScore",2015
109,109,"John Peterson",84,0.104,"RightRoughTendencyRTPScore",2015
110,110,"Padraig Harrington",60,0.105,"RightRoughTendencyRTPScore",2015
111,111,"Ricky Barnes",82,0.106,"RightRoughTendencyRTPScore",2015
112,112,"Kevin Streelman",95,0.107,"RightRoughTendencyRTPScore",2015
113,113,"Retief Goosen",81,0.108,"RightRoughTendencyRTPScore",2015
113,113,"Mark Hubbard",79,0.108,"RightRoughTendencyRTPScore",2015
115,115,"Camilo Villegas",83,0.109,"RightRoughTendencyRTPScore",2015
116,116,"Zac Blair",108,0.11,"RightRoughTendencyRTPScore",2015
116,116,"Jason Bohn",95,0.11,"RightRoughTendencyRTPScore",2015
118,118,"Aaron Baddeley",76,0.111,"RightRoughTendencyRTPScore",2015
119,119,"Jason Gore",76,0.112,"RightRoughTendencyRTPScore",2015
120,120,"Ken Duke",93,0.114,"RightRoughTendencyRTPScore",2015
121,121,"Scott Piercy",90,0.116,"RightRoughTendencyRTPScore",2015
122,122,"Chesson Hadley",101,0.117,"RightRoughTendencyRTPScore",2015
123,123,"Ben Crane",62,0.12,"RightRoughTendencyRTPScore",2015
123,123,"Bill Lunde",50,0.12,"RightRoughTendencyRTPScore",2015
125,125,"Alex Cejka",94,0.121,"RightRoughTendencyRTPScore",2015
125,125,"Billy Hurley III",83,0.121,"RightRoughTendencyRTPScore",2015
125,125,"David Toms",62,0.121,"RightRoughTendencyRTPScore",2015
128,128,"JJ Henry",94,0.124,"RightRoughTendencyRTPScore",2015
128,128,"Byron Smith",59,0.124,"RightRoughTendencyRTPScore",2015
130,130,"Sangmoon Bae",98,0.126,"RightRoughTendencyRTPScore",2015
131,131,"Scott Langley",94,0.128,"RightRoughTendencyRTPScore",2015
131,131,"Sam Saunders",83,0.128,"RightRoughTendencyRTPScore",2015
131,131,"Nick Taylor",91,0.128,"RightRoughTendencyRTPScore",2015
134,134,"Vijay Singh",78,0.129,"RightRoughTendencyRTPScore",2015
135,135,"William McGirt",103,0.13,"RightRoughTendencyRTPScore",2015
135,135,"Steve Wheatcroft",87,0.13,"RightRoughTendencyRTPScore",2015
137,137,"SJ Park",79,0.131,"RightRoughTendencyRTPScore",2015
137,137,"Jonathan Randolph",72,0.131,"RightRoughTendencyRTPScore",2015
139,139,"Rickie Fowler",76,0.133,"RightRoughTendencyRTPScore",2015
140,140,"Colt Knost",90,0.136,"RightRoughTendencyRTPScore",2015
140,140,"Martin Laird",77,0.136,"RightRoughTendencyRTPScore",2015
142,142,"John Merrick",78,0.141,"RightRoughTendencyRTPScore",2015
142,142,"John Senden",80,0.141,"RightRoughTendencyRTPScore",2015
144,144,"Chad Campbell",97,0.143,"RightRoughTendencyRTPScore",2015
145,145,"KJ Choi",66,0.144,"RightRoughTendencyRTPScore",2015
146,146,"Brian Stuard",97,0.145,"RightRoughTendencyRTPScore",2015
147,147,"Jonas Blixt",78,0.146,"RightRoughTendencyRTPScore",2015
148,148,"Daniel Berger",97,0.147,"RightRoughTendencyRTPScore",2015
149,149,"Graham DeLaet",65,0.149,"RightRoughTendencyRTPScore",2015
149,149,"Tim Wilkinson",73,0.149,"RightRoughTendencyRTPScore",2015
151,151,"Eric Axley",57,0.15,"RightRoughTendencyRTPScore",2015
151,151,"Nicholas Thompson",90,0.15,"RightRoughTendencyRTPScore",2015
153,153,"Nick Watney",91,0.152,"RightRoughTendencyRTPScore",2015
154,154,"Jhonattan Vegas",90,0.153,"RightRoughTendencyRTPScore",2015
155,155,"Steven Alker",62,0.154,"RightRoughTendencyRTPScore",2015
155,155,"Kevin Na",98,0.154,"RightRoughTendencyRTPScore",2015
157,157,"Jeff Overton",94,0.156,"RightRoughTendencyRTPScore",2015
158,158,"Ernie Els",57,0.157,"RightRoughTendencyRTPScore",2015
159,159,"Kyle Reifers",96,0.159,"RightRoughTendencyRTPScore",2015
160,160,"Michael Putnam",87,0.16,"RightRoughTendencyRTPScore",2015
161,161,"Charlie Beljan",76,0.162,"RightRoughTendencyRTPScore",2015
162,162,"Russell Knox",96,0.163,"RightRoughTendencyRTPScore",2015
163,163,"Ryan Moore",81,0.165,"RightRoughTendencyRTPScore",2015
164,164,"Roger Sloan",56,0.172,"RightRoughTendencyRTPScore",2015
165,165,"Troy Merritt",91,0.175,"RightRoughTendencyRTPScore",2015
166,166,"David Hearn",97,0.179,"RightRoughTendencyRTPScore",2015
167,167,"John Huh",102,0.181,"RightRoughTendencyRTPScore",2015
167,167,"Geoff Ogilvy",50,0.181,"RightRoughTendencyRTPScore",2015
169,169,"Adam Scott",51,0.183,"RightRoughTendencyRTPScore",2015
170,170,"Gonzalo Fdez Castano",81,0.184,"RightRoughTendencyRTPScore",2015
171,171,"Lucas Glover",79,0.185,"RightRoughTendencyRTPScore",2015
172,172,"Brice Garnett",81,0.186,"RightRoughTendencyRTPScore",2015
173,173,"Ben Martin",93,0.187,"RightRoughTendencyRTPScore",2015
174,174,"Cameron Tringale",96,0.195,"RightRoughTendencyRTPScore",2015
175,175,"Fabian Gomez",83,0.199,"RightRoughTendencyRTPScore",2015
175,175,"Adam Hadwin",95,0.199,"RightRoughTendencyRTPScore",2015
177,177,"Jim Renner",68,0.214,"RightRoughTendencyRTPScore",2015
178,178,"Justin Leonard",61,0.217,"RightRoughTendencyRTPScore",2015
179,179,"Andrew Svoboda",80,0.222,"RightRoughTendencyRTPScore",2015
180,180,"Chris Stroud",84,0.223,"RightRoughTendencyRTPScore",2015
181,181,"Heath Slocum",57,0.229,"RightRoughTendencyRTPScore",2015
182,182,"Chez Reavie",56,0.232,"RightRoughTendencyRTPScore",2015
183,183,"Spencer Levin",99,0.234,"RightRoughTendencyRTPScore",2015
184,184,"Matt Every",73,0.264,"RightRoughTendencyRTPScore",2015
