"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2008","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2008","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2008","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2008","ofPotentialPtswonFedExCupPlayoffs_Pct_2008","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2008","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2008","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2008","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2008","stat_name","year"
1,1,"Camilo Villegas",22,62.42,28400,45500,2,3,"ofPotentialPtswonFedExCupPlayoffs",2008
2,2,"Vijay Singh",23,58.46,26601,45500,2,2,"ofPotentialPtswonFedExCupPlayoffs",2008
3,3,"Sergio Garcia",19,47.09,21425,45500,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2008
4,4,"Mike Weir",26,37.38,17008,45500,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2008
5,5,"Anthony Kim",22,34.44,15669,45500,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2008
6,6,"Jim Furyk",26,33.91,15430,45500,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2008
7,7,"Ben Curtis",22,30.44,13852,45500,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2008
8,8,"Kevin Sutherland",26,30.39,13828,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
9,9,"Dudley Hart",22,30.38,13821,45500,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2008
10,10,"Justin Leonard",25,29.15,13263,45500,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2008
11,11,"KJ Choi",21,28.67,13046,45500,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2008
12,12,"Phil Mickelson",21,28.46,12951,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
13,13,"Kevin Streelman",32,26.2,8646,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
14,14,"Tim Herron",28,25.77,8506,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
15,15,"Ernie Els",16,25.71,11700,45500,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2008
16,16,"Hunter Mahan",27,25.07,11409,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
17,17,"Ken Duke",33,24.82,11292,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
18,18,"Steve Stricker",22,24.35,11081,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
19,19,"Angel Cabrera",17,23.77,7845,33000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2008
20,20,"Trevor Immelman",22,23.41,10653,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
21,21,"Martin Laird",29,23.28,7683,33000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
22,22,"Stuart Appleby",23,23.24,10575,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
23,23,"Tim Clark",27,23.05,10490,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
24,24,"Billy Mayfair",29,22.72,10339,45500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2008
