"SmashFactor_RANKTHISWEEK_2009","SmashFactor_RANKLASTWEEK_2009","SmashFactor_PLAYERNAME_2009","SmashFactor_ROUNDS_2009","SmashFactor_AVG_2009","SmashFactor_TOTALSMASHFACTOR_2009","SmashFactor_TOTALATTEMPTS_2009","SmashFactor_HIGHESTVALUE_2009","SmashFactor_LOWESTVALUE_2009","stat_name","year"
1,1,"Robert Allenby",71,1.484,81.627,55,1.485,1.471,"SmashFactor",2009
1,1,"Mark Brooks",55,1.484,54.913,37,1.485,1.477,"SmashFactor",2009
1,1,"KJ Choi",65,1.484,86.05,58,1.485,1.461,"SmashFactor",2009
1,1,"JB Holmes",74,1.484,80.122,54,1.489,1.463,"SmashFactor",2009
1,1,"Cliff Kresge",78,1.484,99.397,67,1.485,1.457,"SmashFactor",2009
1,1,"Justin Leonard",95,1.484,130.554,88,1.499,1.445,"SmashFactor",2009
1,1,"Peter Lonard",86,1.484,112.798,76,1.485,1.475,"SmashFactor",2009
1,1,"John Mallinger",90,1.484,111.285,75,1.485,1.469,"SmashFactor",2009
1,1,"Rocco Mediate",79,1.484,89.021,60,1.485,1.449,"SmashFactor",2009
1,1,"James Nitties",86,1.484,87.527,59,1.485,1.457,"SmashFactor",2009
1,1,"Joe Ogilvie",85,1.484,105.359,71,1.485,1.467,"SmashFactor",2009
1,1,"Ryan Palmer",78,1.484,100.908,68,1.485,1.469,"SmashFactor",2009
1,1,"Ian Poulter",59,1.484,74.202,50,1.485,1.469,"SmashFactor",2009
1,1,"John Rollins",92,1.484,117.211,79,1.485,1.467,"SmashFactor",2009
1,1,"Bo Van Pelt",100,1.484,111.295,75,1.485,1.471,"SmashFactor",2009
16,16,"Jason Bohn",88,1.483,123.059,83,1.485,1.449,"SmashFactor",2009
16,16,"Fred Couples",54,1.483,63.749,43,1.487,1.461,"SmashFactor",2009
16,16,"Ernie Els",70,1.483,78.573,53,1.485,1.449,"SmashFactor",2009
16,16,"Derek Fathauer",63,1.483,69.697,47,1.485,1.467,"SmashFactor",2009
16,16,"Brad Faxon",59,1.483,83.052,56,1.485,1.455,"SmashFactor",2009
16,16,"Harrison Frazar",93,1.483,115.706,78,1.485,1.471,"SmashFactor",2009
16,16,"Robert Garrigus",83,1.483,88.968,60,1.485,1.457,"SmashFactor",2009
16,16,"Dustin Johnson",85,1.483,96.375,65,1.485,1.457,"SmashFactor",2009
16,16,"Martin Laird",72,1.483,80.06,54,1.485,1.447,"SmashFactor",2009
16,16,"Marc Leishman",91,1.483,112.678,76,1.485,1.453,"SmashFactor",2009
16,16,"Michael Letzig",96,1.483,134.914,91,1.5,1.449,"SmashFactor",2009
16,16,"Spencer Levin",75,1.483,100.816,68,1.485,1.459,"SmashFactor",2009
16,16,"Bill Lunde",83,1.483,112.726,76,1.485,1.463,"SmashFactor",2009
16,16,"Jeff Maggert",79,1.483,106.78,72,1.485,1.465,"SmashFactor",2009
16,16,"Parker McLachlin",71,1.483,93.399,63,1.487,1.449,"SmashFactor",2009
16,16,"Sean OHair",80,1.483,87.481,59,1.489,1.449,"SmashFactor",2009
16,16,"Nick OHern",90,1.483,129.039,87,1.485,1.463,"SmashFactor",2009
16,16,"Geoff Ogilvy",78,1.483,102.328,69,1.512,1.463,"SmashFactor",2009
16,16,"Kenny Perry",92,1.483,120.125,81,1.485,1.463,"SmashFactor",2009
16,16,"Carl Pettersson",86,1.483,115.656,78,1.485,1.461,"SmashFactor",2009
16,16,"Scott Piercy",85,1.483,91.952,62,1.485,1.471,"SmashFactor",2009
16,16,"Aron Price",89,1.483,105.315,71,1.487,1.463,"SmashFactor",2009
16,16,"Chris Riley",77,1.483,87.481,59,1.495,1.465,"SmashFactor",2009
16,16,"Andres Romero",58,1.483,77.106,52,1.485,1.449,"SmashFactor",2009
16,16,"Rory Sabbatini",81,1.483,102.351,69,1.485,1.449,"SmashFactor",2009
16,16,"Vijay Singh",71,1.483,90.467,61,1.485,1.463,"SmashFactor",2009
16,16,"Heath Slocum",95,1.483,121.582,82,1.485,1.449,"SmashFactor",2009
16,16,"Peter Tomasulo",61,1.483,63.753,43,1.485,1.465,"SmashFactor",2009
16,16,"David Toms",98,1.483,123.091,83,1.489,1.435,"SmashFactor",2009
16,16,"Brian Vranesh",51,1.483,53.378,36,1.485,1.449,"SmashFactor",2009
16,16,"Jimmy Walker",74,1.483,74.15,50,1.485,1.459,"SmashFactor",2009
16,16,"Jay Williamson",69,1.483,83.062,56,1.485,1.467,"SmashFactor",2009
16,16,"Casey Wittenberg",71,1.483,81.541,55,1.485,1.433,"SmashFactor",2009
49,49,"Rich Beem",77,1.482,80.038,54,1.485,1.451,"SmashFactor",2009
49,49,"Matt Bettencourt",98,1.482,122.997,83,1.487,1.451,"SmashFactor",2009
49,49,"Alex Cejka",82,1.482,103.722,70,1.485,1.449,"SmashFactor",2009
49,49,"Stewart Cink",79,1.482,97.84,66,1.485,1.459,"SmashFactor",2009
49,49,"Tim Clark",81,1.482,100.773,68,1.506,1.461,"SmashFactor",2009
49,49,"Ben Crane",93,1.482,120.067,81,1.485,1.453,"SmashFactor",2009
49,49,"Brian Davis",103,1.482,142.26,96,1.485,1.433,"SmashFactor",2009
49,49,"Jason Dufner",90,1.482,117.103,79,1.487,1.457,"SmashFactor",2009
49,49,"David Duval",56,1.482,53.336,36,1.485,1.449,"SmashFactor",2009
49,49,"Steve Elkington",70,1.482,81.537,55,1.487,1.463,"SmashFactor",2009
49,49,"Mathew Goggin",76,1.482,85.96,58,1.485,1.461,"SmashFactor",2009
49,49,"Jason Gore",74,1.482,84.465,57,1.485,1.449,"SmashFactor",2009
49,49,"Paul Goydos",79,1.482,102.285,69,1.485,1.449,"SmashFactor",2009
49,49,"Nathan Green",104,1.482,134.863,91,1.485,1.461,"SmashFactor",2009
49,49,"Padraig Harrington",66,1.482,69.633,47,1.485,1.459,"SmashFactor",2009
49,49,"Jeff Klauk",97,1.482,131.891,89,1.485,1.453,"SmashFactor",2009
49,49,"Jarrod Lyle",65,1.482,74.123,50,1.5,1.453,"SmashFactor",2009
49,49,"Steve Marino",98,1.482,130.426,88,1.485,1.449,"SmashFactor",2009
49,49,"David Mathis",82,1.482,102.286,69,1.485,1.449,"SmashFactor",2009
49,49,"Jeff Overton",92,1.482,115.628,78,1.485,1.449,"SmashFactor",2009
49,49,"Corey Pavin",73,1.482,78.537,53,1.485,1.455,"SmashFactor",2009
49,49,"DA Points",99,1.482,125.987,85,1.485,1.461,"SmashFactor",2009
49,49,"Tag Ridings",50,1.482,60.765,41,1.485,1.461,"SmashFactor",2009
49,49,"Patrick Sheehan",51,1.482,53.341,36,1.491,1.459,"SmashFactor",2009
49,49,"Darron Stiles",52,1.482,48.917,33,1.491,1.449,"SmashFactor",2009
49,49,"Steve Stricker",81,1.482,102.263,69,1.485,1.449,"SmashFactor",2009
49,49,"Chris Stroud",88,1.482,88.903,60,1.485,1.449,"SmashFactor",2009
49,49,"Kevin Sutherland",96,1.482,96.359,65,1.485,1.449,"SmashFactor",2009
49,49,"Vaughn Taylor",88,1.482,100.808,68,1.485,1.449,"SmashFactor",2009
49,49,"Camilo Villegas",76,1.482,87.415,59,1.485,1.441,"SmashFactor",2009
49,49,"Matt Weibring",65,1.482,72.627,49,1.485,1.463,"SmashFactor",2009
49,49,"Charlie Wi",92,1.482,118.55,80,1.485,1.449,"SmashFactor",2009
49,49,"Gary Woodland",53,1.482,47.426,32,1.485,1.449,"SmashFactor",2009
82,82,"Stuart Appleby",79,1.481,99.213,67,1.491,1.447,"SmashFactor",2009
82,82,"Briny Baird",89,1.481,115.486,78,1.485,1.443,"SmashFactor",2009
82,82,"Brendon de Jonge",90,1.481,103.65,70,1.485,1.459,"SmashFactor",2009
82,82,"Bob Heintz",59,1.481,65.172,44,1.485,1.457,"SmashFactor",2009
82,82,"Freddie Jacobson",83,1.481,103.67,70,1.489,1.453,"SmashFactor",2009
82,82,"Greg Kraft",51,1.481,60.737,41,1.489,1.449,"SmashFactor",2009
82,82,"Hunter Mahan",94,1.481,102.193,69,1.489,1.449,"SmashFactor",2009
82,82,"Billy Mayfair",83,1.481,99.217,67,1.487,1.461,"SmashFactor",2009
82,82,"George McNeill",82,1.481,112.55,76,1.485,1.449,"SmashFactor",2009
82,82,"John Merrick",91,1.481,105.145,71,1.485,1.449,"SmashFactor",2009
82,82,"Phil Mickelson",66,1.481,66.662,45,1.487,1.449,"SmashFactor",2009
82,82,"Bryce Molder",69,1.481,78.491,53,1.489,1.453,"SmashFactor",2009
82,82,"Leif Olson",51,1.481,56.278,38,1.485,1.449,"SmashFactor",2009
82,82,"Rod Pampling",72,1.481,91.836,62,1.485,1.449,"SmashFactor",2009
82,82,"Jeff Quinney",78,1.481,102.171,69,1.491,1.435,"SmashFactor",2009
82,82,"Webb Simpson",94,1.481,112.554,76,1.485,1.443,"SmashFactor",2009
82,82,"Brandt Snedeker",81,1.481,91.826,62,1.485,1.463,"SmashFactor",2009
82,82,"Scott Sterling",51,1.481,60.735,41,1.487,1.449,"SmashFactor",2009
82,82,"Kirk Triplett",60,1.481,78.505,53,1.489,1.449,"SmashFactor",2009
82,82,"Scott Verplank",88,1.481,127.334,86,1.487,1.435,"SmashFactor",2009
82,82,"Nick Watney",86,1.481,108.079,73,1.485,1.449,"SmashFactor",2009
82,82,"Bubba Watson",73,1.481,74.064,50,1.485,1.449,"SmashFactor",2009
82,82,"Boo Weekley",79,1.481,111.075,75,1.485,1.455,"SmashFactor",2009
105,105,"Stephen Ames",77,1.48,91.782,62,1.485,1.455,"SmashFactor",2009
105,105,"Greg Chalmers",85,1.48,100.67,68,1.487,1.449,"SmashFactor",2009
105,105,"Glen Day",79,1.48,93.211,63,1.485,1.449,"SmashFactor",2009
105,105,"Ken Duke",87,1.48,88.788,60,1.487,1.439,"SmashFactor",2009
105,105,"Todd Hamilton",83,1.48,93.211,63,1.487,1.437,"SmashFactor",2009
105,105,"Tim Herron",87,1.48,124.3,84,1.485,1.451,"SmashFactor",2009
105,105,"Matt Kuchar",82,1.48,99.167,67,1.489,1.449,"SmashFactor",2009
105,105,"Davis Love III",89,1.48,102.135,69,1.491,1.449,"SmashFactor",2009
105,105,"Steve Lowery",83,1.48,115.434,78,1.485,1.449,"SmashFactor",2009
105,105,"Tim Petrovic",97,1.48,130.212,88,1.497,1.449,"SmashFactor",2009
105,105,"Rick Price",54,1.48,59.188,40,1.489,1.457,"SmashFactor",2009
105,105,"Brendon Todd",53,1.48,71.02,48,1.485,1.451,"SmashFactor",2009
117,117,"Brad Adamonis",70,1.479,87.29,59,1.5,1.449,"SmashFactor",2009
117,117,"Brian Bateman",55,1.479,73.962,50,1.491,1.449,"SmashFactor",2009
117,117,"Cameron Beckman",87,1.479,116.836,79,1.502,1.413,"SmashFactor",2009
117,117,"Jason Day",61,1.479,70.978,48,1.485,1.449,"SmashFactor",2009
117,117,"Steve Flesch",77,1.479,82.837,56,1.485,1.407,"SmashFactor",2009
117,117,"JJ Henry",97,1.479,122.751,83,1.485,1.433,"SmashFactor",2009
117,117,"Jerry Kelly",90,1.479,118.338,80,1.491,1.447,"SmashFactor",2009
117,117,"Tom Lehman",55,1.479,53.244,36,1.485,1.449,"SmashFactor",2009
117,117,"Ryan Moore",89,1.479,105.009,71,1.485,1.449,"SmashFactor",2009
117,117,"Brett Quigley",92,1.479,109.47,74,1.485,1.449,"SmashFactor",2009
117,117,"Chez Reavie",81,1.479,110.959,75,1.485,1.449,"SmashFactor",2009
117,117,"Adam Scott",53,1.479,65.078,44,1.485,1.449,"SmashFactor",2009
117,117,"Kevin Streelman",97,1.479,127.18,86,1.487,1.443,"SmashFactor",2009
117,117,"Mark Wilson",99,1.479,119.804,81,1.502,1.455,"SmashFactor",2009
131,131,"Aaron Baddeley",66,1.478,75.397,51,1.487,1.449,"SmashFactor",2009
131,131,"Angel Cabrera",55,1.478,56.177,38,1.485,1.443,"SmashFactor",2009
131,131,"Chad Campbell",90,1.478,106.416,72,1.485,1.447,"SmashFactor",2009
131,131,"Chris DiMarco",97,1.478,127.094,86,1.485,1.415,"SmashFactor",2009
131,131,"Joe Durant",62,1.478,69.467,47,1.485,1.449,"SmashFactor",2009
131,131,"Jim Furyk",86,1.478,103.45,70,1.485,1.449,"SmashFactor",2009
131,131,"Anthony Kim",76,1.478,93.094,63,1.485,1.441,"SmashFactor",2009
131,131,"Nicholas Thompson",96,1.478,118.206,80,1.485,1.449,"SmashFactor",2009
139,139,"Tommy Armour III",58,1.477,73.866,50,1.485,1.447,"SmashFactor",2009
139,139,"Matt Jones",56,1.477,57.613,39,1.485,1.449,"SmashFactor",2009
139,139,"Greg Owen",97,1.477,125.527,85,1.489,1.419,"SmashFactor",2009
139,139,"Ted Purdy",101,1.477,121.132,82,1.487,1.449,"SmashFactor",2009
143,143,"Eric Axley",71,1.476,82.659,56,1.49,1.451,"SmashFactor",2009
143,143,"Lucas Glover",93,1.476,106.264,72,1.489,1.441,"SmashFactor",2009
143,143,"Retief Goosen",74,1.476,82.646,56,1.489,1.449,"SmashFactor",2009
143,143,"Charley Hoffman",97,1.476,120.992,82,1.485,1.449,"SmashFactor",2009
143,143,"Troy Matteson",95,1.476,125.455,85,1.487,1.449,"SmashFactor",2009
143,143,"Tiger Woods",64,1.476,59.046,40,1.487,1.431,"SmashFactor",2009
149,149,"Woody Austin",84,1.475,118.01,80,1.485,1.449,"SmashFactor",2009
149,149,"Bill Haas",91,1.475,119.467,81,1.485,1.437,"SmashFactor",2009
149,149,"Charles Howell III",99,1.475,126.838,86,1.485,1.449,"SmashFactor",2009
149,149,"Ryuji Imada",85,1.475,113.605,77,1.485,1.437,"SmashFactor",2009
149,149,"Zach Johnson",94,1.475,135.708,92,1.485,1.449,"SmashFactor",2009
149,149,"Colt Knost",71,1.475,79.664,54,1.485,1.445,"SmashFactor",2009
149,149,"Pat Perez",74,1.475,95.869,65,1.485,1.441,"SmashFactor",2009
149,149,"Tom Pernice Jr",82,1.475,112.072,76,1.485,1.449,"SmashFactor",2009
149,149,"DJ Trahan",96,1.475,113.603,77,1.485,1.449,"SmashFactor",2009
149,149,"Dean Wilson",81,1.475,92.955,63,1.487,1.449,"SmashFactor",2009
159,159,"Ricky Barnes",67,1.474,75.161,51,1.485,1.449,"SmashFactor",2009
159,159,"Jonathan Byrd",89,1.474,91.368,62,1.493,1.449,"SmashFactor",2009
159,159,"Sergio Garcia",59,1.474,66.343,45,1.485,1.449,"SmashFactor",2009
159,159,"Kent Jones",73,1.474,85.508,58,1.485,1.437,"SmashFactor",2009
159,159,"Will Ma Kenzie",69,1.474,89.901,61,1.485,1.449,"SmashFactor",2009
159,159,"Kevin Stadler",65,1.474,69.261,47,1.485,1.449,"SmashFactor",2009
165,165,"Kris Blanks",60,1.473,67.772,46,1.485,1.449,"SmashFactor",2009
165,165,"Daniel Chopra",89,1.473,132.594,90,1.485,1.411,"SmashFactor",2009
165,165,"Ben Curtis",63,1.473,64.832,44,1.485,1.449,"SmashFactor",2009
165,165,"Luke Donald",79,1.473,97.224,66,1.487,1.433,"SmashFactor",2009
169,169,"Mike Weir",85,1.472,100.118,68,1.487,1.421,"SmashFactor",2009
170,170,"Brian Gay",96,1.471,133.876,91,1.485,1.395,"SmashFactor",2009
170,170,"Justin Rose",71,1.471,82.384,56,1.485,1.423,"SmashFactor",2009
170,170,"Johnson Wagner",81,1.471,108.844,74,1.487,1.449,"SmashFactor",2009
173,173,"Michael Allen",73,1.469,76.377,52,1.485,1.449,"SmashFactor",2009
174,174,"Mark Calcavecchia",72,1.468,86.617,59,1.485,1.391,"SmashFactor",2009
174,174,"Richard Johnson",85,1.468,113.011,77,1.485,1.393,"SmashFactor",2009
174,174,"John Senden",100,1.468,118.87,81,1.502,1.411,"SmashFactor",2009
177,177,"Lee Janzen",74,1.467,88.048,60,1.485,1.449,"SmashFactor",2009
177,177,"YE Yang",83,1.467,102.668,70,1.485,1.447,"SmashFactor",2009
179,179,"Charles Warren",63,1.466,68.913,47,1.485,1.403,"SmashFactor",2009
180,180,"Bart Bryant",58,1.465,84.974,58,1.485,1.449,"SmashFactor",2009
180,180,"Bob Estes",78,1.465,108.41,74,1.485,1.375,"SmashFactor",2009
182,182,"Kevin Na",91,1.464,109.831,75,1.485,1.433,"SmashFactor",2009
182,182,"Marc Turnesa",77,1.464,114.208,78,1.485,1.441,"SmashFactor",2009
184,184,"Scott McCarron",91,1.46,113.913,78,1.485,1.421,"SmashFactor",2009
