"MissedFairwayPercentOther_RANKTHISWEEK_2013","MissedFairwayPercentOther_RANKLASTWEEK_2013","MissedFairwayPercentOther_PLAYERNAME_2013","MissedFairwayPercentOther_ROUNDS_2013","MissedFairwayPercentOther_Pct_2013","MissedFairwayPercentOther_TOTALMISSED_2013","MissedFairwayPercentOther_TOTALFWYS_2013","MissedFairwayPercentOther_RELATIVETOPAR_2013","stat_name","year"
1,1,"Jason Dufner",78,1.41,12,852,0.42,"MissedFairwayPercentOther",2013
2,2,"Jerry Kelly",75,1.46,13,888,0.31,"MissedFairwayPercentOther",2013
3,3,"Jim Furyk",80,1.57,14,889,0.64,"MissedFairwayPercentOther",2013
4,4,"Justin Hicks",79,1.64,15,916,0.8,"MissedFairwayPercentOther",2013
5,5,"Henrik Stenson",65,1.65,10,607,0.4,"MissedFairwayPercentOther",2013
6,6,"John Senden",79,1.66,14,845,0.57,"MissedFairwayPercentOther",2013
6,6,"Vijay Singh",61,1.66,11,663,0.18,"MissedFairwayPercentOther",2013
8,8,"Chez Reavie",72,1.72,16,932,0.81,"MissedFairwayPercentOther",2013
9,9,"Kevin Streelman",86,1.8,17,943,0.29,"MissedFairwayPercentOther",2013
10,10,"Andrew Svoboda",46,1.85,9,486,0.56,"MissedFairwayPercentOther",2013
11,11,"Jeff Maggert",63,1.88,15,796,0.87,"MissedFairwayPercentOther",2013
12,12,"Darron Stiles",51,1.89,11,582,0.82,"MissedFairwayPercentOther",2013
13,13,"Tom Gillis",69,1.92,16,832,0.5,"MissedFairwayPercentOther",2013
14,14,"Fabian Gomez",65,1.94,15,773,1.13,"MissedFairwayPercentOther",2013
15,15,"Tim Clark",64,2.01,12,598,0.75,"MissedFairwayPercentOther",2013
15,15,"Ken Duke",87,2.01,21,1043,0.71,"MissedFairwayPercentOther",2013
15,15,"Jin Park",52,2.01,12,597,1.08,"MissedFairwayPercentOther",2013
18,18,"David Lingmerth",68,2.03,16,787,0.44,"MissedFairwayPercentOther",2013
19,19,"Rod Pampling",46,2.05,10,488,1.1,"MissedFairwayPercentOther",2013
20,20,"Aaron Watkins",46,2.06,10,486,0.9,"MissedFairwayPercentOther",2013
21,21,"Jason Bohn",70,2.08,19,913,0.58,"MissedFairwayPercentOther",2013
21,21,"Ted Potter Jr",65,2.08,16,768,0.94,"MissedFairwayPercentOther",2013
23,23,"YE Yang",56,2.11,12,570,0.58,"MissedFairwayPercentOther",2013
24,24,"Jim Herman",59,2.13,13,610,1.38,"MissedFairwayPercentOther",2013
25,25,"Roberto Castro",97,2.15,25,1163,0.68,"MissedFairwayPercentOther",2013
26,26,"Mark Wilson",56,2.16,15,696,0.13,"MissedFairwayPercentOther",2013
27,27,"Steve Stricker",51,2.24,11,490,0.55,"MissedFairwayPercentOther",2013
28,28,"JJ Henry",83,2.33,24,1028,0.5,"MissedFairwayPercentOther",2013
29,29,"George McNeill",68,2.36,21,889,0.57,"MissedFairwayPercentOther",2013
30,30,"John Huh",88,2.38,25,1049,0.68,"MissedFairwayPercentOther",2013
