"Par4Performance_RANKTHISWEEK_2014","Par4Performance_RANKLASTWEEK_2014","Par4Performance_PLAYERNAME_2014","Par4Performance_ROUNDS_2014","Par4Performance_STATUS_2014","Par4Performance_PAR4AVG_2014","Par4Performance_TOTALPAR_2014","stat_name","year"
1,1,"Rory McIlroy",66,-39,3.94,2768,"Par4Performance",2014
2,2,"Matt Kuchar",91,-29,3.97,3880,"Par4Performance",2014
3,3,"Adam Scott",68,-26,3.97,3008,"Par4Performance",2014
4,4,"Sergio Garcia",61,-24,3.96,2544,"Par4Performance",2014
5,5,"Jim Furyk",84,-15,3.98,3452,"Par4Performance",2014
6,6,"Charles Howell III",106,-14,3.99,4608,"Par4Performance",2014
7,7,"Ryan Palmer",85,-12,3.99,3720,"Par4Performance",2014
8,8,"Robert Streb",75,-7,3.99,3116,"Par4Performance",2014
8,8,"David Toms",64,-7,3.99,2732,"Par4Performance",2014
10,10,"Jerry Kelly",80,-5,3.99,3484,"Par4Performance",2014
11,11,"Jimmy Walker",98,-4,4,4180,"Par4Performance",2014
11,11,"Bubba Watson",76,-4,3.99,3176,"Par4Performance",2014
13,13,"Charley Hoffman",93,1,4,3956,"Par4Performance",2014
14,14,"Justin Rose",70,4,4.01,2896,"Par4Performance",2014
15,15,"Graeme McDowell",66,5,4.01,2716,"Par4Performance",2014
16,16,"Keegan Bradley",89,6,4.01,3784,"Par4Performance",2014
17,17,"Ryan Moore",86,9,4.01,3632,"Par4Performance",2014
18,18,"Dustin Johnson",58,10,4.02,2484,"Par4Performance",2014
18,18,"Jeff Overton",80,10,4.01,3328,"Par4Performance",2014
20,20,"Russell Knox",92,11,4.01,3996,"Par4Performance",2014
20,20,"Jason Kokrak",65,11,4.02,2772,"Par4Performance",2014
20,20,"Chris Stroud",88,11,4.01,3840,"Par4Performance",2014
20,20,"Gary Woodland",93,11,4.01,3936,"Par4Performance",2014
24,24,"Graham DeLaet",80,12,4.01,3424,"Par4Performance",2014
24,24,"Phil Mickelson",71,12,4.02,3024,"Par4Performance",2014
24,24,"Kevin Na",94,12,4.01,4068,"Par4Performance",2014
27,27,"Chad Campbell",57,13,4.02,2348,"Par4Performance",2014
27,27,"Brooks Koepka",56,13,4.02,2456,"Par4Performance",2014
29,29,"Jason Day",54,14,4.03,2092,"Par4Performance",2014
30,30,"Kevin Chappell",100,16,4.02,4116,"Par4Performance",2014
30,30,"Andrew Svoboda",77,16,4.02,3364,"Par4Performance",2014
32,32,"Ben Martin",80,17,4.02,3420,"Par4Performance",2014
33,33,"Webb Simpson",87,18,4.02,3704,"Par4Performance",2014
34,34,"Hideki Matsuyama",82,19,4.02,3488,"Par4Performance",2014
34,34,"George McNeill",79,19,4.02,3440,"Par4Performance",2014
34,34,"Carl Pettersson",91,19,4.02,4008,"Par4Performance",2014
37,37,"Henrik Stenson",56,20,4.03,2320,"Par4Performance",2014
38,38,"Bill Haas",107,21,4.02,4508,"Par4Performance",2014
38,38,"Chris Kirk",105,21,4.02,4556,"Par4Performance",2014
40,40,"Harris English",95,22,4.02,4040,"Par4Performance",2014
