"BirdieorBetterPercentage_RANKTHISWEEK_2009","BirdieorBetterPercentage_RANKLASTWEEK_2009","BirdieorBetterPercentage_PLAYERNAME_2009","BirdieorBetterPercentage_ROUNDS_2009","BirdieorBetterPercentage_Pct_2009","BirdieorBetterPercentage_TOTALBIRDIES_2009","BirdieorBetterPercentage_TOTALHOLES_2009","BirdieorBetterPercentage_GIRRANK_2009","stat_name","year"
1,1,"Tiger Woods",64,23.92,267,1116,16,"BirdieorBetterPercentage",2009
2,2,"Jonathan Byrd",89,23.41,375,1602,2,"BirdieorBetterPercentage",2009
2,2,"Dustin Johnson",85,23.41,354,1512,80,"BirdieorBetterPercentage",2009
4,4,"Anthony Kim",76,23.27,310,1332,164,"BirdieorBetterPercentage",2009
5,5,"Hunter Mahan",94,23.07,382,1656,19,"BirdieorBetterPercentage",2009
6,6,"Stephen Ames",77,23.04,311,1350,30,"BirdieorBetterPercentage",2009
7,7,"Steve Stricker",81,22.64,322,1422,57,"BirdieorBetterPercentage",2009
8,8,"Fred Couples",54,22.63,220,972,42,"BirdieorBetterPercentage",2009
9,9,"Jason Day",61,22.5,247,1098,117,"BirdieorBetterPercentage",2009
10,10,"Harrison Frazar",93,22.46,376,1674,87,"BirdieorBetterPercentage",2009
11,11,"Daniel Chopra",89,22.41,359,1602,152,"BirdieorBetterPercentage",2009
11,11,"Justin Leonard",95,22.41,367,1638,45,"BirdieorBetterPercentage",2009
13,13,"Bo Van Pelt",100,22.39,403,1800,54,"BirdieorBetterPercentage",2009
14,14,"Tim Clark",81,22.29,313,1404,48,"BirdieorBetterPercentage",2009
15,15,"Charley Hoffman",97,22.05,385,1746,53,"BirdieorBetterPercentage",2009
16,16,"Nick Watney",86,22.03,341,1548,78,"BirdieorBetterPercentage",2009
17,17,"Martin Laird",72,21.99,285,1296,67,"BirdieorBetterPercentage",2009
18,18,"Scott Piercy",85,21.96,336,1530,74,"BirdieorBetterPercentage",2009
19,19,"Lucas Glover",93,21.92,367,1674,88,"BirdieorBetterPercentage",2009
20,20,"Phil Mickelson",66,21.87,248,1134,127,"BirdieorBetterPercentage",2009
21,21,"Dean Wilson",81,21.81,318,1458,109,"BirdieorBetterPercentage",2009
22,22,"Sean OHair",80,21.71,297,1368,27,"BirdieorBetterPercentage",2009
22,22,"Matt Weibring",65,21.71,254,1170,90,"BirdieorBetterPercentage",2009
24,24,"Joe Durant",62,21.68,242,1116,3,"BirdieorBetterPercentage",2009
25,25,"Ted Purdy",101,21.62,393,1818,71,"BirdieorBetterPercentage",2009
26,26,"Bubba Watson",73,21.61,284,1314,132,"BirdieorBetterPercentage",2009
27,27,"Greg Chalmers",85,21.57,330,1530,100,"BirdieorBetterPercentage",2009
28,28,"Zach Johnson",94,21.56,357,1656,28,"BirdieorBetterPercentage",2009
29,29,"Geoff Ogilvy",78,21.53,279,1296,128,"BirdieorBetterPercentage",2009
29,29,"Kevin Streelman",97,21.53,376,1746,61,"BirdieorBetterPercentage",2009
29,29,"DJ Trahan",96,21.53,372,1728,7,"BirdieorBetterPercentage",2009
32,32,"Tag Ridings",50,21.44,193,900,65,"BirdieorBetterPercentage",2009
33,33,"Brian Davis",103,21.41,397,1854,121,"BirdieorBetterPercentage",2009
