"PuttsperRoundRound2_RANKTHISWEEK_2008","PuttsperRoundRound2_RANKLASTWEEK_2008","PuttsperRoundRound2_PLAYERNAME_2008","PuttsperRoundRound2__2008","PuttsperRoundRound2_AVG_2008","PuttsperRoundRound2_TOTALPUTTS_2008","PuttsperRoundRound2_TOTALROUNDS_2008","stat_name","year"
1,1,"Corey Pavin",NA,27.68,526,19,"PuttsperRoundRound2",2008
2,2,"Brian Gay",NA,27.82,779,28,"PuttsperRoundRound2",2008
3,3,"Richard Johnson",NA,27.96,783,28,"PuttsperRoundRound2",2008
3,3,"John Mallinger",NA,27.96,727,26,"PuttsperRoundRound2",2008
5,5,"Stuart Appleby",NA,28.05,617,22,"PuttsperRoundRound2",2008
6,6,"Padraig Harrington",NA,28.07,393,14,"PuttsperRoundRound2",2008
7,7,"Andres Romero",NA,28.11,534,19,"PuttsperRoundRound2",2008
8,8,"Craig Kanada",NA,28.2,564,20,"PuttsperRoundRound2",2008
9,9,"Parker McLachlin",NA,28.23,734,26,"PuttsperRoundRound2",2008
10,10,"Steve Flesch",NA,28.34,822,29,"PuttsperRoundRound2",2008
11,11,"Steve Elkington",NA,28.35,652,23,"PuttsperRoundRound2",2008
12,12,"Kevin Na",NA,28.36,794,28,"PuttsperRoundRound2",2008
12,12,"Kenny Perry",NA,28.36,709,25,"PuttsperRoundRound2",2008
12,12,"Chris Riley",NA,28.36,397,14,"PuttsperRoundRound2",2008
15,15,"Mark Hensby",NA,28.38,681,24,"PuttsperRoundRound2",2008
16,16,"Shane Bertsch",NA,28.39,795,28,"PuttsperRoundRound2",2008
17,17,"Ben Crane",NA,28.42,682,24,"PuttsperRoundRound2",2008
18,18,"Dudley Hart",NA,28.43,597,21,"PuttsperRoundRound2",2008
19,19,"Daniel Chopra",NA,28.5,741,26,"PuttsperRoundRound2",2008
19,19,"Ryuji Imada",NA,28.5,684,24,"PuttsperRoundRound2",2008
21,21,"David Toms",NA,28.53,542,19,"PuttsperRoundRound2",2008
22,22,"Gavin Coles",NA,28.54,371,13,"PuttsperRoundRound2",2008
22,22,"Jeff Quinney",NA,28.54,742,26,"PuttsperRoundRound2",2008
24,24,"Steve Lowery",NA,28.56,714,25,"PuttsperRoundRound2",2008
24,24,"Bob Tway",NA,28.56,514,18,"PuttsperRoundRound2",2008
26,26,"Aaron Baddeley",NA,28.57,600,21,"PuttsperRoundRound2",2008
27,27,"Freddie Jacobson",NA,28.58,686,24,"PuttsperRoundRound2",2008
28,28,"Nathan Green",NA,28.59,829,29,"PuttsperRoundRound2",2008
29,29,"Phil Mickelson",NA,28.6,572,20,"PuttsperRoundRound2",2008
30,30,"Chad Collins",NA,28.64,630,22,"PuttsperRoundRound2",2008
31,31,"Lee Janzen",NA,28.65,745,26,"PuttsperRoundRound2",2008
31,31,"Ryan Palmer",NA,28.65,573,20,"PuttsperRoundRound2",2008
33,33,"Ben Curtis",NA,28.67,602,21,"PuttsperRoundRound2",2008
33,33,"Frank Lickliter II",NA,28.67,860,30,"PuttsperRoundRound2",2008
