"BogeyAverage_RANKTHISWEEK_2012","BogeyAverage_RANKLASTWEEK_2012","BogeyAverage_PLAYERNAME_2012","BogeyAverage_EVENTS_2012","BogeyAverage_AVERAGEBOGEYSPERROUND_2012","BogeyAverage_TOTALBOGEYS_2012","BogeyAverage_ROUNDSPLAYED_2012","stat_name","year"
1,1,"Jason Dufner",22,2.11,173,82,"BogeyAverage",2012
2,2,"Jim Furyk",24,2.19,184,84,"BogeyAverage",2012
3,3,"Brian Gay",28,2.28,198,87,"BogeyAverage",2012
4,4,"Justin Rose",19,2.31,157,68,"BogeyAverage",2012
5,5,"Steve Stricker",19,2.34,164,70,"BogeyAverage",2012
6,6,"Luke Donald",17,2.35,146,62,"BogeyAverage",2012
7,7,"Ben Curtis",19,2.37,147,62,"BogeyAverage",2012
8,8,"Tiger Woods",19,2.39,160,67,"BogeyAverage",2012
9,9,"Bud Cauley",28,2.43,241,99,"BogeyAverage",2012
9,9,"Bryce Molder",25,2.43,192,79,"BogeyAverage",2012
9,9,"Webb Simpson",22,2.43,185,76,"BogeyAverage",2012
12,12,"Russell Knox",23,2.44,166,68,"BogeyAverage",2012
13,13,"Billy Horschel",17,2.46,145,59,"BogeyAverage",2012
13,13,"Rocco Mediate",23,2.46,167,68,"BogeyAverage",2012
13,13,"Vaughn Taylor",26,2.46,194,79,"BogeyAverage",2012
16,16,"Bill Lunde",25,2.47,195,79,"BogeyAverage",2012
17,17,"Matt Kuchar",22,2.48,203,82,"BogeyAverage",2012
17,17,"Scott Piercy",28,2.48,236,95,"BogeyAverage",2012
17,17,"Kevin Stadler",25,2.48,201,81,"BogeyAverage",2012
20,20,"Brian Harman",30,2.49,251,101,"BogeyAverage",2012
20,20,"Brandt Snedeker",22,2.49,194,78,"BogeyAverage",2012
22,22,"Carl Pettersson",26,2.5,230,92,"BogeyAverage",2012
22,22,"Cameron Tringale",26,2.5,220,88,"BogeyAverage",2012
24,24,"Graham DeLaet",23,2.51,198,79,"BogeyAverage",2012
24,24,"David Hearn",28,2.51,238,95,"BogeyAverage",2012
24,24,"Sean OHair",24,2.51,211,84,"BogeyAverage",2012
24,24,"Camilo Villegas",25,2.51,193,77,"BogeyAverage",2012
28,28,"Brendon de Jonge",31,2.52,290,115,"BogeyAverage",2012
28,28,"Dustin Johnson",19,2.52,169,67,"BogeyAverage",2012
28,28,"Phil Mickelson",22,2.52,199,79,"BogeyAverage",2012
28,28,"Pat Perez",23,2.52,199,79,"BogeyAverage",2012
32,32,"Jonas Blixt",21,2.53,182,72,"BogeyAverage",2012
32,32,"Will Claxton",28,2.53,250,99,"BogeyAverage",2012
32,32,"Matt Every",25,2.53,202,80,"BogeyAverage",2012
32,32,"Seung Yul Noh",28,2.53,256,101,"BogeyAverage",2012
32,32,"Jeff Overton",29,2.53,256,101,"BogeyAverage",2012
