"Par3BirdieorBetterLeaders_RANKTHISWEEK_2013","Par3BirdieorBetterLeaders_RANKLASTWEEK_2013","Par3BirdieorBetterLeaders_PLAYERNAME_2013","Par3BirdieorBetterLeaders_ROUNDS_2013","Par3BirdieorBetterLeaders_Pct_2013","Par3BirdieorBetterLeaders_PAR3BIRDIESORBETTER_2013","Par3BirdieorBetterLeaders_PAR3HOLES_2013","stat_name","year"
1,1,"Phil Mickelson",78,20.95,66,315,"Par3BirdieorBetterLeaders",2013
2,2,"Sangmoon Bae",83,19.23,65,338,"Par3BirdieorBetterLeaders",2013
3,3,"Andres Romero",63,17.99,43,239,"Par3BirdieorBetterLeaders",2013
4,4,"Andrew Svoboda",46,17.98,32,178,"Par3BirdieorBetterLeaders",2013
5,5,"Justin Bolli",59,17.86,40,224,"Par3BirdieorBetterLeaders",2013
6,6,"Jason Bohn",70,17.54,50,285,"Par3BirdieorBetterLeaders",2013
7,7,"Luke Donald",60,17.37,41,236,"Par3BirdieorBetterLeaders",2013
8,8,"Ryan Palmer",79,17.03,55,323,"Par3BirdieorBetterLeaders",2013
9,9,"Fabian Gomez",65,16.98,45,265,"Par3BirdieorBetterLeaders",2013
10,10,"Charlie Wi",75,16.84,49,291,"Par3BirdieorBetterLeaders",2013
11,11,"Doug LaBelle II",72,16.55,47,284,"Par3BirdieorBetterLeaders",2013
12,12,"Chris Kirk",89,16.48,59,358,"Par3BirdieorBetterLeaders",2013
13,13,"Jeff Overton",78,16.35,52,318,"Par3BirdieorBetterLeaders",2013
14,14,"Webb Simpson",92,16.34,58,355,"Par3BirdieorBetterLeaders",2013
15,15,"Robert Allenby",58,16.3,37,227,"Par3BirdieorBetterLeaders",2013
16,16,"Tiger Woods",61,16.25,39,240,"Par3BirdieorBetterLeaders",2013
17,17,"Robert Garrigus",69,16.1,43,267,"Par3BirdieorBetterLeaders",2013
18,18,"Justin Hicks",79,15.96,49,307,"Par3BirdieorBetterLeaders",2013
19,19,"Brian Davis",91,15.95,59,370,"Par3BirdieorBetterLeaders",2013
20,20,"Stephen Ames",49,15.84,32,202,"Par3BirdieorBetterLeaders",2013
21,21,"Geoff Ogilvy",57,15.74,37,235,"Par3BirdieorBetterLeaders",2013
22,22,"James Driscoll",76,15.65,46,294,"Par3BirdieorBetterLeaders",2013
23,23,"Pat Perez",69,15.6,44,282,"Par3BirdieorBetterLeaders",2013
24,24,"Rory Sabbatini",86,15.57,52,334,"Par3BirdieorBetterLeaders",2013
25,25,"Richard Lee",81,15.56,49,315,"Par3BirdieorBetterLeaders",2013
26,26,"Dustin Johnson",71,15.47,43,278,"Par3BirdieorBetterLeaders",2013
27,27,"Ricky Barnes",74,15.44,44,285,"Par3BirdieorBetterLeaders",2013
27,27,"Greg Chalmers",77,15.44,46,298,"Par3BirdieorBetterLeaders",2013
27,27,"David Mathis",71,15.44,42,272,"Par3BirdieorBetterLeaders",2013
30,30,"Bobby Gates",49,15.38,28,182,"Par3BirdieorBetterLeaders",2013
30,30,"John Huh",88,15.38,54,351,"Par3BirdieorBetterLeaders",2013
32,32,"DJ Trahan",48,15.34,29,189,"Par3BirdieorBetterLeaders",2013
33,33,"Zach Johnson",84,15.32,51,333,"Par3BirdieorBetterLeaders",2013
34,34,"Carl Pettersson",82,15.26,49,321,"Par3BirdieorBetterLeaders",2013
34,34,"Kevin Stadler",83,15.26,49,321,"Par3BirdieorBetterLeaders",2013
