"SubParRounds_RANKTHISWEEK_2009","SubParRounds_RANKLASTWEEK_2009","SubParRounds_PLAYERNAME_2009","SubParRounds_EVENTS_2009","stat_name","year"
1,1,"David Toms",27,"SubParRounds",2009
2,2,"Bo Van Pelt",30,"SubParRounds",2009
3,3,"Zach Johnson",26,"SubParRounds",2009
3,3,"Tim Petrovic",31,"SubParRounds",2009
5,5,"Charles Howell III",29,"SubParRounds",2009
5,5,"Jeff Klauk",29,"SubParRounds",2009
5,5,"Steve Marino",29,"SubParRounds",2009
5,5,"Ted Purdy",30,"SubParRounds",2009
9,9,"Jonathan Byrd",25,"SubParRounds",2009
9,9,"Charley Hoffman",27,"SubParRounds",2009
9,9,"Greg Owen",30,"SubParRounds",2009
9,9,"John Senden",29,"SubParRounds",2009
9,9,"Mark Wilson",28,"SubParRounds",2009
14,14,"Chad Campbell",26,"SubParRounds",2009
14,14,"Ben Crane",27,"SubParRounds",2009
14,14,"Justin Leonard",26,"SubParRounds",2009
14,14,"Kevin Na",26,"SubParRounds",2009
18,18,"Brian Davis",32,"SubParRounds",2009
18,18,"Hunter Mahan",25,"SubParRounds",2009
18,18,"Scott Verplank",24,"SubParRounds",2009
21,21,"Jim Furyk",23,"SubParRounds",2009
21,21,"Brian Gay",27,"SubParRounds",2009
21,21,"Ryan Moore",27,"SubParRounds",2009
21,21,"Kenny Perry",24,"SubParRounds",2009
21,21,"DA Points",29,"SubParRounds",2009
21,21,"Heath Slocum",30,"SubParRounds",2009
21,21,"Kevin Streelman",29,"SubParRounds",2009
21,21,"Steve Stricker",22,"SubParRounds",2009
29,29,"Greg Chalmers",26,"SubParRounds",2009
29,29,"Lucas Glover",26,"SubParRounds",2009
29,29,"Nathan Green",30,"SubParRounds",2009
32,32,"Chris DiMarco",29,"SubParRounds",2009
32,32,"Bill Haas",29,"SubParRounds",2009
32,32,"JJ Henry",28,"SubParRounds",2009
32,32,"Michael Letzig",28,"SubParRounds",2009
32,32,"Troy Matteson",30,"SubParRounds",2009
32,32,"Brett Quigley",28,"SubParRounds",2009
32,32,"Kevin Sutherland",27,"SubParRounds",2009
39,39,"Tim Clark",23,"SubParRounds",2009
39,39,"Jerry Kelly",26,"SubParRounds",2009
39,39,"Scott Piercy",28,"SubParRounds",2009
42,42,"Briny Baird",28,"SubParRounds",2009
42,42,"Jason Bohn",25,"SubParRounds",2009
42,42,"Jason Dufner",26,"SubParRounds",2009
42,42,"Robert Garrigus",25,"SubParRounds",2009
42,42,"Tim Herron",27,"SubParRounds",2009
42,42,"Chris Riley",22,"SubParRounds",2009
42,42,"DJ Trahan",30,"SubParRounds",2009
42,42,"Tiger Woods",17,"SubParRounds",2009
50,50,"Harrison Frazar",28,"SubParRounds",2009
50,50,"Matt Kuchar",24,"SubParRounds",2009
50,50,"Scott McCarron",27,"SubParRounds",2009
50,50,"Nick OHern",27,"SubParRounds",2009
50,50,"Webb Simpson",30,"SubParRounds",2009
50,50,"Chris Stroud",28,"SubParRounds",2009
50,50,"Vaughn Taylor",28,"SubParRounds",2009
57,57,"Stephen Ames",23,"SubParRounds",2009
57,57,"Woody Austin",24,"SubParRounds",2009
57,57,"Matt Bettencourt",31,"SubParRounds",2009
57,57,"Nick Watney",24,"SubParRounds",2009
61,61,"Dustin Johnson",25,"SubParRounds",2009
61,61,"Davis Love III",27,"SubParRounds",2009
61,61,"Jeff Overton",28,"SubParRounds",2009
61,61,"Brandt Snedeker",26,"SubParRounds",2009
