"AverageApproachShotDistance_RANKTHISWEEK_2012","AverageApproachShotDistance_RANKLASTWEEK_2012","AverageApproachShotDistance_PLAYERNAME_2012","AverageApproachShotDistance_ROUNDS_2012","AverageApproachShotDistance_AVG_2012","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2012","AverageApproachShotDistance_TOTALHOLES_2012","stat_name","year"
1,1,"Brian Gay",91,158.9,7964164,1392,"AverageApproachShotDistance",2012
2,2,"Charlie Beljan",61,159,4395920,768,"AverageApproachShotDistance",2012
3,3,"Marco Dawson",60,160,4739361,823,"AverageApproachShotDistance",2012
4,4,"Vaughn Taylor",81,160.6,6601355,1142,"AverageApproachShotDistance",2012
5,5,"Kyle Reifers",86,160.7,7644269,1321,"AverageApproachShotDistance",2012
6,6,"Daniel Chopra",55,160.9,4449881,768,"AverageApproachShotDistance",2012
6,6,"Edward Loar",59,160.9,4459904,770,"AverageApproachShotDistance",2012
8,8,"Boo Weekley",74,161,6017884,1038,"AverageApproachShotDistance",2012
9,9,"Brian Harman",101,161.1,9118202,1572,"AverageApproachShotDistance",2012
9,9,"Troy Kelly",68,161.1,5288330,912,"AverageApproachShotDistance",2012
11,11,"Brendon Todd",78,161.5,6523446,1122,"AverageApproachShotDistance",2012
12,12,"Harrison Frazar",56,161.9,4993450,857,"AverageApproachShotDistance",2012
12,12,"Kevin Kisner",69,161.9,5520806,947,"AverageApproachShotDistance",2012
14,14,"JB Holmes",90,162,8147246,1397,"AverageApproachShotDistance",2012
14,14,"Billy Hurley III",70,162,5942998,1019,"AverageApproachShotDistance",2012
16,16,"JJ Henry",93,162.1,7428431,1273,"AverageApproachShotDistance",2012
16,16,"David Toms",60,162.1,4597161,788,"AverageApproachShotDistance",2012
18,18,"John Daly",50,162.2,3959732,678,"AverageApproachShotDistance",2012
18,18,"Freddie Jacobson",61,162.2,4607764,789,"AverageApproachShotDistance",2012
20,20,"Colt Knost",79,162.3,7021842,1202,"AverageApproachShotDistance",2012
21,21,"Mark Anderson",75,162.4,6395507,1094,"AverageApproachShotDistance",2012
22,22,"Stephen Ames",54,162.5,4084012,698,"AverageApproachShotDistance",2012
22,22,"Tim Clark",60,162.5,5249040,897,"AverageApproachShotDistance",2012
24,24,"Tommy Biershenk",74,162.8,6037261,1030,"AverageApproachShotDistance",2012
24,24,"Justin Leonard",79,162.8,7152257,1220,"AverageApproachShotDistance",2012
26,26,"Martin Flores",95,162.9,8602922,1467,"AverageApproachShotDistance",2012
27,27,"Miguel Angel Carballo",73,163,5978435,1019,"AverageApproachShotDistance",2012
27,27,"Gavin Coles",72,163,5998480,1022,"AverageApproachShotDistance",2012
27,27,"Jason Kokrak",79,163,7242953,1234,"AverageApproachShotDistance",2012
27,27,"Steve Stricker",73,163,5662549,965,"AverageApproachShotDistance",2012
31,31,"Roland Thatcher",55,163.1,4597693,783,"AverageApproachShotDistance",2012
32,32,"Stuart Appleby",75,163.3,6833139,1162,"AverageApproachShotDistance",2012
32,32,"Michael Bradley",63,163.3,5801898,987,"AverageApproachShotDistance",2012
32,32,"Tommy Gainey",98,163.3,9439706,1606,"AverageApproachShotDistance",2012
35,35,"Aaron Baddeley",73,163.4,5769123,981,"AverageApproachShotDistance",2012
35,35,"Cameron Beckman",81,163.4,7258936,1234,"AverageApproachShotDistance",2012
35,35,"Dustin Johnson",70,163.4,5583472,949,"AverageApproachShotDistance",2012
38,38,"Bill Lunde",83,163.5,7068911,1201,"AverageApproachShotDistance",2012
38,38,"Alexandre Rocha",62,163.5,5244720,891,"AverageApproachShotDistance",2012
38,38,"Patrick Sheehan",58,163.5,4619453,785,"AverageApproachShotDistance",2012
41,41,"Bud Cauley",99,163.6,9599739,1630,"AverageApproachShotDistance",2012
41,41,"Ryo Ishikawa",54,163.6,3909783,664,"AverageApproachShotDistance",2012
41,41,"Bryce Molder",83,163.6,7471792,1269,"AverageApproachShotDistance",2012
41,41,"Steve Wheatcroft",56,163.6,4428990,752,"AverageApproachShotDistance",2012
45,45,"Tim Herron",88,163.7,8045876,1365,"AverageApproachShotDistance",2012
45,45,"Billy Horschel",63,163.7,5067064,860,"AverageApproachShotDistance",2012
