"ScoringAverageBeforeCut_RANKTHISWEEK_2005","ScoringAverageBeforeCut_RANKLASTWEEK_2005","ScoringAverageBeforeCut_PLAYERNAME_2005","ScoringAverageBeforeCut__2005","ScoringAverageBeforeCut_AVG_2005","ScoringAverageBeforeCut_TOTALSTROKES_2005","ScoringAverageBeforeCut_TOTALROUNDS_2005","stat_name","year"
69,69,"Arron Oberholser",NA,70.82,2762,39,"ScoringAverageBeforeCut",2005
71,71,"Stuart Appleby",NA,70.83,3258,46,"ScoringAverageBeforeCut",2005
71,71,"Craig Barlow",NA,70.83,3754,53,"ScoringAverageBeforeCut",2005
73,73,"Billy Andrade",NA,70.85,3897,55,"ScoringAverageBeforeCut",2005
73,73,"Chris DiMarco",NA,70.85,3259,46,"ScoringAverageBeforeCut",2005
73,73,"Robert Gamez",NA,70.85,4180,59,"ScoringAverageBeforeCut",2005
76,76,"JP Hayes",NA,70.86,3047,43,"ScoringAverageBeforeCut",2005
76,76,"Kent Jones",NA,70.86,4606,65,"ScoringAverageBeforeCut",2005
76,76,"Phillip Price",NA,70.86,3543,50,"ScoringAverageBeforeCut",2005
79,79,"Jeff Brehaut",NA,70.89,3119,44,"ScoringAverageBeforeCut",2005
79,79,"Tag Ridings",NA,70.89,4395,62,"ScoringAverageBeforeCut",2005
79,79,"Nick Watney",NA,70.89,4466,63,"ScoringAverageBeforeCut",2005
82,82,"Fred Funk",NA,70.9,4325,61,"ScoringAverageBeforeCut",2005
82,82,"Joey Snyder III",NA,70.9,4325,61,"ScoringAverageBeforeCut",2005
84,84,"Zach Johnson",NA,70.91,4113,58,"ScoringAverageBeforeCut",2005
84,84,"Jeff Maggert",NA,70.91,3333,47,"ScoringAverageBeforeCut",2005
86,86,"Darron Stiles",NA,70.92,3617,51,"ScoringAverageBeforeCut",2005
87,87,"Bernhard Langer",NA,70.93,2837,40,"ScoringAverageBeforeCut",2005
88,88,"Hidemichi Tanaka",NA,70.94,4753,67,"ScoringAverageBeforeCut",2005
89,89,"Peter Lonard",NA,70.96,3832,54,"ScoringAverageBeforeCut",2005
90,90,"Robert Allenby",NA,70.98,4259,60,"ScoringAverageBeforeCut",2005
90,90,"Brian Davis",NA,70.98,3407,48,"ScoringAverageBeforeCut",2005
90,90,"Charlie Wi",NA,70.98,3123,44,"ScoringAverageBeforeCut",2005
