"AverageApproachShotDistance_RANKTHISWEEK_2008","AverageApproachShotDistance_RANKLASTWEEK_2008","AverageApproachShotDistance_PLAYERNAME_2008","AverageApproachShotDistance_ROUNDS_2008","AverageApproachShotDistance_AVG_2008","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2008","AverageApproachShotDistance_TOTALHOLES_2008","stat_name","year"
1,1,"Tommy Armour III",77,157.1,6692598,1183,"AverageApproachShotDistance",2008
2,2,"Greg Kraft",63,157.3,5074634,896,"AverageApproachShotDistance",2008
3,3,"Kyle Thompson",70,159.4,5869392,1023,"AverageApproachShotDistance",2008
4,4,"Justin Leonard",101,159.8,7500138,1304,"AverageApproachShotDistance",2008
5,5,"Ron Whittaker",54,160.2,4249129,737,"AverageApproachShotDistance",2008
6,6,"Travis Perkins",53,160.3,4096383,710,"AverageApproachShotDistance",2008
7,7,"John Huston",56,160.4,5069856,878,"AverageApproachShotDistance",2008
8,8,"Ryan Armour",87,160.5,7859465,1360,"AverageApproachShotDistance",2008
8,8,"Tom Scherrer",56,160.5,4553529,788,"AverageApproachShotDistance",2008
8,8,"Heath Slocum",104,160.5,8900519,1540,"AverageApproachShotDistance",2008
11,11,"JP Hayes",67,160.6,6520932,1128,"AverageApproachShotDistance",2008
12,12,"John Riegger",73,160.7,6612183,1143,"AverageApproachShotDistance",2008
13,13,"Doug LaBelle II",65,160.8,5279917,912,"AverageApproachShotDistance",2008
14,14,"Stephen Ames",83,160.9,6842350,1181,"AverageApproachShotDistance",2008
14,14,"Marco Dawson",64,160.9,5577320,963,"AverageApproachShotDistance",2008
14,14,"Ian Poulter",51,160.9,3729878,644,"AverageApproachShotDistance",2008
17,17,"Jin Park",85,161,7274229,1255,"AverageApproachShotDistance",2008
18,18,"Glen Day",64,161.1,5821931,1004,"AverageApproachShotDistance",2008
18,18,"Scott Sterling",89,161.1,7705736,1329,"AverageApproachShotDistance",2008
20,20,"Chris DiMarco",87,161.2,7898072,1361,"AverageApproachShotDistance",2008
21,21,"Shane Bertsch",96,161.3,9356980,1611,"AverageApproachShotDistance",2008
21,21,"Joe Ogilvie",100,161.3,9033579,1556,"AverageApproachShotDistance",2008
23,23,"Tim Clark",90,161.4,7592083,1307,"AverageApproachShotDistance",2008
23,23,"Stephen Leaney",53,161.4,4661323,802,"AverageApproachShotDistance",2008
25,25,"Cameron Beckman",87,161.5,7717546,1327,"AverageApproachShotDistance",2008
25,25,"Jeff Gove",50,161.5,4575278,787,"AverageApproachShotDistance",2008
25,25,"Mark Hensby",71,161.5,6661607,1146,"AverageApproachShotDistance",2008
25,25,"Jim McGovern",75,161.5,6552633,1127,"AverageApproachShotDistance",2008
25,25,"Jay Williamson",96,161.5,8327109,1432,"AverageApproachShotDistance",2008
30,30,"David Toms",70,161.6,5835127,1003,"AverageApproachShotDistance",2008
31,31,"Daniel Chopra",84,161.8,7163840,1230,"AverageApproachShotDistance",2008
31,31,"Gavin Coles",54,161.8,4590702,788,"AverageApproachShotDistance",2008
31,31,"Brett Rumford",72,161.8,6330600,1087,"AverageApproachShotDistance",2008
34,34,"Tommy Gainey",60,161.9,4771986,819,"AverageApproachShotDistance",2008
34,34,"Lee Janzen",89,161.9,7811584,1340,"AverageApproachShotDistance",2008
36,36,"Olin Browne",77,162,7277508,1248,"AverageApproachShotDistance",2008
36,36,"Steve Flesch",95,162,8439078,1447,"AverageApproachShotDistance",2008
36,36,"Craig Kanada",65,162,5769556,989,"AverageApproachShotDistance",2008
36,36,"Omar Uresti",74,162,6579434,1128,"AverageApproachShotDistance",2008
40,40,"David Lutterus",59,162.1,5211588,893,"AverageApproachShotDistance",2008
41,41,"Steve Elkington",84,162.2,7651686,1310,"AverageApproachShotDistance",2008
41,41,"Cody Freeman",66,162.2,5746832,984,"AverageApproachShotDistance",2008
41,41,"Todd Hamilton",92,162.2,7753130,1328,"AverageApproachShotDistance",2008
41,41,"Nick OHern",82,162.2,7428168,1272,"AverageApproachShotDistance",2008
41,41,"Vaughn Taylor",103,162.2,9810547,1680,"AverageApproachShotDistance",2008
46,46,"Freddie Jacobson",78,162.3,6696634,1146,"AverageApproachShotDistance",2008
46,46,"Dustin Johnson",92,162.3,8463816,1449,"AverageApproachShotDistance",2008
46,46,"Jeff Quinney",87,162.3,7636552,1307,"AverageApproachShotDistance",2008
49,49,"Will Ma Kenzie",62,162.5,5972349,1021,"AverageApproachShotDistance",2008
49,49,"Tim Wilkinson",95,162.5,8378586,1432,"AverageApproachShotDistance",2008
51,51,"Mark Calcavecchia",67,162.6,5655803,966,"AverageApproachShotDistance",2008
51,51,"Matt Kuchar",88,162.6,7351014,1256,"AverageApproachShotDistance",2008
51,51,"Geoff Ogilvy",65,162.6,5133394,877,"AverageApproachShotDistance",2008
54,54,"Harrison Frazar",73,162.7,6473382,1105,"AverageApproachShotDistance",2008
54,54,"Rory Sabbatini",77,162.7,6623098,1131,"AverageApproachShotDistance",2008
54,54,"Chris Stroud",81,162.7,6912343,1180,"AverageApproachShotDistance",2008
57,57,"Billy Andrade",71,162.8,6495326,1108,"AverageApproachShotDistance",2008
57,57,"David Duval",51,162.8,4253863,726,"AverageApproachShotDistance",2008
57,57,"Paul Goydos",78,162.8,7043804,1202,"AverageApproachShotDistance",2008
57,57,"Trevor Immelman",70,162.8,5673413,968,"AverageApproachShotDistance",2008
61,61,"Fred Couples",60,162.9,5366817,915,"AverageApproachShotDistance",2008
61,61,"Tim Herron",97,162.9,9124652,1556,"AverageApproachShotDistance",2008
63,63,"Bob Sowards",61,163,5457391,930,"AverageApproachShotDistance",2008
63,63,"Mark Wilson",107,163,10931431,1863,"AverageApproachShotDistance",2008
65,65,"Robert Gamez",79,163.1,7488510,1275,"AverageApproachShotDistance",2008
65,65,"Chez Reavie",102,163.1,9446190,1609,"AverageApproachShotDistance",2008
65,65,"Steve Stricker",75,163.1,6083818,1036,"AverageApproachShotDistance",2008
68,68,"Brian Gay",102,163.2,9065669,1543,"AverageApproachShotDistance",2008
68,68,"JJ Henry",108,163.2,10429564,1775,"AverageApproachShotDistance",2008
68,68,"Brandt Snedeker",85,163.2,7068817,1203,"AverageApproachShotDistance",2008
68,68,"Mike Weir",88,163.2,6967757,1186,"AverageApproachShotDistance",2008
72,72,"Michael Allen",91,163.3,8195375,1394,"AverageApproachShotDistance",2008
73,73,"Bart Bryant",81,163.4,7065730,1201,"AverageApproachShotDistance",2008
73,73,"Bob Tway",70,163.4,6000196,1020,"AverageApproachShotDistance",2008
75,75,"Ben Curtis",80,163.5,6615098,1124,"AverageApproachShotDistance",2008
76,76,"Ernie Els",51,163.6,3803902,646,"AverageApproachShotDistance",2008
76,76,"Zach Johnson",85,163.6,7486979,1271,"AverageApproachShotDistance",2008
76,76,"Richard Johnson",60,163.6,5166171,877,"AverageApproachShotDistance",2008
76,76,"Parker McLachlin",88,163.6,8321340,1413,"AverageApproachShotDistance",2008
76,76,"Tom Pernice Jr",104,163.6,10347270,1757,"AverageApproachShotDistance",2008
81,81,"Jason Allred",63,163.7,5269749,894,"AverageApproachShotDistance",2008
81,81,"Brad Elder",67,163.7,5694173,966,"AverageApproachShotDistance",2008
81,81,"Brenden Pappas",66,163.7,5885551,999,"AverageApproachShotDistance",2008
81,81,"Patrick Sheehan",124,163.7,11074479,1879,"AverageApproachShotDistance",2008
81,81,"Dean Wilson",109,163.7,9823496,1667,"AverageApproachShotDistance",2008
86,86,"Justin Bolli",87,163.8,7718524,1309,"AverageApproachShotDistance",2008
86,86,"JB Holmes",86,163.8,7257612,1231,"AverageApproachShotDistance",2008
86,86,"Brandt Jobe",52,163.8,4964586,842,"AverageApproachShotDistance",2008
89,89,"Paul Claxton",63,164,5282490,895,"AverageApproachShotDistance",2008
89,89,"Jeff Maggert",86,164,8338775,1412,"AverageApproachShotDistance",2008
89,89,"John Mallinger",95,164,8868972,1502,"AverageApproachShotDistance",2008
89,89,"Tim Petrovic",97,164,8529063,1445,"AverageApproachShotDistance",2008
89,89,"Andres Romero",69,164,5159273,874,"AverageApproachShotDistance",2008
89,89,"Scott Verplank",82,164,6874153,1164,"AverageApproachShotDistance",2008
95,95,"Eric Axley",113,164.2,10318295,1746,"AverageApproachShotDistance",2008
95,95,"Ken Duke",116,164.2,11107173,1879,"AverageApproachShotDistance",2008
95,95,"Sean OHair",81,164.2,7182520,1215,"AverageApproachShotDistance",2008
98,98,"Ben Crane",86,164.3,7936007,1342,"AverageApproachShotDistance",2008
98,98,"Anthony Kim",81,164.3,6906851,1168,"AverageApproachShotDistance",2008
98,98,"Jeff Overton",103,164.3,9636811,1629,"AverageApproachShotDistance",2008
98,98,"Marc Turnesa",87,164.3,8046493,1360,"AverageApproachShotDistance",2008
102,102,"Bob Estes",90,164.4,9131933,1543,"AverageApproachShotDistance",2008
102,102,"Ted Purdy",68,164.4,6254374,1057,"AverageApproachShotDistance",2008
102,102,"Chris Riley",51,164.4,4231967,715,"AverageApproachShotDistance",2008
102,102,"Boo Weekley",86,164.4,6781116,1146,"AverageApproachShotDistance",2008
106,106,"Chad Campbell",94,164.5,9038487,1526,"AverageApproachShotDistance",2008
106,106,"Cliff Kresge",84,164.5,7722570,1304,"AverageApproachShotDistance",2008
106,106,"Frank Lickliter II",107,164.5,10574131,1786,"AverageApproachShotDistance",2008
106,106,"Jon Mills",95,164.5,8290800,1400,"AverageApproachShotDistance",2008
111,111,"Todd Demsey",80,164.6,7517914,1269,"AverageApproachShotDistance",2008
111,111,"Jerry Kelly",89,164.6,7865017,1327,"AverageApproachShotDistance",2008
111,111,"John Rollins",94,164.6,8383014,1415,"AverageApproachShotDistance",2008
111,111,"Kevin Stadler",90,164.6,7713994,1302,"AverageApproachShotDistance",2008
