"BirdieorBetterPercentageRough_RANKTHISWEEK_2006","BirdieorBetterPercentageRough_RANKLASTWEEK_2006","BirdieorBetterPercentageRough_PLAYERNAME_2006","BirdieorBetterPercentageRough_ROUNDS_2006","BirdieorBetterPercentageRough_Pct_2006","BirdieorBetterPercentageRough_TOTALBIRDIES_2006","BirdieorBetterPercentageRough_TOTALHOLES_2006","stat_name","year"
1,1,"Briny Baird",81,22.8,44,193,"BirdieorBetterPercentageRough",2006
2,2,"Padraig Harrington",54,21.54,28,130,"BirdieorBetterPercentageRough",2006
3,3,"Robert Allenby",79,20.81,36,173,"BirdieorBetterPercentageRough",2006
4,4,"Vaughn Taylor",88,20.34,48,236,"BirdieorBetterPercentageRough",2006
5,5,"Stuart Appleby",83,20,51,255,"BirdieorBetterPercentageRough",2006
6,6,"Tiger Woods",55,19.69,25,127,"BirdieorBetterPercentageRough",2006
7,7,"Vijay Singh",103,19.63,64,326,"BirdieorBetterPercentageRough",2006
8,8,"JP Hayes",55,18.71,26,139,"BirdieorBetterPercentageRough",2006
9,9,"Daniel Chopra",110,18.5,64,346,"BirdieorBetterPercentageRough",2006
10,10,"Fred Couples",52,18.24,27,148,"BirdieorBetterPercentageRough",2006
11,11,"Mark Calcavecchia",94,18.18,46,253,"BirdieorBetterPercentageRough",2006
11,11,"Camilo Villegas",95,18.18,56,308,"BirdieorBetterPercentageRough",2006
13,13,"Bob May",65,18.04,35,194,"BirdieorBetterPercentageRough",2006
14,14,"David Toms",76,17.98,32,178,"BirdieorBetterPercentageRough",2006
15,15,"James Driscoll",80,17.78,64,360,"BirdieorBetterPercentageRough",2006
16,16,"Heath Slocum",96,17.7,37,209,"BirdieorBetterPercentageRough",2006
16,16,"Kirk Triplett",58,17.7,20,113,"BirdieorBetterPercentageRough",2006
18,18,"Bo Van Pelt",102,17.56,59,336,"BirdieorBetterPercentageRough",2006
19,19,"Justin Rose",98,17.39,48,276,"BirdieorBetterPercentageRough",2006
20,20,"Bob Estes",85,17.3,41,237,"BirdieorBetterPercentageRough",2006
21,21,"Ernie Els",69,17.2,32,186,"BirdieorBetterPercentageRough",2006
22,22,"Billy Mayfair",94,17.09,34,199,"BirdieorBetterPercentageRough",2006
23,23,"Robert Garrigus",85,17.02,48,282,"BirdieorBetterPercentageRough",2006
24,24,"Sean OHair",100,17,42,247,"BirdieorBetterPercentageRough",2006
