"ScoringAverageActual_RANKTHISWEEK_2016","ScoringAverageActual_RANKLASTWEEK_2016","ScoringAverageActual_PLAYERNAME_2016","ScoringAverageActual_ROUNDS_2016","ScoringAverageActual_AVG_2016","ScoringAverageActual_TOTALSTROKES_2016","ScoringAverageActual_TOTALROUNDS_2016","stat_name","year"
1,2,"Rickie Fowler",42,69.67,2717,39,"ScoringAverageActual",2016
2,1,"Adam Scott",39,69.72,2510,36,"ScoringAverageActual",2016
3,3,"Charles Howell III",63,69.84,4400,63,"ScoringAverageActual",2016
4,6,"Marc Leishman",41,69.92,2657,38,"ScoringAverageActual",2016
5,8,"Jordan Spieth",34,69.97,2099,30,"ScoringAverageActual",2016
6,5,"Hideki Matsuyama",40,70,2590,37,"ScoringAverageActual",2016
7,9,"Phil Mickelson",37,70.03,2381,34,"ScoringAverageActual",2016
8,4,"Alex Cejka",47,70.09,3294,47,"ScoringAverageActual",2016
8,13,"Dustin Johnson",37,70.09,2243,32,"ScoringAverageActual",2016
10,14,"Kevin Na",52,70.1,3435,49,"ScoringAverageActual",2016
11,15,"Bubba Watson",30,70.11,1893,27,"ScoringAverageActual",2016
12,7,"Jamie Lovemark",57,70.16,3999,57,"ScoringAverageActual",2016
13,18,"Jason Day",36,70.17,2035,29,"ScoringAverageActual",2016
13,11,"William McGirt",54,70.17,3789,54,"ScoringAverageActual",2016
13,17,"Rory McIlroy",37,70.17,2105,30,"ScoringAverageActual",2016
16,19,"Russell Knox",48,70.2,3159,45,"ScoringAverageActual",2016
17,12,"Patton Kizzire",57,70.21,3721,53,"ScoringAverageActual",2016
18,10,"Jason Bohn",37,70.24,2599,37,"ScoringAverageActual",2016
19,20,"Lucas Glover",53,70.25,3723,53,"ScoringAverageActual",2016
20,15,"Kevin Kisner",49,70.26,3232,46,"ScoringAverageActual",2016
20,23,"Brandt Snedeker",47,70.26,3021,43,"ScoringAverageActual",2016
22,25,"Chez Reavie",56,70.29,3936,56,"ScoringAverageActual",2016
23,27,"Justin Rose",35,70.31,2250,32,"ScoringAverageActual",2016
24,26,"Steve Stricker",25,70.32,1758,25,"ScoringAverageActual",2016
25,31,"Roberto Castro",55,70.35,3869,55,"ScoringAverageActual",2016
25,24,"Tim Wilkinson",40,70.35,2814,40,"ScoringAverageActual",2016
27,27,"Jason Dufner",53,70.36,3518,50,"ScoringAverageActual",2016
27,27,"Matt Kuchar",46,70.36,2955,42,"ScoringAverageActual",2016
29,32,"Smylie Kaufman",57,70.41,3802,54,"ScoringAverageActual",2016
30,21,"Sean OHair",45,70.42,3169,45,"ScoringAverageActual",2016
31,21,"Kevin Chappell",49,70.43,3451,49,"ScoringAverageActual",2016
32,36,"Ryan Palmer",46,70.46,3241,46,"ScoringAverageActual",2016
33,40,"Aaron Baddeley",51,70.49,3595,51,"ScoringAverageActual",2016
34,41,"Branden Grace",31,70.5,1974,28,"ScoringAverageActual",2016
35,35,"Daniel Summerhays",55,70.51,3878,55,"ScoringAverageActual",2016
36,43,"Russell Henley",42,70.52,2962,42,"ScoringAverageActual",2016
37,41,"Brendan Steele",48,70.56,3387,48,"ScoringAverageActual",2016
38,48,"Freddie Jacobson",54,70.57,3811,54,"ScoringAverageActual",2016
38,27,"Henrik Stenson",30,70.57,2117,30,"ScoringAverageActual",2016
40,50,"Stewart Cink",45,70.58,3176,45,"ScoringAverageActual",2016
40,50,"Charl Schwartzel",29,70.58,1835,26,"ScoringAverageActual",2016
42,37,"Patrick Reed",53,70.59,3459,49,"ScoringAverageActual",2016
43,54,"Jimmy Walker",43,70.6,2824,40,"ScoringAverageActual",2016
44,56,"John Huh",51,70.61,3601,51,"ScoringAverageActual",2016
45,47,"Daniel Berger",52,70.63,3461,49,"ScoringAverageActual",2016
45,37,"Spencer Levin",62,70.63,4379,62,"ScoringAverageActual",2016
47,62,"Sergio Garcia",28,70.64,1766,25,"ScoringAverageActual",2016
47,45,"Gary Woodland",45,70.64,3179,45,"ScoringAverageActual",2016
49,37,"Jhonattan Vegas",49,70.65,3462,49,"ScoringAverageActual",2016
50,66,"Zach Johnson",42,70.66,2685,38,"ScoringAverageActual",2016
51,34,"Paul Casey",39,70.67,2544,36,"ScoringAverageActual",2016
52,44,"Bill Haas",42,70.68,2686,38,"ScoringAverageActual",2016
53,33,"Luke Donald",49,70.69,3464,49,"ScoringAverageActual",2016
53,50,"Tony Finau",49,70.69,3464,49,"ScoringAverageActual",2016
53,48,"Patrick Rodgers",49,70.69,3464,49,"ScoringAverageActual",2016
56,62,"Ricky Barnes",57,70.72,4031,57,"ScoringAverageActual",2016
57,58,"Si Woo Kim",63,70.73,4456,63,"ScoringAverageActual",2016
57,54,"Johnson Wagner",44,70.73,3112,44,"ScoringAverageActual",2016
59,73,"KJ Choi",47,70.74,3325,47,"ScoringAverageActual",2016
60,62,"David Hearn",55,70.75,3891,55,"ScoringAverageActual",2016
60,59,"Luke List",51,70.75,3608,51,"ScoringAverageActual",2016
60,59,"Ben Martin",48,70.75,3396,48,"ScoringAverageActual",2016
63,50,"Chad Campbell",54,70.76,3821,54,"ScoringAverageActual",2016
63,75,"Brooks Koepka",39,70.76,2406,34,"ScoringAverageActual",2016
65,76,"Graeme McDowell",33,70.77,2123,30,"ScoringAverageActual",2016
65,56,"Ryan Moore",40,70.77,2477,35,"ScoringAverageActual",2016
67,78,"Scott Piercy",45,70.79,2973,42,"ScoringAverageActual",2016
68,59,"Adam Hadwin",53,70.81,3753,53,"ScoringAverageActual",2016
69,45,"Graham DeLaet",50,70.82,3541,50,"ScoringAverageActual",2016
69,69,"Colt Knost",56,70.82,3966,56,"ScoringAverageActual",2016
69,69,"Justin Thomas",53,70.82,3541,50,"ScoringAverageActual",2016
72,83,"Fabian Gomez",49,70.83,3258,46,"ScoringAverageActual",2016
73,72,"Nick Taylor",57,70.84,4038,57,"ScoringAverageActual",2016
74,79,"John Senden",48,70.85,3401,48,"ScoringAverageActual",2016
75,67,"Will Wilcox",47,70.87,3331,47,"ScoringAverageActual",2016
76,83,"David Lingmerth",54,70.88,3615,51,"ScoringAverageActual",2016
77,62,"Padraig Harrington",38,70.89,2694,38,"ScoringAverageActual",2016
77,74,"Peter Malnati",53,70.89,3757,53,"ScoringAverageActual",2016
