"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2015","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2015","ProximitytoHolefromOtherLocations_PLAYERNAME_2015","ProximitytoHolefromOtherLocations_ROUNDS_2015","ProximitytoHolefromOtherLocations_AVGDTP_2015","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2015","ProximitytoHolefromOtherLocations_OFSHOTS_2015","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2015","stat_name","year"
1,1,"Jordan Spieth",91,NA,7.64,118,4,"ProximitytoHolefromOtherLocations",2015
1,1,"Tim Wilkinson",73,NA,7.506,116,111,"ProximitytoHolefromOtherLocations",2015
3,3,"Jim Furyk",71,NA,5.033,76,18,"ProximitytoHolefromOtherLocations",2015
3,3,"Ian Poulter",68,NA,6.089,92,54,"ProximitytoHolefromOtherLocations",2015
5,5,"Keegan Bradley",87,NA,9.472,141,115,"ProximitytoHolefromOtherLocations",2015
6,6,"JJ Henry",94,NA,8.849,131,170,"ProximitytoHolefromOtherLocations",2015
7,7,"Jason Dufner",76,NA,6.945,100,162,"ProximitytoHolefromOtherLocations",2015
7,7,"Chris Kirk",76,NA,7.126,104,64,"ProximitytoHolefromOtherLocations",2015
7,7,"John Merrick",78,NA,9.439,136,134,"ProximitytoHolefromOtherLocations",2015
7,7,"Kevin Na",98,NA,10.903,157,19,"ProximitytoHolefromOtherLocations",2015
7,7,"Andrew Putnam",68,NA,7.964,116,139,"ProximitytoHolefromOtherLocations",2015
7,7,"Webb Simpson",81,NA,7.745,112,9,"ProximitytoHolefromOtherLocations",2015
13,13,"Steven Alker",62,NA,7.419,106,39,"ProximitytoHolefromOtherLocations",2015
13,13,"Jon Curran",83,NA,8.306,119,35,"ProximitytoHolefromOtherLocations",2015
15,15,"Derek Ernst",75,NA,9.19,129,135,"ProximitytoHolefromOtherLocations",2015
15,15,"Brian Harman",90,NA,11.649,163,77,"ProximitytoHolefromOtherLocations",2015
15,15,"Mark Hubbard",79,NA,9.381,132,38,"ProximitytoHolefromOtherLocations",2015
15,15,"Greg Owen",58,NA,5.366,76,74,"ProximitytoHolefromOtherLocations",2015
19,19,"Chad Collins",79,NA,10.685,149,1,"ProximitytoHolefromOtherLocations",2015
19,19,"Jason Day",75,NA,7.429,103,2,"ProximitytoHolefromOtherLocations",2015
19,19,"Justin Leonard",61,NA,9.55,132,34,"ProximitytoHolefromOtherLocations",2015
