"ProximitytoHolefrom30yards_RANKTHISWEEK_2006","ProximitytoHolefrom30yards_RANKLASTWEEK_2006","ProximitytoHolefrom30yards_PLAYERNAME_2006","ProximitytoHolefrom30yards_ROUNDS_2006","ProximitytoHolefrom30yards_AVGDTP_2006","ProximitytoHolefrom30yards_TOTALDISTANCEFEET_2006","ProximitytoHolefrom30yards_OFSHOTS_2006","ProximitytoHolefrom30yards_SCRAMBLINGRANK_2006","stat_name","year"
123,123,"Brett Quigley",109,NA,1095.833,82,14,"ProximitytoHolefrom30yards",2006
126,126,"Carlos Franco",86,NA,910.417,68,163,"ProximitytoHolefrom30yards",2006
126,126,"Jeff Maggert",81,NA,1018.75,76,178,"ProximitytoHolefrom30yards",2006
128,128,"Rich Beem",85,NA,608.583,45,174,"ProximitytoHolefrom30yards",2006
128,128,"Nathan Green",108,NA,1242.333,92,17,"ProximitytoHolefrom30yards",2006
128,128,"JJ Henry",96,NA,905.083,67,157,"ProximitytoHolefrom30yards",2006
128,128,"Charles Howell III",96,NA,1190.25,88,115,"ProximitytoHolefrom30yards",2006
128,128,"Patrick Sheehan",104,NA,744.417,55,60,"ProximitytoHolefrom30yards",2006
133,133,"David Howell",52,NA,393.25,29,173,"ProximitytoHolefrom30yards",2006
134,134,"KJ Choi",93,NA,847.917,62,67,"ProximitytoHolefrom30yards",2006
134,134,"Ryan Moore",68,NA,669.417,49,46,"ProximitytoHolefrom30yards",2006
136,136,"James Driscoll",80,NA,894.833,65,160,"ProximitytoHolefrom30yards",2006
136,136,"Ted Purdy",103,NA,1074.917,78,168,"ProximitytoHolefrom30yards",2006
138,138,"Len Mattiace",59,NA,760.5,55,143,"ProximitytoHolefrom30yards",2006
138,138,"Shaun Micheel",96,NA,929.25,67,127,"ProximitytoHolefrom30yards",2006
140,140,"Paul Azinger",87,NA,1041.333,75,8,"ProximitytoHolefrom30yards",2006
140,140,"Jim Furyk",89,NA,638.25,46,4,"ProximitytoHolefrom30yards",2006
140,140,"Mathew Goggin",72,NA,709.333,51,146,"ProximitytoHolefrom30yards",2006
140,140,"Steve Jones",83,NA,795.417,57,92,"ProximitytoHolefrom30yards",2006
140,140,"Tjaart van der Walt",60,NA,611.25,44,9,"ProximitytoHolefrom30yards",2006
145,145,"Aaron Baddeley",78,NA,882.667,63,51,"ProximitytoHolefrom30yards",2006
145,145,"Chad Campbell",91,NA,698.5,50,93,"ProximitytoHolefrom30yards",2006
145,145,"Ben Curtis",86,NA,686.917,49,116,"ProximitytoHolefrom30yards",2006
145,145,"Richard Johnson",94,NA,1090.25,78,44,"ProximitytoHolefrom30yards",2006
145,145,"Jeff Overton",95,NA,1287.417,92,55,"ProximitytoHolefrom30yards",2006
145,145,"Chris Smith",67,NA,673.667,48,185,"ProximitytoHolefrom30yards",2006
145,145,"Nicholas Thompson",96,NA,851.833,61,171,"ProximitytoHolefrom30yards",2006
152,152,"Ian Leggatt",80,NA,860.083,61,164,"ProximitytoHolefrom30yards",2006
152,152,"Tag Ridings",103,NA,1284.333,91,160,"ProximitytoHolefrom30yards",2006
154,154,"Harrison Frazar",95,NA,1005.667,71,96,"ProximitytoHolefrom30yards",2006
154,154,"Greg Owen",79,NA,766.25,54,11,"ProximitytoHolefrom30yards",2006
154,154,"Roger Tambellini",64,NA,749.167,53,195,"ProximitytoHolefrom30yards",2006
157,157,"Mathias Gronberg",92,NA,928.917,65,125,"ProximitytoHolefrom30yards",2006
158,158,"David McKenzie",82,NA,861.5,60,112,"ProximitytoHolefrom30yards",2006
158,158,"Ryan Palmer",101,NA,1174.083,82,74,"ProximitytoHolefrom30yards",2006
158,158,"Carl Pettersson",95,NA,844.583,59,66,"ProximitytoHolefrom30yards",2006
161,161,"Briny Baird",81,NA,704.667,49,124,"ProximitytoHolefrom30yards",2006
161,161,"Henrik Bjornstad",97,NA,1098.417,76,109,"ProximitytoHolefrom30yards",2006
161,161,"Matt Hansen",68,NA,662.917,46,89,"ProximitytoHolefrom30yards",2006
161,161,"Tim Petrovic",95,NA,1496.583,104,31,"ProximitytoHolefrom30yards",2006
165,165,"DJ Trahan",92,NA,810.917,56,128,"ProximitytoHolefrom30yards",2006
166,166,"Alex Aragon",63,NA,670.25,46,193,"ProximitytoHolefrom30yards",2006
167,167,"Jeff Brehaut",100,NA,866.917,59,153,"ProximitytoHolefrom30yards",2006
167,167,"JP Hayes",55,NA,587.333,40,75,"ProximitytoHolefrom30yards",2006
169,169,"Kenny Perry",73,NA,576.833,39,162,"ProximitytoHolefrom30yards",2006
169,169,"John Senden",96,NA,841.5,57,86,"ProximitytoHolefrom30yards",2006
169,169,"Hidemichi Tanaka",74,NA,796,54,169,"ProximitytoHolefrom30yards",2006
172,172,"Jerry Smith",94,NA,977,66,41,"ProximitytoHolefrom30yards",2006
173,173,"Hunter Mahan",98,NA,1149,77,150,"ProximitytoHolefrom30yards",2006
174,174,"Robert Allenby",79,NA,823.667,55,131,"ProximitytoHolefrom30yards",2006
174,174,"Eric Axley",91,NA,943.083,63,121,"ProximitytoHolefrom30yards",2006
174,174,"Brent Geiberger",99,NA,1214.333,81,34,"ProximitytoHolefrom30yards",2006
177,177,"Mark Brooks",90,NA,1008.833,67,107,"ProximitytoHolefrom30yards",2006
177,177,"Ryan Hietala",61,NA,829.083,55,180,"ProximitytoHolefrom30yards",2006
179,179,"Brian Bateman",69,NA,827.333,54,94,"ProximitytoHolefrom30yards",2006
179,179,"Scott Gutschewski",53,NA,552.667,36,190,"ProximitytoHolefrom30yards",2006
179,179,"Wes Short Jr",96,NA,1044.25,68,194,"ProximitytoHolefrom30yards",2006
179,179,"Charles Warren",93,NA,1013,66,64,"ProximitytoHolefrom30yards",2006
183,183,"Bubba Dickerson",98,NA,1310.417,85,181,"ProximitytoHolefrom30yards",2006
183,183,"Kirk Triplett",58,NA,478.25,31,133,"ProximitytoHolefrom30yards",2006
185,185,"Stewart Cink",93,NA,759.333,49,27,"ProximitytoHolefrom30yards",2006
185,185,"John Cook",67,NA,606.083,39,28,"ProximitytoHolefrom30yards",2006
187,187,"Kris Cox",83,NA,863.25,55,118,"ProximitytoHolefrom30yards",2006
188,188,"David Branshaw",98,NA,1136,72,38,"ProximitytoHolefrom30yards",2006
189,189,"Sergio Garcia",59,NA,575.833,36,183,"ProximitytoHolefrom30yards",2006
190,190,"Fred Couples",52,NA,342.083,21,150,"ProximitytoHolefrom30yards",2006
190,190,"Brandt Jobe",91,NA,1008.917,62,154,"ProximitytoHolefrom30yards",2006
190,190,"Joey Sindelar",90,NA,895.083,55,177,"ProximitytoHolefrom30yards",2006
193,193,"Robert Garrigus",85,NA,855.5,50,158,"ProximitytoHolefrom30yards",2006
194,194,"JL Lewis",57,NA,917.333,53,76,"ProximitytoHolefrom30yards",2006
195,195,"Michael Connell",51,NA,713.083,40,192,"ProximitytoHolefrom30yards",2006
196,196,"Greg Kraft",79,NA,857.167,47,88,"ProximitytoHolefrom30yards",2006
