"LateRound4ScoringAverage_RANKTHISWEEK_2014","LateRound4ScoringAverage_RANKLASTWEEK_2014","LateRound4ScoringAverage_PLAYERNAME_2014","LateRound4ScoringAverage__2014","LateRound4ScoringAverage_AVG_2014","LateRound4ScoringAverage_TOTALSTROKES_2014","LateRound4ScoringAverage_TOTALROUNDS_2014","stat_name","year"
1,1,"Tim Clark",NA,67.83,407,6,"LateRound4ScoringAverage",2014
2,2,"Shawn Stefani",NA,68,272,4,"LateRound4ScoringAverage",2014
2,2,"Kevin Tway",NA,68,68,1,"LateRound4ScoringAverage",2014
4,4,"Roberto Castro",NA,68.2,341,5,"LateRound4ScoringAverage",2014
5,5,"Carl Pettersson",NA,68.33,615,9,"LateRound4ScoringAverage",2014
6,6,"Charl Schwartzel",NA,68.38,547,8,"LateRound4ScoringAverage",2014
7,7,"Sergio Garcia",NA,68.5,685,10,"LateRound4ScoringAverage",2014
7,7,"Jeff Maggert",NA,68.5,137,2,"LateRound4ScoringAverage",2014
7,7,"Jim Renner",NA,68.5,137,2,"LateRound4ScoringAverage",2014
7,7,"Boo Weekley",NA,68.5,137,2,"LateRound4ScoringAverage",2014
11,11,"James Hahn",NA,68.6,343,5,"LateRound4ScoringAverage",2014
12,12,"Heath Slocum",NA,68.83,413,6,"LateRound4ScoringAverage",2014
12,12,"David Toms",NA,68.83,413,6,"LateRound4ScoringAverage",2014
14,14,"Jim Furyk",NA,68.86,964,14,"LateRound4ScoringAverage",2014
15,15,"Erik Compton",NA,69,483,7,"LateRound4ScoringAverage",2014
15,15,"Spencer Levin",NA,69,69,1,"LateRound4ScoringAverage",2014
15,15,"Graeme McDowell",NA,69,552,8,"LateRound4ScoringAverage",2014
15,15,"Jeff Overton",NA,69,276,4,"LateRound4ScoringAverage",2014
15,15,"Brian Stuard",NA,69,759,11,"LateRound4ScoringAverage",2014
15,15,"Camilo Villegas",NA,69,483,7,"LateRound4ScoringAverage",2014
21,21,"Zach Johnson",NA,69.08,829,12,"LateRound4ScoringAverage",2014
22,22,"Jimmy Walker",NA,69.13,1106,16,"LateRound4ScoringAverage",2014
23,23,"Ernie Els",NA,69.14,484,7,"LateRound4ScoringAverage",2014
23,23,"Harris English",NA,69.14,484,7,"LateRound4ScoringAverage",2014
23,23,"Justin Hicks",NA,69.14,484,7,"LateRound4ScoringAverage",2014
26,26,"Chad Campbell",NA,69.2,346,5,"LateRound4ScoringAverage",2014
27,27,"Troy Matteson",NA,69.25,277,4,"LateRound4ScoringAverage",2014
28,28,"Marc Leishman",NA,69.3,693,10,"LateRound4ScoringAverage",2014
29,29,"Angel Cabrera",NA,69.33,416,6,"LateRound4ScoringAverage",2014
29,29,"Johnson Wagner",NA,69.33,208,3,"LateRound4ScoringAverage",2014
