"TenthTeeLateLowestRound_RANKTHISWEEK_2016","TenthTeeLateLowestRound_RANKLASTWEEK_2016","TenthTeeLateLowestRound_PLAYERNAME_2016","TenthTeeLateLowestRound_ROUNDS_2016","TenthTeeLateLowestRound_LOWRND_2016","stat_name","year"
1,1,"Roberto Castro",55,62,"TenthTeeLateLowestRound",2016
1,1,"Matt Kuchar",46,62,"TenthTeeLateLowestRound",2016
1,1,"Harold Varner III",58,62,"TenthTeeLateLowestRound",2016
4,4,"Jason Bohn",37,63,"TenthTeeLateLowestRound",2016
4,4,"Branden Grace",31,63,"TenthTeeLateLowestRound",2016
4,4,"Chez Reavie",56,63,"TenthTeeLateLowestRound",2016
4,4,"Camilo Villegas",50,63,"TenthTeeLateLowestRound",2016
8,8,"Tyler Aldridge",53,64,"TenthTeeLateLowestRound",2016
8,8,"Chad Collins",45,64,"TenthTeeLateLowestRound",2016
8,8,"Jason Dufner",53,64,"TenthTeeLateLowestRound",2016
8,8,"Fabian Gomez",49,64,"TenthTeeLateLowestRound",2016
8,8,"Charley Hoffman",49,64,"TenthTeeLateLowestRound",2016
8,8,"Charles Howell III",63,64,"TenthTeeLateLowestRound",2016
8,8,"Si Woo Kim",63,64,"TenthTeeLateLowestRound",2016
8,8,"Brendan Steele",48,64,"TenthTeeLateLowestRound",2016
8,8,"Dawie van der Walt",48,64,"TenthTeeLateLowestRound",2016
8,8,"Boo Weekley",53,64,"TenthTeeLateLowestRound",2016
18,18,"Tony Finau",49,65,"TenthTeeLateLowestRound",2016
18,18,"Fred Funk",10,65,"TenthTeeLateLowestRound",2016
18,18,"Brice Garnett",29,65,"TenthTeeLateLowestRound",2016
18,18,"Lucas Glover",53,65,"TenthTeeLateLowestRound",2016
18,18,"Jason Gore",51,65,"TenthTeeLateLowestRound",2016
18,18,"James Hahn",45,65,"TenthTeeLateLowestRound",2016
18,18,"David Hearn",55,65,"TenthTeeLateLowestRound",2016
