"PGAChampionshipPoints_RANKTHISWEEK_2015","PGAChampionshipPoints_RANKLASTWEEK_2015","PGAChampionshipPoints_PLAYERNAME_2015","PGAChampionshipPoints_EVENTS_2015","PGAChampionshipPoints_POINTS_2015","stat_name","year"
1,1,"Jason Day",6,5263125,"PGAChampionshipPoints",2015
2,2,"Henrik Stenson",6,2900600,"PGAChampionshipPoints",2015
3,3,"Jordan Spieth",6,2860250,"PGAChampionshipPoints",2015
4,4,"Rickie Fowler",6,2227907,"PGAChampionshipPoints",2015
5,5,"Bubba Watson",6,2152279,"PGAChampionshipPoints",2015
6,6,"Justin Rose",6,1842375,"PGAChampionshipPoints",2015
7,7,"Shane Lowry",2,1570000,"PGAChampionshipPoints",2015
8,8,"Daniel Berger",6,1225950,"PGAChampionshipPoints",2015
9,9,"Dustin Johnson",6,1154135,"PGAChampionshipPoints",2015
10,10,"Jim Furyk",5,1035082,"PGAChampionshipPoints",2015
11,11,"Davis Love III",4,994344,"PGAChampionshipPoints",2015
12,12,"Danny Lee",6,981536,"PGAChampionshipPoints",2015
13,13,"Brooks Koepka",7,941959,"PGAChampionshipPoints",2015
14,14,"Zach Johnson",6,917800,"PGAChampionshipPoints",2015
15,15,"Matt Kuchar",6,883292,"PGAChampionshipPoints",2015
16,16,"Robert Streb",6,873300,"PGAChampionshipPoints",2015
17,17,"Paul Casey",7,834282,"PGAChampionshipPoints",2015
18,18,"Charley Hoffman",6,816493,"PGAChampionshipPoints",2015
19,19,"JB Holmes",6,786326,"PGAChampionshipPoints",2015
20,20,"Branden Grace",3,783026,"PGAChampionshipPoints",2015
21,21,"Hideki Matsuyama",7,780969,"PGAChampionshipPoints",2015
22,22,"Scott Piercy",5,746223,"PGAChampionshipPoints",2015
23,23,"Rory McIlroy",4,715463,"PGAChampionshipPoints",2015
24,24,"Patrick Reed",6,687942,"PGAChampionshipPoints",2015
25,25,"Jason Gore",4,682833,"PGAChampionshipPoints",2015
26,26,"Kevin Na",6,600783,"PGAChampionshipPoints",2015
27,27,"JJ Henry",5,599856,"PGAChampionshipPoints",2015
28,28,"Sangmoon Bae",6,552445,"PGAChampionshipPoints",2015
29,29,"Daniel Summerhays",4,548835,"PGAChampionshipPoints",2015
30,30,"Bill Haas",7,547257,"PGAChampionshipPoints",2015
31,31,"Steven Bowditch",6,513200,"PGAChampionshipPoints",2015
32,32,"Harris English",6,493947,"PGAChampionshipPoints",2015
33,33,"Matt Jones",4,472368,"PGAChampionshipPoints",2015
34,34,"Kevin Kisner",6,464363,"PGAChampionshipPoints",2015
35,35,"Brandt Snedeker",7,459264,"PGAChampionshipPoints",2015
36,36,"Brendan Steele",5,450110,"PGAChampionshipPoints",2015
37,37,"Justin Thomas",5,430392,"PGAChampionshipPoints",2015
38,38,"Hunter Mahan",5,427693,"PGAChampionshipPoints",2015
39,39,"David Lingmerth",5,424984,"PGAChampionshipPoints",2015
40,40,"Anirban Lahiri",2,415667,"PGAChampionshipPoints",2015
41,41,"Kyle Reifers",4,415120,"PGAChampionshipPoints",2015
42,42,"Zac Blair",5,412760,"PGAChampionshipPoints",2015
43,43,"Ryan Palmer",5,409253,"PGAChampionshipPoints",2015
44,44,"Tony Finau",4,394140,"PGAChampionshipPoints",2015
45,45,"Charl Schwartzel",4,390500,"PGAChampionshipPoints",2015
46,46,"Sean OHair",4,371801,"PGAChampionshipPoints",2015
47,47,"Webb Simpson",6,358676,"PGAChampionshipPoints",2015
48,48,"Louis Oosthuizen",5,357195,"PGAChampionshipPoints",2015
49,49,"Martin Kaymer",3,334900,"PGAChampionshipPoints",2015
50,50,"Cameron Tringale",4,326402,"PGAChampionshipPoints",2015
51,51,"George Coetzee",2,316220,"PGAChampionshipPoints",2015
52,52,"Russell Henley",5,310654,"PGAChampionshipPoints",2015
53,53,"Kevin Chappell",4,308850,"PGAChampionshipPoints",2015
54,54,"Jerry Kelly",4,303938,"PGAChampionshipPoints",2015
55,55,"Scott Brown",3,297300,"PGAChampionshipPoints",2015
