"Total1Putts25_RANKTHISWEEK_2008","Total1Putts25_RANKLASTWEEK_2008","Total1Putts25_PLAYERNAME_2008","Total1Putts25_ROUNDS_2008","Total1Putts25_TOTAL_2008","Total1Putts25_TOTALFORALLDISTANCES_2008","Total1Putts25_PCTOFALL1PUTTS_2008","stat_name","year"
1,1,"Steve Marino",119,35,706,5,"Total1Putts25",2008
2,2,"Mark Wilson",107,31,730,4.2,"Total1Putts25",2008
3,3,"Patrick Sheehan",124,29,758,3.8,"Total1Putts25",2008
4,4,"Bill Haas",99,28,614,4.6,"Total1Putts25",2008
5,5,"Woody Austin",109,27,610,4.4,"Total1Putts25",2008
5,5,"Matt Jones",95,27,596,4.5,"Total1Putts25",2008
5,5,"Jesper Parnevik",88,27,570,4.7,"Total1Putts25",2008
5,5,"Jeff Quinney",87,27,563,4.8,"Total1Putts25",2008
9,9,"Chad Campbell",94,26,582,4.5,"Total1Putts25",2008
9,9,"Jeff Overton",103,26,639,4.1,"Total1Putts25",2008
9,9,"Tim Petrovic",97,26,583,4.5,"Total1Putts25",2008
9,9,"Carl Pettersson",110,26,713,3.6,"Total1Putts25",2008
13,13,"Robert Allenby",108,25,539,4.6,"Total1Putts25",2008
13,13,"Matt Kuchar",88,25,499,5,"Total1Putts25",2008
15,15,"Ryan Armour",87,24,498,4.8,"Total1Putts25",2008
15,15,"Ken Duke",116,24,770,3.1,"Total1Putts25",2008
15,15,"Joe Durant",92,24,458,5.2,"Total1Putts25",2008
15,15,"Steve Elkington",84,24,497,4.8,"Total1Putts25",2008
15,15,"Mathias Gronberg",87,24,559,4.3,"Total1Putts25",2008
15,15,"Hunter Mahan",87,24,462,5.2,"Total1Putts25",2008
15,15,"Parker McLachlin",88,24,571,4.2,"Total1Putts25",2008
15,15,"Corey Pavin",69,24,449,5.3,"Total1Putts25",2008
15,15,"Bo Van Pelt",101,24,615,3.9,"Total1Putts25",2008
24,24,"Martin Laird",98,23,586,3.9,"Total1Putts25",2008
24,24,"Peter Lonard",92,23,551,4.2,"Total1Putts25",2008
24,24,"John Mallinger",95,23,648,3.5,"Total1Putts25",2008
24,24,"Billy Mayfair",103,23,614,3.7,"Total1Putts25",2008
24,24,"Kevin Na",97,23,682,3.4,"Total1Putts25",2008
24,24,"Pat Perez",93,23,555,4.1,"Total1Putts25",2008
24,24,"Marc Turnesa",87,23,571,4,"Total1Putts25",2008
31,31,"Eric Axley",113,22,736,3,"Total1Putts25",2008
31,31,"Rich Beem",90,22,528,4.2,"Total1Putts25",2008
31,31,"Stewart Cink",87,22,454,4.8,"Total1Putts25",2008
31,31,"Brian Davis",108,22,736,3,"Total1Putts25",2008
31,31,"James Driscoll",85,22,518,4.2,"Total1Putts25",2008
31,31,"Nick Flanagan",89,22,541,4.1,"Total1Putts25",2008
31,31,"Robert Garrigus",90,22,565,3.9,"Total1Putts25",2008
31,31,"Todd Hamilton",92,22,502,4.4,"Total1Putts25",2008
31,31,"JP Hayes",67,22,438,5,"Total1Putts25",2008
31,31,"Ryuji Imada",80,22,501,4.4,"Total1Putts25",2008
31,31,"Steve Lowery",74,22,482,4.6,"Total1Putts25",2008
31,31,"Rory Sabbatini",77,22,428,5.1,"Total1Putts25",2008
31,31,"Kevin Sutherland",98,22,599,3.7,"Total1Putts25",2008
31,31,"Camilo Villegas",79,22,452,4.9,"Total1Putts25",2008
45,45,"Briny Baird",113,21,622,3.4,"Total1Putts25",2008
45,45,"Shane Bertsch",96,21,642,3.3,"Total1Putts25",2008
45,45,"Ben Crane",86,21,547,3.8,"Total1Putts25",2008
45,45,"Mark Hensby",71,21,443,4.7,"Total1Putts25",2008
45,45,"Jeff Maggert",86,21,522,4,"Total1Putts25",2008
45,45,"Kevin Streelman",114,21,646,3.3,"Total1Putts25",2008
45,45,"Nicholas Thompson",113,21,675,3.1,"Total1Putts25",2008
45,45,"Charlie Wi",97,21,611,3.4,"Total1Putts25",2008
45,45,"Jay Williamson",96,21,487,4.3,"Total1Putts25",2008
54,54,"Nathan Green",95,20,711,2.8,"Total1Putts25",2008
54,54,"Troy Matteson",94,20,573,3.5,"Total1Putts25",2008
54,54,"Scott McCarron",63,20,391,5.1,"Total1Putts25",2008
54,54,"John Merrick",98,20,494,4,"Total1Putts25",2008
54,54,"Chez Reavie",102,20,614,3.3,"Total1Putts25",2008
54,54,"Steve Stricker",75,20,430,4.7,"Total1Putts25",2008
54,54,"Tim Wilkinson",95,20,572,3.5,"Total1Putts25",2008
61,61,"Michael Allen",91,19,522,3.6,"Total1Putts25",2008
