"TenthTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2015","TenthTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2015","TenthTeeEarlyPar5ScoringAverage_PLAYERNAME_2015","TenthTeeEarlyPar5ScoringAverage_ROUNDS_2015","TenthTeeEarlyPar5ScoringAverage_AVG_2015","TenthTeeEarlyPar5ScoringAverage_TOTALSTROKES_2015","TenthTeeEarlyPar5ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Webb Simpson",81,4.35,161,37,"TenthTeeEarlyPar5ScoringAverage",2015
2,2,"Henrik Stenson",63,4.36,157,36,"TenthTeeEarlyPar5ScoringAverage",2015
3,3,"Jason Day",75,4.38,219,50,"TenthTeeEarlyPar5ScoringAverage",2015
3,3,"Vijay Singh",78,4.38,105,24,"TenthTeeEarlyPar5ScoringAverage",2015
5,5,"Matt Kuchar",97,4.39,272,62,"TenthTeeEarlyPar5ScoringAverage",2015
6,6,"Angel Cabrera",53,4.43,133,30,"TenthTeeEarlyPar5ScoringAverage",2015
6,6,"JB Holmes",89,4.43,217,49,"TenthTeeEarlyPar5ScoringAverage",2015
8,8,"Tony Finau",106,4.46,241,54,"TenthTeeEarlyPar5ScoringAverage",2015
9,9,"Shawn Stefani",94,4.48,206,46,"TenthTeeEarlyPar5ScoringAverage",2015
10,10,"Carlos Ortiz",100,4.5,279,62,"TenthTeeEarlyPar5ScoringAverage",2015
11,11,"Kevin Chappell",86,4.52,208,46,"TenthTeeEarlyPar5ScoringAverage",2015
11,11,"Jason Kokrak",88,4.52,294,65,"TenthTeeEarlyPar5ScoringAverage",2015
13,13,"Bill Haas",89,4.53,195,43,"TenthTeeEarlyPar5ScoringAverage",2015
14,14,"Keegan Bradley",87,4.54,286,63,"TenthTeeEarlyPar5ScoringAverage",2015
14,14,"Lucas Glover",79,4.54,127,28,"TenthTeeEarlyPar5ScoringAverage",2015
14,14,"JJ Henry",94,4.54,268,59,"TenthTeeEarlyPar5ScoringAverage",2015
14,14,"Roger Sloan",56,4.54,245,54,"TenthTeeEarlyPar5ScoringAverage",2015
