"Approachesfrominside100yardsRgh_RANKTHISWEEK_2013","Approachesfrominside100yardsRgh_RANKLASTWEEK_2013","Approachesfrominside100yardsRgh_PLAYERNAME_2013","Approachesfrominside100yardsRgh_ROUNDS_2013","Approachesfrominside100yardsRgh_AVG_2013","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2013","Approachesfrominside100yardsRgh_OFATTEMPTS_2013","Approachesfrominside100yardsRgh_RELATIVETOPAR_2013","stat_name","year"
1,1,"Justin Hicks",79,NA,180.333,14,-4,"Approachesfrominside100yardsRgh",2013
2,2,"Ryan Moore",72,NA,355.667,23,0,"Approachesfrominside100yardsRgh",2013
3,3,"Michael Bradley",56,NA,301.5,19,-4,"Approachesfrominside100yardsRgh",2013
4,4,"Trevor Immelman",73,NA,435.167,25,8,"Approachesfrominside100yardsRgh",2013
4,4,"Mike Weir",60,NA,435.333,25,-2,"Approachesfrominside100yardsRgh",2013
6,6,"George McNeill",68,NA,246.417,14,-1,"Approachesfrominside100yardsRgh",2013
7,7,"John Rollins",77,NA,538.583,30,2,"Approachesfrominside100yardsRgh",2013
7,7,"Mark Wilson",56,NA,179.417,10,1,"Approachesfrominside100yardsRgh",2013
9,9,"Brian Davis",91,NA,808.167,44,2,"Approachesfrominside100yardsRgh",2013
10,10,"Hunter Mahan",91,NA,572.167,31,1,"Approachesfrominside100yardsRgh",2013
11,11,"David Hearn",88,NA,592.917,32,5,"Approachesfrominside100yardsRgh",2013
12,12,"Roberto Castro",97,NA,633.167,34,4,"Approachesfrominside100yardsRgh",2013
13,13,"Dustin Johnson",71,NA,504.667,27,-1,"Approachesfrominside100yardsRgh",2013
14,14,"Lee Williams",62,NA,319.333,17,5,"Approachesfrominside100yardsRgh",2013
15,15,"Tim Clark",64,NA,263.917,14,4,"Approachesfrominside100yardsRgh",2013
16,16,"Steven Bowditch",67,NA,513.083,27,11,"Approachesfrominside100yardsRgh",2013
17,17,"Jerry Kelly",75,NA,533.417,28,0,"Approachesfrominside100yardsRgh",2013
17,17,"Colt Knost",69,NA,362.5,19,1,"Approachesfrominside100yardsRgh",2013
17,17,"Brandt Snedeker",79,NA,438.167,23,-3,"Approachesfrominside100yardsRgh",2013
20,20,"John Huh",88,NA,536.917,28,3,"Approachesfrominside100yardsRgh",2013
21,21,"Ben Curtis",59,NA,443,23,9,"Approachesfrominside100yardsRgh",2013
21,21,"Justin Rose",62,NA,326.75,17,1,"Approachesfrominside100yardsRgh",2013
23,23,"Scott Langley",79,NA,328.917,17,-1,"Approachesfrominside100yardsRgh",2013
23,23,"Pat Perez",69,NA,366.667,19,3,"Approachesfrominside100yardsRgh",2013
23,23,"Scott Piercy",78,NA,426.083,22,5,"Approachesfrominside100yardsRgh",2013
23,23,"Chris Stroud",88,NA,503.333,26,-4,"Approachesfrominside100yardsRgh",2013
27,27,"Steve LeBrun",66,NA,446.833,23,6,"Approachesfrominside100yardsRgh",2013
28,28,"Ryo Ishikawa",72,NA,488.083,25,-2,"Approachesfrominside100yardsRgh",2013
29,29,"Ernie Els",63,NA,294.917,15,4,"Approachesfrominside100yardsRgh",2013
29,29,"John Merrick",79,NA,413.833,21,-2,"Approachesfrominside100yardsRgh",2013
29,29,"Cameron Percy",68,NA,334.917,17,10,"Approachesfrominside100yardsRgh",2013
29,29,"Nicholas Thompson",99,NA,766.667,39,-2,"Approachesfrominside100yardsRgh",2013
33,33,"Morgan Hoffmann",64,NA,591.417,30,2,"Approachesfrominside100yardsRgh",2013
34,34,"Luke Guthrie",82,NA,713.917,36,-5,"Approachesfrominside100yardsRgh",2013
34,34,"Matt Kuchar",93,NA,635.333,32,0,"Approachesfrominside100yardsRgh",2013
36,36,"Jordan Spieth",82,NA,643.25,32,2,"Approachesfrominside100yardsRgh",2013
37,37,"Graham DeLaet",94,NA,424,21,0,"Approachesfrominside100yardsRgh",2013
37,37,"Chez Reavie",72,NA,282.25,14,-2,"Approachesfrominside100yardsRgh",2013
39,39,"Phil Mickelson",78,NA,628.917,31,1,"Approachesfrominside100yardsRgh",2013
40,40,"Jeff Maggert",63,NA,715.75,35,6,"Approachesfrominside100yardsRgh",2013
41,41,"Charley Hoffman",84,NA,720,35,0,"Approachesfrominside100yardsRgh",2013
42,42,"Nicolas Colsaerts",50,NA,433.167,21,5,"Approachesfrominside100yardsRgh",2013
43,43,"Brian Harman",89,NA,768.417,37,11,"Approachesfrominside100yardsRgh",2013
44,44,"Bryce Molder",82,NA,436.667,21,3,"Approachesfrominside100yardsRgh",2013
44,44,"David Toms",49,NA,250.167,12,1,"Approachesfrominside100yardsRgh",2013
44,44,"Gary Woodland",94,NA,874.583,42,5,"Approachesfrominside100yardsRgh",2013
47,47,"Doug LaBelle II",72,NA,482.833,23,8,"Approachesfrominside100yardsRgh",2013
47,47,"Jimmy Walker",84,NA,859.667,41,7,"Approachesfrominside100yardsRgh",2013
49,49,"KJ Choi",85,NA,358.583,17,-2,"Approachesfrominside100yardsRgh",2013
49,49,"Nick Watney",88,NA,612.583,29,8,"Approachesfrominside100yardsRgh",2013
51,51,"Ian Poulter",59,NA,381.5,18,1,"Approachesfrominside100yardsRgh",2013
52,52,"David Mathis",71,NA,658.417,31,9,"Approachesfrominside100yardsRgh",2013
52,52,"Seung Yul Noh",71,NA,573.667,27,-1,"Approachesfrominside100yardsRgh",2013
54,54,"David Lynn",70,NA,792,37,6,"Approachesfrominside100yardsRgh",2013
54,54,"Adam Scott",61,NA,342.5,16,1,"Approachesfrominside100yardsRgh",2013
56,56,"Justin Leonard",86,NA,495.167,23,2,"Approachesfrominside100yardsRgh",2013
56,56,"Henrik Stenson",65,NA,408,19,4,"Approachesfrominside100yardsRgh",2013
58,58,"Luke Donald",60,NA,280.083,13,4,"Approachesfrominside100yardsRgh",2013
58,58,"Russell Henley",80,NA,518.917,24,-1,"Approachesfrominside100yardsRgh",2013
58,58,"Billy Horschel",96,NA,712.417,33,1,"Approachesfrominside100yardsRgh",2013
58,58,"Geoff Ogilvy",57,NA,582.417,27,0,"Approachesfrominside100yardsRgh",2013
62,62,"Matt Every",89,NA,867.667,40,2,"Approachesfrominside100yardsRgh",2013
62,62,"Peter Hanson",45,NA,389.333,18,4,"Approachesfrominside100yardsRgh",2013
62,62,"Troy Matteson",68,NA,649.75,30,4,"Approachesfrominside100yardsRgh",2013
62,62,"Josh Teater",86,NA,520.083,24,2,"Approachesfrominside100yardsRgh",2013
66,66,"Erik Compton",74,NA,697.167,32,6,"Approachesfrominside100yardsRgh",2013
67,67,"Stuart Appleby",88,NA,459.083,21,3,"Approachesfrominside100yardsRgh",2013
67,67,"Padraig Harrington",52,NA,305.75,14,4,"Approachesfrominside100yardsRgh",2013
69,69,"Marc Leishman",77,NA,700,32,-3,"Approachesfrominside100yardsRgh",2013
69,69,"Michael Thompson",66,NA,416,19,8,"Approachesfrominside100yardsRgh",2013
71,71,"Sangmoon Bae",83,NA,904.667,41,8,"Approachesfrominside100yardsRgh",2013
71,71,"Chris Kirk",89,NA,595.833,27,-1,"Approachesfrominside100yardsRgh",2013
73,73,"Charlie Wi",75,NA,510,23,3,"Approachesfrominside100yardsRgh",2013
74,74,"Carl Pettersson",82,NA,714.5,32,1,"Approachesfrominside100yardsRgh",2013
75,75,"Kevin Chappell",80,NA,494.417,22,6,"Approachesfrominside100yardsRgh",2013
75,75,"Tim Herron",45,NA,293,13,-1,"Approachesfrominside100yardsRgh",2013
77,77,"Ken Duke",87,NA,496.833,22,4,"Approachesfrominside100yardsRgh",2013
77,77,"Martin Kaymer",61,NA,203,9,1,"Approachesfrominside100yardsRgh",2013
79,79,"James Hahn",78,NA,656.75,29,6,"Approachesfrominside100yardsRgh",2013
79,79,"Jin Park",52,NA,362.333,16,-1,"Approachesfrominside100yardsRgh",2013
81,81,"Charles Howell III",87,NA,797.417,35,12,"Approachesfrominside100yardsRgh",2013
81,81,"Brandt Jobe",62,NA,295.583,13,5,"Approachesfrominside100yardsRgh",2013
83,83,"Rory Sabbatini",86,NA,753.333,33,1,"Approachesfrominside100yardsRgh",2013
84,84,"Aaron Baddeley",68,NA,665.25,29,3,"Approachesfrominside100yardsRgh",2013
85,85,"DH Lee",65,NA,597.75,26,0,"Approachesfrominside100yardsRgh",2013
86,86,"Greg Chalmers",77,NA,739.167,32,9,"Approachesfrominside100yardsRgh",2013
86,86,"Eric Meierdierks",48,NA,322.75,14,1,"Approachesfrominside100yardsRgh",2013
86,86,"Aaron Watkins",46,NA,299.667,13,5,"Approachesfrominside100yardsRgh",2013
89,89,"Chad Campbell",78,NA,533.333,23,4,"Approachesfrominside100yardsRgh",2013
89,89,"Will Claxton",67,NA,788.167,34,8,"Approachesfrominside100yardsRgh",2013
91,91,"Ricky Barnes",74,NA,465.333,20,4,"Approachesfrominside100yardsRgh",2013
91,91,"Rory McIlroy",56,NA,302.333,13,2,"Approachesfrominside100yardsRgh",2013
91,91,"Patrick Reed",83,NA,1209.667,52,3,"Approachesfrominside100yardsRgh",2013
94,94,"Scott Gardiner",61,NA,909.25,39,5,"Approachesfrominside100yardsRgh",2013
94,94,"Brian Gay",79,NA,631,27,5,"Approachesfrominside100yardsRgh",2013
94,94,"Jeff Overton",78,NA,841.25,36,3,"Approachesfrominside100yardsRgh",2013
97,97,"Bobby Gates",49,NA,444.583,19,7,"Approachesfrominside100yardsRgh",2013
97,97,"Freddie Jacobson",63,NA,562.167,24,1,"Approachesfrominside100yardsRgh",2013
97,97,"Ben Kohles",75,NA,491.75,21,7,"Approachesfrominside100yardsRgh",2013
100,100,"Fabian Gomez",65,NA,540.417,23,1,"Approachesfrominside100yardsRgh",2013
100,100,"Tag Ridings",69,NA,657.75,28,7,"Approachesfrominside100yardsRgh",2013
102,102,"Ben Crane",62,NA,588.583,25,7,"Approachesfrominside100yardsRgh",2013
103,103,"Scott Brown",65,NA,378.167,16,-1,"Approachesfrominside100yardsRgh",2013
103,103,"Derek Ernst",58,NA,662.75,28,7,"Approachesfrominside100yardsRgh",2013
103,103,"Luke List",65,NA,829.167,35,1,"Approachesfrominside100yardsRgh",2013
106,106,"William McGirt",75,NA,640.333,27,10,"Approachesfrominside100yardsRgh",2013
106,106,"Casey Wittenberg",72,NA,617.25,26,-1,"Approachesfrominside100yardsRgh",2013
108,108,"Charl Schwartzel",69,NA,333.583,14,-4,"Approachesfrominside100yardsRgh",2013
109,109,"DA Points",87,NA,479.083,20,3,"Approachesfrominside100yardsRgh",2013
110,110,"Daniel Summerhays",83,NA,937,39,7,"Approachesfrominside100yardsRgh",2013
111,111,"Rickie Fowler",75,NA,650.667,27,2,"Approachesfrominside100yardsRgh",2013
111,111,"DJ Trahan",48,NA,433.667,18,5,"Approachesfrominside100yardsRgh",2013
113,113,"Brendon de Jonge",110,NA,557.25,23,12,"Approachesfrominside100yardsRgh",2013
114,114,"Ted Potter Jr",65,NA,706.5,29,3,"Approachesfrominside100yardsRgh",2013
114,114,"Robert Streb",75,NA,633,26,8,"Approachesfrominside100yardsRgh",2013
114,114,"Kevin Streelman",86,NA,583,24,7,"Approachesfrominside100yardsRgh",2013
117,117,"Stewart Cink",71,NA,609.583,25,5,"Approachesfrominside100yardsRgh",2013
117,117,"Jason Dufner",78,NA,488.25,20,-1,"Approachesfrominside100yardsRgh",2013
117,117,"YE Yang",56,NA,390.25,16,10,"Approachesfrominside100yardsRgh",2013
120,120,"Angel Cabrera",73,NA,638.417,26,0,"Approachesfrominside100yardsRgh",2013
121,121,"Shawn Stefani",63,NA,644.5,26,0,"Approachesfrominside100yardsRgh",2013
122,122,"Bill Haas",85,NA,1018.167,41,1,"Approachesfrominside100yardsRgh",2013
122,122,"Bubba Watson",76,NA,943.25,38,1,"Approachesfrominside100yardsRgh",2013
124,124,"Robert Allenby",58,NA,348.333,14,10,"Approachesfrominside100yardsRgh",2013
124,124,"Jason Bohn",70,NA,697.833,28,7,"Approachesfrominside100yardsRgh",2013
126,126,"Ryan Palmer",79,NA,932.333,37,10,"Approachesfrominside100yardsRgh",2013
127,127,"Jason Day",86,NA,806.833,32,3,"Approachesfrominside100yardsRgh",2013
127,127,"Brian Stuard",78,NA,555.917,22,3,"Approachesfrominside100yardsRgh",2013
129,129,"Vijay Singh",61,NA,584,23,9,"Approachesfrominside100yardsRgh",2013
130,130,"Zach Johnson",84,NA,640.583,25,5,"Approachesfrominside100yardsRgh",2013
130,130,"John Senden",79,NA,742.25,29,3,"Approachesfrominside100yardsRgh",2013
132,132,"Martin Flores",83,NA,976.583,38,5,"Approachesfrominside100yardsRgh",2013
132,132,"Bo Van Pelt",72,NA,359.083,14,3,"Approachesfrominside100yardsRgh",2013
134,134,"Kevin Stadler",83,NA,827,32,3,"Approachesfrominside100yardsRgh",2013
135,135,"Richard Lee",81,NA,621.833,24,7,"Approachesfrominside100yardsRgh",2013
136,136,"Greg Owen",73,NA,780.167,30,10,"Approachesfrominside100yardsRgh",2013
137,137,"Lucas Glover",65,NA,680.583,26,4,"Approachesfrominside100yardsRgh",2013
137,137,"Jim Herman",59,NA,522.583,20,1,"Approachesfrominside100yardsRgh",2013
139,139,"Tom Gillis",69,NA,865.333,33,5,"Approachesfrominside100yardsRgh",2013
139,139,"Martin Laird",68,NA,655.333,25,4,"Approachesfrominside100yardsRgh",2013
139,139,"David Lingmerth",68,NA,577.667,22,-2,"Approachesfrominside100yardsRgh",2013
142,142,"Charlie Beljan",62,NA,845.75,32,6,"Approachesfrominside100yardsRgh",2013
142,142,"Henrik Norlander",70,NA,633.917,24,11,"Approachesfrominside100yardsRgh",2013
142,142,"Darron Stiles",51,NA,449.333,17,8,"Approachesfrominside100yardsRgh",2013
142,142,"Cameron Tringale",80,NA,897.333,34,-4,"Approachesfrominside100yardsRgh",2013
146,146,"Andres Romero",63,NA,557.333,21,7,"Approachesfrominside100yardsRgh",2013
147,147,"Brendan Steele",86,NA,557.583,21,7,"Approachesfrominside100yardsRgh",2013
148,148,"Bud Cauley",67,NA,722.667,27,2,"Approachesfrominside100yardsRgh",2013
149,149,"Camilo Villegas",79,NA,537.083,20,6,"Approachesfrominside100yardsRgh",2013
150,150,"Sergio Garcia",65,NA,295.917,11,2,"Approachesfrominside100yardsRgh",2013
151,151,"Bob Estes",66,NA,434.5,16,2,"Approachesfrominside100yardsRgh",2013
151,151,"Jim Furyk",80,NA,489.5,18,8,"Approachesfrominside100yardsRgh",2013
153,153,"Steve Stricker",51,NA,299.833,11,-1,"Approachesfrominside100yardsRgh",2013
154,154,"Boo Weekley",100,NA,738.917,27,3,"Approachesfrominside100yardsRgh",2013
155,155,"Sean OHair",56,NA,821.417,30,17,"Approachesfrominside100yardsRgh",2013
156,156,"Matt Jones",83,NA,800.167,29,1,"Approachesfrominside100yardsRgh",2013
157,157,"Lee Westwood",70,NA,442.167,16,4,"Approachesfrominside100yardsRgh",2013
158,158,"Johnson Wagner",64,NA,805.167,29,7,"Approachesfrominside100yardsRgh",2013
159,159,"Webb Simpson",92,NA,839.583,30,3,"Approachesfrominside100yardsRgh",2013
160,160,"Brad Fritsch",81,NA,659,23,10,"Approachesfrominside100yardsRgh",2013
161,161,"Robert Karlsson",56,NA,373.833,13,4,"Approachesfrominside100yardsRgh",2013
162,162,"James Driscoll",76,NA,749.167,26,6,"Approachesfrominside100yardsRgh",2013
162,162,"Alistair Presnell",59,NA,923.583,32,11,"Approachesfrominside100yardsRgh",2013
164,164,"Stephen Ames",49,NA,380.5,13,1,"Approachesfrominside100yardsRgh",2013
165,165,"Scott Stallings",79,NA,1098.5,37,12,"Approachesfrominside100yardsRgh",2013
166,166,"Vaughn Taylor",50,NA,303,10,2,"Approachesfrominside100yardsRgh",2013
167,167,"Robert Garrigus",69,NA,489.417,16,3,"Approachesfrominside100yardsRgh",2013
168,168,"Harris English",95,NA,958.25,31,10,"Approachesfrominside100yardsRgh",2013
169,169,"Jason Kokrak",78,NA,808.75,26,6,"Approachesfrominside100yardsRgh",2013
170,170,"Rod Pampling",46,NA,596.083,19,5,"Approachesfrominside100yardsRgh",2013
170,170,"Kyle Stanley",71,NA,1220.583,39,11,"Approachesfrominside100yardsRgh",2013
172,172,"Graeme McDowell",53,NA,599.5,19,3,"Approachesfrominside100yardsRgh",2013
173,173,"JJ Henry",83,NA,823.833,26,8,"Approachesfrominside100yardsRgh",2013
174,174,"Tiger Woods",61,NA,228,7,2,"Approachesfrominside100yardsRgh",2013
175,175,"Jonas Blixt",76,NA,1078.75,33,8,"Approachesfrominside100yardsRgh",2013
176,176,"Tommy Gainey",84,NA,883.25,27,8,"Approachesfrominside100yardsRgh",2013
177,177,"Justin Bolli",59,NA,773.333,23,9,"Approachesfrominside100yardsRgh",2013
178,178,"Dicky Pride",71,NA,1030.833,30,8,"Approachesfrominside100yardsRgh",2013
179,179,"Keegan Bradley",88,NA,928.167,27,13,"Approachesfrominside100yardsRgh",2013
180,180,"Andrew Svoboda",46,NA,396.833,11,5,"Approachesfrominside100yardsRgh",2013
