"ScoringAverageBeforeCut_RANKTHISWEEK_2011","ScoringAverageBeforeCut_RANKLASTWEEK_2011","ScoringAverageBeforeCut_PLAYERNAME_2011","ScoringAverageBeforeCut__2011","ScoringAverageBeforeCut_AVG_2011","ScoringAverageBeforeCut_TOTALSTROKES_2011","ScoringAverageBeforeCut_TOTALROUNDS_2011","stat_name","year"
1,1,"Webb Simpson",NA,69.3,3742,54,"ScoringAverageBeforeCut",2011
2,2,"Steve Stricker",NA,69.33,2496,36,"ScoringAverageBeforeCut",2011
3,3,"David Toms",NA,69.45,3264,47,"ScoringAverageBeforeCut",2011
4,4,"Chris Couch",NA,69.52,2920,42,"ScoringAverageBeforeCut",2011
5,5,"Sergio Garcia",NA,69.56,2226,32,"ScoringAverageBeforeCut",2011
5,5,"Bill Haas",NA,69.56,3617,52,"ScoringAverageBeforeCut",2011
5,5,"Matt Kuchar",NA,69.56,3339,48,"ScoringAverageBeforeCut",2011
8,8,"Nick Watney",NA,69.63,2994,43,"ScoringAverageBeforeCut",2011
9,9,"Luke Donald",NA,69.72,2510,36,"ScoringAverageBeforeCut",2011
10,10,"Gary Woodland",NA,69.81,3700,53,"ScoringAverageBeforeCut",2011
11,11,"Jason Day",NA,69.85,2794,40,"ScoringAverageBeforeCut",2011
12,12,"Hunter Mahan",NA,69.88,3424,49,"ScoringAverageBeforeCut",2011
13,13,"Charles Howell III",NA,69.97,4338,62,"ScoringAverageBeforeCut",2011
14,14,"Aaron Baddeley",NA,70,3150,45,"ScoringAverageBeforeCut",2011
15,15,"Spencer Levin",NA,70.02,4551,65,"ScoringAverageBeforeCut",2011
15,15,"Bubba Watson",NA,70.02,3011,43,"ScoringAverageBeforeCut",2011
17,17,"Adam Scott",NA,70.03,2381,34,"ScoringAverageBeforeCut",2011
18,18,"Mark Wilson",NA,70.06,3713,53,"ScoringAverageBeforeCut",2011
19,19,"Brendon de Jonge",NA,70.08,4415,63,"ScoringAverageBeforeCut",2011
20,20,"Rickie Fowler",NA,70.11,3225,46,"ScoringAverageBeforeCut",2011
21,21,"Freddie Jacobson",NA,70.12,3646,52,"ScoringAverageBeforeCut",2011
21,21,"John Merrick",NA,70.12,3015,43,"ScoringAverageBeforeCut",2011
21,21,"Phil Mickelson",NA,70.12,2875,41,"ScoringAverageBeforeCut",2011
24,24,"Brandt Snedeker",NA,70.13,3787,54,"ScoringAverageBeforeCut",2011
25,25,"Jason Dufner",NA,70.14,3437,49,"ScoringAverageBeforeCut",2011
26,26,"Chad Campbell",NA,70.15,4209,60,"ScoringAverageBeforeCut",2011
26,26,"John Senden",NA,70.15,3788,54,"ScoringAverageBeforeCut",2011
28,28,"Ryan Moore",NA,70.17,2877,41,"ScoringAverageBeforeCut",2011
