"CurrentParorBetterStreak_RANKTHISWEEK_2014","CurrentParorBetterStreak_RANKLASTWEEK_2014","CurrentParorBetterStreak_PLAYERNAME_2014","CurrentParorBetterStreak_EVENTS_2014","CurrentParorBetterStreak_NUMBEROFROUNDS_2014","stat_name","year"
1,1,"Jason Day",146,12,"CurrentParorBetterStreak",2014
1,1,"Billy Horschel",100,12,"CurrentParorBetterStreak",2014
3,3,"Jim Furyk",506,11,"CurrentParorBetterStreak",2014
4,4,"Steve Marino",171,9,"CurrentParorBetterStreak",2014
4,4,"Francesco Molinari",48,9,"CurrentParorBetterStreak",2014
6,6,"Paul Casey",138,8,"CurrentParorBetterStreak",2014
6,6,"Will Wilcox",17,8,"CurrentParorBetterStreak",2014
8,8,"Victor Dubuisson",10,7,"CurrentParorBetterStreak",2014
8,8,"Brad Fritsch",47,7,"CurrentParorBetterStreak",2014
8,8,"Martin Laird",163,7,"CurrentParorBetterStreak",2014
8,8,"DA Points",231,7,"CurrentParorBetterStreak",2014
12,12,"Graham DeLaet",104,6,"CurrentParorBetterStreak",2014
12,12,"Chesson Hadley",31,6,"CurrentParorBetterStreak",2014
12,12,"Fabrizio Zanotti",4,6,"CurrentParorBetterStreak",2014
15,15,"Ernie Els",357,5,"CurrentParorBetterStreak",2014
15,15,"Emiliano Grillo",2,5,"CurrentParorBetterStreak",2014
15,15,"JJ Henry",404,5,"CurrentParorBetterStreak",2014
15,15,"Alexander Levy",2,5,"CurrentParorBetterStreak",2014
15,15,"Scott Piercy",161,5,"CurrentParorBetterStreak",2014
15,15,"Johnson Wagner",212,5,"CurrentParorBetterStreak",2014
15,15,"YE Yang",167,5,"CurrentParorBetterStreak",2014
22,22,"Byeong Hun An",9,4,"CurrentParorBetterStreak",2014
22,22,"Justin Bolli",102,4,"CurrentParorBetterStreak",2014
22,22,"Mark Brown",7,4,"CurrentParorBetterStreak",2014
22,22,"Ben Crane",298,4,"CurrentParorBetterStreak",2014
22,22,"Jamie Donaldson",26,4,"CurrentParorBetterStreak",2014
