"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2015","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2015","TenthTeeEarlyScoringAverage_PLAYERNAME_2015","TenthTeeEarlyScoringAverage_ROUNDS_2015","TenthTeeEarlyScoringAverage_AVG_2015","TenthTeeEarlyScoringAverage_TOTALSTROKES_2015","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2015","stat_name","year"
1,1,"Henrik Stenson",63,67.5,675,10,"TenthTeeEarlyScoringAverage",2015
2,2,"Jason Day",75,67.67,1015,15,"TenthTeeEarlyScoringAverage",2015
3,3,"Ben Martin",93,68.4,684,10,"TenthTeeEarlyScoringAverage",2015
4,4,"Will Wilcox",58,68.6,686,10,"TenthTeeEarlyScoringAverage",2015
5,5,"Tony Finau",106,68.61,1235,18,"TenthTeeEarlyScoringAverage",2015
6,6,"Scott Stallings",60,68.67,618,9,"TenthTeeEarlyScoringAverage",2015
7,7,"Webb Simpson",81,68.69,893,13,"TenthTeeEarlyScoringAverage",2015
8,8,"JB Holmes",89,68.71,962,14,"TenthTeeEarlyScoringAverage",2015
9,9,"Robert Streb",110,68.74,1306,19,"TenthTeeEarlyScoringAverage",2015
10,10,"Steve Wheatcroft",87,68.81,1101,16,"TenthTeeEarlyScoringAverage",2015
11,11,"Rory Sabbatini",81,68.9,689,10,"TenthTeeEarlyScoringAverage",2015
12,12,"George McNeill",93,68.91,758,11,"TenthTeeEarlyScoringAverage",2015
12,12,"Boo Weekley",79,68.91,758,11,"TenthTeeEarlyScoringAverage",2015
14,14,"Ryan Moore",81,69,345,5,"TenthTeeEarlyScoringAverage",2015
14,14,"Shawn Stefani",94,69,897,13,"TenthTeeEarlyScoringAverage",2015
16,16,"Brian Harman",90,69.14,968,14,"TenthTeeEarlyScoringAverage",2015
17,17,"Jordan Spieth",91,69.16,1314,19,"TenthTeeEarlyScoringAverage",2015
18,18,"Mark Wilson",89,69.17,830,12,"TenthTeeEarlyScoringAverage",2015
19,19,"Vijay Singh",78,69.25,554,8,"TenthTeeEarlyScoringAverage",2015
20,20,"Daniel Summerhays",101,69.29,1178,17,"TenthTeeEarlyScoringAverage",2015
21,21,"Jimmy Walker",89,69.41,1527,22,"TenthTeeEarlyScoringAverage",2015
22,22,"Jason Bohn",95,69.47,1320,19,"TenthTeeEarlyScoringAverage",2015
23,23,"Brooks Koepka",84,69.5,1251,18,"TenthTeeEarlyScoringAverage",2015
23,23,"Brendan Steele",88,69.5,1251,18,"TenthTeeEarlyScoringAverage",2015
25,25,"Zach Johnson",90,69.52,1460,21,"TenthTeeEarlyScoringAverage",2015
26,26,"Matt Kuchar",97,69.53,1321,19,"TenthTeeEarlyScoringAverage",2015
27,27,"Jason Dufner",76,69.58,835,12,"TenthTeeEarlyScoringAverage",2015
27,27,"Bubba Watson",71,69.58,835,12,"TenthTeeEarlyScoringAverage",2015
29,29,"Patrick Reed",103,69.75,1674,24,"TenthTeeEarlyScoringAverage",2015
30,30,"Harris English",105,69.79,1326,19,"TenthTeeEarlyScoringAverage",2015
30,30,"Russell Knox",96,69.79,1326,19,"TenthTeeEarlyScoringAverage",2015
30,30,"William McGirt",103,69.79,1675,24,"TenthTeeEarlyScoringAverage",2015
33,33,"James Hahn",94,69.84,1327,19,"TenthTeeEarlyScoringAverage",2015
34,34,"Colt Knost",90,69.87,1607,23,"TenthTeeEarlyScoringAverage",2015
35,35,"Charley Hoffman",97,69.91,769,11,"TenthTeeEarlyScoringAverage",2015
36,36,"Patrick Rodgers",57,69.93,1049,15,"TenthTeeEarlyScoringAverage",2015
37,37,"Jon Curran",83,69.94,1119,16,"TenthTeeEarlyScoringAverage",2015
37,37,"Mark Hubbard",79,69.94,1119,16,"TenthTeeEarlyScoringAverage",2015
37,37,"Pat Perez",96,69.94,1119,16,"TenthTeeEarlyScoringAverage",2015
40,40,"Hudson Swafford",97,69.95,1469,21,"TenthTeeEarlyScoringAverage",2015
41,41,"Stewart Cink",77,70,1120,16,"TenthTeeEarlyScoringAverage",2015
41,41,"Martin Flores",95,70,1540,22,"TenthTeeEarlyScoringAverage",2015
41,41,"Billy Hurley III",83,70,1400,20,"TenthTeeEarlyScoringAverage",2015
41,41,"David Lingmerth",90,70,840,12,"TenthTeeEarlyScoringAverage",2015
45,45,"Keegan Bradley",87,70.05,1331,19,"TenthTeeEarlyScoringAverage",2015
46,46,"Zac Blair",108,70.06,1191,17,"TenthTeeEarlyScoringAverage",2015
47,47,"Andres Gonzales",90,70.08,911,13,"TenthTeeEarlyScoringAverage",2015
