"Total3Putts1015_RANKTHISWEEK_2013","Total3Putts1015_RANKLASTWEEK_2013","Total3Putts1015_PLAYERNAME_2013","Total3Putts1015_ROUNDS_2013","Total3Putts1015_TOTAL3PUTTS1015_2013","Total3Putts1015_TOTAL3PUTTS_2013","stat_name","year"
1,1,"Matt Every",89,6,50,"Total3Putts1015",2013
2,2,"Justin Hicks",79,5,51,"Total3Putts1015",2013
2,2,"Jeff Maggert",63,5,44,"Total3Putts1015",2013
2,2,"Vijay Singh",61,5,30,"Total3Putts1015",2013
2,2,"Charlie Wi",75,5,40,"Total3Putts1015",2013
6,6,"Robert Allenby",58,4,33,"Total3Putts1015",2013
6,6,"Stephen Ames",49,4,21,"Total3Putts1015",2013
6,6,"Jason Dufner",78,4,45,"Total3Putts1015",2013
6,6,"Tommy Gainey",84,4,44,"Total3Putts1015",2013
6,6,"Russell Henley",80,4,33,"Total3Putts1015",2013
6,6,"John Huh",88,4,54,"Total3Putts1015",2013
6,6,"Jerry Kelly",75,4,27,"Total3Putts1015",2013
6,6,"Richard Lee",81,4,36,"Total3Putts1015",2013
6,6,"Troy Matteson",68,4,27,"Total3Putts1015",2013
6,6,"Geoff Ogilvy",57,4,40,"Total3Putts1015",2013
6,6,"Scott Piercy",78,4,36,"Total3Putts1015",2013
6,6,"DA Points",87,4,45,"Total3Putts1015",2013
6,6,"Andres Romero",63,4,27,"Total3Putts1015",2013
6,6,"Kevin Stadler",83,4,38,"Total3Putts1015",2013
6,6,"Scott Stallings",79,4,36,"Total3Putts1015",2013
6,6,"Cameron Tringale",80,4,41,"Total3Putts1015",2013
6,6,"Camilo Villegas",79,4,36,"Total3Putts1015",2013
6,6,"Boo Weekley",100,4,58,"Total3Putts1015",2013
24,24,"Sangmoon Bae",83,3,55,"Total3Putts1015",2013
24,24,"Jason Bohn",70,3,29,"Total3Putts1015",2013
24,24,"Erik Compton",74,3,42,"Total3Putts1015",2013
24,24,"Ken Duke",87,3,43,"Total3Putts1015",2013
24,24,"Rickie Fowler",75,3,24,"Total3Putts1015",2013
24,24,"Brian Gay",79,3,21,"Total3Putts1015",2013
24,24,"James Hahn",78,3,31,"Total3Putts1015",2013
24,24,"Jim Herman",59,3,33,"Total3Putts1015",2013
24,24,"Tim Herron",45,3,24,"Total3Putts1015",2013
24,24,"Matt Jones",83,3,38,"Total3Putts1015",2013
24,24,"Martin Laird",68,3,38,"Total3Putts1015",2013
24,24,"Marc Leishman",77,3,36,"Total3Putts1015",2013
24,24,"Eric Meierdierks",48,3,34,"Total3Putts1015",2013
24,24,"Henrik Norlander",70,3,37,"Total3Putts1015",2013
24,24,"Pat Perez",69,3,37,"Total3Putts1015",2013
24,24,"Carl Pettersson",82,3,30,"Total3Putts1015",2013
24,24,"Ted Potter Jr",65,3,41,"Total3Putts1015",2013
24,24,"John Rollins",77,3,34,"Total3Putts1015",2013
24,24,"Charl Schwartzel",69,3,17,"Total3Putts1015",2013
24,24,"Jordan Spieth",82,3,34,"Total3Putts1015",2013
24,24,"Josh Teater",86,3,27,"Total3Putts1015",2013
