"LeftRoughTendencyRTPScore_RANKTHISWEEK_2015","LeftRoughTendencyRTPScore_RANKLASTWEEK_2015","LeftRoughTendencyRTPScore_PLAYERNAME_2015","LeftRoughTendencyRTPScore_ROUNDS_2015","LeftRoughTendencyRTPScore_RTPSCORE_2015","stat_name","year"
1,1,"Daniel Berger",97,-0.077,"LeftRoughTendencyRTPScore",2015
2,2,"Charles Howell III",105,-0.069,"LeftRoughTendencyRTPScore",2015
3,3,"Martin Laird",77,-0.067,"LeftRoughTendencyRTPScore",2015
4,4,"Brooks Koepka",84,-0.059,"LeftRoughTendencyRTPScore",2015
5,5,"Phil Mickelson",70,-0.057,"LeftRoughTendencyRTPScore",2015
5,5,"Ryan Palmer",80,-0.057,"LeftRoughTendencyRTPScore",2015
7,7,"Bubba Watson",71,-0.05,"LeftRoughTendencyRTPScore",2015
8,8,"Eric Axley",57,-0.046,"LeftRoughTendencyRTPScore",2015
9,9,"Martin Flores",95,-0.045,"LeftRoughTendencyRTPScore",2015
10,10,"Rickie Fowler",76,-0.043,"LeftRoughTendencyRTPScore",2015
11,11,"Justin Thomas",106,-0.032,"LeftRoughTendencyRTPScore",2015
12,12,"James Hahn",94,-0.03,"LeftRoughTendencyRTPScore",2015
13,13,"Aaron Baddeley",76,-0.028,"LeftRoughTendencyRTPScore",2015
14,14,"Tom Hoge",83,-0.026,"LeftRoughTendencyRTPScore",2015
15,15,"Vijay Singh",78,-0.025,"LeftRoughTendencyRTPScore",2015
15,15,"Camilo Villegas",83,-0.025,"LeftRoughTendencyRTPScore",2015
17,17,"Will Wilcox",58,-0.017,"LeftRoughTendencyRTPScore",2015
18,18,"Justin Rose",69,-0.013,"LeftRoughTendencyRTPScore",2015
19,19,"Jason Kokrak",88,-0.011,"LeftRoughTendencyRTPScore",2015
19,19,"Gary Woodland",81,-0.011,"LeftRoughTendencyRTPScore",2015
21,21,"Louis Oosthuizen",68,-0.01,"LeftRoughTendencyRTPScore",2015
21,21,"Sam Saunders",83,-0.01,"LeftRoughTendencyRTPScore",2015
23,23,"Kevin Streelman",95,-0.009,"LeftRoughTendencyRTPScore",2015
24,24,"Matt Every",73,0,"LeftRoughTendencyRTPScore",2015
24,24,"Tony Finau",106,0,"LeftRoughTendencyRTPScore",2015
24,24,"Hunter Mahan",88,0,"LeftRoughTendencyRTPScore",2015
24,24,"Kevin Na",98,0,"LeftRoughTendencyRTPScore",2015
24,24,"Pat Perez",96,0,"LeftRoughTendencyRTPScore",2015
24,24,"Andres Romero",69,0,"LeftRoughTendencyRTPScore",2015
30,30,"Danny Lee",120,0.005,"LeftRoughTendencyRTPScore",2015
31,31,"Jason Day",75,0.007,"LeftRoughTendencyRTPScore",2015
32,32,"Luke Donald",71,0.008,"LeftRoughTendencyRTPScore",2015
33,33,"Scott Piercy",90,0.009,"LeftRoughTendencyRTPScore",2015
34,34,"Harris English",105,0.011,"LeftRoughTendencyRTPScore",2015
34,34,"Jim Furyk",71,0.011,"LeftRoughTendencyRTPScore",2015
36,36,"Shawn Stefani",94,0.012,"LeftRoughTendencyRTPScore",2015
37,37,"JB Holmes",89,0.013,"LeftRoughTendencyRTPScore",2015
38,38,"Matt Jones",89,0.015,"LeftRoughTendencyRTPScore",2015
38,38,"Kyle Reifers",96,0.015,"LeftRoughTendencyRTPScore",2015
40,40,"George McNeill",93,0.016,"LeftRoughTendencyRTPScore",2015
41,41,"Chez Reavie",56,0.017,"LeftRoughTendencyRTPScore",2015
42,42,"Brendon de Jonge",106,0.018,"LeftRoughTendencyRTPScore",2015
42,42,"Derek Ernst",75,0.018,"LeftRoughTendencyRTPScore",2015
44,44,"Paul Casey",87,0.019,"LeftRoughTendencyRTPScore",2015
44,44,"Jerry Kelly",79,0.019,"LeftRoughTendencyRTPScore",2015
46,46,"Ryo Ishikawa",90,0.021,"LeftRoughTendencyRTPScore",2015
47,47,"Gonzalo Fdez Castano",81,0.022,"LeftRoughTendencyRTPScore",2015
47,47,"Henrik Stenson",63,0.022,"LeftRoughTendencyRTPScore",2015
49,49,"Ricky Barnes",82,0.023,"LeftRoughTendencyRTPScore",2015
49,49,"Jason Dufner",76,0.023,"LeftRoughTendencyRTPScore",2015
51,51,"Retief Goosen",81,0.024,"LeftRoughTendencyRTPScore",2015
51,51,"Marc Leishman",74,0.024,"LeftRoughTendencyRTPScore",2015
53,53,"Hideki Matsuyama",95,0.025,"LeftRoughTendencyRTPScore",2015
54,54,"Billy Horschel",99,0.026,"LeftRoughTendencyRTPScore",2015
54,54,"Jhonattan Vegas",90,0.026,"LeftRoughTendencyRTPScore",2015
56,56,"SJ Park",79,0.029,"LeftRoughTendencyRTPScore",2015
57,57,"Nick Watney",91,0.033,"LeftRoughTendencyRTPScore",2015
58,58,"Morgan Hoffmann",85,0.035,"LeftRoughTendencyRTPScore",2015
58,58,"Matt Kuchar",97,0.035,"LeftRoughTendencyRTPScore",2015
60,60,"Steven Bowditch",103,0.037,"LeftRoughTendencyRTPScore",2015
61,61,"Charley Hoffman",97,0.038,"LeftRoughTendencyRTPScore",2015
62,62,"Jeff Overton",94,0.039,"LeftRoughTendencyRTPScore",2015
62,62,"Daniel Summerhays",101,0.039,"LeftRoughTendencyRTPScore",2015
64,64,"Sangmoon Bae",98,0.04,"LeftRoughTendencyRTPScore",2015
65,65,"Greg Owen",58,0.042,"LeftRoughTendencyRTPScore",2015
66,66,"Derek Fathauer",81,0.047,"LeftRoughTendencyRTPScore",2015
66,66,"Jonathan Randolph",72,0.047,"LeftRoughTendencyRTPScore",2015
68,68,"Ben Crane",62,0.049,"LeftRoughTendencyRTPScore",2015
68,68,"David Hearn",97,0.049,"LeftRoughTendencyRTPScore",2015
70,70,"Ian Poulter",68,0.051,"LeftRoughTendencyRTPScore",2015
71,71,"Jamie Donaldson",50,0.054,"LeftRoughTendencyRTPScore",2015
72,72,"Carlos Ortiz",100,0.055,"LeftRoughTendencyRTPScore",2015
73,73,"Kevin Chappell",86,0.057,"LeftRoughTendencyRTPScore",2015
73,73,"Carl Pettersson",106,0.057,"LeftRoughTendencyRTPScore",2015
73,73,"Rory Sabbatini",81,0.057,"LeftRoughTendencyRTPScore",2015
73,73,"Cameron Tringale",96,0.057,"LeftRoughTendencyRTPScore",2015
77,77,"Alex Cejka",94,0.058,"LeftRoughTendencyRTPScore",2015
78,78,"Whee Kim",71,0.06,"LeftRoughTendencyRTPScore",2015
79,79,"Jordan Spieth",91,0.061,"LeftRoughTendencyRTPScore",2015
80,80,"Keegan Bradley",87,0.062,"LeftRoughTendencyRTPScore",2015
80,80,"Max Homa",78,0.062,"LeftRoughTendencyRTPScore",2015
82,82,"Adam Hadwin",95,0.063,"LeftRoughTendencyRTPScore",2015
83,83,"Brendan Steele",88,0.065,"LeftRoughTendencyRTPScore",2015
83,83,"Jimmy Walker",89,0.065,"LeftRoughTendencyRTPScore",2015
85,85,"Ernie Els",57,0.066,"LeftRoughTendencyRTPScore",2015
86,86,"Seung Yul Noh",65,0.068,"LeftRoughTendencyRTPScore",2015
87,87,"Charl Schwartzel",67,0.069,"LeftRoughTendencyRTPScore",2015
88,88,"Michael Thompson",83,0.07,"LeftRoughTendencyRTPScore",2015
89,89,"Tyrone Van Aswegen",58,0.072,"LeftRoughTendencyRTPScore",2015
90,90,"William McGirt",103,0.073,"LeftRoughTendencyRTPScore",2015
90,90,"Brandt Snedeker",98,0.073,"LeftRoughTendencyRTPScore",2015
90,90,"Robert Streb",110,0.073,"LeftRoughTendencyRTPScore",2015
93,93,"Brendon Todd",96,0.074,"LeftRoughTendencyRTPScore",2015
94,94,"Byron Smith",59,0.076,"LeftRoughTendencyRTPScore",2015
94,94,"Boo Weekley",79,0.076,"LeftRoughTendencyRTPScore",2015
96,96,"Bill Haas",89,0.077,"LeftRoughTendencyRTPScore",2015
97,97,"KJ Choi",66,0.078,"LeftRoughTendencyRTPScore",2015
98,98,"Scott Langley",94,0.08,"LeftRoughTendencyRTPScore",2015
99,99,"Angel Cabrera",53,0.081,"LeftRoughTendencyRTPScore",2015
100,100,"Alex Prugh",84,0.083,"LeftRoughTendencyRTPScore",2015
100,100,"Patrick Reed",103,0.083,"LeftRoughTendencyRTPScore",2015
102,102,"Hudson Swafford",97,0.084,"LeftRoughTendencyRTPScore",2015
103,103,"Jonathan Byrd",69,0.085,"LeftRoughTendencyRTPScore",2015
103,103,"Erik Compton",86,0.085,"LeftRoughTendencyRTPScore",2015
105,105,"Andrew Putnam",68,0.086,"LeftRoughTendencyRTPScore",2015
106,106,"Bryce Molder",91,0.087,"LeftRoughTendencyRTPScore",2015
107,107,"Chad Campbell",97,0.088,"LeftRoughTendencyRTPScore",2015
107,107,"Dustin Johnson",75,0.088,"LeftRoughTendencyRTPScore",2015
107,107,"Sean OHair",86,0.088,"LeftRoughTendencyRTPScore",2015
110,110,"Zach Johnson",90,0.089,"LeftRoughTendencyRTPScore",2015
111,111,"Andres Gonzales",90,0.091,"LeftRoughTendencyRTPScore",2015
112,112,"Scott Stallings",60,0.093,"LeftRoughTendencyRTPScore",2015
113,113,"Nick Taylor",91,0.094,"LeftRoughTendencyRTPScore",2015
114,114,"Robert Garrigus",70,0.095,"LeftRoughTendencyRTPScore",2015
114,114,"Padraig Harrington",60,0.095,"LeftRoughTendencyRTPScore",2015
116,116,"Brian Stuard",97,0.098,"LeftRoughTendencyRTPScore",2015
117,117,"Chris Kirk",76,0.099,"LeftRoughTendencyRTPScore",2015
118,118,"Jason Bohn",95,0.103,"LeftRoughTendencyRTPScore",2015
118,118,"Cameron Percy",72,0.103,"LeftRoughTendencyRTPScore",2015
120,120,"Luke Guthrie",84,0.104,"LeftRoughTendencyRTPScore",2015
120,120,"DA Points",72,0.104,"LeftRoughTendencyRTPScore",2015
122,122,"John Peterson",84,0.105,"LeftRoughTendencyRTPScore",2015
123,123,"Stewart Cink",77,0.106,"LeftRoughTendencyRTPScore",2015
124,124,"Geoff Ogilvy",50,0.107,"LeftRoughTendencyRTPScore",2015
125,125,"Troy Merritt",91,0.11,"LeftRoughTendencyRTPScore",2015
126,126,"Scott Pinckney",88,0.111,"LeftRoughTendencyRTPScore",2015
127,127,"Steve Wheatcroft",87,0.112,"LeftRoughTendencyRTPScore",2015
128,128,"David Lingmerth",90,0.114,"LeftRoughTendencyRTPScore",2015
129,129,"Brian Harman",90,0.115,"LeftRoughTendencyRTPScore",2015
130,130,"Blayne Barber",76,0.116,"LeftRoughTendencyRTPScore",2015
131,131,"Lucas Glover",79,0.119,"LeftRoughTendencyRTPScore",2015
132,132,"Jason Gore",76,0.12,"LeftRoughTendencyRTPScore",2015
132,132,"Nicholas Thompson",90,0.12,"LeftRoughTendencyRTPScore",2015
134,134,"Zac Blair",108,0.121,"LeftRoughTendencyRTPScore",2015
134,134,"Greg Chalmers",58,0.121,"LeftRoughTendencyRTPScore",2015
136,136,"Russell Knox",96,0.123,"LeftRoughTendencyRTPScore",2015
137,137,"Graham DeLaet",65,0.124,"LeftRoughTendencyRTPScore",2015
137,137,"Chris Stroud",84,0.124,"LeftRoughTendencyRTPScore",2015
139,139,"Ken Duke",93,0.126,"LeftRoughTendencyRTPScore",2015
139,139,"Michael Putnam",87,0.126,"LeftRoughTendencyRTPScore",2015
139,139,"Webb Simpson",81,0.126,"LeftRoughTendencyRTPScore",2015
142,142,"Oscar Fraustro",58,0.129,"LeftRoughTendencyRTPScore",2015
143,143,"Davis Love III",51,0.133,"LeftRoughTendencyRTPScore",2015
