"GreensorFringeinRegulation_RANKTHISWEEK_2008","GreensorFringeinRegulation_RANKLASTWEEK_2008","GreensorFringeinRegulation_PLAYERNAME_2008","GreensorFringeinRegulation_ROUNDS_2008","GreensorFringeinRegulation_Pct_2008","GreensorFringeinRegulation_TOTALHIT_2008","GreensorFringeinRegulation_TOTALATTEMPTS_2008","GreensorFringeinRegulation_RTPSCORE_2008","stat_name","year"
1,1,"Robert Allenby",108,76.68,1187,1548,-267,"GreensorFringeinRegulation",2008
2,2,"Hunter Mahan",87,75.77,982,1296,-233,"GreensorFringeinRegulation",2008
3,3,"Zach Johnson",85,75.35,963,1278,-221,"GreensorFringeinRegulation",2008
4,4,"Vijay Singh",82,75.31,854,1134,-221,"GreensorFringeinRegulation",2008
5,5,"Boo Weekley",86,75.26,867,1152,-177,"GreensorFringeinRegulation",2008
6,6,"Jeff Gove",50,75,594,792,-107,"GreensorFringeinRegulation",2008
7,7,"John Riegger",73,74.83,862,1152,-173,"GreensorFringeinRegulation",2008
8,8,"Joe Durant",92,74.68,1062,1422,-195,"GreensorFringeinRegulation",2008
9,9,"Briny Baird",113,74.65,1290,1728,-254,"GreensorFringeinRegulation",2008
10,10,"Kevin Sutherland",98,74.62,1182,1584,-288,"GreensorFringeinRegulation",2008
11,11,"Harrison Frazar",73,74.28,829,1116,-160,"GreensorFringeinRegulation",2008
12,12,"John Huston",56,74.04,653,882,-175,"GreensorFringeinRegulation",2008
12,12,"Steve Marino",119,74.04,1386,1872,-340,"GreensorFringeinRegulation",2008
14,14,"John Senden",93,73.92,1091,1476,-231,"GreensorFringeinRegulation",2008
15,15,"Heath Slocum",104,73.9,1144,1548,-223,"GreensorFringeinRegulation",2008
16,16,"Bob Tway",70,73.88,758,1026,-204,"GreensorFringeinRegulation",2008
17,17,"Rory Sabbatini",77,73.81,837,1134,-211,"GreensorFringeinRegulation",2008
18,18,"Jay Williamson",96,73.68,1061,1440,-198,"GreensorFringeinRegulation",2008
19,19,"JJ Henry",108,73.63,1312,1782,-246,"GreensorFringeinRegulation",2008
20,20,"Pat Perez",93,73.49,1045,1422,-277,"GreensorFringeinRegulation",2008
21,21,"Woody Austin",109,73.48,1164,1584,-284,"GreensorFringeinRegulation",2008
22,22,"Bubba Watson",97,73.47,1058,1440,-261,"GreensorFringeinRegulation",2008
23,23,"Stewart Cink",87,73.44,846,1152,-225,"GreensorFringeinRegulation",2008
24,24,"Nick Watney",96,73.35,1109,1512,-266,"GreensorFringeinRegulation",2008
25,25,"Kent Jones",68,73.23,725,990,-170,"GreensorFringeinRegulation",2008
26,26,"Jason Gore",94,73.2,1120,1530,-275,"GreensorFringeinRegulation",2008
