"GIRPutting25_RANKTHISWEEK_2015","GIRPutting25_RANKLASTWEEK_2015","GIRPutting25_PLAYERNAME_2015","GIRPutting25_ROUNDS_2015","GIRPutting25_Pct_2015","GIRPutting25_ATTEMPTS_2015","GIRPutting25_PUTTSMADE_2015","stat_name","year"
1,1,"Sergio Garcia",59,10.95,137,15,"GIRPutting25",2015
2,2,"Jason Day",75,9.36,235,22,"GIRPutting25",2015
3,3,"Matt Jones",89,9.16,262,24,"GIRPutting25",2015
4,4,"Steven Bowditch",103,8.88,304,27,"GIRPutting25",2015
5,5,"Stewart Cink",77,8.63,313,27,"GIRPutting25",2015
6,6,"Will Wilcox",58,8.56,187,16,"GIRPutting25",2015
7,7,"Fabian Gomez",83,8.49,259,22,"GIRPutting25",2015
8,8,"Sean OHair",86,7.81,333,26,"GIRPutting25",2015
9,9,"Billy Horschel",99,7.79,308,24,"GIRPutting25",2015
10,10,"Camilo Villegas",83,7.77,309,24,"GIRPutting25",2015
11,11,"Ian Poulter",68,7.47,174,13,"GIRPutting25",2015
12,12,"Scott Piercy",90,7.41,324,24,"GIRPutting25",2015
13,13,"Ben Martin",93,7.4,338,25,"GIRPutting25",2015
14,14,"Pat Perez",96,7.36,326,24,"GIRPutting25",2015
15,15,"Jason Dufner",76,7.29,192,14,"GIRPutting25",2015
15,15,"David Toms",62,7.29,192,14,"GIRPutting25",2015
17,17,"Jordan Spieth",91,7.27,220,16,"GIRPutting25",2015
18,18,"Lee Westwood",56,7.2,125,9,"GIRPutting25",2015
19,19,"Martin Flores",95,7.18,362,26,"GIRPutting25",2015
20,20,"Jonas Blixt",78,7.11,211,15,"GIRPutting25",2015
21,21,"Ricky Barnes",82,7.04,213,15,"GIRPutting25",2015
21,21,"Geoff Ogilvy",50,7.04,142,10,"GIRPutting25",2015
21,21,"Gary Woodland",81,7.04,213,15,"GIRPutting25",2015
24,24,"Tony Finau",106,7.03,384,27,"GIRPutting25",2015
25,25,"Matt Kuchar",97,6.99,272,19,"GIRPutting25",2015
26,26,"Greg Owen",58,6.85,146,10,"GIRPutting25",2015
27,27,"Zac Blair",108,6.84,395,27,"GIRPutting25",2015
28,28,"James Hahn",94,6.81,279,19,"GIRPutting25",2015
29,29,"Luke Guthrie",84,6.74,267,18,"GIRPutting25",2015
30,30,"Greg Chalmers",58,6.67,150,10,"GIRPutting25",2015
31,31,"Carlos Ortiz",100,6.61,363,24,"GIRPutting25",2015
32,32,"Cameron Tringale",96,6.6,318,21,"GIRPutting25",2015
33,33,"Hideki Matsuyama",95,6.58,243,16,"GIRPutting25",2015
33,33,"John Peterson",84,6.58,304,20,"GIRPutting25",2015
35,35,"Rory Sabbatini",81,6.56,259,17,"GIRPutting25",2015
35,35,"Brian Stuard",97,6.56,259,17,"GIRPutting25",2015
37,37,"Charley Hoffman",97,6.51,261,17,"GIRPutting25",2015
38,38,"Andrew Svoboda",80,6.49,308,20,"GIRPutting25",2015
39,39,"Brian Davis",86,6.46,263,17,"GIRPutting25",2015
40,40,"Adam Hadwin",95,6.44,326,21,"GIRPutting25",2015
41,41,"Steve Wheatcroft",87,6.41,281,18,"GIRPutting25",2015
42,42,"Luke Donald",71,6.28,207,13,"GIRPutting25",2015
