"Approachesfrominside100yards_RANKTHISWEEK_2005","Approachesfrominside100yards_RANKLASTWEEK_2005","Approachesfrominside100yards_PLAYERNAME_2005","Approachesfrominside100yards_ROUNDS_2005","Approachesfrominside100yards_AVG_2005","Approachesfrominside100yards_TOTALDISTANCEFEET_2005","Approachesfrominside100yards_OFATTEMPTS_2005","Approachesfrominside100yards_RELATIVETOPAR_2005","stat_name","year"
1,1,"Steve Stricker",62,NA,1155.417,89,-0.26,"Approachesfrominside100yards",2005
2,2,"Scott Verplank",87,NA,1259.333,92,-0.23,"Approachesfrominside100yards",2005
3,3,"Jeff Brehaut",71,NA,1140.167,82,-0.29,"Approachesfrominside100yards",2005
4,4,"Brian Davis",75,NA,1466.083,104,-0.19,"Approachesfrominside100yards",2005
5,5,"Adam Scott",72,NA,984.333,69,-0.3,"Approachesfrominside100yards",2005
6,6,"Stuart Appleby",84,NA,1494.75,104,-0.13,"Approachesfrominside100yards",2005
7,7,"Jonathan Byrd",103,NA,1962.167,135,-0.11,"Approachesfrominside100yards",2005
7,7,"Shigeki Maruyama",99,NA,1904.25,131,-0.13,"Approachesfrominside100yards",2005
9,9,"Jim Furyk",94,NA,1357.25,93,-0.18,"Approachesfrominside100yards",2005
9,9,"Padraig Harrington",50,NA,773.417,53,-0.11,"Approachesfrominside100yards",2005
9,9,"Lee Janzen",75,NA,1076.917,74,-0.14,"Approachesfrominside100yards",2005
12,12,"James Driscoll",73,NA,932.917,63,-0.03,"Approachesfrominside100yards",2005
13,13,"Mark Brooks",72,NA,1584.333,105,-0.15,"Approachesfrominside100yards",2005
13,13,"Bob Estes",92,NA,1657.417,110,-0.1,"Approachesfrominside100yards",2005
13,13,"Tjaart van der Walt",56,NA,1130.25,75,-0.16,"Approachesfrominside100yards",2005
16,16,"Will Ma Kenzie",75,NA,1680.5,110,-0.27,"Approachesfrominside100yards",2005
16,16,"Craig Perks",67,NA,1037.667,68,-0.07,"Approachesfrominside100yards",2005
18,18,"Fred Couples",72,NA,1073.75,70,-0.07,"Approachesfrominside100yards",2005
18,18,"Hunter Haas",83,NA,1406.917,92,-0.05,"Approachesfrominside100yards",2005
20,20,"Dan Forsman",52,NA,1199.583,78,-0.23,"Approachesfrominside100yards",2005
21,21,"Tim Clark",92,NA,1718.083,111,-0.05,"Approachesfrominside100yards",2005
21,21,"Chris DiMarco",83,NA,1532.25,99,-0.16,"Approachesfrominside100yards",2005
21,21,"John Huston",90,NA,1659.333,107,-0.12,"Approachesfrominside100yards",2005
21,21,"Vaughn Taylor",99,NA,2351.667,152,-0.18,"Approachesfrominside100yards",2005
21,21,"David Toms",87,NA,1608.917,104,-0.1,"Approachesfrominside100yards",2005
26,26,"Mark Calcavecchia",92,NA,1561.667,100,-0.14,"Approachesfrominside100yards",2005
26,26,"JP Hayes",63,NA,1525.333,98,-0.22,"Approachesfrominside100yards",2005
26,26,"Charles Howell III",95,NA,1310.833,84,-0.11,"Approachesfrominside100yards",2005
26,26,"Tom Lehman",69,NA,1169.25,75,-0.13,"Approachesfrominside100yards",2005
30,30,"Brett Wetterich",76,NA,1440.25,92,-0.11,"Approachesfrominside100yards",2005
31,31,"Steve Elkington",67,NA,1182.667,75,-0.2,"Approachesfrominside100yards",2005
31,31,"Peter Lonard",85,NA,1306.583,83,-0.2,"Approachesfrominside100yards",2005
31,31,"Geoff Ogilvy",97,NA,1653.917,105,-0.1,"Approachesfrominside100yards",2005
31,31,"Tim Petrovic",97,NA,1494.5,95,-0.12,"Approachesfrominside100yards",2005
31,31,"Brett Quigley",96,NA,1954.75,124,-0.09,"Approachesfrominside100yards",2005
31,31,"Charlie Wi",67,NA,1373.167,87,-0.02,"Approachesfrominside100yards",2005
37,37,"Justin Leonard",78,NA,1219.25,77,-0.08,"Approachesfrominside100yards",2005
38,38,"Joey Sindelar",104,NA,2583,162,-0.14,"Approachesfrominside100yards",2005
38,38,"Heath Slocum",103,NA,2592.667,163,-0.13,"Approachesfrominside100yards",2005
40,40,"Ryuji Imada",78,NA,1491.667,93,-0.13,"Approachesfrominside100yards",2005
41,41,"Justin Rose",99,NA,1706,106,-0.08,"Approachesfrominside100yards",2005
41,41,"Mark Wilson",74,NA,1690.333,105,-0.19,"Approachesfrominside100yards",2005
43,43,"Retief Goosen",71,NA,872.25,54,0.06,"Approachesfrominside100yards",2005
44,44,"Alex Cejka",84,NA,1885.25,116,-0.14,"Approachesfrominside100yards",2005
44,44,"Todd Fischer",99,NA,2432.25,150,-0.06,"Approachesfrominside100yards",2005
44,44,"Fred Funk",102,NA,2416.917,149,-0.13,"Approachesfrominside100yards",2005
47,47,"Brian Gay",101,NA,2745.25,168,-0.05,"Approachesfrominside100yards",2005
48,48,"Bob Heintz",67,NA,1446.75,88,-0.1,"Approachesfrominside100yards",2005
48,48,"Ian Poulter",62,NA,688.5,42,0.1,"Approachesfrominside100yards",2005
48,48,"John Rollins",97,NA,2001.333,122,-0.27,"Approachesfrominside100yards",2005
51,51,"Chris Anderson",66,NA,1466.167,89,-0.12,"Approachesfrominside100yards",2005
51,51,"Rocco Mediate",73,NA,1652.083,100,-0.11,"Approachesfrominside100yards",2005
51,51,"John Senden",101,NA,1930.5,117,-0.18,"Approachesfrominside100yards",2005
54,54,"John Daly",78,NA,1458.167,88,-0.14,"Approachesfrominside100yards",2005
54,54,"Sergio Garcia",73,NA,1191.583,72,-0.21,"Approachesfrominside100yards",2005
54,54,"Zach Johnson",96,NA,2289.5,138,-0.1,"Approachesfrominside100yards",2005
54,54,"Brendan Jones",81,NA,1887.333,114,0,"Approachesfrominside100yards",2005
54,54,"Billy Mayfair",114,NA,2101.833,127,-0.05,"Approachesfrominside100yards",2005
59,59,"Stewart Cink",98,NA,1553.75,93,-0.16,"Approachesfrominside100yards",2005
59,59,"Hunter Mahan",103,NA,2317.25,139,-0.17,"Approachesfrominside100yards",2005
59,59,"Rod Pampling",89,NA,1749.583,105,-0.11,"Approachesfrominside100yards",2005
62,62,"Jonathan Kaye",77,NA,1744.667,104,-0.16,"Approachesfrominside100yards",2005
62,62,"Rob Rashell",65,NA,1320.083,79,-0.09,"Approachesfrominside100yards",2005
62,62,"Tiger Woods",76,NA,1206.5,72,-0.26,"Approachesfrominside100yards",2005
65,65,"Brian Bateman",98,NA,1714.917,102,-0.02,"Approachesfrominside100yards",2005
65,65,"Andrew Magee",82,NA,1666.583,99,-0.06,"Approachesfrominside100yards",2005
65,65,"Tom Pernice Jr",111,NA,1764,105,-0.09,"Approachesfrominside100yards",2005
65,65,"Mike Weir",71,NA,1280,76,-0.01,"Approachesfrominside100yards",2005
69,69,"Neal Lancaster",95,NA,2068.167,122,-0.18,"Approachesfrominside100yards",2005
69,69,"Scott McCarron",78,NA,1135.5,67,-0.07,"Approachesfrominside100yards",2005
69,69,"Brenden Pappas",51,NA,1029.417,61,-0.07,"Approachesfrominside100yards",2005
69,69,"Kirk Triplett",55,NA,1317.333,78,-0.17,"Approachesfrominside100yards",2005
69,69,"Charles Warren",89,NA,1744,103,-0.11,"Approachesfrominside100yards",2005
74,74,"Doug Barron",70,NA,1822.917,107,-0.26,"Approachesfrominside100yards",2005
74,74,"Jim Carter",62,NA,1171.167,69,0.03,"Approachesfrominside100yards",2005
74,74,"Robert Gamez",91,NA,2052.167,121,-0.04,"Approachesfrominside100yards",2005
74,74,"JJ Henry",102,NA,1737.833,102,-0.06,"Approachesfrominside100yards",2005
74,74,"Brandt Jobe",96,NA,1444.167,85,-0.01,"Approachesfrominside100yards",2005
74,74,"Loren Roberts",54,NA,1599.25,94,-0.04,"Approachesfrominside100yards",2005
80,80,"Todd Hamilton",94,NA,1981.167,116,-0.04,"Approachesfrominside100yards",2005
80,80,"Steve Jones",56,NA,1078.833,63,0.03,"Approachesfrominside100yards",2005
80,80,"Frank Lickliter II",100,NA,2220.75,130,-0.02,"Approachesfrominside100yards",2005
83,83,"Stephen Ames",82,NA,1444.333,84,0,"Approachesfrominside100yards",2005
83,83,"Rich Beem",66,NA,1013.5,59,-0.22,"Approachesfrominside100yards",2005
83,83,"Paul Claxton",79,NA,1802.833,105,-0.1,"Approachesfrominside100yards",2005
83,83,"Luke Donald",67,NA,961.167,56,-0.13,"Approachesfrominside100yards",2005
83,83,"Carlos Franco",78,NA,1289.167,75,-0.08,"Approachesfrominside100yards",2005
83,83,"Kent Jones",99,NA,2056.5,120,-0.08,"Approachesfrominside100yards",2005
83,83,"Phil Mickelson",81,NA,1236.833,72,-0.1,"Approachesfrominside100yards",2005
83,83,"Arron Oberholser",65,NA,1221.417,71,-0.14,"Approachesfrominside100yards",2005
83,83,"Vijay Singh",111,NA,2244.25,131,-0.18,"Approachesfrominside100yards",2005
92,92,"Woody Austin",100,NA,2187.25,127,-0.12,"Approachesfrominside100yards",2005
92,92,"Craig Barlow",81,NA,1934.333,112,0.02,"Approachesfrominside100yards",2005
92,92,"Jeff Hart",63,NA,2017.333,117,-0.11,"Approachesfrominside100yards",2005
92,92,"Phillip Price",77,NA,1932.25,112,-0.14,"Approachesfrominside100yards",2005
92,92,"Dean Wilson",86,NA,1464.917,85,0,"Approachesfrominside100yards",2005
97,97,"Justin Bolli",65,NA,1423.5,82,-0.16,"Approachesfrominside100yards",2005
97,97,"Brent Geiberger",61,NA,1650.5,95,-0.06,"Approachesfrominside100yards",2005
97,97,"Paul Gow",78,NA,1556.833,90,0.01,"Approachesfrominside100yards",2005
97,97,"David Hearn",68,NA,1509.667,87,-0.08,"Approachesfrominside100yards",2005
101,101,"Jason Bohn",91,NA,1728,99,-0.08,"Approachesfrominside100yards",2005
101,101,"Skip Kendall",80,NA,2423.5,139,-0.07,"Approachesfrominside100yards",2005
101,101,"JL Lewis",98,NA,2470.75,142,-0.01,"Approachesfrominside100yards",2005
104,104,"Paul Azinger",66,NA,1543.5,88,-0.09,"Approachesfrominside100yards",2005
104,104,"Bart Bryant",91,NA,1887.25,108,-0.22,"Approachesfrominside100yards",2005
104,104,"Glen Hnatiuk",59,NA,1258.667,72,-0.1,"Approachesfrominside100yards",2005
104,104,"Joe Ogilvie",103,NA,2454.333,140,-0.19,"Approachesfrominside100yards",2005
