"ScoringAverage_RANKTHISWEEK_2013","ScoringAverage_RANKLASTWEEK_2013","ScoringAverage_PLAYERNAME_2013","ScoringAverage_ROUNDS_2013","ScoringAverage_AVG_2013","ScoringAverage_TOTALSTROKES_2013","ScoringAverage_TOTALADJUSTMENT_2013","ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Steve Stricker",51,68.893,3252,NA,47,"ScoringAverage",2013
2,2,"Tiger Woods",61,68.944,4193,NA,60,"ScoringAverage",2013
3,3,"Justin Rose",62,69.225,4198,NA,60,"ScoringAverage",2013
4,4,"Henrik Stenson",65,69.248,4476,NA,64,"ScoringAverage",2013
5,5,"Adam Scott",61,69.3,4215,NA,60,"ScoringAverage",2013
6,6,"Sergio Garcia",65,69.543,4435,NA,63,"ScoringAverage",2013
7,7,"Matt Kuchar",93,69.561,6091,NA,87,"ScoringAverage",2013
8,8,"Charl Schwartzel",69,69.651,4791,NA,68,"ScoringAverage",2013
9,9,"Jordan Spieth",82,69.668,5738,NA,82,"ScoringAverage",2013
10,10,"Keegan Bradley",88,69.724,6091,NA,87,"ScoringAverage",2013
11,11,"Jason Day",86,69.732,5634,NA,80,"ScoringAverage",2013
12,12,"Phil Mickelson",78,69.742,5467,NA,78,"ScoringAverage",2013
13,13,"Webb Simpson",92,69.783,6183,NA,88,"ScoringAverage",2013
14,14,"Brandt Snedeker",79,69.791,5545,NA,79,"ScoringAverage",2013
15,15,"Luke Donald",60,69.793,4097,NA,58,"ScoringAverage",2013
16,16,"Jim Furyk",80,69.828,5497,NA,78,"ScoringAverage",2013
17,17,"Jason Dufner",78,69.912,5432,NA,77,"ScoringAverage",2013
18,18,"Bill Haas",85,70.023,5912,NA,84,"ScoringAverage",2013
19,19,"Zach Johnson",84,70.073,5845,NA,83,"ScoringAverage",2013
20,20,"Graham DeLaet",94,70.089,6599,NA,94,"ScoringAverage",2013
21,21,"Hunter Mahan",91,70.106,6003,NA,85,"ScoringAverage",2013
22,22,"Freddie Jacobson",63,70.108,4252,NA,60,"ScoringAverage",2013
23,23,"Dustin Johnson",71,70.115,4953,NA,70,"ScoringAverage",2013
24,24,"Brendon de Jonge",110,70.154,7701,15.926,110,"ScoringAverage",2013
25,25,"Lee Westwood",70,70.158,4899,NA,69,"ScoringAverage",2013
26,26,"Ryan Palmer",79,70.167,5555,NA,79,"ScoringAverage",2013
27,27,"Chris Kirk",89,70.206,6231,17.375,89,"ScoringAverage",2013
28,28,"Rickie Fowler",75,70.212,5245,NA,74,"ScoringAverage",2013
29,29,"Billy Horschel",96,70.244,6767,NA,96,"ScoringAverage",2013
30,30,"Matt Jones",83,70.245,5824,6.343,83,"ScoringAverage",2013
