"BogeyAvoidance_RANKTHISWEEK_2007","BogeyAvoidance_RANKLASTWEEK_2007","BogeyAvoidance_PLAYERNAME_2007","BogeyAvoidance_ROUNDS_2007","BogeyAvoidance_PctMAKESBOGEY_2007","BogeyAvoidance_BOGEYS_2007","BogeyAvoidance_HOLESPLAYED_2007","stat_name","year"
1,1,"Tiger Woods",63,12.59,136,1080,"BogeyAvoidance",2007
2,2,"Heath Slocum",101,14.36,261,1818,"BogeyAvoidance",2007
3,3,"Alex Cejka",80,14.51,209,1440,"BogeyAvoidance",2007
4,4,"Jeff Overton",60,14.54,157,1080,"BogeyAvoidance",2007
5,5,"Jim Furyk",84,14.63,216,1476,"BogeyAvoidance",2007
6,6,"Steve Stricker",81,14.86,214,1440,"BogeyAvoidance",2007
7,7,"Matt Kuchar",85,15.1,231,1530,"BogeyAvoidance",2007
8,8,"Stephen Leaney",82,15.24,225,1476,"BogeyAvoidance",2007
9,9,"Tommy Armour III",81,15.29,223,1458,"BogeyAvoidance",2007
9,9,"Brandt Snedeker",105,15.29,289,1890,"BogeyAvoidance",2007
11,11,"KJ Choi",87,15.36,235,1530,"BogeyAvoidance",2007
12,12,"Michael Sim",52,15.38,144,936,"BogeyAvoidance",2007
13,13,"Bo Van Pelt",104,15.6,292,1872,"BogeyAvoidance",2007
14,14,"Chris Riley",59,15.73,167,1062,"BogeyAvoidance",2007
15,15,"Jay Williamson",50,15.78,142,900,"BogeyAvoidance",2007
16,16,"Charlie Wi",90,15.8,256,1620,"BogeyAvoidance",2007
17,17,"Phil Mickelson",73,15.81,202,1278,"BogeyAvoidance",2007
18,18,"Ken Duke",112,15.82,319,2016,"BogeyAvoidance",2007
19,19,"Mark Brooks",53,15.83,151,954,"BogeyAvoidance",2007
20,20,"Briny Baird",115,15.94,330,2070,"BogeyAvoidance",2007
21,21,"Cameron Beckman",96,15.97,276,1728,"BogeyAvoidance",2007
21,21,"Tim Clark",66,15.97,184,1152,"BogeyAvoidance",2007
23,23,"Daniel Chopra",106,15.99,305,1908,"BogeyAvoidance",2007
24,24,"Zach Johnson",76,16,216,1350,"BogeyAvoidance",2007
25,25,"Gavin Coles",87,16.03,251,1566,"BogeyAvoidance",2007
26,26,"Scott Verplank",82,16.05,234,1458,"BogeyAvoidance",2007
27,27,"Rory Sabbatini",81,16.1,229,1422,"BogeyAvoidance",2007
28,28,"Freddie Jacobson",70,16.11,203,1260,"BogeyAvoidance",2007
29,29,"Brian Gay",107,16.2,312,1926,"BogeyAvoidance",2007
30,30,"Jose Coceres",50,16.22,146,900,"BogeyAvoidance",2007
31,31,"Doug LaBelle II",104,16.29,305,1872,"BogeyAvoidance",2007
32,32,"Kevin Na",84,16.4,248,1512,"BogeyAvoidance",2007
33,33,"Sergio Garcia",68,16.41,195,1188,"BogeyAvoidance",2007
34,34,"Billy Mayfair",98,16.44,290,1764,"BogeyAvoidance",2007
35,35,"Bart Bryant",87,16.47,255,1548,"BogeyAvoidance",2007
36,36,"Brian Davis",101,16.5,300,1818,"BogeyAvoidance",2007
