"SandSavesfrom1020yards_RANKTHISWEEK_2012","SandSavesfrom1020yards_RANKLASTWEEK_2012","SandSavesfrom1020yards_PLAYERNAME_2012","SandSavesfrom1020yards_ROUNDS_2012","SandSavesfrom1020yards_Pct_2012","SandSavesfrom1020yards_OFSAVES_2012","SandSavesfrom1020yards_OFBUNKERS_2012","stat_name","year"
1,1,"Bill Haas",79,72.92,35,48,"SandSavesfrom1020yards",2012
2,2,"Justin Rose",69,72.55,37,51,"SandSavesfrom1020yards",2012
3,3,"Brian Gay",91,71.64,48,67,"SandSavesfrom1020yards",2012
4,4,"Chris DiMarco",83,70.67,53,75,"SandSavesfrom1020yards",2012
5,5,"Sergio Garcia",57,69.57,32,46,"SandSavesfrom1020yards",2012
6,6,"Greg Chalmers",88,68.24,58,85,"SandSavesfrom1020yards",2012
7,7,"KJ Choi",71,68.09,32,47,"SandSavesfrom1020yards",2012
8,8,"Jonas Blixt",72,67.9,55,81,"SandSavesfrom1020yards",2012
9,9,"Mark Anderson",75,67.8,40,59,"SandSavesfrom1020yards",2012
10,10,"Brandt Snedeker",81,67.24,39,58,"SandSavesfrom1020yards",2012
11,11,"Daniel Chopra",55,66.67,26,39,"SandSavesfrom1020yards",2012
12,12,"Padraig Harrington",67,65.96,31,47,"SandSavesfrom1020yards",2012
13,13,"Gavin Coles",72,65.85,27,41,"SandSavesfrom1020yards",2012
14,14,"Rocco Mediate",70,65.79,25,38,"SandSavesfrom1020yards",2012
14,14,"Carl Pettersson",92,65.79,50,76,"SandSavesfrom1020yards",2012
16,16,"Robert Karlsson",54,65.71,23,35,"SandSavesfrom1020yards",2012
17,17,"Aaron Baddeley",73,65.45,36,55,"SandSavesfrom1020yards",2012
18,18,"Dicky Pride",62,65.22,30,46,"SandSavesfrom1020yards",2012
19,19,"Ryo Ishikawa",54,65.12,28,43,"SandSavesfrom1020yards",2012
20,20,"Henrik Stenson",51,64.52,20,31,"SandSavesfrom1020yards",2012
21,21,"Jason Day",57,64,32,50,"SandSavesfrom1020yards",2012
22,22,"Geoff Ogilvy",73,63.33,38,60,"SandSavesfrom1020yards",2012
23,23,"Jonathan Byrd",69,62.96,34,54,"SandSavesfrom1020yards",2012
23,23,"Jim Furyk",85,62.96,34,54,"SandSavesfrom1020yards",2012
25,25,"David Toms",60,62.5,20,32,"SandSavesfrom1020yards",2012
26,26,"Keegan Bradley",90,62.07,36,58,"SandSavesfrom1020yards",2012
27,27,"Matt Jones",53,61.9,26,42,"SandSavesfrom1020yards",2012
28,28,"Danny Lee",74,61.7,29,47,"SandSavesfrom1020yards",2012
29,29,"Spencer Levin",81,60.47,52,86,"SandSavesfrom1020yards",2012
30,30,"Bud Cauley",99,60.26,47,78,"SandSavesfrom1020yards",2012
31,31,"Tim Clark",60,60,18,30,"SandSavesfrom1020yards",2012
31,31,"Marco Dawson",60,60,21,35,"SandSavesfrom1020yards",2012
31,31,"Luke Donald",63,60,33,55,"SandSavesfrom1020yards",2012
31,31,"Vaughn Taylor",81,60,27,45,"SandSavesfrom1020yards",2012
35,35,"Billy Mayfair",90,59.65,34,57,"SandSavesfrom1020yards",2012
36,36,"Ryan Moore",89,59.46,44,74,"SandSavesfrom1020yards",2012
37,37,"Stuart Appleby",75,59.26,32,54,"SandSavesfrom1020yards",2012
38,38,"YE Yang",64,59.18,29,49,"SandSavesfrom1020yards",2012
39,39,"Tim Herron",88,59.09,39,66,"SandSavesfrom1020yards",2012
40,40,"Derek Lamely",64,58.97,23,39,"SandSavesfrom1020yards",2012
41,41,"Matt Every",80,58.93,33,56,"SandSavesfrom1020yards",2012
41,41,"Bill Lunde",83,58.93,33,56,"SandSavesfrom1020yards",2012
43,43,"Tom Gillis",75,58.9,43,73,"SandSavesfrom1020yards",2012
44,44,"Hunter Haas",69,58.82,30,51,"SandSavesfrom1020yards",2012
45,45,"Mathew Goggin",65,58.62,34,58,"SandSavesfrom1020yards",2012
46,46,"Zach Johnson",95,58.33,42,72,"SandSavesfrom1020yards",2012
46,46,"Russell Knox",72,58.33,21,36,"SandSavesfrom1020yards",2012
48,48,"Matt Kuchar",86,57.81,37,64,"SandSavesfrom1020yards",2012
49,49,"JJ Henry",93,57.78,26,45,"SandSavesfrom1020yards",2012
50,50,"Brian Harman",101,57.69,45,78,"SandSavesfrom1020yards",2012
51,51,"Dustin Johnson",70,57.63,34,59,"SandSavesfrom1020yards",2012
52,52,"Rory McIlroy",60,57.58,19,33,"SandSavesfrom1020yards",2012
53,53,"Jason Dufner",83,57.38,35,61,"SandSavesfrom1020yards",2012
54,54,"Trevor Immelman",76,57.14,32,56,"SandSavesfrom1020yards",2012
54,54,"Seung Yul Noh",105,57.14,36,63,"SandSavesfrom1020yards",2012
56,56,"Chris Kirk",93,56.94,41,72,"SandSavesfrom1020yards",2012
57,57,"Michael Bradley",63,56.76,21,37,"SandSavesfrom1020yards",2012
57,57,"Brian Davis",91,56.76,42,74,"SandSavesfrom1020yards",2012
57,57,"Ian Poulter",57,56.76,21,37,"SandSavesfrom1020yards",2012
60,60,"Jerry Kelly",84,56.72,38,67,"SandSavesfrom1020yards",2012
