"PuttingfromGrtr10_RANKTHISWEEK_2011","PuttingfromGrtr10_RANKLASTWEEK_2011","PuttingfromGrtr10_PLAYERNAME_2011","PuttingfromGrtr10_ROUNDS_2011","PuttingfromGrtr10_PctMADE_2011","PuttingfromGrtr10_ATTEMPTS_2011","PuttingfromGrtr10_PUTTSMADE_2011","stat_name","year"
1,1,"Lucas Glover",74,20.03,674,135,"PuttingfromGrtr10",2011
2,2,"Rickie Fowler",84,19.46,668,130,"PuttingfromGrtr10",2011
3,3,"Jason Day",76,19.31,611,118,"PuttingfromGrtr10",2011
4,4,"Kevin Na",84,19.29,648,125,"PuttingfromGrtr10",2011
5,5,"Brandt Snedeker",85,18.92,687,130,"PuttingfromGrtr10",2011
6,6,"Steve Marino",76,18.78,639,120,"PuttingfromGrtr10",2011
7,7,"David Toms",78,18.68,637,119,"PuttingfromGrtr10",2011
8,8,"Steve Stricker",70,18.25,526,96,"PuttingfromGrtr10",2011
9,9,"Hunter Haas",96,18.22,922,168,"PuttingfromGrtr10",2011
10,10,"Graeme McDowell",50,18.13,364,66,"PuttingfromGrtr10",2011
11,11,"Pat Perez",76,18.09,724,131,"PuttingfromGrtr10",2011
12,12,"Matt Bettencourt",84,18.07,819,148,"PuttingfromGrtr10",2011
13,13,"Joe Ogilvie",75,17.99,617,111,"PuttingfromGrtr10",2011
14,14,"KJ Choi",77,17.87,638,114,"PuttingfromGrtr10",2011
15,15,"Matt McQuillan",59,17.67,515,91,"PuttingfromGrtr10",2011
16,16,"Charlie Wi",83,17.64,805,142,"PuttingfromGrtr10",2011
17,17,"Brendon de Jonge",105,17.46,962,168,"PuttingfromGrtr10",2011
18,18,"Chris Couch",73,17.45,745,130,"PuttingfromGrtr10",2011
18,18,"JP Hayes",56,17.45,510,89,"PuttingfromGrtr10",2011
20,20,"Greg Chalmers",88,17.44,774,135,"PuttingfromGrtr10",2011
21,21,"Fabian Gomez",84,17.41,764,133,"PuttingfromGrtr10",2011
22,22,"Andres Romero",77,17.35,680,118,"PuttingfromGrtr10",2011
23,23,"Lee Janzen",62,17.25,539,93,"PuttingfromGrtr10",2011
24,24,"David Mathis",83,17.16,740,127,"PuttingfromGrtr10",2011
