"TotalDriving_RANKTHISWEEK_2008","TotalDriving_RANKLASTWEEK_2008","TotalDriving_PLAYERNAME_2008","TotalDriving_EVENTS_2008","TotalDriving_TOTAL_2008","TotalDriving_DISTANCERANK_2008","TotalDriving_ACCURACYRANK_2008","stat_name","year"
1,1,"Jason Gore",33,56,15,41,"TotalDriving",2008
2,2,"Charles Warren",29,85,10,75,"TotalDriving",2008
3,3,"Nicholas Thompson",36,88,36,52,"TotalDriving",2008
4,4,"John Merrick",28,100,20,80,"TotalDriving",2008
5,5,"John Riegger",24,105,74,31,"TotalDriving",2008
6,6,"Charley Hoffman",29,107,12,95,"TotalDriving",2008
7,7,"Joe Durant",28,110,102,8,"TotalDriving",2008
8,8,"Jeff Gove",18,114,103,11,"TotalDriving",2008
9,9,"John Senden",28,116,81,35,"TotalDriving",2008
10,10,"Mathew Goggin",27,118,34,84,"TotalDriving",2008
10,10,"John Rollins",28,118,80,38,"TotalDriving",2008
12,12,"Ryan Moore",24,122,56,66,"TotalDriving",2008
13,13,"Michael Allen",28,126,101,25,"TotalDriving",2008
13,13,"Ryan Armour",32,126,103,23,"TotalDriving",2008
15,15,"Paul Casey",16,127,18,109,"TotalDriving",2008
16,16,"Ben Crane",25,128,86,42,"TotalDriving",2008
17,17,"Todd Demsey",25,130,53,77,"TotalDriving",2008
17,17,"John Huston",18,130,65,65,"TotalDriving",2008
19,19,"Robert Allenby",28,131,61,70,"TotalDriving",2008
20,20,"JJ Henry",34,132,61,71,"TotalDriving",2008
21,21,"Nick Watney",27,135,7,128,"TotalDriving",2008
22,22,"Rich Beem",29,136,88,48,"TotalDriving",2008
23,23,"Hunter Mahan",27,137,75,62,"TotalDriving",2008
24,24,"Mathias Gronberg",30,140,38,102,"TotalDriving",2008
24,24,"Steve Marino",32,140,49,91,"TotalDriving",2008
24,24,"Charlie Wi",27,140,95,45,"TotalDriving",2008
27,27,"Pat Perez",27,141,44,97,"TotalDriving",2008
28,28,"Billy Mayfair",29,142,129,13,"TotalDriving",2008
28,28,"Mark Wilson",29,142,122,20,"TotalDriving",2008
30,30,"Chad Campbell",28,143,75,68,"TotalDriving",2008
31,31,"Ryan Palmer",22,144,44,100,"TotalDriving",2008
31,31,"DJ Trahan",27,144,66,78,"TotalDriving",2008
33,33,"Martin Laird",29,145,31,114,"TotalDriving",2008
34,34,"Boo Weekley",24,146,61,85,"TotalDriving",2008
