"ProximitytoHolefrom30yards_RANKTHISWEEK_2014","ProximitytoHolefrom30yards_RANKLASTWEEK_2014","ProximitytoHolefrom30yards_PLAYERNAME_2014","ProximitytoHolefrom30yards_ROUNDS_2014","ProximitytoHolefrom30yards_AVGDTP_2014","ProximitytoHolefrom30yards_TOTALDISTANCEFEET_2014","ProximitytoHolefrom30yards_OFSHOTS_2014","ProximitytoHolefrom30yards_SCRAMBLINGRANK_2014","stat_name","year"
1,1,"Stuart Appleby",92,NA,665,79,34,"ProximitytoHolefrom30yards",2014
2,2,"Rory McIlroy",66,NA,350.667,40,88,"ProximitytoHolefrom30yards",2014
3,3,"Ted Potter Jr",68,NA,335,36,11,"ProximitytoHolefrom30yards",2014
4,4,"Sean OHair",77,NA,532.167,56,63,"ProximitytoHolefrom30yards",2014
5,5,"Chris Stroud",88,NA,702.583,73,18,"ProximitytoHolefrom30yards",2014
6,6,"Woody Austin",63,NA,492.833,51,146,"ProximitytoHolefrom30yards",2014
7,7,"Justin Leonard",75,NA,571.583,58,6,"ProximitytoHolefrom30yards",2014
8,8,"Paul Casey",56,NA,140.667,14,128,"ProximitytoHolefrom30yards",2014
8,8,"Brandt Snedeker",89,NA,563.333,56,66,"ProximitytoHolefrom30yards",2014
8,8,"Brendan Steele",89,NA,432.75,43,67,"ProximitytoHolefrom30yards",2014
11,11,"Charley Hoffman",93,NA,608.083,60,64,"ProximitytoHolefrom30yards",2014
12,12,"Brian Davis",93,NA,746.333,73,25,"ProximitytoHolefrom30yards",2014
12,12,"Jason Day",54,NA,266.083,26,5,"ProximitytoHolefrom30yards",2014
12,12,"Matt Kuchar",91,NA,625.25,61,12,"ProximitytoHolefrom30yards",2014
12,12,"Jamie Lovemark",64,NA,380.167,37,129,"ProximitytoHolefrom30yards",2014
12,12,"Mike Weir",69,NA,571.833,56,56,"ProximitytoHolefrom30yards",2014
17,17,"Charles Howell III",106,NA,814.417,78,30,"ProximitytoHolefrom30yards",2014
18,18,"Kevin Na",94,NA,575.667,55,4,"ProximitytoHolefrom30yards",2014
18,18,"Shawn Stefani",60,NA,557.167,53,67,"ProximitytoHolefrom30yards",2014
20,20,"Roberto Castro",76,NA,539.75,51,136,"ProximitytoHolefrom30yards",2014
20,20,"Ben Crane",81,NA,685.25,65,75,"ProximitytoHolefrom30yards",2014
20,20,"JB Holmes",86,NA,812.083,77,89,"ProximitytoHolefrom30yards",2014
20,20,"Freddie Jacobson",91,NA,643.833,61,28,"ProximitytoHolefrom30yards",2014
20,20,"Geoff Ogilvy",84,NA,644.333,61,137,"ProximitytoHolefrom30yards",2014
20,20,"Charlie Wi",72,NA,572.833,54,15,"ProximitytoHolefrom30yards",2014
26,26,"Tim Wilkinson",86,NA,769.833,72,10,"ProximitytoHolefrom30yards",2014
27,27,"Jordan Spieth",102,NA,764.75,71,13,"ProximitytoHolefrom30yards",2014
28,28,"Chad Collins",78,NA,647.583,60,60,"ProximitytoHolefrom30yards",2014
28,28,"Luke Donald",57,NA,346,32,38,"ProximitytoHolefrom30yards",2014
28,28,"Jim Furyk",84,NA,345.583,32,1,"ProximitytoHolefrom30yards",2014
28,28,"John Merrick",87,NA,779.167,72,175,"ProximitytoHolefrom30yards",2014
28,28,"Webb Simpson",87,NA,627.333,58,77,"ProximitytoHolefrom30yards",2014
28,28,"Henrik Stenson",56,NA,292.25,27,171,"ProximitytoHolefrom30yards",2014
34,34,"Robert Allenby",83,NA,480.833,44,52,"ProximitytoHolefrom30yards",2014
34,34,"Tim Clark",75,NA,456.917,42,70,"ProximitytoHolefrom30yards",2014
34,34,"Boo Weekley",73,NA,403,37,160,"ProximitytoHolefrom30yards",2014
37,37,"Steven Bowditch",93,NA,691.417,63,120,"ProximitytoHolefrom30yards",2014
37,37,"Bud Cauley",56,NA,430.5,39,57,"ProximitytoHolefrom30yards",2014
37,37,"Graeme McDowell",66,NA,362.417,33,39,"ProximitytoHolefrom30yards",2014
40,40,"Jason Dufner",57,NA,453.833,41,166,"ProximitytoHolefrom30yards",2014
40,40,"David Lingmerth",80,NA,711.417,64,151,"ProximitytoHolefrom30yards",2014
40,40,"Gary Woodland",93,NA,729.667,66,50,"ProximitytoHolefrom30yards",2014
43,43,"Spencer Levin",59,NA,514.25,46,55,"ProximitytoHolefrom30yards",2014
44,44,"Scott Brown",100,NA,773.833,69,86,"ProximitytoHolefrom30yards",2014
44,44,"Tyrone Van Aswegen",79,NA,417.083,37,94,"ProximitytoHolefrom30yards",2014
44,44,"Will Wilcox",51,NA,371.75,33,81,"ProximitytoHolefrom30yards",2014
47,47,"Andrew Loupe",65,NA,599.167,53,139,"ProximitytoHolefrom30yards",2014
48,48,"Matt Jones",83,NA,605.75,53,133,"ProximitytoHolefrom30yards",2014
48,48,"Phil Mickelson",71,NA,480.167,42,20,"ProximitytoHolefrom30yards",2014
48,48,"Nick Watney",80,NA,273.417,24,132,"ProximitytoHolefrom30yards",2014
51,51,"Keegan Bradley",89,NA,516,45,14,"ProximitytoHolefrom30yards",2014
51,51,"Harris English",95,NA,678.833,59,110,"ProximitytoHolefrom30yards",2014
51,51,"Luke Guthrie",85,NA,769.583,67,29,"ProximitytoHolefrom30yards",2014
51,51,"Martin Kaymer",65,NA,506.917,44,158,"ProximitytoHolefrom30yards",2014
51,51,"Bryce Molder",77,NA,483.417,42,44,"ProximitytoHolefrom30yards",2014
56,56,"Jonas Blixt",64,NA,590.75,51,84,"ProximitytoHolefrom30yards",2014
56,56,"David Hearn",97,NA,860.083,74,35,"ProximitytoHolefrom30yards",2014
56,56,"Adam Scott",68,NA,531.583,46,37,"ProximitytoHolefrom30yards",2014
59,59,"Bronson La Cassie",51,NA,396.333,34,48,"ProximitytoHolefrom30yards",2014
59,59,"Troy Merritt",62,NA,491.167,42,130,"ProximitytoHolefrom30yards",2014
61,61,"Aaron Baddeley",74,NA,609.583,52,47,"ProximitytoHolefrom30yards",2014
61,61,"James Driscoll",71,NA,530,45,141,"ProximitytoHolefrom30yards",2014
61,61,"Derek Ernst",80,NA,669.083,57,173,"ProximitytoHolefrom30yards",2014
61,61,"Gonzalo Fdez Castano",83,NA,670.25,57,100,"ProximitytoHolefrom30yards",2014
61,61,"Hideki Matsuyama",82,NA,422.917,36,41,"ProximitytoHolefrom30yards",2014
61,61,"Jim Renner",61,NA,506.833,43,177,"ProximitytoHolefrom30yards",2014
67,67,"Brice Garnett",92,NA,791.417,67,62,"ProximitytoHolefrom30yards",2014
67,67,"Trevor Immelman",84,NA,722.75,61,150,"ProximitytoHolefrom30yards",2014
67,67,"Ryan Palmer",85,NA,709,60,95,"ProximitytoHolefrom30yards",2014
70,70,"KJ Choi",80,NA,584.25,49,119,"ProximitytoHolefrom30yards",2014
70,70,"Brian Gay",81,NA,633.417,53,3,"ProximitytoHolefrom30yards",2014
70,70,"Billy Horschel",92,NA,809.083,68,144,"ProximitytoHolefrom30yards",2014
70,70,"Jerry Kelly",80,NA,681,57,16,"ProximitytoHolefrom30yards",2014
70,70,"Seung Yul Noh",92,NA,713.083,60,45,"ProximitytoHolefrom30yards",2014
70,70,"Brendon Todd",108,NA,961.917,81,7,"ProximitytoHolefrom30yards",2014
76,76,"Sangmoon Bae",76,NA,623.417,52,112,"ProximitytoHolefrom30yards",2014
76,76,"Davis Love III",74,NA,601.25,50,140,"ProximitytoHolefrom30yards",2014
76,76,"Robert Streb",75,NA,419.75,35,80,"ProximitytoHolefrom30yards",2014
79,79,"Brad Fritsch",50,NA,278.5,23,54,"ProximitytoHolefrom30yards",2014
79,79,"Morgan Hoffmann",103,NA,952.333,79,106,"ProximitytoHolefrom30yards",2014
79,79,"Justin Rose",70,NA,495.917,41,31,"ProximitytoHolefrom30yards",2014
82,82,"Briny Baird",50,NA,352.667,29,118,"ProximitytoHolefrom30yards",2014
82,82,"Graham DeLaet",80,NA,474.833,39,85,"ProximitytoHolefrom30yards",2014
82,82,"Lucas Glover",68,NA,341.75,28,176,"ProximitytoHolefrom30yards",2014
85,85,"Matt Every",85,NA,760.917,62,82,"ProximitytoHolefrom30yards",2014
85,85,"Russell Henley",92,NA,835.167,68,170,"ProximitytoHolefrom30yards",2014
85,85,"Russell Knox",92,NA,647.667,53,8,"ProximitytoHolefrom30yards",2014
85,85,"Scott Langley",95,NA,943.25,77,21,"ProximitytoHolefrom30yards",2014
85,85,"Richard Lee",80,NA,659.417,54,32,"ProximitytoHolefrom30yards",2014
90,90,"John Huh",87,NA,579.417,47,107,"ProximitytoHolefrom30yards",2014
90,90,"Martin Laird",66,NA,541.75,44,157,"ProximitytoHolefrom30yards",2014
90,90,"John Peterson",62,NA,444.667,36,134,"ProximitytoHolefrom30yards",2014
