"ProximitytoHolefromFringe_RANKTHISWEEK_2014","ProximitytoHolefromFringe_RANKLASTWEEK_2014","ProximitytoHolefromFringe_PLAYERNAME_2014","ProximitytoHolefromFringe_ROUNDS_2014","ProximitytoHolefromFringe_AVGDTP_2014","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2014","ProximitytoHolefromFringe_OFSHOTS_2014","ProximitytoHolefromFringe_SCRAMBLINGRANK_2014","stat_name","year"
114,114,"Graeme McDowell",66,NA,138.25,44,39,"ProximitytoHolefromFringe",2014
114,114,"Ryan Moore",86,NA,185.583,58,103,"ProximitytoHolefromFringe",2014
114,114,"Kevin Stadler",90,NA,150.167,48,159,"ProximitytoHolefromFringe",2014
114,114,"Shawn Stefani",60,NA,191,60,67,"ProximitytoHolefromFringe",2014
128,128,"Charlie Beljan",76,NA,232.25,72,162,"ProximitytoHolefromFringe",2014
128,128,"James Driscoll",71,NA,185.417,57,141,"ProximitytoHolefromFringe",2014
128,128,"Derek Ernst",80,NA,202.833,63,173,"ProximitytoHolefromFringe",2014
128,128,"Bill Haas",107,NA,238.25,73,43,"ProximitytoHolefromFringe",2014
128,128,"Jim Herman",62,NA,140.833,43,149,"ProximitytoHolefromFringe",2014
128,128,"Billy Hurley III",86,NA,220.75,68,26,"ProximitytoHolefromFringe",2014
128,128,"Freddie Jacobson",91,NA,242,74,28,"ProximitytoHolefromFringe",2014
128,128,"Martin Kaymer",65,NA,199.333,61,158,"ProximitytoHolefromFringe",2014
128,128,"Matt Kuchar",91,NA,246,76,12,"ProximitytoHolefromFringe",2014
128,128,"Troy Matteson",62,NA,199.5,62,168,"ProximitytoHolefromFringe",2014
128,128,"Troy Merritt",62,NA,176.417,54,130,"ProximitytoHolefromFringe",2014
128,128,"Kyle Stanley",87,NA,219.833,68,167,"ProximitytoHolefromFringe",2014
128,128,"Henrik Stenson",56,NA,107.417,33,171,"ProximitytoHolefromFringe",2014
128,128,"Bo Van Pelt",83,NA,212,65,101,"ProximitytoHolefromFringe",2014
142,142,"Jonas Blixt",64,NA,120.167,36,84,"ProximitytoHolefromFringe",2014
142,142,"Martin Flores",85,NA,215.583,65,111,"ProximitytoHolefromFringe",2014
142,142,"Brian Gay",81,NA,214.167,65,3,"ProximitytoHolefromFringe",2014
142,142,"Retief Goosen",94,NA,249.25,75,33,"ProximitytoHolefromFringe",2014
142,142,"Bronson La Cassie",51,NA,115.417,35,48,"ProximitytoHolefromFringe",2014
142,142,"Brandt Snedeker",89,NA,186.833,56,66,"ProximitytoHolefromFringe",2014
148,148,"Ken Duke",80,NA,265.583,77,109,"ProximitytoHolefromFringe",2014
148,148,"Martin Laird",66,NA,213.75,62,157,"ProximitytoHolefromFringe",2014
148,148,"Wes Roach",67,NA,213.333,62,103,"ProximitytoHolefromFringe",2014
148,148,"Rory Sabbatini",82,NA,175.833,51,142,"ProximitytoHolefromFringe",2014
148,148,"Scott Stallings",77,NA,227.167,66,154,"ProximitytoHolefromFringe",2014
148,148,"Kevin Streelman",79,NA,239.167,70,155,"ProximitytoHolefromFringe",2014
148,148,"Hudson Swafford",75,NA,176.083,52,169,"ProximitytoHolefromFringe",2014
148,148,"Tim Wilkinson",86,NA,203.75,60,10,"ProximitytoHolefromFringe",2014
156,156,"Harris English",95,NA,264.083,75,110,"ProximitytoHolefromFringe",2014
156,156,"John Rollins",84,NA,191,55,165,"ProximitytoHolefromFringe",2014
156,156,"Brian Stuard",91,NA,277.333,80,41,"ProximitytoHolefromFringe",2014
159,159,"Tim Clark",75,NA,230.917,64,70,"ProximitytoHolefromFringe",2014
159,159,"David Hearn",97,NA,238.333,67,35,"ProximitytoHolefromFringe",2014
159,159,"John Merrick",87,NA,252.333,70,175,"ProximitytoHolefromFringe",2014
159,159,"Ian Poulter",57,NA,181.417,51,98,"ProximitytoHolefromFringe",2014
159,159,"Andrew Svoboda",77,NA,257.083,71,77,"ProximitytoHolefromFringe",2014
159,159,"Cameron Tringale",111,NA,293,82,70,"ProximitytoHolefromFringe",2014
159,159,"Will Wilcox",51,NA,131.417,37,81,"ProximitytoHolefromFringe",2014
166,166,"Woody Austin",63,NA,255,70,146,"ProximitytoHolefromFringe",2014
166,166,"Danny Lee",84,NA,314,85,105,"ProximitytoHolefromFringe",2014
166,166,"Will Ma Kenzie",82,NA,270.25,73,134,"ProximitytoHolefromFringe",2014
166,166,"Ted Potter Jr",68,NA,229,62,11,"ProximitytoHolefromFringe",2014
170,170,"Stuart Appleby",92,NA,331.75,89,34,"ProximitytoHolefromFringe",2014
170,170,"Tommy Gainey",73,NA,265.667,71,174,"ProximitytoHolefromFringe",2014
172,172,"Ryo Ishikawa",75,NA,251.25,66,152,"ProximitytoHolefromFringe",2014
172,172,"Sean OHair",77,NA,251,65,63,"ProximitytoHolefromFringe",2014
174,174,"Nicholas Thompson",85,NA,243.083,62,164,"ProximitytoHolefromFringe",2014
175,175,"Jim Renner",61,NA,233.417,58,177,"ProximitytoHolefromFringe",2014
176,176,"John Huh",87,NA,290.75,71,107,"ProximitytoHolefromFringe",2014
177,177,"Jason Day",54,NA,128,29,5,"ProximitytoHolefromFringe",2014
