"3PuttAvoidance_RANKTHISWEEK_2011","3PuttAvoidance_RANKLASTWEEK_2011","3PuttAvoidance_PLAYERNAME_2011","3PuttAvoidance_ROUNDS_2011","3PuttAvoidance_Pct_2011","3PuttAvoidance_TOTAL3PUTTS_2011","3PuttAvoidance_TOTALHOLESOVERALL_2011","stat_name","year"
1,1,"Luke Donald",73,1.24,15,1206,"3PuttAvoidance",2011
2,2,"Freddie Jacobson",92,1.75,29,1656,"3PuttAvoidance",2011
3,3,"Greg Chalmers",88,1.83,29,1584,"3PuttAvoidance",2011
3,3,"Matt Kuchar",94,1.83,29,1584,"3PuttAvoidance",2011
3,3,"Bryce Molder",82,1.83,27,1476,"3PuttAvoidance",2011
6,6,"Kevin Kisner",70,1.98,25,1260,"3PuttAvoidance",2011
7,7,"George McNeill",69,2.01,25,1242,"3PuttAvoidance",2011
8,8,"Jonathan Byrd",83,2.03,30,1476,"3PuttAvoidance",2011
9,9,"Richard Johnson",64,2.08,24,1152,"3PuttAvoidance",2011
9,9,"Colt Knost",80,2.08,30,1440,"3PuttAvoidance",2011
11,11,"Carl Pettersson",95,2.11,36,1710,"3PuttAvoidance",2011
12,12,"Brendon de Jonge",105,2.12,40,1890,"3PuttAvoidance",2011
13,13,"Spencer Levin",113,2.16,44,2034,"3PuttAvoidance",2011
14,14,"Vaughn Taylor",89,2.18,35,1602,"3PuttAvoidance",2011
15,15,"Nate Smith",66,2.19,26,1188,"3PuttAvoidance",2011
16,16,"Dean Wilson",62,2.24,25,1116,"3PuttAvoidance",2011
17,17,"Kevin Na",84,2.25,34,1512,"3PuttAvoidance",2011
17,17,"Steve Stricker",70,2.25,28,1242,"3PuttAvoidance",2011
19,19,"Tim Petrovic",88,2.27,36,1584,"3PuttAvoidance",2011
20,20,"Sergio Garcia",61,2.28,25,1098,"3PuttAvoidance",2011
21,21,"Trevor Immelman",84,2.31,35,1512,"3PuttAvoidance",2011
22,22,"Webb Simpson",98,2.32,41,1764,"3PuttAvoidance",2011
23,23,"Zach Johnson",79,2.35,33,1404,"3PuttAvoidance",2011
23,23,"Matt Jones",71,2.35,30,1278,"3PuttAvoidance",2011
25,25,"Chris Couch",73,2.36,31,1314,"3PuttAvoidance",2011
25,25,"Tag Ridings",87,2.36,37,1566,"3PuttAvoidance",2011
27,27,"JJ Henry",96,2.37,41,1728,"3PuttAvoidance",2011
27,27,"Ryan Moore",79,2.37,32,1350,"3PuttAvoidance",2011
29,29,"Nick Watney",80,2.38,33,1386,"3PuttAvoidance",2011
30,30,"Brian Gay",90,2.41,39,1620,"3PuttAvoidance",2011
30,30,"Charlie Wi",83,2.41,36,1494,"3PuttAvoidance",2011
