"Approachesfrom225250yards_RANKTHISWEEK_2016","Approachesfrom225250yards_RANKLASTWEEK_2016","Approachesfrom225250yards_PLAYERNAME_2016","Approachesfrom225250yards_ROUNDS_2016","Approachesfrom225250yards_AVG_2016","Approachesfrom225250yards_TOTALDISTANCEFEET_2016","Approachesfrom225250yards_OFATTEMPTS_2016","Approachesfrom225250yards_RELATIVETOPAR_2016","stat_name","year"
1,1,"Wes Roach",33,NA,249,8,-2,"Approachesfrom225250yards",2016
2,2,"Ken Duke",26,NA,544.667,15,-3,"Approachesfrom225250yards",2016
3,4,"Geoff Ogilvy",37,NA,773.417,21,-4,"Approachesfrom225250yards",2016
4,3,"Billy Hurley III",22,NA,517,14,-5,"Approachesfrom225250yards",2016
5,7,"Rory McIlroy",37,NA,962.833,25,-5,"Approachesfrom225250yards",2016
6,5,"Bernd Wiesberger",23,NA,310.75,8,0,"Approachesfrom225250yards",2016
7,9,"Zac Blair",56,NA,1189.25,30,-2,"Approachesfrom225250yards",2016
7,6,"Bubba Watson",30,NA,674.167,17,-5,"Approachesfrom225250yards",2016
9,99,"Brian Stuard",24,NA,413.583,10,0,"Approachesfrom225250yards",2016
10,14,"Scott Brown",59,NA,915,22,-3,"Approachesfrom225250yards",2016
11,8,"Webb Simpson",34,NA,792,19,-7,"Approachesfrom225250yards",2016
12,10,"Brian Gay",22,NA,426.417,10,2,"Approachesfrom225250yards",2016
12,29,"Tom Hoge",47,NA,768.5,18,-6,"Approachesfrom225250yards",2016
14,11,"Andy Sullivan",25,NA,641.833,15,-3,"Approachesfrom225250yards",2016
15,13,"Matt Kuchar",46,NA,604.583,14,5,"Approachesfrom225250yards",2016
16,16,"Louis Oosthuizen",25,NA,349.083,8,0,"Approachesfrom225250yards",2016
17,22,"Morgan Hoffmann",43,NA,1007,23,-4,"Approachesfrom225250yards",2016
18,21,"John Senden",48,NA,1053.833,24,-4,"Approachesfrom225250yards",2016
19,22,"Will Ma Kenzie",54,NA,926.333,21,0,"Approachesfrom225250yards",2016
20,15,"Paul Casey",39,NA,665.75,15,2,"Approachesfrom225250yards",2016
20,29,"Steve Wheatcroft",53,NA,1110.75,25,-2,"Approachesfrom225250yards",2016
22,16,"Phil Mickelson",37,NA,890.25,20,-10,"Approachesfrom225250yards",2016
23,40,"Henrik Stenson",30,NA,813.75,18,-2,"Approachesfrom225250yards",2016
23,24,"DJ Trahan",23,NA,362.083,8,-4,"Approachesfrom225250yards",2016
25,37,"Danny Lee",53,NA,1407.167,31,-11,"Approachesfrom225250yards",2016
25,26,"Jordan Spieth",34,NA,1089.667,24,-4,"Approachesfrom225250yards",2016
27,42,"Alex Cejka",47,NA,1137.5,25,-7,"Approachesfrom225250yards",2016
28,20,"Erik Compton",45,NA,958.333,21,0,"Approachesfrom225250yards",2016
28,19,"Hideki Matsuyama",40,NA,1141.333,25,-5,"Approachesfrom225250yards",2016
30,12,"Andres Gonzales",46,NA,687.917,15,-2,"Approachesfrom225250yards",2016
31,59,"Daniel Berger",52,NA,1657.333,36,-9,"Approachesfrom225250yards",2016
32,27,"Vaughn Taylor",30,NA,691.667,15,1,"Approachesfrom225250yards",2016
33,31,"Graeme McDowell",33,NA,924.417,20,-5,"Approachesfrom225250yards",2016
34,33,"Hudson Swafford",52,NA,1296.333,28,-5,"Approachesfrom225250yards",2016
35,78,"Stuart Appleby",39,NA,1071.833,23,0,"Approachesfrom225250yards",2016
36,37,"Branden Grace",31,NA,420.083,9,-1,"Approachesfrom225250yards",2016
37,33,"Brendan Steele",48,NA,1402.333,30,-7,"Approachesfrom225250yards",2016
38,39,"Marc Leishman",41,NA,749.5,16,-4,"Approachesfrom225250yards",2016
