"BestYTDStreakwoa3Putt_RANKTHISWEEK_2008","BestYTDStreakwoa3Putt_RANKLASTWEEK_2008","BestYTDStreakwoa3Putt_PLAYERNAME_2008","BestYTDStreakwoa3Putt_EVENTS_2008","BestYTDStreakwoa3Putt_BESTSTREAK_2008","BestYTDStreakwoa3Putt_CURRENTSTREAK_2008","stat_name","year"
1,1,"Ben Curtis",22,374,146,"BestYTDStreakwoa3Putt",2008
2,2,"Brett Quigley",25,301,96,"BestYTDStreakwoa3Putt",2008
3,3,"Marco Dawson",21,285,19,"BestYTDStreakwoa3Putt",2008
3,3,"Ken Duke",33,285,84,"BestYTDStreakwoa3Putt",2008
5,5,"Zach Johnson",25,264,3,"BestYTDStreakwoa3Putt",2008
6,6,"Dustin Johnson",30,250,30,"BestYTDStreakwoa3Putt",2008
7,7,"Charles Howell III",31,249,16,"BestYTDStreakwoa3Putt",2008
8,8,"Brian Gay",31,248,67,"BestYTDStreakwoa3Putt",2008
9,9,"Cody Freeman",26,247,6,"BestYTDStreakwoa3Putt",2008
10,10,"Daniel Chopra",27,241,39,"BestYTDStreakwoa3Putt",2008
11,11,"Heath Slocum",29,216,5,"BestYTDStreakwoa3Putt",2008
12,12,"Ryan Armour",32,214,38,"BestYTDStreakwoa3Putt",2008
12,12,"Jeff Quinney",28,214,10,"BestYTDStreakwoa3Putt",2008
14,14,"Chad Collins",24,208,26,"BestYTDStreakwoa3Putt",2008
15,15,"Joe Ogilvie",29,204,60,"BestYTDStreakwoa3Putt",2008
15,15,"Mark Wilson",29,204,72,"BestYTDStreakwoa3Putt",2008
17,17,"Nathan Green",30,201,30,"BestYTDStreakwoa3Putt",2008
18,18,"Corey Pavin",20,198,54,"BestYTDStreakwoa3Putt",2008
19,19,"Jonathan Byrd",27,194,1,"BestYTDStreakwoa3Putt",2008
19,19,"Jesper Parnevik",29,194,12,"BestYTDStreakwoa3Putt",2008
21,21,"Bill Haas",31,192,13,"BestYTDStreakwoa3Putt",2008
21,21,"Vaughn Taylor",32,192,2,"BestYTDStreakwoa3Putt",2008
23,23,"Luke Donald",11,191,16,"BestYTDStreakwoa3Putt",2008
23,23,"Craig Kanada",23,191,9,"BestYTDStreakwoa3Putt",2008
25,25,"Justin Bolli",28,190,9,"BestYTDStreakwoa3Putt",2008
26,26,"Dean Wilson",32,185,3,"BestYTDStreakwoa3Putt",2008
27,27,"Todd Hamilton",28,183,37,"BestYTDStreakwoa3Putt",2008
28,28,"Ben Crane",25,182,37,"BestYTDStreakwoa3Putt",2008
28,28,"David Toms",20,182,20,"BestYTDStreakwoa3Putt",2008
