"FedExCupPlayoffsPoints_RANKTHISWEEK_2011","FedExCupPlayoffsPoints_RANKLASTWEEK_2011","FedExCupPlayoffsPoints_PLAYERNAME_2011","FedExCupPlayoffsPoints_EVENTS_2011","FedExCupPlayoffsPoints_POINTS_2011","FedExCupPlayoffsPoints_OFWINS_2011","FedExCupPlayoffsPoints_OFTOP10S_2011","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2011","FedExCupPlayoffsPoints_RESETPOINTS_2011","stat_name","year"
1,1,"Bill Haas",26,2760,1,7,NA,260,"FedExCupPlayoffsPoints",2011
2,2,"Webb Simpson",24,2745,2,10,15,2500,"FedExCupPlayoffsPoints",2011
3,3,"Luke Donald",18,2567,1,13,193,1800,"FedExCupPlayoffsPoints",2011
4,4,"Dustin Johnson",21,2488,1,6,272,2250,"FedExCupPlayoffsPoints",2011
5,5,"Justin Rose",22,2253,1,5,507,2000,"FedExCupPlayoffsPoints",2011
6,6,"Matt Kuchar",23,1853,NA,9,907,1600,"FedExCupPlayoffsPoints",2011
7,7,"Hunter Mahan",25,1800,NA,9,960,300,"FedExCupPlayoffsPoints",2011
8,8,"Brandt Snedeker",25,1668,1,7,1092,1400,"FedExCupPlayoffsPoints",2011
9,9,"Nick Watney",21,1420,2,9,1340,1200,"FedExCupPlayoffsPoints",2011
10,10,"Chez Reavie",26,1220,NA,5,1540,1000,"FedExCupPlayoffsPoints",2011
11,11,"KJ Choi",22,1207,1,8,1553,440,"FedExCupPlayoffsPoints",2011
12,12,"Jason Day",21,1058,NA,10,1702,600,"FedExCupPlayoffsPoints",2011
13,13,"John Senden",25,1030,NA,3,1730,800,"FedExCupPlayoffsPoints",2011
14,14,"Aaron Baddeley",22,1007,1,5,1753,240,"FedExCupPlayoffsPoints",2011
15,15,"Phil Mickelson",21,795,1,7,1965,420,"FedExCupPlayoffsPoints",2011
16,16,"Adam Scott",18,778,1,7,1982,320,"FedExCupPlayoffsPoints",2011
17,17,"Gary Woodland",24,773,1,6,1987,480,"FedExCupPlayoffsPoints",2011
18,18,"Steve Stricker",19,740,2,5,2020,460,"FedExCupPlayoffsPoints",2011
19,19,"Charles Howell III",28,708,NA,7,2052,250,"FedExCupPlayoffsPoints",2011
20,20,"Keegan Bradley",28,648,2,4,2112,310,"FedExCupPlayoffsPoints",2011
20,20,"David Toms",22,648,1,7,2112,380,"FedExCupPlayoffsPoints",2011
