"Approach250275yardsRTP_RANKTHISWEEK_2013","Approach250275yardsRTP_RANKLASTWEEK_2013","Approach250275yardsRTP_PLAYERNAME_2013","Approach250275yardsRTP_ROUNDS_2013","Approach250275yardsRTP_AVGRTP_2013","stat_name","year"
1,1,"Andrew Svoboda",46,-0.933,"Approach250275yardsRTP",2013
2,2,"Stewart Cink",71,-0.857,"Approach250275yardsRTP",2013
3,3,"YE Yang",56,-0.846,"Approach250275yardsRTP",2013
4,4,"Jin Park",52,-0.833,"Approach250275yardsRTP",2013
5,5,"Luke Donald",60,-0.813,"Approach250275yardsRTP",2013
5,5,"Peter Hanson",45,-0.813,"Approach250275yardsRTP",2013
7,7,"Patrick Reed",83,-0.808,"Approach250275yardsRTP",2013
8,8,"Martin Kaymer",61,-0.8,"Approach250275yardsRTP",2013
8,8,"DJ Trahan",48,-0.8,"Approach250275yardsRTP",2013
10,10,"Steve Stricker",51,-0.778,"Approach250275yardsRTP",2013
11,11,"David Lynn",70,-0.773,"Approach250275yardsRTP",2013
12,12,"Keegan Bradley",88,-0.758,"Approach250275yardsRTP",2013
13,13,"Chris Kirk",89,-0.75,"Approach250275yardsRTP",2013
14,14,"Matt Jones",83,-0.739,"Approach250275yardsRTP",2013
14,14,"Ryan Palmer",79,-0.739,"Approach250275yardsRTP",2013
16,16,"Sergio Garcia",65,-0.737,"Approach250275yardsRTP",2013
17,17,"Steve LeBrun",66,-0.733,"Approach250275yardsRTP",2013
18,18,"Henrik Stenson",65,-0.724,"Approach250275yardsRTP",2013
19,19,"Ernie Els",63,-0.722,"Approach250275yardsRTP",2013
20,20,"Roberto Castro",97,-0.718,"Approach250275yardsRTP",2013
21,21,"Kevin Chappell",80,-0.714,"Approach250275yardsRTP",2013
21,21,"George McNeill",68,-0.714,"Approach250275yardsRTP",2013
23,23,"Chad Campbell",78,-0.706,"Approach250275yardsRTP",2013
24,24,"DH Lee",65,-0.696,"Approach250275yardsRTP",2013
25,25,"Graeme McDowell",53,-0.692,"Approach250275yardsRTP",2013
26,26,"Jason Bohn",70,-0.688,"Approach250275yardsRTP",2013
27,27,"Jason Day",86,-0.682,"Approach250275yardsRTP",2013
27,27,"William McGirt",75,-0.682,"Approach250275yardsRTP",2013
27,27,"Michael Thompson",66,-0.682,"Approach250275yardsRTP",2013
