"Last5EventsAccuracy_RANKTHISWEEK_2015","Last5EventsAccuracy_RANKLASTWEEK_2015","Last5EventsAccuracy_PLAYERNAME_2015","Last5EventsAccuracy_EVENTS_2015","Last5EventsAccuracy_RATING_2015","stat_name","year"
1,1,"Joe Affrunti",1,9.3,"Last5EventsAccuracy",2015
2,2,"Dudley Hart",1,9.1,"Last5EventsAccuracy",2015
3,3,"Soren Kjeldsen",1,8.6,"Last5EventsAccuracy",2015
4,4,"Byeong Hun An",2,8.5,"Last5EventsAccuracy",2015
4,4,"Duffy Waldorf",1,8.5,"Last5EventsAccuracy",2015
6,6,"DH Lee",1,8.4,"Last5EventsAccuracy",2015
6,6,"JJ Spaun",1,8.4,"Last5EventsAccuracy",2015
8,8,"Russell Knox",3,8.3,"Last5EventsAccuracy",2015
9,9,"Tom Gillis",2,8.2,"Last5EventsAccuracy",2015
9,9,"Kevin Stadler",1,8.2,"Last5EventsAccuracy",2015
11,11,"Paul Casey",4,8.1,"Last5EventsAccuracy",2015
11,11,"Garrett Osborn",1,8.1,"Last5EventsAccuracy",2015
13,13,"Ross Fisher",1,8,"Last5EventsAccuracy",2015
13,13,"Jim Furyk",4,8,"Last5EventsAccuracy",2015
13,13,"Brian Gaffney",1,8,"Last5EventsAccuracy",2015
13,13,"Brandt Jobe",1,8,"Last5EventsAccuracy",2015
13,13,"Davis Love III",2,8,"Last5EventsAccuracy",2015
18,18,"Cameron Beckman",2,7.9,"Last5EventsAccuracy",2015
18,18,"Mark Hensby",1,7.9,"Last5EventsAccuracy",2015
18,18,"Zach Johnson",4,7.9,"Last5EventsAccuracy",2015
18,18,"Whee Kim",2,7.9,"Last5EventsAccuracy",2015
18,18,"Joost Luiten",2,7.9,"Last5EventsAccuracy",2015
18,18,"Kenny Perry",2,7.9,"Last5EventsAccuracy",2015
18,18,"Chez Reavie",4,7.9,"Last5EventsAccuracy",2015
18,18,"Bo Van Pelt",1,7.9,"Last5EventsAccuracy",2015
26,26,"Jason Bohn",4,7.8,"Last5EventsAccuracy",2015
26,26,"Tim Clark",2,7.8,"Last5EventsAccuracy",2015
26,26,"Jim Herman",4,7.8,"Last5EventsAccuracy",2015
26,26,"Will Ma Kenzie",1,7.8,"Last5EventsAccuracy",2015
26,26,"Adam Svensson",1,7.8,"Last5EventsAccuracy",2015
26,26,"Vaughn Taylor",4,7.8,"Last5EventsAccuracy",2015
26,26,"Tim Wilkinson",1,7.8,"Last5EventsAccuracy",2015
33,33,"Blayne Barber",1,7.7,"Last5EventsAccuracy",2015
33,33,"Ken Duke",2,7.7,"Last5EventsAccuracy",2015
33,33,"Derek Ernst",1,7.7,"Last5EventsAccuracy",2015
33,33,"Hideki Matsuyama",4,7.7,"Last5EventsAccuracy",2015
33,33,"George McNeill",3,7.7,"Last5EventsAccuracy",2015
33,33,"James Morrison",1,7.7,"Last5EventsAccuracy",2015
33,33,"Chris Stroud",1,7.7,"Last5EventsAccuracy",2015
33,33,"Nick Watney",4,7.7,"Last5EventsAccuracy",2015
41,41,"Lucas Glover",1,7.6,"Last5EventsAccuracy",2015
41,41,"Justin Leonard",4,7.6,"Last5EventsAccuracy",2015
41,41,"Shane Lowry",1,7.6,"Last5EventsAccuracy",2015
41,41,"Steve Marino",1,7.6,"Last5EventsAccuracy",2015
41,41,"Ryan Moore",3,7.6,"Last5EventsAccuracy",2015
41,41,"Henrik Stenson",5,7.6,"Last5EventsAccuracy",2015
41,41,"Tiger Woods",3,7.6,"Last5EventsAccuracy",2015
48,48,"Charlie Beljan",1,7.5,"Last5EventsAccuracy",2015
48,48,"Harrison Frazar",1,7.5,"Last5EventsAccuracy",2015
48,48,"James Hahn",3,7.5,"Last5EventsAccuracy",2015
48,48,"Jeff Maggert",1,7.5,"Last5EventsAccuracy",2015
48,48,"Rory McIlroy",4,7.5,"Last5EventsAccuracy",2015
48,48,"Will Wilcox",3,7.5,"Last5EventsAccuracy",2015
54,54,"Thomas Aiken",2,7.4,"Last5EventsAccuracy",2015
54,54,"Ben Crane",1,7.4,"Last5EventsAccuracy",2015
54,54,"Victor Dubuisson",2,7.4,"Last5EventsAccuracy",2015
54,54,"Rickie Fowler",4,7.4,"Last5EventsAccuracy",2015
54,54,"Jason Gore",2,7.4,"Last5EventsAccuracy",2015
54,54,"Brooks Koepka",3,7.4,"Last5EventsAccuracy",2015
54,54,"John Rollins",1,7.4,"Last5EventsAccuracy",2015
54,54,"Justin Rose",4,7.4,"Last5EventsAccuracy",2015
54,54,"Charl Schwartzel",3,7.4,"Last5EventsAccuracy",2015
54,54,"Robby Shelton",1,7.4,"Last5EventsAccuracy",2015
54,54,"Josh Teater",2,7.4,"Last5EventsAccuracy",2015
54,54,"Tyrone Van Aswegen",3,7.4,"Last5EventsAccuracy",2015
54,54,"Boo Weekley",3,7.4,"Last5EventsAccuracy",2015
67,67,"Daniel Berger",3,7.3,"Last5EventsAccuracy",2015
67,67,"Jonas Blixt",3,7.3,"Last5EventsAccuracy",2015
67,67,"Stewart Cink",2,7.3,"Last5EventsAccuracy",2015
67,67,"Bryson DeChambeau",1,7.3,"Last5EventsAccuracy",2015
67,67,"Graham DeLaet",2,7.3,"Last5EventsAccuracy",2015
67,67,"Emiliano Grillo",3,7.3,"Last5EventsAccuracy",2015
67,67,"Tom Hoge",4,7.3,"Last5EventsAccuracy",2015
67,67,"Ryo Ishikawa",3,7.3,"Last5EventsAccuracy",2015
67,67,"Thongchai Jaidee",1,7.3,"Last5EventsAccuracy",2015
67,67,"David Lingmerth",3,7.3,"Last5EventsAccuracy",2015
67,67,"Francesco Molinari",3,7.3,"Last5EventsAccuracy",2015
67,67,"John Senden",2,7.3,"Last5EventsAccuracy",2015
67,67,"Steve Stricker",3,7.3,"Last5EventsAccuracy",2015
67,67,"Nicholas Thompson",1,7.3,"Last5EventsAccuracy",2015
