"DrivingPctMeasured_RANKTHISWEEK_2016","DrivingPctMeasured_RANKLASTWEEK_2016","DrivingPctMeasured_PLAYERNAME_2016","DrivingPctMeasured_ROUNDS_2016","DrivingPctMeasured_Pct_2016","DrivingPctMeasured_TOTALDRIVESFOR_2016","DrivingPctMeasured_TOTALDRVSOVERALL_2016","DrivingPctMeasured_RELATIVETOPAR_2016","stat_name","year"
1,1,"Steve Stricker",25,7.14,3,42,0.33,"DrivingPctMeasured",2016
2,2,"Darron Stiles",28,6.52,3,46,-0.67,"DrivingPctMeasured",2016
3,5,"Martin Piller",37,6.45,4,62,0.5,"DrivingPctMeasured",2016
4,8,"Chad Collins",45,6.1,5,82,0.6,"DrivingPctMeasured",2016
5,4,"Steven Bowditch",40,5.36,3,56,0.33,"DrivingPctMeasured",2016
6,3,"Alex Cejka",47,5.26,4,76,0.25,"DrivingPctMeasured",2016
6,7,"DJ Trahan",23,5.26,2,38,1,"DrivingPctMeasured",2016
8,6,"Tyler Aldridge",53,5.21,5,96,0.4,"DrivingPctMeasured",2016
9,11,"Charlie Beljan",26,4.76,2,42,1,"DrivingPctMeasured",2016
10,9,"Robert Allenby",35,4.69,3,64,0.33,"DrivingPctMeasured",2016
11,9,"Andrew Loupe",50,4.55,4,88,0.25,"DrivingPctMeasured",2016
12,13,"Kevin Kisner",49,4.41,3,68,1,"DrivingPctMeasured",2016
13,11,"Colt Knost",56,4.35,4,92,0.25,"DrivingPctMeasured",2016
14,15,"Jon Curran",55,4.26,4,94,0.75,"DrivingPctMeasured",2016
15,16,"Matthew Fitzpatrick",23,4.17,1,24,1,"DrivingPctMeasured",2016
15,13,"David Toms",38,4.17,3,72,0,"DrivingPctMeasured",2016
17,20,"Sergio Garcia",28,3.85,1,26,1,"DrivingPctMeasured",2016
18,19,"Mark Wilson",42,3.75,3,80,1,"DrivingPctMeasured",2016
19,17,"Erik Compton",45,3.66,3,82,0.67,"DrivingPctMeasured",2016
19,20,"Andres Gonzales",46,3.66,3,82,0.33,"DrivingPctMeasured",2016
19,17,"Jason Gore",51,3.66,3,82,0.33,"DrivingPctMeasured",2016
22,24,"Dicky Pride",33,3.57,2,56,-1,"DrivingPctMeasured",2016
23,25,"KJ Choi",47,3.49,3,86,0.33,"DrivingPctMeasured",2016
23,20,"Dawie van der Walt",48,3.49,3,86,0.33,"DrivingPctMeasured",2016
25,23,"Kelly Kraft",35,3.45,2,58,1,"DrivingPctMeasured",2016
26,27,"Aaron Baddeley",51,3.33,3,90,-0.33,"DrivingPctMeasured",2016
27,30,"Rory Sabbatini",40,3.23,2,62,0,"DrivingPctMeasured",2016
28,25,"Camilo Villegas",50,3.19,3,94,0,"DrivingPctMeasured",2016
29,31,"Freddie Jacobson",54,3.13,3,96,-0.33,"DrivingPctMeasured",2016
29,31,"Andy Sullivan",25,3.13,1,32,0,"DrivingPctMeasured",2016
31,27,"Adam Hadwin",53,3.06,3,98,0.33,"DrivingPctMeasured",2016
31,27,"Patton Kizzire",57,3.06,3,98,0.67,"DrivingPctMeasured",2016
33,33,"Kevin Na",52,3.03,2,66,1,"DrivingPctMeasured",2016
34,35,"Lucas Lee",22,2.94,1,34,0,"DrivingPctMeasured",2016
35,36,"Brian Gay",22,2.78,1,36,-1,"DrivingPctMeasured",2016
35,36,"Jerry Kelly",44,2.78,2,72,1,"DrivingPctMeasured",2016
37,33,"Luke Donald",49,2.7,2,74,0,"DrivingPctMeasured",2016
38,38,"Russell Henley",42,2.63,2,76,0.5,"DrivingPctMeasured",2016
38,69,"Morgan Hoffmann",43,2.63,2,76,0,"DrivingPctMeasured",2016
40,41,"JJ Henry",44,2.5,2,80,0.5,"DrivingPctMeasured",2016
40,38,"Ben Martin",48,2.5,2,80,1.5,"DrivingPctMeasured",2016
42,41,"Blayne Barber",44,2.44,2,82,0.5,"DrivingPctMeasured",2016
42,72,"Chesson Hadley",51,2.44,2,82,1,"DrivingPctMeasured",2016
44,43,"Will Wilcox",47,2.33,2,86,0,"DrivingPctMeasured",2016
45,44,"Chad Campbell",54,2.17,2,92,0,"DrivingPctMeasured",2016
46,48,"John Huh",51,2.13,2,94,0.5,"DrivingPctMeasured",2016
47,46,"Brendon de Jonge",55,2.08,2,96,0,"DrivingPctMeasured",2016
48,95,"Scott Brown",59,2.04,2,98,0.5,"DrivingPctMeasured",2016
48,48,"Peter Malnati",53,2.04,2,98,0.5,"DrivingPctMeasured",2016
50,48,"Roberto Castro",55,1.96,2,102,0.5,"DrivingPctMeasured",2016
50,52,"Seung Yul Noh",54,1.96,2,102,0,"DrivingPctMeasured",2016
52,44,"Anirban Lahiri",44,1.92,1,52,1,"DrivingPctMeasured",2016
52,98,"Brett Stegmaier",57,1.92,2,104,0.5,"DrivingPctMeasured",2016
54,105,"Phil Mickelson",37,1.85,1,54,1,"DrivingPctMeasured",2016
54,105,"DA Points",32,1.85,1,54,0,"DrivingPctMeasured",2016
54,46,"Ian Poulter",37,1.85,1,54,1,"DrivingPctMeasured",2016
57,51,"Robert Garrigus",34,1.79,1,56,0,"DrivingPctMeasured",2016
57,55,"Graeme McDowell",33,1.79,1,56,1,"DrivingPctMeasured",2016
57,55,"Carl Pettersson",31,1.79,1,56,1,"DrivingPctMeasured",2016
57,53,"Webb Simpson",34,1.79,1,56,0,"DrivingPctMeasured",2016
61,59,"Rhein Gibson",36,1.61,1,62,0,"DrivingPctMeasured",2016
61,54,"Rob Oppenheim",37,1.61,1,62,0,"DrivingPctMeasured",2016
63,105,"Padraig Harrington",38,1.56,1,64,0,"DrivingPctMeasured",2016
63,57,"Geoff Ogilvy",37,1.56,1,64,0,"DrivingPctMeasured",2016
65,59,"Thomas Aiken",42,1.52,1,66,0,"DrivingPctMeasured",2016
65,59,"Jason Bohn",37,1.52,1,66,0,"DrivingPctMeasured",2016
67,63,"Mark Hubbard",73,1.47,2,136,-0.5,"DrivingPctMeasured",2016
67,57,"Robert Streb",51,1.47,1,68,0,"DrivingPctMeasured",2016
69,66,"Sam Saunders",40,1.43,1,70,0,"DrivingPctMeasured",2016
69,59,"Tim Wilkinson",40,1.43,1,70,0,"DrivingPctMeasured",2016
71,69,"Stewart Cink",45,1.39,1,72,0,"DrivingPctMeasured",2016
71,63,"Scott Langley",41,1.39,1,72,0,"DrivingPctMeasured",2016
71,63,"Danny Lee",53,1.39,1,72,0,"DrivingPctMeasured",2016
74,66,"Harris English",51,1.35,1,74,1,"DrivingPctMeasured",2016
74,66,"James Hahn",45,1.35,1,74,0,"DrivingPctMeasured",2016
