"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2007","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2007","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2007","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2007","ofPotentialPtswonFedExCupPlayoffs_Pct_2007","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2007","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2007","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2007","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2007","stat_name","year"
1,1,"Tiger Woods",16,81.39,23033,28300,2,3,"ofPotentialPtswonFedExCupPlayoffs",2007
2,2,"Phil Mickelson",22,40.13,11358,28300,1,2,"ofPotentialPtswonFedExCupPlayoffs",2007
3,3,"Steve Stricker",23,38.89,14505,37300,1,3,"ofPotentialPtswonFedExCupPlayoffs",2007
4,4,"Aaron Baddeley",23,22.25,8300,37300,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2007
5,5,"Rory Sabbatini",23,21.29,7943,37300,NA,4,"ofPotentialPtswonFedExCupPlayoffs",2007
6,6,"Mark Calcavecchia",28,19.62,7319,37300,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2007
7,7,"KJ Choi",25,16.8,6265,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
8,8,"Arron Oberholser",21,15.83,4273,27000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
9,9,"Zach Johnson",23,15.75,5873,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
10,10,"Sergio Garcia",19,14.15,5277,37300,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2007
11,11,"Camilo Villegas",24,13.42,5008,37300,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2007
12,12,"Geoff Ogilvy",22,12.78,4768,37300,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2007
13,13,"Tim Clark",19,12,4475,37300,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2007
14,14,"Adam Scott",19,11.89,4434,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
15,15,"Brett Wetterich",28,11.86,4424,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
16,16,"Ernie Els",16,11.07,3133,28300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
17,17,"Justin Rose",16,10.68,3984,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
18,18,"Rich Beem",29,10.47,1885,18000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
19,19,"Scott Verplank",23,9.58,2712,28300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
20,20,"Ian Poulter",18,9.44,2550,27000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2007
21,21,"Hunter Mahan",27,8.57,3196,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
22,22,"Stewart Cink",25,8.44,3147,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
23,23,"Robert Garrigus",28,8.08,1454,18000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
24,24,"Bob Heintz",27,8.06,725,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
25,25,"Robert Allenby",28,7.87,2934,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
26,26,"Freddie Jacobson",20,7.58,1364,18000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
27,27,"Woody Austin",27,7.39,2757,37300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
28,28,"Jim Furyk",23,6.76,2522,37300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
29,29,"Steve Flesch",31,6.64,1195,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
30,30,"Lucas Glover",29,6.57,1775,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
31,31,"Sean OHair",28,6.34,1713,27000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
32,32,"Heath Slocum",28,6.25,2331,37300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
33,33,"Nathan Green",29,6.12,1652,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
34,34,"Ryan Armour",32,6,540,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
35,35,"Jonathan Byrd",23,5.93,2211,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
36,36,"Jerry Kelly",28,5.85,1580,27000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
37,37,"Troy Matteson",26,5.62,1517,27000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
38,38,"Vijay Singh",27,5.53,2064,37300,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
39,39,"Padraig Harrington",18,5.04,1425,28300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
40,40,"Charlie Wi",27,5,900,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
41,41,"Carl Pettersson",31,4.8,1297,27000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2007
42,42,"John Mallinger",29,4.77,1288,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
43,43,"Cliff Kresge",30,4.39,790,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
44,44,"Ryuji Imada",32,3.95,1067,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
45,45,"Jason Dufner",32,3.89,350,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
46,46,"Brandt Snedeker",29,3.77,1407,37300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
47,47,"George McNeill",30,3.76,677,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
48,48,"Charles Howell III",26,3.49,1301,37300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
49,49,"Bo Van Pelt",30,3.26,881,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
50,50,"Boo Weekley",29,3.21,1199,37300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
51,51,"Anthony Kim",26,3.12,842,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
52,52,"Tim Petrovic",32,3,540,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
53,53,"Ryan Moore",28,2.92,789,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
54,54,"Jason Gore",27,2.89,520,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
55,55,"Angel Cabrera",14,2.64,712,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
56,56,"Briny Baird",31,2.49,448,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
56,56,"Mike Weir",23,2.49,448,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
58,58,"Mark Wilson",25,2.45,663,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
59,59,"Steve Elkington",25,2.34,421,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
59,59,"Matt Kuchar",26,2.34,421,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
61,61,"John Rollins",29,2.33,870,37300,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
62,62,"Kenny Perry",24,2.31,623,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
63,63,"Trevor Immelman",21,2.3,621,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
63,63,"Rod Pampling",25,2.3,621,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
65,65,"Pat Perez",27,2.25,609,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
65,65,"David Toms",22,2.25,609,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
65,65,"Bubba Watson",26,2.25,609,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
68,68,"Paul Goydos",19,2.21,398,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
69,69,"Vaughn Taylor",28,2.14,579,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
70,70,"Dean Wilson",28,2.12,381,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
71,71,"John Senden",27,2,539,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
72,72,"Brett Quigley",25,1.95,350,18000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
73,73,"Frank Lickliter II",30,1.94,175,9000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
74,74,"Charley Hoffman",30,1.91,516,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
75,75,"Rocco Mediate",22,1.87,504,27000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2007
