"OnePuttPercentageRound1_RANKTHISWEEK_2016","OnePuttPercentageRound1_RANKLASTWEEK_2016","OnePuttPercentageRound1_PLAYERNAME_2016","OnePuttPercentageRound1_ROUNDS_2016","OnePuttPercentageRound1_Pct_2016","OnePuttPercentageRound1_OF1PUTTS_2016","OnePuttPercentageRound1_OFHOLES_2016","stat_name","year"
1,2,"Hideki Matsuyama",40,48.99,97,198,"OnePuttPercentageRound1",2016
2,1,"George McNeill",33,48.72,114,234,"OnePuttPercentageRound1",2016
3,3,"Brian Gay",22,47.22,68,144,"OnePuttPercentageRound1",2016
3,3,"Dustin Johnson",37,47.22,68,144,"OnePuttPercentageRound1",2016
5,6,"Andrew Loupe",50,46.88,135,288,"OnePuttPercentageRound1",2016
6,5,"Aaron Baddeley",51,46.67,126,270,"OnePuttPercentageRound1",2016
7,9,"Phil Mickelson",37,46.11,83,180,"OnePuttPercentageRound1",2016
8,27,"Retief Goosen",37,45.56,82,180,"OnePuttPercentageRound1",2016
9,24,"Daniel Summerhays",55,45.19,122,270,"OnePuttPercentageRound1",2016
10,8,"Justin Leonard",28,45.14,65,144,"OnePuttPercentageRound1",2016
11,13,"Ricky Barnes",57,45.06,146,324,"OnePuttPercentageRound1",2016
12,11,"Jimmy Walker",43,44.95,89,198,"OnePuttPercentageRound1",2016
13,7,"Angel Cabrera",42,44.87,105,234,"OnePuttPercentageRound1",2016
14,14,"Alex Cejka",47,44.44,120,270,"OnePuttPercentageRound1",2016
14,14,"Carl Pettersson",31,44.44,96,216,"OnePuttPercentageRound1",2016
14,14,"Steve Stricker",25,44.44,64,144,"OnePuttPercentageRound1",2016
14,14,"Hudson Swafford",52,44.44,136,306,"OnePuttPercentageRound1",2016
18,12,"Charles Howell III",63,44.12,135,306,"OnePuttPercentageRound1",2016
19,19,"Ben Crane",48,44.1,127,288,"OnePuttPercentageRound1",2016
20,25,"Jonas Blixt",46,43.75,126,288,"OnePuttPercentageRound1",2016
20,19,"Will Wilcox",47,43.75,126,288,"OnePuttPercentageRound1",2016
22,26,"Harris English",51,43.7,118,270,"OnePuttPercentageRound1",2016
