"ProximitytoHolefrom_RANKTHISWEEK_2012","ProximitytoHolefrom_RANKLASTWEEK_2012","ProximitytoHolefrom_PLAYERNAME_2012","ProximitytoHolefrom_ROUNDS_2012","ProximitytoHolefrom_AVGDTP_2012","ProximitytoHolefrom_TOTALDISTANCEFEET_2012","ProximitytoHolefrom_OFSHOTS_2012","ProximitytoHolefrom_SCRAMBLINGRANK_2012","stat_name","year"
1,1,"Martin Flores",95,NA,354.917,139,47,"ProximitytoHolefrom",2012
2,2,"Brian Gay",91,NA,340.333,122,1,"ProximitytoHolefrom",2012
3,3,"Chris Couch",61,NA,313.167,110,72,"ProximitytoHolefrom",2012
4,4,"Arjun Atwal",79,NA,333.833,114,137,"ProximitytoHolefrom",2012
4,4,"KJ Choi",71,NA,225.167,78,150,"ProximitytoHolefrom",2012
4,4,"Stewart Cink",71,NA,258.75,90,169,"ProximitytoHolefrom",2012
4,4,"Tom Gillis",75,NA,326.25,112,68,"ProximitytoHolefrom",2012
4,4,"Jerry Kelly",84,NA,305.417,105,41,"ProximitytoHolefrom",2012
4,4,"John Mallinger",74,NA,296.583,102,53,"ProximitytoHolefrom",2012
10,10,"Stuart Appleby",75,NA,305.167,101,29,"ProximitytoHolefrom",2012
10,10,"Kris Blanks",65,NA,274.583,91,149,"ProximitytoHolefrom",2012
10,10,"Jonathan Byrd",69,NA,302.083,101,56,"ProximitytoHolefrom",2012
10,10,"Mathew Goggin",65,NA,185.083,61,105,"ProximitytoHolefrom",2012
10,10,"Robert Karlsson",54,NA,173,58,172,"ProximitytoHolefrom",2012
10,10,"Rocco Mediate",70,NA,246.5,82,22,"ProximitytoHolefrom",2012
10,10,"Greg Owen",90,NA,327.083,109,154,"ProximitytoHolefrom",2012
10,10,"Vaughn Taylor",81,NA,284.5,95,116,"ProximitytoHolefrom",2012
10,10,"Johnson Wagner",88,NA,315,104,104,"ProximitytoHolefrom",2012
19,19,"Daniel Chopra",55,NA,198.5,64,165,"ProximitytoHolefrom",2012
19,19,"John Daly",50,NA,199.667,64,174,"ProximitytoHolefrom",2012
19,19,"Justin Leonard",79,NA,363,119,44,"ProximitytoHolefrom",2012
19,19,"Geoff Ogilvy",73,NA,312.167,100,6,"ProximitytoHolefrom",2012
19,19,"Rod Pampling",88,NA,298.5,98,98,"ProximitytoHolefrom",2012
19,19,"Bubba Watson",68,NA,231.417,75,110,"ProximitytoHolefrom",2012
25,25,"Erik Compton",81,NA,340,108,161,"ProximitytoHolefrom",2012
25,25,"Marco Dawson",60,NA,228.583,73,176,"ProximitytoHolefrom",2012
25,25,"Billy Hurley III",70,NA,337.167,107,90,"ProximitytoHolefrom",2012
25,25,"Russell Knox",72,NA,246.25,78,76,"ProximitytoHolefrom",2012
25,25,"John Merrick",83,NA,250.333,80,146,"ProximitytoHolefrom",2012
25,25,"Seung Yul Noh",105,NA,388.083,122,80,"ProximitytoHolefrom",2012
25,25,"Ian Poulter",57,NA,153.667,49,2,"ProximitytoHolefrom",2012
25,25,"Webb Simpson",77,NA,329.417,103,56,"ProximitytoHolefrom",2012
25,25,"Daniel Summerhays",81,NA,322.25,101,122,"ProximitytoHolefrom",2012
25,25,"Tiger Woods",69,NA,232.75,74,4,"ProximitytoHolefrom",2012
35,35,"Jonas Blixt",72,NA,294.75,91,16,"ProximitytoHolefrom",2012
35,35,"Jason Dufner",83,NA,231.833,72,8,"ProximitytoHolefrom",2012
35,35,"Freddie Jacobson",61,NA,220.25,67,92,"ProximitytoHolefrom",2012
35,35,"Derek Lamely",64,NA,286.25,87,95,"ProximitytoHolefrom",2012
35,35,"David Mathis",83,NA,375.083,115,85,"ProximitytoHolefrom",2012
40,40,"Aaron Baddeley",73,NA,333.167,100,37,"ProximitytoHolefrom",2012
40,40,"Ricky Barnes",92,NA,428.25,127,148,"ProximitytoHolefrom",2012
40,40,"Jason Day",57,NA,253.667,76,19,"ProximitytoHolefrom",2012
40,40,"Matt Every",80,NA,391.833,119,67,"ProximitytoHolefrom",2012
40,40,"Troy Kelly",68,NA,269.5,81,46,"ProximitytoHolefrom",2012
40,40,"Troy Matteson",100,NA,431.083,130,114,"ProximitytoHolefrom",2012
40,40,"Rory McIlroy",60,NA,214.417,64,33,"ProximitytoHolefrom",2012
40,40,"Patrick Sheehan",58,NA,265,80,131,"ProximitytoHolefrom",2012
40,40,"Jhonattan Vegas",77,NA,362.833,108,187,"ProximitytoHolefrom",2012
49,49,"Greg Chalmers",88,NA,406.167,119,11,"ProximitytoHolefrom",2012
49,49,"JJ Henry",93,NA,305.75,90,89,"ProximitytoHolefrom",2012
49,49,"Graeme McDowell",55,NA,213.75,63,177,"ProximitytoHolefrom",2012
49,49,"Bryce Molder",83,NA,354.5,103,20,"ProximitytoHolefrom",2012
49,49,"Tom Pernice Jr",62,NA,309.917,90,117,"ProximitytoHolefrom",2012
49,49,"Brandt Snedeker",81,NA,433.417,127,10,"ProximitytoHolefrom",2012
49,49,"Michael Thompson",80,NA,412.5,120,136,"ProximitytoHolefrom",2012
49,49,"Camilo Villegas",79,NA,392.167,116,151,"ProximitytoHolefrom",2012
57,57,"Mark Anderson",75,NA,300.917,86,163,"ProximitytoHolefrom",2012
57,57,"Tommy Biershenk",74,NA,371.583,106,184,"ProximitytoHolefrom",2012
57,57,"Kevin Chappell",91,NA,436.917,126,83,"ProximitytoHolefrom",2012
57,57,"Will Claxton",99,NA,406.333,115,102,"ProximitytoHolefrom",2012
57,57,"Gavin Coles",72,NA,332.417,95,38,"ProximitytoHolefrom",2012
57,57,"Ben Curtis",62,NA,197.417,57,66,"ProximitytoHolefrom",2012
57,57,"Brendon de Jonge",115,NA,464.5,133,59,"ProximitytoHolefrom",2012
57,57,"James Driscoll",83,NA,356.333,101,153,"ProximitytoHolefrom",2012
57,57,"Ken Duke",104,NA,508.667,147,26,"ProximitytoHolefrom",2012
57,57,"Nathan Green",73,NA,264.5,76,88,"ProximitytoHolefrom",2012
57,57,"Charley Hoffman",88,NA,458.25,130,181,"ProximitytoHolefrom",2012
57,57,"Ryo Ishikawa",54,NA,226.583,64,152,"ProximitytoHolefrom",2012
57,57,"Colt Knost",79,NA,307.583,87,140,"ProximitytoHolefrom",2012
57,57,"Marc Leishman",84,NA,424.25,120,74,"ProximitytoHolefrom",2012
57,57,"Spencer Levin",81,NA,414.25,118,82,"ProximitytoHolefrom",2012
57,57,"Phil Mickelson",79,NA,342.833,99,16,"ProximitytoHolefrom",2012
57,57,"Sean OHair",84,NA,321.917,93,121,"ProximitytoHolefrom",2012
57,57,"Jeff Overton",101,NA,534,153,42,"ProximitytoHolefrom",2012
57,57,"Dicky Pride",62,NA,236.75,67,93,"ProximitytoHolefrom",2012
57,57,"Rory Sabbatini",84,NA,548.75,157,55,"ProximitytoHolefrom",2012
57,57,"Scott Stallings",78,NA,403.25,114,175,"ProximitytoHolefrom",2012
57,57,"Henrik Stenson",51,NA,205.417,59,47,"ProximitytoHolefrom",2012
57,57,"Kevin Streelman",89,NA,463.25,133,77,"ProximitytoHolefrom",2012
57,57,"Chris Stroud",86,NA,438.75,126,18,"ProximitytoHolefrom",2012
57,57,"Kyle Thompson",51,NA,214,61,189,"ProximitytoHolefrom",2012
57,57,"Brendon Todd",78,NA,323.583,93,129,"ProximitytoHolefrom",2012
57,57,"DJ Trahan",73,NA,345.417,99,164,"ProximitytoHolefrom",2012
57,57,"Steve Wheatcroft",56,NA,215.5,62,101,"ProximitytoHolefrom",2012
57,57,"Charlie Wi",86,NA,458.083,130,45,"ProximitytoHolefrom",2012
86,86,"Matt Bettencourt",80,NA,331.5,93,179,"ProximitytoHolefrom",2012
86,86,"Chris DiMarco",83,NA,455.167,128,103,"ProximitytoHolefrom",2012
86,86,"Ernie Els",80,NA,322.333,90,24,"ProximitytoHolefrom",2012
86,86,"Hunter Haas",69,NA,316.167,89,142,"ProximitytoHolefrom",2012
86,86,"Tim Herron",88,NA,342.5,95,99,"ProximitytoHolefrom",2012
86,86,"Charles Howell III",98,NA,348.333,98,118,"ProximitytoHolefrom",2012
86,86,"Ryuji Imada",78,NA,379.083,106,74,"ProximitytoHolefrom",2012
86,86,"Sung Kang",75,NA,380.833,106,144,"ProximitytoHolefrom",2012
86,86,"JJ Killeen",101,NA,514.5,143,28,"ProximitytoHolefrom",2012
86,86,"Kevin Kisner",69,NA,322.5,89,40,"ProximitytoHolefrom",2012
86,86,"Davis Love III",64,NA,392.583,110,147,"ProximitytoHolefrom",2012
86,86,"Billy Mayfair",90,NA,483.083,134,15,"ProximitytoHolefrom",2012
86,86,"Nick OHern",78,NA,293,81,62,"ProximitytoHolefrom",2012
86,86,"Carl Pettersson",92,NA,456.917,129,30,"ProximitytoHolefrom",2012
86,86,"Chez Reavie",83,NA,364.167,101,111,"ProximitytoHolefrom",2012
86,86,"Vijay Singh",99,NA,471.167,131,43,"ProximitytoHolefrom",2012
86,86,"Josh Teater",97,NA,439.167,122,119,"ProximitytoHolefrom",2012
86,86,"Roland Thatcher",55,NA,279.083,78,186,"ProximitytoHolefrom",2012
86,86,"Cameron Tringale",88,NA,424,117,52,"ProximitytoHolefrom",2012
105,105,"Michael Bradley",63,NA,225.167,61,156,"ProximitytoHolefrom",2012
105,105,"Chad Campbell",84,NA,370.583,100,145,"ProximitytoHolefrom",2012
105,105,"Jim Furyk",85,NA,383.083,104,3,"ProximitytoHolefrom",2012
105,105,"Robert Garrigus",89,NA,450.917,122,133,"ProximitytoHolefrom",2012
105,105,"Bill Haas",79,NA,362.667,98,27,"ProximitytoHolefrom",2012
105,105,"Matt Jones",53,NA,214.25,59,61,"ProximitytoHolefrom",2012
105,105,"Richard Lee",71,NA,255.25,69,143,"ProximitytoHolefrom",2012
105,105,"Garth Mulroy",59,NA,233.25,64,180,"ProximitytoHolefrom",2012
105,105,"Pat Perez",81,NA,461.833,126,14,"ProximitytoHolefrom",2012
105,105,"DA Points",88,NA,407.083,111,112,"ProximitytoHolefrom",2012
105,105,"John Senden",81,NA,355.25,97,94,"ProximitytoHolefrom",2012
116,116,"Keegan Bradley",90,NA,476.333,126,91,"ProximitytoHolefrom",2012
116,116,"Scott Brown",65,NA,282.583,75,185,"ProximitytoHolefrom",2012
116,116,"Roberto Castro",92,NA,361.667,97,62,"ProximitytoHolefrom",2012
116,116,"Bud Cauley",99,NA,627.917,167,8,"ProximitytoHolefrom",2012
116,116,"Scott Dunlap",57,NA,256.25,68,65,"ProximitytoHolefrom",2012
116,116,"Bob Estes",78,NA,356.417,95,25,"ProximitytoHolefrom",2012
116,116,"Zach Johnson",95,NA,447.333,120,30,"ProximitytoHolefrom",2012
116,116,"Jeff Maggert",83,NA,514.917,136,64,"ProximitytoHolefrom",2012
116,116,"Scott Piercy",95,NA,557.583,150,35,"ProximitytoHolefrom",2012
116,116,"Justin Rose",69,NA,245.417,66,12,"ProximitytoHolefrom",2012
116,116,"Charl Schwartzel",56,NA,264.25,71,50,"ProximitytoHolefrom",2012
116,116,"Heath Slocum",93,NA,378.167,101,70,"ProximitytoHolefrom",2012
116,116,"Steve Stricker",73,NA,318.083,85,34,"ProximitytoHolefrom",2012
116,116,"David Toms",60,NA,239.167,64,13,"ProximitytoHolefrom",2012
116,116,"Jimmy Walker",101,NA,501,134,78,"ProximitytoHolefrom",2012
116,116,"Nick Watney",97,NA,374.583,99,141,"ProximitytoHolefrom",2012
132,132,"Gary Christian",91,NA,426.417,112,139,"ProximitytoHolefrom",2012
132,132,"Ben Crane",73,NA,338.25,89,97,"ProximitytoHolefrom",2012
132,132,"Luke Donald",63,NA,255.083,66,5,"ProximitytoHolefrom",2012
132,132,"Harrison Frazar",56,NA,339.833,89,155,"ProximitytoHolefrom",2012
132,132,"Stephen Gangluff",57,NA,250.167,65,166,"ProximitytoHolefrom",2012
132,132,"Padraig Harrington",67,NA,281.917,74,39,"ProximitytoHolefrom",2012
132,132,"Brandt Jobe",57,NA,242.083,63,157,"ProximitytoHolefrom",2012
132,132,"Chris Kirk",93,NA,557.667,145,71,"ProximitytoHolefrom",2012
132,132,"Matt Kuchar",86,NA,420.667,110,7,"ProximitytoHolefrom",2012
132,132,"Ted Potter Jr",77,NA,395.417,104,132,"ProximitytoHolefrom",2012
132,132,"John Rollins",81,NA,369.917,96,80,"ProximitytoHolefrom",2012
132,132,"Andres Romero",68,NA,334.833,88,124,"ProximitytoHolefrom",2012
132,132,"Adam Scott",59,NA,243.583,64,128,"ProximitytoHolefrom",2012
132,132,"Mark Wilson",84,NA,426.167,110,84,"ProximitytoHolefrom",2012
146,146,"Stephen Ames",54,NA,245.75,63,112,"ProximitytoHolefrom",2012
146,146,"Rickie Fowler",84,NA,462.667,118,106,"ProximitytoHolefrom",2012
146,146,"Brian Harman",101,NA,643.833,163,49,"ProximitytoHolefrom",2012
146,146,"Jason Kokrak",79,NA,467.833,119,115,"ProximitytoHolefrom",2012
146,146,"Danny Lee",74,NA,326.167,83,108,"ProximitytoHolefrom",2012
146,146,"Bo Van Pelt",84,NA,490.5,124,130,"ProximitytoHolefrom",2012
152,152,"Jason Bohn",81,NA,345.083,87,119,"ProximitytoHolefrom",2012
152,152,"Brian Davis",91,NA,468.75,118,51,"ProximitytoHolefrom",2012
152,152,"Tommy Gainey",98,NA,612.5,152,162,"ProximitytoHolefrom",2012
152,152,"Bill Lunde",83,NA,436.333,108,54,"ProximitytoHolefrom",2012
152,152,"Kevin Na",80,NA,488.083,122,21,"ProximitytoHolefrom",2012
152,152,"Kyle Stanley",86,NA,478.667,119,173,"ProximitytoHolefrom",2012
158,158,"Angel Cabrera",54,NA,255.5,62,188,"ProximitytoHolefrom",2012
158,158,"Tim Clark",60,NA,328.583,81,79,"ProximitytoHolefrom",2012
158,158,"Graham DeLaet",79,NA,432.417,106,86,"ProximitytoHolefrom",2012
158,158,"George McNeill",85,NA,482.583,119,96,"ProximitytoHolefrom",2012
158,158,"Brendan Steele",77,NA,398.667,98,135,"ProximitytoHolefrom",2012
158,158,"Lee Westwood",60,NA,225.917,55,191,"ProximitytoHolefrom",2012
164,164,"Blake Adams",107,NA,508.167,121,123,"ProximitytoHolefrom",2012
164,164,"Charlie Beljan",61,NA,311.083,75,167,"ProximitytoHolefrom",2012
164,164,"Miguel Angel Carballo",73,NA,332.333,80,178,"ProximitytoHolefrom",2012
164,164,"Sergio Garcia",57,NA,265.5,64,69,"ProximitytoHolefrom",2012
164,164,"Bobby Gates",87,NA,498.083,119,127,"ProximitytoHolefrom",2012
164,164,"JB Holmes",90,NA,496,120,125,"ProximitytoHolefrom",2012
164,164,"John Huh",99,NA,573.167,138,134,"ProximitytoHolefrom",2012
164,164,"Trevor Immelman",76,NA,311.167,75,109,"ProximitytoHolefrom",2012
164,164,"Dustin Johnson",70,NA,453.667,109,32,"ProximitytoHolefrom",2012
164,164,"Hunter Mahan",88,NA,359.75,87,157,"ProximitytoHolefrom",2012
164,164,"Ryan Palmer",81,NA,486.667,116,73,"ProximitytoHolefrom",2012
164,164,"Gary Woodland",70,NA,325,78,171,"ProximitytoHolefrom",2012
176,176,"Robert Allenby",76,NA,387.75,92,183,"ProximitytoHolefrom",2012
176,176,"Billy Horschel",63,NA,313.583,74,36,"ProximitytoHolefrom",2012
176,176,"Kyle Reifers",86,NA,455.167,107,100,"ProximitytoHolefrom",2012
176,176,"Alexandre Rocha",62,NA,248.583,59,160,"ProximitytoHolefrom",2012
176,176,"Kevin Stadler",85,NA,518.333,122,58,"ProximitytoHolefrom",2012
181,181,"David Hearn",95,NA,508.917,118,23,"ProximitytoHolefrom",2012
181,181,"Ryan Moore",89,NA,525.417,121,107,"ProximitytoHolefrom",2012
181,181,"Boo Weekley",74,NA,340.25,78,168,"ProximitytoHolefrom",2012
184,184,"William McGirt",96,NA,508.083,115,59,"ProximitytoHolefrom",2012
185,185,"YE Yang",64,NA,365.917,82,87,"ProximitytoHolefrom",2012
186,186,"Sangmoon Bae",81,NA,507.583,109,182,"ProximitytoHolefrom",2012
186,186,"Louis Oosthuizen",65,NA,310.083,67,137,"ProximitytoHolefrom",2012
188,188,"Harris English",98,NA,610.583,127,159,"ProximitytoHolefrom",2012
188,188,"Edward Loar",59,NA,303.917,63,190,"ProximitytoHolefrom",2012
190,190,"Cameron Beckman",81,NA,503.25,103,170,"ProximitytoHolefrom",2012
191,191,"Martin Laird",77,NA,294.5,58,125,"ProximitytoHolefrom",2012
